Price,Close,High,Low,Open,Volume
Ticker,SAP,SAP,SAP,SAP,SAP
Date,,,,,
1995-09-18,9.37756633758545,9.37756633758545,9.37756633758545,9.37756633758545,1200
1995-09-19,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,12000
1995-09-20,9.642970085144043,9.642970085144043,9.642970085144043,9.642970085144043,7600
1995-09-21,9.731437683105469,9.731437683105469,9.731437683105469,9.731437683105469,43200
1995-09-22,9.112163543701172,9.112163543701172,9.112163543701172,9.112163543701172,49600
1995-09-25,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,7200
1995-09-26,9.90837287902832,9.90837287902832,9.90837287902832,9.90837287902832,8800
1995-09-27,9.90837287902832,9.90837287902832,9.90837287902832,9.90837287902832,0
1995-09-28,9.687202453613281,9.687202453613281,9.687202453613281,9.687202453613281,2800
1995-09-29,9.731437683105469,9.731437683105469,9.731437683105469,9.731437683105469,13600
1995-10-02,9.731437683105469,9.731437683105469,9.731437683105469,9.731437683105469,75600
1995-10-03,9.687202453613281,9.687202453613281,9.687202453613281,9.687202453613281,3600
1995-10-04,9.90837287902832,9.90837287902832,9.90837287902832,9.90837287902832,80400
1995-10-05,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,400
1995-10-06,9.37756633758545,9.37756633758545,9.37756633758545,9.37756633758545,1200
1995-10-09,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,4800
1995-10-10,8.890995979309082,8.890995979309082,8.890995979309082,8.890995979309082,10800
1995-10-11,8.979463577270508,8.979463577270508,8.979463577270508,8.979463577270508,2800
1995-10-12,9.112163543701172,9.112163543701172,9.112163543701172,9.112163543701172,2800
1995-10-13,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,16800
1995-10-16,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,3600
1995-10-17,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,101200
1995-10-18,8.66982650756836,8.66982650756836,8.66982650756836,8.66982650756836,465600
1995-10-19,8.758295059204102,8.758295059204102,8.758295059204102,8.758295059204102,22800
1995-10-20,8.758295059204102,8.758295059204102,8.758295059204102,8.758295059204102,10800
1995-10-23,8.625592231750488,8.625592231750488,8.625592231750488,8.625592231750488,5200
1995-10-24,8.66982650756836,8.66982650756836,8.66982650756836,8.66982650756836,6400
1995-10-25,8.93522834777832,8.93522834777832,8.93522834777832,8.93522834777832,5200
1995-10-26,8.758295059204102,8.758295059204102,8.758295059204102,8.758295059204102,30000
1995-10-27,8.492891311645508,8.492891311645508,8.492891311645508,8.492891311645508,25600
1995-10-30,8.93522834777832,8.93522834777832,8.93522834777832,8.93522834777832,2800
1995-10-31,9.156397819519043,9.156397819519043,9.156397819519043,9.156397819519043,22800
1995-11-01,9.023696899414062,9.023696899414062,9.023696899414062,9.023696899414062,7200
1995-11-02,9.023696899414062,9.023696899414062,9.023696899414062,9.023696899414062,98400
1995-11-03,9.200629234313965,9.200629234313965,9.200629234313965,9.200629234313965,68400
1995-11-06,9.333333015441895,9.333333015441895,9.333333015441895,9.333333015441895,10000
1995-11-07,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,4800
