timestamp,headline,source,sentiment
2026-01-06 08:00:00+00:00,"Dear Apple Stock Fans, Mark Your Calendars for January 12 - Yahoo Finance",GoogleNews,0.3818
2026-01-08 08:00:00+00:00,Apple Stock: Time To Get Out (NASDAQ:AAPL) - Seeking Alpha,GoogleNews,0.0
2026-01-12 08:00:00+00:00,Will AAPL Stock Rally Again in 2026 to Help Apple Regain the Throne as the Biggest Company? - Yahoo Finance,GoogleNews,0.4019
2026-01-15 08:00:00+00:00,Apple: Setting Up For An Earnings Surprise (NASDAQ:AAPL) - Seeking Alpha,GoogleNews,0.2732
2026-01-21 08:00:00+00:00,Apple's weakness is a 'buying opportunity' into earnings: Goldman (AAPL:NASDAQ) - Seeking Alpha,GoogleNews,0.0
2026-01-22 08:00:00+00:00,Why Apple’s Sell-Off May Be Overdone Right Before Earnings - MarketBeat,GoogleNews,0.0
2026-01-24 15:59:44+00:00,Jim Cramer Reveals Why Apple (AAPL) Stock is Struggling - Yahoo Finance,GoogleNews,-0.4215
2026-01-26 20:55:43+00:00,"Apple (AAPL) Stock Trades Up, Here Is Why - Yahoo Finance",GoogleNews,0.0
2026-01-27 15:13:18+00:00,Apple stock price today: AAPL climbs at the open as $315 target meets earnings week - TechStock²,GoogleNews,0.0
2026-01-27 21:08:00+00:00,"APPLE Q1 2026 Earnings Preview: Recent $AAPL Insider Trading, Hedge Fund Activity, and More - Quiver Quantitative",GoogleNews,0.0
2026-01-28 01:00:03+00:00,Apple: Rolling Over Into Key Earnings - Seeking Alpha,GoogleNews,0.0
2026-01-28 03:03:00+00:00,Apple (AAPL) Q4 Earnings Report Preview: What To Look For - Yahoo Finance,GoogleNews,0.0
2026-01-28 03:22:38+00:00,Apple (AAPL) Q4 Earnings Report Preview: What To Look For - Finviz,GoogleNews,0.0
2026-01-28 11:30:06+00:00,Apple Inc. $AAPL Stock Holdings Lowered by SkyOak Wealth LLC - MarketBeat,GoogleNews,0.4019
2026-01-28 15:40:35+00:00,Apple Q1 earnings preview: Wedbush continues to see AAPL as ‘top pick’ - TradingView,GoogleNews,0.0
2026-01-28 16:03:00+00:00,Apple report drops iPhone 18 bombshell - thestreet.com,GoogleNews,0.0
2026-01-28 17:06:00+00:00,Apple (AAPL) Earnings Preview: Investors Eye Record Revenue and AI Updates Amidst Market Jitters - marketpulse.com,GoogleNews,0.0
2026-01-28 19:12:38+00:00,Is Apple Stock A Buy Ahead of Q1 Earnings on Jan. 29? - Yahoo Finance,GoogleNews,0.0
2026-01-28 19:51:16+00:00,Evercore Bullish on Apple (AAPL) as Channel Checks Signal Upside - Yahoo Finance,GoogleNews,0.0
2026-01-28 23:55:28+00:00,Here's How Much Traders Expect Apple Stock to Move After Earnings Thursday - Investopedia,GoogleNews,0.0
2026-01-29 02:49:29+00:00,Apple Alphabet AI Pact Puts Siri Shift And Valuation In Focus - simplywall.st,GoogleNews,0.0
2026-01-29 03:35:14+00:00,"AAPL Apple Inc. (NASDAQ) 28 Jan 2026: AAPL stock at $256.44 as earnings loom, watch guidance - Meyka",GoogleNews,-0.2263
2026-01-29 06:13:29+00:00,What Could Set Apple Stock on Fire - Trefis,GoogleNews,-0.34
2026-01-29 09:05:46+00:00,B&D White Capital Company LLC Trims Stock Position in Apple Inc. $AAPL - MarketBeat,GoogleNews,0.0
2026-01-29 09:05:48+00:00,Chokshi & Queen Wealth Advisors Inc Reduces Stake in Apple Inc. $AAPL - MarketBeat,GoogleNews,0.4939
2026-01-29 09:05:48+00:00,"Birch Hill Investment Advisors LLC Buys 9,687 Shares of Apple Inc. $AAPL - MarketBeat",GoogleNews,0.296
2026-01-29 09:05:50+00:00,Apple Inc. $AAPL Stock Position Boosted by Benjamin Edwards Inc. - MarketBeat,GoogleNews,0.3612
2026-01-29 09:05:50+00:00,Apple Inc. $AAPL Stock Holdings Increased by Citizens National Bank Trust Department - MarketBeat,GoogleNews,0.6597
2026-01-29 10:12:34+00:00,Apple Q1 FY26 Earnings Preview | AAPL Stock in Focus - INDmoney,GoogleNews,0.0
2026-01-29 10:15:00+00:00,Apple Is the Second-Worst-Performing Dow Jones Stock So Far in 2026. Is the Sell-Off a Buying Opportunity? - The Motley Fool,GoogleNews,-0.0258
2026-01-29 10:33:00+00:00,Apple Earnings Today: What Results Could Move AAPL Stock Next - EBC Financial Group,GoogleNews,0.0
2026-01-29 10:40:09+00:00,Apple Inc. $AAPL Shares Sold by Groesbeck Investment Management Corp NJ - MarketBeat,GoogleNews,0.296
2026-01-29 12:30:46+00:00,“2026 Will be Massive”: Wedbush Analyst Remains Bullish on Apple Stock (AAPL) ahead of Q1 Earnings - TipRanks,GoogleNews,0.0
2026-01-29 13:38:27+00:00,"Stocks to watch on Thursday: V, MA, AAPL, JOBY - Seeking Alpha",GoogleNews,0.0
