Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-04,0.296,1,GoogleNews,0.296
2026-01-05,0.148,1,GoogleNews,0.0
2026-01-06,0.09866666666666667,1,GoogleNews,0.0
2026-01-07,-0.042666666666666665,1,GoogleNews,-0.128
2026-01-08,0.014477777777777775,3,GoogleNews,0.17143333333333333
2026-01-09,0.014477777777777775,3,GoogleNews,0.0
2026-01-11,0.18441111111111108,1,GoogleNews,0.3818
2026-01-13,0.05701666666666666,2,GoogleNews,-0.21075
2026-01-14,0.06768333333333333,4,GoogleNews,0.032
2026-01-18,0.0041833333333333445,2,GoogleNews,0.19130000000000003
2026-01-20,0.02890000000000001,2,GoogleNews,-0.1366
2026-01-22,0.1169,1,GoogleNews,0.296
2026-01-23,0.07551538461538461,13,"FinViz,GoogleNews",0.06714615384615386
2026-01-24,0.18716871794871795,10,"FinViz,GoogleNews",0.19835999999999998
2026-01-25,0.14061871794871794,4,FinViz,0.15635
2026-01-26,0.17892151515151514,11,"GoogleNews,FinViz",0.18205454545454547
2026-01-27,0.15287651515151515,8,"FinViz,GoogleNews",0.120225
2026-01-28,0.18222466329966333,18,FinViz,0.24439444444444447
2026-01-29,0.20895263532763533,13,"FinViz,GoogleNews",0.26223846153846153
2026-01-30,0.23075541310541312,21,"FinViz,GoogleNews",0.18563333333333332
2026-01-31,0.1704517094017094,6,"GoogleNews,FinViz",0.06348333333333332
2026-02-01,0.1656322222222222,10,"FinViz,GoogleNews",0.24778000000000003
