Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-12,0.17,2,GoogleNews,0.17
2026-01-13,0.085,1,GoogleNews,0.0
2026-01-16,-0.038200000000000005,2,GoogleNews,-0.2846
2026-01-17,-0.22846666666666668,2,GoogleNews,-0.4008
2026-01-18,-0.21986666666666665,1,GoogleNews,0.0258
2026-01-20,-0.12841666666666665,2,GoogleNews,-0.01024999999999999
2026-01-21,-0.05148333333333333,2,GoogleNews,-0.17
2026-01-22,-0.08775,3,GoogleNews,-0.08300000000000002
2026-01-23,-0.22483333333333333,1,GoogleNews,-0.4215
2026-01-26,-0.2752833333333333,2,GoogleNews,-0.32135
2026-01-27,-0.24761666666666668,4,GoogleNews,0.0
2026-01-28,-0.050172222222222236,6,GoogleNews,0.1708333333333333
2026-01-29,0.1345381381381381,37,GoogleNews,0.23278108108108106
2026-01-30,0.16369889082631017,62,"GoogleNews,FinViz",0.08748225806451612
2026-01-31,0.1248025945300139,27,"GoogleNews,FinViz",0.054144444444444446
2026-02-01,0.0721140290414484,13,"FinViz,GoogleNews",0.07471538461538461
2026-02-02,0.14125327635327636,2,GoogleNews,0.2949
