Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-05,0.4404,1,FinViz,0.4404
2026-01-06,0.36819999999999997,1,GoogleNews,0.296
2026-01-08,0.4407666666666667,1,FinViz,0.5859
2026-01-09,0.29396666666666665,1,FinViz,0.0
2026-01-11,0.29165,2,FinViz,0.28905
2026-01-12,0.09634999999999999,3,GoogleNews,0.0
2026-01-13,0.23031666666666664,1,FinViz,0.4018999999999999
2026-01-15,0.13157777777777777,3,FinViz,-0.007166666666666651
2026-01-16,0.20701111111111112,1,FinViz,0.2263
2026-01-19,0.07304444444444445,2,"GoogleNews,FinViz",0.0
2026-01-20,0.13906666666666667,2,FinViz,0.19090000000000001
2026-01-21,0.0975111111111111,3,"GoogleNews,FinViz",0.10163333333333331
2026-01-22,0.1932977777777778,5,FinViz,0.28736
2026-01-23,0.21155611111111108,4,"FinViz,GoogleNews",0.245675
2026-01-25,0.1776783333333333,1,FinViz,0.0
2026-01-26,0.08189166666666667,2,FinViz,0.0
2026-01-27,0.07945,2,FinViz,0.23835
2026-01-28,0.14170000000000002,6,"FinViz,GoogleNews",0.18675
2026-01-29,0.11873333333333334,75,"GoogleNews,FinViz",-0.06889999999999999
2026-01-30,0.01840438596491228,19,"FinViz,GoogleNews",-0.06263684210526317
2026-01-31,-0.06517894736842106,4,"GoogleNews,FinViz",-0.064
2026-02-01,-0.005645614035087718,10,GoogleNews,0.1097
2026-02-02,-0.13156666666666667,1,GoogleNews,-0.4404
