Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-04,0.38180000000000003,1,GoogleNews,0.38180000000000003
2026-01-05,0.2038,1,GoogleNews,0.0258
2026-01-06,0.13586666666666666,1,GoogleNews,0.0
2026-01-07,0.1554,3,GoogleNews,0.4404
2026-01-08,0.32635,2,GoogleNews,0.53865
2026-01-11,0.17955,1,GoogleNews,-0.4404
2026-01-12,0.03274999999999998,3,GoogleNews,0.0
2026-01-13,-0.033966666666666666,3,GoogleNews,0.3385
2026-01-14,0.11283333333333334,1,GoogleNews,0.0
2026-01-15,0.1620777777777778,12,GoogleNews,0.14773333333333336
2026-01-16,0.1059777777777778,3,GoogleNews,0.17020000000000005
2026-01-20,0.1059777777777778,2,GoogleNews,0.0
2026-01-21,0.05673333333333335,2,GoogleNews,0.0
2026-01-23,0.15198333333333333,2,GoogleNews,0.45594999999999997
2026-01-26,0.26765,2,GoogleNews,0.347
2026-01-27,0.2998583333333333,8,FinViz,0.09662499999999999
2026-01-28,0.1882777027027027,37,"FinViz,GoogleNews",0.12120810810810809
2026-01-29,0.12501563373718547,29,"FinViz,GoogleNews",0.1572137931034483
2026-01-30,0.12624414250911528,19,"FinViz,GoogleNews",0.10031052631578945
2026-01-31,0.09431836288333566,13,"FinViz,GoogleNews",0.02543076923076924
2026-02-01,0.10043598740440844,3,"FinViz,GoogleNews",0.17556666666666665
