Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,171.24160766601562,169.62621950390894,1.6154,2.6095,1.6154,0.9433
2023-08-07,171.4290771484375,171.39387263674507,0.0352,0.0012,0.0352,0.0205
2023-08-08,170.50035095214844,171.58150881367328,1.0812,1.1689,1.0812,0.6341
2023-08-09,170.00633239746094,170.65195681068326,0.6456,0.4168,0.6456,0.3798
2023-08-10,170.00633239746094,170.15749898354443,0.1512,0.0229,0.1512,0.0889
2023-08-11,170.618896484375,170.15749898354443,0.4614,0.2129,0.4614,0.2704
2023-08-14,172.95059204101562,170.77060775147402,2.18,4.7523,2.18,1.2605
2023-08-15,173.05929565429688,173.1043766100447,0.0451,0.002,0.0451,0.026
2023-08-16,172.1107940673828,173.2131768806321,1.1024,1.2152,1.1024,0.6405
2023-08-17,169.50242614746094,172.2638319030939,2.7614,7.6254,2.7614,1.6291
2023-08-18,169.77906799316406,169.6531446691315,0.1259,0.0159,0.1259,0.0742
2023-08-21,170.91531372070312,169.93003249980939,0.9853,0.9708,0.9853,0.5765
2023-08-22,173.32603454589844,171.06728855670008,2.2587,5.1019,2.2587,1.3032
2023-08-23,175.17361450195312,173.48015295167897,1.6935,2.8678,1.6935,0.9667
2023-08-24,175.12420654296875,175.32937574274183,0.2052,0.0421,0.2052,0.1172
2023-08-25,177.9301452636719,175.2799238510852,2.6502,7.0237,2.6502,1.4895
2023-08-28,178.77984619140622,178.08835756224653,0.6915,0.4782,0.6915,0.3868
2023-08-29,177.42625427246094,178.93881402882835,1.5126,2.2878,1.5126,0.8525
2023-08-30,177.0607147216797,177.5840185201905,0.5233,0.2738,0.5233,0.2956
2023-08-31,175.68740844726562,177.21815393818724,1.5307,2.3432,1.5307,0.8713
2023-09-01,178.40440368652344,175.84362654442884,2.5608,6.5576,2.5608,1.4354
2023-09-05,178.78970336914062,178.56303768719408,0.2267,0.0514,0.2267,0.1268
2023-09-06,181.5857696533203,178.94867997138863,2.6371,6.9542,2.6371,1.4523
2023-09-07,181.1115264892578,181.74723246763278,0.6357,0.4041,0.6357,0.351
2023-09-08,181.74386596679688,181.27256761504214,0.4713,0.2221,0.4713,0.2593
2023-09-11,183.77914428710935,181.9054693575199,1.8737,3.5107,1.8737,1.0195
2023-09-12,182.70220947265625,183.9425574108645,1.2403,1.5385,1.2403,0.6789
2023-09-13,182.79115295410162,182.8646650052615,0.0735,0.0054,0.0735,0.0402
2023-09-14,181.75372314453125,182.95368757365762,1.2,1.4399,1.2,0.6602
2023-09-15,184.75730895996088,181.9153353000802,2.842,8.0768,2.842,1.5382
2023-09-18,184.44110107421875,184.92159185022498,0.4805,0.2309,0.4805,0.2605
2023-09-19,183.04800415039065,184.60510279809387,1.5571,2.4246,1.5571,0.8507
2023-09-20,185.80456542968753,183.2107671574304,2.5938,6.7278,2.5938,1.396
2023-09-21,186.98028564453122,185.9697795216489,1.0105,1.0211,1.0105,0.5404
2023-09-22,187.31619262695312,187.14654516585142,0.1696,0.0288,0.1696,0.0906
2023-09-25,191.64367675781247,187.48275083074623,4.1609,17.3133,4.1609,2.1712
2023-09-26,190.15179443359372,191.8140828829928,1.6623,2.7632,1.6623,0.8742
2023-09-27,189.0353546142578,190.3208740037298,1.2855,1.6526,1.2855,0.68
2023-09-28,189.50961303710935,189.20344146610114,0.3062,0.0937,0.3062,0.1616
2023-09-29,188.3931427001953,189.67812159104867,1.285,1.6512,1.285,0.6821
2023-10-02,186.3479766845703,188.56065850870618,2.2127,4.896,2.2127,1.1874
2023-10-03,185.8243103027344,186.51367396808746,0.6894,0.4752,0.6894,0.371
2023-10-04,187.49406433105466,185.9895419514833,1.5045,2.2636,1.5045,0.8024
2023-10-05,188.2548065185547,187.66078069518153,0.594,0.3529,0.594,0.3155
2023-10-06,188.40303039550778,188.42219932101034,0.0192,0.0004,0.0192,0.0102
2023-10-09,191.66342163085938,188.57055499598027,3.0929,9.5658,3.0929,1.6137
2023-10-10,191.4065704345703,191.83384531282715,0.4273,0.1826,0.4273,0.2232
2023-10-11,192.7601165771484,191.5767657290544,1.1834,1.4003,1.1834,0.6139
2023-10-12,190.8137664794922,192.9315154206215,2.1177,4.4849,2.1177,1.1099
2023-10-13,189.6380157470703,190.98343466331607,1.3454,1.8102,1.3454,0.7095
