Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,171.24160766601562,170.15960040965,1.082,1.1707,1.082,0.6319
2023-08-07,171.4290771484375,171.6812143350944,0.2521,0.0636,0.2521,0.1471
2023-08-08,170.50035095214844,171.8550234144932,1.3547,1.8351,1.3547,0.7945
2023-08-09,170.00633239746094,170.68541213219396,0.6791,0.4611,0.6791,0.3994
2023-08-10,170.00633239746094,170.23426785713127,0.2279,0.052,0.2279,0.1341
2023-08-11,170.618896484375,170.24261758678222,0.3763,0.1416,0.3763,0.2205
2023-08-14,172.95059204101562,171.12194981178618,1.8286,3.3439,1.8286,1.0573
2023-08-15,173.05929565429688,173.3510834277149,0.2918,0.0851,0.2918,0.1686
2023-08-16,172.1107940673828,173.42533863577773,1.3145,1.728,1.3145,0.7638
2023-08-17,169.50242614746094,172.7572501777977,3.2548,10.5939,3.2548,1.9202
2023-08-18,169.77906799316406,170.16260519827483,0.3835,0.1471,0.3835,0.2259
2023-08-21,170.91531372070312,170.57046283682212,0.3449,0.1189,0.3449,0.2018
2023-08-22,173.32603454589844,171.95244672469198,1.3736,1.8867,1.3736,0.7925
2023-08-23,175.17361450195312,174.3325254672527,0.8411,0.7074,0.8411,0.4801
2023-08-24,175.12420654296875,175.79576152525624,0.6716,0.451,0.6716,0.3835
2023-08-25,177.9301452636719,175.52142241929687,2.4087,5.8019,2.4087,1.3537
2023-08-28,178.77984619140622,178.4911106290565,0.2887,0.0834,0.2887,0.1615
2023-08-29,177.42625427246094,179.25370205643412,1.8274,3.3396,1.8274,1.03
2023-08-30,177.0607147216797,178.19066742130053,1.13,1.2768,1.13,0.6382
2023-08-31,175.68740844726562,178.09478157459853,2.4074,5.7954,2.4074,1.3703
2023-09-01,178.40440368652344,176.65366104556597,1.7507,3.0651,1.7507,0.9813
2023-09-05,178.78970336914062,179.22118057293665,0.4315,0.1862,0.4315,0.2413
2023-09-06,181.5857696533203,179.62870510496214,1.9571,3.8301,1.9571,1.0778
2023-09-07,181.1115264892578,182.24034453493914,1.1288,1.2742,1.1288,0.6233
2023-09-08,181.74386596679688,181.90721085038604,0.1633,0.0267,0.1633,0.0899
2023-09-11,183.77914428710935,182.38265325357497,1.3965,1.9502,1.3965,0.7599
2023-09-12,182.70220947265625,184.26756527933318,1.5654,2.4503,1.5654,0.8568
2023-09-13,182.79115295410162,183.3624641275601,0.5713,0.3264,0.5713,0.3125
2023-09-14,181.75372314453125,183.40117529951934,1.6475,2.7141,1.6475,0.9064
2023-09-15,184.75730895996088,182.33114155790827,2.4262,5.8863,2.4262,1.3132
2023-09-18,184.44110107421875,185.53097367189363,1.0899,1.1878,1.0899,0.5909
2023-09-19,183.04800415039065,185.36416319671844,2.3162,5.3646,2.3162,1.2653
2023-09-20,185.80456542968753,183.84004180510604,1.9645,3.8594,1.9645,1.0573
2023-09-21,186.98028564453122,186.4516004282632,0.5287,0.2795,0.5287,0.2827
2023-09-22,187.31619262695312,187.40528501348308,0.0891,0.0079,0.0891,0.0476
2023-09-25,191.64367675781247,187.61751135627128,4.0262,16.21,4.0262,2.1009
2023-09-26,190.15179443359372,191.9161574998725,1.7644,3.113,1.7644,0.9279
2023-09-27,189.0353546142578,190.6061943615932,1.5708,2.4675,1.5708,0.831
2023-09-28,189.50961303710935,189.47083905076033,0.0388,0.0015,0.0388,0.0205
2023-09-29,188.3931427001953,190.21450697731777,1.8214,3.3174,1.8214,0.9668
2023-10-02,186.3479766845703,189.29021354818542,2.9422,8.6568,2.9422,1.5789
2023-10-03,185.8243103027344,187.35069071907856,1.5264,2.3298,1.5264,0.8214
2023-10-04,187.49406433105466,186.44153103327338,1.0525,1.1078,1.0525,0.5614
2023-10-05,188.2548065185547,188.09769871179924,0.1571,0.0247,0.1571,0.0835
2023-10-06,188.40303039550778,188.8441261314365,0.4411,0.1946,0.4411,0.2341
2023-10-09,191.66342163085938,188.88977032598632,2.7737,7.6931,2.7737,1.4471
2023-10-10,191.4065704345703,192.00719354651662,0.6006,0.3607,0.6006,0.3138
2023-10-11,192.7601165771484,191.87113353896711,0.889,0.7903,0.889,0.4612
2023-10-12,190.8137664794922,193.4117033321454,2.5979,6.7493,2.5979,1.3615
2023-10-13,189.6380157470703,191.556653356487,1.9186,3.6812,1.9186,1.0117
2023-10-16,190.4383087158203,190.62049915365787,0.1822,0.0332,0.1822,0.0957
2023-10-17,191.29788208007807,191.43892275034887,0.141,0.0199,0.141,0.0737
2023-10-18,192.16732788085935,191.95613352849972,0.2112,0.0446,0.2112,0.1099
2023-10-19,190.9026641845703,192.7484613387205,1.8458,3.407,1.8458,0.9669
2023-10-20,193.4813690185547,191.58948164046888,1.8919,3.5792,1.8919,0.9778
2023-10-23,194.0939483642578,194.328884232591,0.2349,0.0552,0.2349,0.121
2023-10-24,193.2640380859375,195.1448441792436,1.8808,3.5374,1.8808,0.9732
2023-10-25,190.27035522460935,194.47691932738235,4.2066,17.6952,4.2066,2.2108
2023-10-26,188.8772735595703,191.01010577264967,2.1328,4.549,2.1328,1.1292
2023-10-27,179.807373046875,189.64725066708525,9.8399,96.8232,9.8399,5.4725
2023-10-30,176.70504760742188,180.84206932922825,4.137,17.1149,4.137,2.3412
2023-10-31,177.6436309814453,177.6916635411726,0.048,0.0023,0.048,0.027
2023-11-01,176.0529327392578,178.4939418691156,2.441,5.9585,2.441,1.3865
2023-11-02,175.8355712890625,176.96366989805938,1.1281,1.2726,1.1281,0.6416
2023-11-03,175.89494323730466,176.80351913106279,0.9086,0.8255,0.9086,0.5165
2023-11-06,177.54713439941406,176.89536233386934,0.6518,0.4248,0.6518,0.3671
2023-11-07,175.55856323242188,178.49811104484797,2.9395,8.6409,2.9395,1.6744
2023-11-08,174.6879425048828,176.38166979455127,1.6937,2.8687,1.6937,0.9696
2023-11-09,172.1453399658203,175.55469674383858,3.4094,11.6237,3.4094,1.9805
2023-11-10,172.63014221191403,173.18051761737297,0.5504,0.3029,0.5504,0.3188
2023-11-13,173.96569824218753,173.92421880158327,0.0415,0.0017,0.0415,0.0238
2023-11-14,175.3408966064453,175.29888235058752,0.042,0.0018,0.042,0.024
2023-11-15,179.189453125,176.65249275221322,2.537,6.4362,2.537,1.4158
2023-11-16,174.49996948242188,180.36420392687432,5.8642,34.3892,5.8642,3.3606
2023-11-17,176.70619201660156,175.6167257859306,1.0895,1.1869,1.0895,0.6165
2023-11-20,178.26937866210935,177.81941510790602,0.45,0.2025,0.45,0.2524
2023-11-21,182.157455444336,179.15417928464376,3.0033,9.0197,3.0033,1.6487
2023-11-22,185.6498260498047,182.94752894149863,2.7023,7.3024,2.7023,1.4556
2023-11-24,185.86746215820312,186.560612790734,0.6932,0.4805,0.6932,0.3729
2023-11-27,187.4405517578125,186.86112072562537,0.5794,0.3357,0.5794,0.3091
2023-11-28,187.6779937744141,188.5606446240563,0.8827,0.7791,0.8827,0.4703
2023-11-29,180.9603729248047,188.606628237676,7.6463,58.4652,7.6463,4.2254
2023-11-30,175.6673583984375,181.90538442810976,6.238,38.913,6.238,3.551
2023-12-01,176.28076171875,176.51512022853422,0.2344,0.0549,0.2344,0.1329
2023-12-04,177.44821166992188,177.07480822352227,0.3734,0.1394,0.3734,0.2104
2023-12-05,174.4208221435547,178.09794066207905,3.6771,13.5212,3.6771,2.1082
2023-12-06,172.3531036376953,174.98974878018998,2.6366,6.9519,2.6366,1.5298
2023-12-07,173.8667755126953,173.09520789984344,0.7716,0.5953,0.7716,0.4438
2023-12-08,173.14456176757812,174.62250642403887,1.4779,2.1843,1.4779,0.8536
2023-12-11,176.07301330566406,174.0524521701227,2.0206,4.0827,2.0206,1.1476
2023-12-12,177.1613006591797,176.8247536386898,0.3365,0.1133,0.3365,0.19
2023-12-13,173.6194305419922,178.04427633515115,4.4248,19.5793,4.4248,2.5486
2023-12-14,172.07606506347656,174.757706144037,2.6816,7.1912,2.6816,1.5584
2023-12-15,172.92691040039065,173.16672424118042,0.2398,0.0575,0.2398,0.1387
2023-12-18,174.20317077636716,173.95868644624352,0.2445,0.0598,0.2445,0.1403
2023-12-19,170.12709045410156,175.16815482850507,5.0411,25.4123,5.0411,2.9631
2023-12-20,168.61338806152344,170.8382342370478,2.2248,4.9499,2.2248,1.3195
2023-12-21,168.87060546875,169.42166060933232,0.5511,0.3037,0.5511,0.3263
2023-12-22,169.3850402832031,169.69082068791613,0.3058,0.0935,0.3058,0.1805
2023-12-26,171.8979949951172,170.12209853415698,1.7759,3.1538,1.7759,1.0331
2023-12-27,170.5623779296875,172.66994301908744,2.1076,4.4418,2.1076,1.2357
