Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,171.24160766601562,169.26932240189126,1.9723,3.8899,1.9723,1.1518
2023-08-07,171.4290771484375,171.05428235378895,0.3748,0.1405,0.3748,0.2186
2023-08-08,170.50035095214844,171.27512300578383,0.7748,0.6003,0.7748,0.4544
2023-08-09,170.00633239746094,170.4244260715268,0.4181,0.1748,0.4181,0.2459
2023-08-10,170.00633239746094,169.9898558678342,0.0165,0.0003,0.0165,0.0097
2023-08-11,170.618896484375,170.0021271331343,0.6168,0.3804,0.6168,0.3615
2023-08-14,172.95059204101562,170.57967203356384,2.3709,5.6213,2.3709,1.3709
2023-08-15,173.05929565429688,172.81126021134696,0.248,0.0615,0.248,0.1433
2023-08-16,172.1107940673828,172.89157151297695,0.7808,0.6096,0.7808,0.4536
2023-08-17,169.50242614746094,171.98829609203585,2.4859,6.1795,2.4859,1.4666
2023-08-18,169.77906799316406,169.5161057880523,0.263,0.0691,0.263,0.1549
2023-08-21,170.91531372070312,169.7938224006375,1.1215,1.2577,1.1215,0.6562
2023-08-22,173.32603454589844,170.84292243604068,2.4831,6.1658,2.4831,1.4326
2023-08-23,175.17361450195312,173.1274823511876,2.0461,4.1867,2.0461,1.1681
2023-08-24,175.12420654296875,174.91045547843532,0.2138,0.0457,0.2138,0.1221
2023-08-25,177.9301452636719,174.88135100666113,3.0488,9.2951,3.0488,1.7135
2023-08-28,178.77984619140622,177.67555051641466,1.1043,1.2195,1.1043,0.6177
2023-08-29,177.42625427246094,178.5451134173927,1.1189,1.2518,1.1189,0.6306
2023-08-30,177.0607147216797,177.28126514279393,0.2206,0.0486,0.2206,0.1246
2023-08-31,175.68740844726562,176.99754062662578,1.3101,1.7164,1.3101,0.7457
2023-09-01,178.40440368652344,175.71174487693497,2.6927,7.2504,2.6927,1.5093
2023-09-05,178.78970336914062,178.3350398585053,0.4547,0.2067,0.4547,0.2543
2023-09-06,181.5857696533203,178.66189760491216,2.9239,8.549,2.9239,1.6102
2023-09-07,181.1115264892578,181.3777231178119,0.2662,0.0709,0.2662,0.147
2023-09-08,181.74386596679688,180.90647378887752,0.8374,0.7012,0.8374,0.4608
2023-09-11,183.77914428710935,181.56058618615316,2.2186,4.922,2.2186,1.2072
2023-09-12,182.70220947265625,183.57516816581662,0.873,0.7621,0.873,0.4778
2023-09-13,182.79115295410162,182.5420952686145,0.2491,0.062,0.2491,0.1363
2023-09-14,181.75372314453125,182.67199213267216,0.9183,0.8432,0.9183,0.5052
2023-09-15,184.75730895996088,181.69455129886774,3.0628,9.3805,3.0628,1.6577
2023-09-18,184.44110107421875,184.60510666566276,0.164,0.0269,0.164,0.0889
2023-09-19,183.04800415039065,184.2629396626944,1.2149,1.4761,1.2149,0.6637
2023-09-20,185.80456542968753,182.93108711168318,2.8735,8.2569,2.8735,1.5465
2023-09-21,186.98028564453122,185.61342519553,1.3669,1.8683,1.3669,0.731
2023-09-22,187.31619262695312,186.7410047809608,0.5752,0.3308,0.5752,0.3071
