Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,171.24160766601562,170.28479875338235,0.9568,0.9155,0.9568,0.5587
2023-08-07,171.4290771484375,171.02319245562285,0.4059,0.1647,0.4059,0.2368
2023-08-08,170.50035095214844,171.7909363113722,1.2906,1.6656,1.2906,0.7569
2023-08-09,170.00633239746094,171.59356354192641,1.5872,2.5193,1.5872,0.9336
2023-08-10,170.00633239746094,169.88508905368235,0.1212,0.0147,0.1212,0.0713
2023-08-11,170.618896484375,170.19630901335404,0.4226,0.1786,0.4226,0.2477
2023-08-14,172.95059204101562,170.99354744830634,1.957,3.83,1.957,1.1316
2023-08-15,173.05929565429688,173.07301767057652,0.0137,0.0002,0.0137,0.0079
2023-08-16,172.1107940673828,173.0091228238307,0.8983,0.807,0.8983,0.5219
2023-08-17,169.50242614746094,173.20807473391505,3.7056,13.7318,3.7056,2.1862
2023-08-18,169.77906799316406,169.6929105962863,0.0862,0.0074,0.0862,0.0507
2023-08-21,170.91531372070312,169.93055872010336,0.9848,0.9697,0.9848,0.5762
2023-08-22,173.32603454589844,171.57850998182403,1.7475,3.0538,1.7475,1.0082
2023-08-23,175.17361450195312,173.35766818033335,1.8159,3.2977,1.8159,1.0367
2023-08-24,175.12420654296875,175.01260135714801,0.1116,0.0125,0.1116,0.0637
2023-08-25,177.9301452636719,175.59300770546542,2.3371,5.4622,2.3371,1.3135
2023-08-28,178.77984619140622,177.68098051352354,1.0989,1.2075,1.0989,0.6146
2023-08-29,177.42625427246094,178.8921402704218,1.4659,2.1488,1.4659,0.8262
2023-08-30,177.0607147216797,178.43032779011992,1.3696,1.8758,1.3696,0.7735
2023-08-31,175.68740844726562,177.31501525532803,1.6276,2.6491,1.6276,0.9264
2023-09-01,178.40440368652344,175.95203046867027,2.4524,6.0141,2.4524,1.3746
2023-09-05,178.78970336914062,178.70867726845063,0.081,0.0066,0.081,0.0453
2023-09-06,181.5857696533203,179.1728968711941,2.4129,5.822,2.4129,1.3288
2023-09-07,181.1115264892578,181.5110560317089,0.3995,0.1596,0.3995,0.2206
2023-09-08,181.74386596679688,181.49062839670478,0.2532,0.0641,0.2532,0.1393
2023-09-11,183.77914428710935,181.94622227050422,1.8329,3.3596,1.8329,0.9974
2023-09-12,182.70220947265625,183.52139453500055,0.8192,0.6711,0.8192,0.4484
2023-09-13,182.79115295410162,183.6041763545145,0.813,0.661,0.813,0.4448
2023-09-14,181.75372314453125,183.10401956726494,1.3503,1.8233,1.3503,0.7429
2023-09-15,184.75730895996088,181.9691337961558,2.7882,7.7739,2.7882,1.5091
2023-09-18,184.44110107421875,184.9731298530696,0.532,0.2831,0.532,0.2885
2023-09-19,183.04800415039065,184.7995786323445,1.7516,3.068,1.7516,0.9569
2023-09-20,185.80456542968753,183.77695722897627,2.0276,4.1112,2.0276,1.0913
2023-09-21,186.98028564453122,185.64602945124352,1.3343,1.7802,1.3343,0.7136
2023-09-22,187.31619262695312,187.29323425417533,0.023,0.0005,0.023,0.0123
2023-09-25,191.64367675781247,187.51193591887568,4.1317,17.0713,4.1317,2.1559
2023-09-26,190.15179443359372,191.35151443955692,1.1997,1.4393,1.1997,0.6309
2023-09-27,189.0353546142578,190.84688170248407,1.8115,3.2816,1.8115,0.9583
2023-09-28,189.50961303710935,189.54950793395983,0.0399,0.0016,0.0399,0.0211
2023-09-29,188.3931427001953,189.83504080483905,1.4419,2.0791,1.4419,0.7654
2023-10-02,186.3479766845703,188.90204579992132,2.5541,6.5233,2.5541,1.3706
2023-10-03,185.8243103027344,187.41373521440255,1.5894,2.5263,1.5894,0.8553
2023-10-04,187.49406433105466,186.11215318299222,1.3819,1.9097,1.3819,0.737
2023-10-05,188.2548065185547,187.52365710034064,0.7311,0.5346,0.7311,0.3884
2023-10-06,188.40303039550778,188.77074170134802,0.3677,0.1352,0.3677,0.1952
2023-10-09,191.66342163085938,188.57464260521556,3.0888,9.5406,3.0888,1.6116
2023-10-10,191.4065704345703,191.30460426747774,0.102,0.0104,0.102,0.0533
2023-10-11,192.7601165771484,192.04680501935763,0.7133,0.5088,0.7133,0.3701
2023-10-12,190.8137664794922,192.7776264201202,1.9639,3.8567,1.9639,1.0292
2023-10-13,189.6380157470703,191.2708401469754,1.6328,2.6661,1.6328,0.861
2023-10-16,190.4383087158203,190.55561817397756,0.1173,0.0138,0.1173,0.0616
2023-10-17,191.29788208007807,190.73713534565286,0.5607,0.3144,0.5607,0.2931
2023-10-18,192.16732788085935,191.4808424601469,0.6865,0.4713,0.6865,0.3572
2023-10-19,190.9026641845703,192.6836313290332,1.781,3.1718,1.781,0.9329
2023-10-20,193.4813690185547,191.3688034141651,2.1126,4.4629,2.1126,1.0919
2023-10-23,194.0939483642578,193.31536028939354,0.7786,0.6062,0.7786,0.4011
2023-10-24,193.2640380859375,194.40917777449067,1.1451,1.3113,1.1451,0.5925
2023-10-25,190.27035522460935,193.95315368690353,3.6828,13.563,3.6828,1.9356
2023-10-26,188.8772735595703,190.61636904107942,1.7391,3.0245,1.7391,0.9208
2023-10-27,179.807373046875,189.6598595854175,9.8525,97.0715,9.8525,5.4795
2023-10-30,176.70504760742188,181.46620519162389,4.7612,22.6686,4.7612,2.6944
