Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,110.19000244140624,106.67935888920148,3.5106,12.3246,3.5106,3.186
2023-08-07,112.18000030517578,110.25134602921024,1.9287,3.7197,1.9287,1.7192
2023-08-08,110.26000213623048,112.24245173948111,1.9824,3.9301,1.9824,1.798
2023-08-09,111.1999969482422,110.32138469338135,0.8786,0.772,0.8786,0.7901
2023-08-10,113.4000015258789,111.26190280744414,2.1381,4.5715,2.1381,1.8854
2023-08-11,115.49999999999999,113.4631321438701,2.0369,4.1488,2.0369,1.7635
2023-08-14,118.1500015258789,115.56429970264435,2.5857,6.6859,2.5857,2.1885
2023-08-15,116.25,118.21577650393556,1.9658,3.8643,1.9658,1.691
2023-08-16,115.01000213623048,116.314717233181,1.3047,1.7023,1.3047,1.1344
2023-08-17,114.98999786376952,115.07402905344681,0.084,0.0071,0.084,0.0731
2023-08-18,116.75,115.05401364445969,1.696,2.8764,1.696,1.4527
2023-08-21,115.0,116.8149955868721,1.815,3.2942,1.815,1.5783
2023-08-22,120.11000061035155,115.06402134895325,5.046,25.4619,5.046,4.2011
2023-08-23,121.66000366210939,120.17686673436765,1.4831,2.1997,1.4831,1.2191
2023-08-24,120.58000183105467,121.72773268426681,1.1477,1.3173,1.1477,0.9518
2023-08-25,122.76999664306642,120.64712960821997,2.1229,4.5066,2.1229,1.7291
2023-08-28,124.25,122.83834360651053,1.4117,1.9928,1.4117,1.1361
2023-08-29,125.30000305175778,124.31917089223862,0.9808,0.962,0.9808,0.7828
2023-08-30,126.61000061035156,125.36975848844666,1.2402,1.5382,1.2402,0.9796
2023-08-31,121.2300033569336,126.68048533235196,5.4505,29.7078,5.4505,4.496
2023-09-01,124.24999999999999,121.29749299474679,2.9525,8.7173,2.9525,2.3763
2023-09-05,123.43000030517578,124.31917089223862,0.8892,0.7906,0.8892,0.7204
2023-09-06,126.56999969482422,123.49871469753089,3.0713,9.4328,3.0713,2.4266
2023-09-07,126.66000366210939,126.64046214801965,0.0195,0.0004,0.0195,0.0154
2023-09-08,126.41999816894533,126.73051622117782,0.3105,0.0964,0.3105,0.2456
2023-09-11,127.11000061035158,126.49037711518396,0.6196,0.3839,0.6196,0.4875
2023-09-12,125.48999786376952,127.18076368604306,1.6908,2.8587,1.6908,1.3473
2023-09-13,125.77999877929688,128.42198451057808,2.642,6.9801,2.642,2.1005
2023-09-14,124.83000183105467,125.85002143315069,1.02,1.0404,1.02,0.8171
2023-09-15,130.14999389648438,124.89949561459433,5.2505,27.5677,5.2505,4.0342
2023-09-18,129.3300018310547,130.2224493588801,0.8924,0.7965,0.8924,0.6901
2023-09-19,127.33000183105467,129.40200079781425,2.072,4.2932,2.072,1.6273
2023-09-20,129.17999267578125,127.40088738304983,1.7791,3.1652,1.7791,1.3772
2023-09-21,129.0399932861328,129.25190813133668,0.2119,0.0449,0.2119,0.1642
2023-09-22,127.9000015258789,129.11183080299452,1.2118,1.4685,1.2118,0.9475
2023-09-25,130.36000061035156,127.97120440091203,2.3888,5.7063,2.3888,1.8325
2023-09-26,130.22000122070312,130.43257298503522,0.2126,0.0452,0.2126,0.1632
2023-09-27,130.3800048828125,130.29249565669306,0.0875,0.0077,0.0875,0.0671
2023-09-28,128.36000061035156,130.4525883940223,2.0926,4.3789,2.0926,1.6302
2023-09-29,129.77999877929688,128.43145957027082,1.3485,1.8186,1.3485,1.0391
2023-10-02,127.12999725341795,129.97864618114545,2.8486,8.1148,2.8486,2.2407
2023-10-03,128.77999877929688,127.20077146138827,1.5792,2.494,1.5792,1.2263
2023-10-04,130.8000030517578,128.8516915552973,1.9483,3.7959,1.9483,1.4895
2023-10-05,134.3000030517578,130.8728203790488,3.4272,11.7456,3.4272,2.5519
2023-10-06,134.67999267578125,134.3747688548865,0.3052,0.0932,0.3052,0.2266
2023-10-09,133.55999755859375,134.7549700219388,1.195,1.428,1.195,0.8947
2023-10-10,132.8300018310547,133.63435139520152,0.8043,0.647,0.8043,0.6055
2023-10-11,135.36000061035156,132.90394927365196,2.4561,6.0322,2.4561,1.8145
2023-10-12,129.9600067138672,135.43535652194623,5.4753,29.9795,5.4753,4.2131
2023-10-13,130.0,130.03235640899584,0.0324,0.001,0.0324,0.0249
2023-10-16,128.8000030517578,130.07237195968628,1.2724,1.6189,1.2724,0.9879
2023-10-17,129.1300048828125,128.87170696428439,0.2583,0.0667,0.2583,0.2
2023-10-18,128.14999389648438,129.20189250979456,1.0519,1.1065,1.0519,0.8208
2023-10-19,128.25,128.2213359441157,0.0287,0.0008,0.0287,0.0224
2023-10-20,132.2100067138672,128.32139772176743,3.8886,15.1213,3.8886,2.9412
2023-10-23,133.67999267578128,132.2836090006058,1.3964,1.9499,1.3964,1.0446
2023-10-24,131.69000244140625,133.7544133145566,2.0644,4.2618,2.0644,1.5676
2023-10-25,128.2100067138672,131.7633152379276,3.5533,12.626,3.5533,2.7715
2023-10-26,128.91000366210938,128.28138217107698,0.6286,0.3952,0.6286,0.4876
2023-10-27,139.57000732421875,128.98176881278778,10.5882,112.1108,10.5882,7.5863
2023-10-30,142.22000122070312,139.64770697763015,2.5723,6.6167,2.5723,1.8087
2023-10-31,139.94000244140625,142.2991761452795,2.3592,5.5657,2.3592,1.6858
2023-11-01,137.85000610351562,139.90508670507552,2.0551,4.2234,2.0551,1.4908
2023-11-02,138.55999755859375,137.92674821955006,0.6332,0.401,0.6332,0.457
2023-11-03,138.41000366210938,138.63713493211253,0.2271,0.0516,0.2271,0.1641
2023-11-06,140.57000732421872,138.4870575329187,2.0829,4.3387,2.0829,1.4818
2023-11-07,137.6699981689453,140.64826368501235,2.9783,8.8701,2.9783,2.1633
2023-11-08,135.07000732421875,137.74664007323372,2.6766,7.1644,2.6766,1.9817
2023-11-09,133.97999572753906,135.14520179441024,1.1652,1.3577,1.1652,0.8697
2023-11-10,133.22000122070312,134.054583380228,0.8346,0.6965,0.8346,0.6265
2023-11-13,134.67999267578125,133.29416577883967,1.3858,1.9205,1.3858,1.029
2023-11-14,134.25,134.7549700219388,0.505,0.255,0.505,0.3761
2023-11-15,135.52000427246094,134.32473796606064,1.1953,1.4287,1.1953,0.882
2023-11-16,131.83999633789062,135.59544925927548,3.7555,14.1034,3.7555,2.8485
2023-11-17,133.25999450683594,131.91339263712143,1.3466,1.8133,1.3466,1.0105
2023-11-20,133.13999938964844,133.3341813295301,0.1942,0.0377,0.1942,0.1458
2023-11-21,134.91000366210938,133.14306259392288,1.7669,3.1221,1.7669,1.3097
2023-11-22,135.07000732421875,134.985109057081,0.0849,0.0072,0.0849,0.0629
2023-11-24,138.00999450683594,135.14520179441024,2.8648,8.207,2.8648,2.0758
2023-11-27,138.1199951171875,138.08682568959557,0.0332,0.0011,0.0332,0.024
2023-11-28,137.27000427246094,138.19688753809896,0.9269,0.8591,0.9269,0.6752
2023-11-29,135.36000061035156,137.34642349719434,1.9864,3.9459,1.9864,1.4675
2023-11-30,137.85000610351562,135.43535652194623,2.4146,5.8305,2.4146,1.7516
2023-12-01,138.22999572753906,137.92674821955006,0.3032,0.092,0.3032,0.2194
2023-12-04,143.10000610351562,138.30694938660235,4.7931,22.9734,4.7931,3.3494
2023-12-05,141.22999572753906,143.17967093330662,1.9497,3.8012,1.9497,1.3805
2023-12-06,144.85000610351562,141.30861950874896,3.5414,12.5414,3.5414,2.4449
2023-12-07,144.72000122070312,145.34376930290819,0.6238,0.3891,0.6238,0.431
2023-12-08,140.38999938964844,143.5401735969208,3.1502,9.9236,3.1502,2.2439
2023-12-11,139.97999572753906,140.468155538696,0.4882,0.2383,0.4882,0.3487
2023-12-12,137.6300048828125,140.0579236245212,2.4279,5.8948,2.4279,1.7641
2023-12-13,135.2899932861328,137.70662452254328,2.4166,5.8401,2.4166,1.7863
2023-12-14,129.3300018310547,135.36531022413328,6.0353,36.4249,6.0353,4.6666
2023-12-15,129.1199951171875,129.40200079781425,0.282,0.0795,0.282,0.2184
2023-12-18,131.27000427246094,129.19187717165914,2.0781,4.3186,2.0781,1.5831
2023-12-19,125.9800033569336,131.34308325290112,5.3631,28.7626,5.3631,4.2571
2023-12-20,125.9800033569336,126.05013735481225,0.0701,0.0049,0.0701,0.0557
2023-12-21,125.9800033569336,126.05013735481225,0.0701,0.0049,0.0701,0.0557
2023-12-22,127.12000274658205,126.05013735481225,1.0699,1.1446,1.0699,0.8416
2023-12-26,129.4600067138672,127.19077139053663,2.2692,5.1494,2.2692,1.7528
2023-12-27,124.72000122070312,129.53207805530474,4.8121,23.1561,4.8121,3.8583
2023-12-28,127.00000000000001,124.78943376609095,2.2106,4.8866,2.2106,1.7406
2023-12-29,125.95999908447266,127.07070183753967,1.1107,1.2337,1.1107,0.8818
2024-01-02,127.95999908447266,126.03012194582516,1.9299,3.7244,1.9299,1.5082
2024-01-03,128.25999450683594,128.03123536058956,0.2288,0.0523,0.2288,0.1784
2024-01-04,129.47999572753906,128.3313977926191,1.1486,1.3193,1.1486,0.8871
2024-01-05,131.8300018310547,129.5520781970081,2.2779,5.1889,2.2779,1.7279
2024-01-08,132.3300018310547,131.90339256626976,0.4266,0.182,0.4266,0.3224
2024-01-09,129.7899932861328,132.40367091996086,2.6137,6.8313,2.6137,2.0138
2024-01-10,132.5500030517578,129.86224833353117,2.6878,7.224,2.6878,2.0277
2024-01-11,131.47000122070312,132.62379461696764,1.1538,1.3312,1.1538,0.8776
2024-01-12,128.1300048828125,131.54319154092082,3.4132,11.6498,3.4132,2.6638
2024-01-16,128.39999389648438,128.20133580241236,0.1987,0.0395,0.1987,0.1547
2024-01-17,125.16999816894533,128.47147512096126,3.3015,10.8998,3.3015,2.6376
2024-01-18,126.55999755859376,125.23968123095621,1.3203,1.7432,1.3203,1.0432
2024-01-19,128.55999755859375,126.63045444352612,1.9295,3.7231,1.9295,1.5009
2024-01-22,121.38999938964844,128.6315678582905,7.2416,52.4403,7.2416,5.9655
2024-01-23,119.56999969482422,121.45757809843417,1.8876,3.563,1.8876,1.5786
2024-01-24,127.73999786376952,119.63656519634424,8.1034,65.6656,8.1034,6.3437
2024-01-25,132.7100067138672,127.81111166358276,4.8989,23.9992,4.8989,3.6914
2024-01-26,133.08999633789062,132.7838873542969,0.3061,0.0937,0.3061,0.23
2024-01-29,137.0,133.16408852134919,3.8359,14.7142,3.8359,2.7999
2024-01-30,138.07000732421875,137.0762689113617,0.9937,0.9875,0.9937,0.7197
2024-01-31,138.60000610351562,138.14687191655685,0.4531,0.2053,0.4531,0.3269
2024-02-01,139.74000549316406,138.67716575008671,1.0628,1.1296,1.0628,0.7606
2024-02-02,142.7100067138672,139.81779978581108,2.8922,8.3649,2.8922,2.0266
2024-02-05,142.0800018310547,142.78945442811892,0.7095,0.5033,0.7095,0.4993
2024-02-06,140.60000610351562,142.15909881693733,1.5591,2.4308,1.5591,1.1089
2024-02-07,143.55999755859375,140.67827916485112,2.8817,8.3043,2.8817,2.0073
2024-02-08,142.58999633789062,143.63991846902354,1.0499,1.1023,1.0499,0.7363
2024-02-09,145.8000030517578,144.73125796659951,1.0687,1.1422,1.0687,0.733
2024-02-12,143.1999969482422,145.88117098978182,2.6812,7.1887,2.6812,1.8723
2024-02-13,142.8300018310547,143.969461901479,1.1395,1.2984,1.1395,0.7978
2024-02-14,145.17999267578125,142.90951634747398,2.2705,5.1551,2.2705,1.5639
2024-02-15,146.1300048828125,145.2608154494519,0.8692,0.7555,0.8692,0.5948
2024-02-16,143.89999389648438,146.211356535292,2.3114,5.3424,2.3114,1.6062
2024-02-20,146.7100067138672,143.9801040853854,2.7299,7.4524,2.7299,1.8607
2024-02-21,146.74000549316406,146.79168125764772,0.0517,0.0027,0.0517,0.0352
2024-02-22,147.72999572753906,146.8216967374865,0.9083,0.825,0.9083,0.6148
2024-02-23,147.02999877929688,147.81223810673328,0.7822,0.6119,0.7822,0.532
2024-02-26,146.32000732421875,147.11185146502248,0.7918,0.627,0.7918,0.5412
2024-02-27,146.08999633789062,146.40146475246002,0.3115,0.097,0.3115,0.2132
2024-02-28,147.02999877929688,146.1713257173178,0.8587,0.7373,0.8587,0.584
2024-02-29,144.83999633789062,147.11185146502248,2.2719,5.1613,2.2719,1.5685
2024-03-01,146.8800048828125,144.92062983309006,1.9594,3.8392,1.9594,1.334
2024-03-04,144.52000427246094,146.96177406582865,2.4418,5.9622,2.4418,1.6896
2024-03-05,146.8800048828125,144.6004596257153,2.2795,5.1963,2.2795,1.552
2024-03-06,147.4199981689453,146.96177406582865,0.4582,0.21,0.4582,0.3108
2024-03-07,145.88999938964844,147.5020679702102,1.6121,2.5988,1.6121,1.105
2024-03-08,147.47999572753906,145.97121742929812,1.5088,2.2764,1.5088,1.023
2024-03-11,148.83999633789062,147.56209892988772,1.2779,1.633,1.2779,0.8586
2024-03-12,147.4199981689453,148.92285666261887,1.5029,2.2586,1.5029,1.0194
2024-03-13,149.97000122070312,147.5020679702102,2.4679,6.0907,2.4679,1.6456
2024-03-14,154.07000732421875,150.05349062749156,4.0165,16.1324,4.0165,2.6069
2024-03-15,153.7899932861328,154.15577923467208,0.3658,0.1338,0.3658,0.2378
2024-03-18,152.1199951171875,153.87560931070402,1.7556,3.0822,1.7556,1.1541
2024-03-19,153.83999633789062,152.2046814414498,1.6353,2.6743,1.6353,1.063
2024-03-20,153.4199981689453,153.92564019952988,0.5056,0.2557,0.5056,0.3296
2024-03-21,153.41000366210938,153.5054082145034,0.0954,0.0091,0.0954,0.0622
2024-03-22,153.33999633789062,153.49540814365173,0.1554,0.0242,0.1554,0.1014
2024-03-25,153.3800048828125,153.42536184583878,0.0454,0.0021,0.0454,0.0296
2024-03-26,151.94000244140625,153.46539266381296,1.5254,2.3268,1.5254,1.0039
2024-03-27,149.92999267578125,152.0245885624172,2.0946,4.3873,2.0946,1.397
2024-03-28,148.47000122070312,150.01345980951737,1.5435,2.3823,1.5435,1.0396
