Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,110.19000244140624,106.61170940973854,3.5783,12.8042,3.5783,3.2474
2023-08-07,112.18000030517578,110.19180202845745,1.9882,3.9529,1.9882,1.7723
2023-08-08,110.26000213623048,112.28767888098446,2.0277,4.1115,2.0277,1.839
2023-08-09,111.1999969482422,110.55204903930009,0.6479,0.4198,0.6479,0.5827
2023-08-10,113.4000015258789,111.39871873310223,2.0013,4.0051,2.0013,1.7648
2023-08-11,115.49999999999999,113.56519556267813,1.9348,3.7435,1.9348,1.6752
2023-08-14,118.1500015258789,115.60552310943604,2.5445,6.4744,2.5445,2.1536
2023-08-15,116.25,118.35005886813087,2.1001,4.4102,2.1001,1.8065
2023-08-16,115.01000213623048,116.55703961849213,1.547,2.3933,1.547,1.3451
2023-08-17,114.98999786376952,115.1902646432027,0.2003,0.0401,0.2003,0.1742
2023-08-18,116.75,115.1554519264955,1.5945,2.5426,1.5945,1.3658
2023-08-21,115.0,116.93129175901413,1.9313,3.7299,1.9313,1.6794
2023-08-22,120.11000061035155,115.13310134410858,4.9769,24.7695,4.9769,4.1436
2023-08-23,121.66000366210939,120.15788076425088,1.5021,2.2564,1.5021,1.2347
2023-08-24,120.58000183105467,121.94372590203784,1.3637,1.8597,1.3637,1.131
2023-08-25,122.76999664306642,120.93527595105841,1.8347,3.3662,1.8347,1.4944
2023-08-28,124.25,123.14742701571322,1.1026,1.2157,1.1026,0.8874
2023-08-29,125.30000305175778,124.6927233338356,0.6073,0.3688,0.6073,0.4847
2023-08-30,126.61000061035156,125.62798803651457,0.982,0.9643,0.982,0.7756
2023-08-31,121.2300033569336,126.7880235859393,5.558,30.8916,5.558,4.5847
2023-09-01,124.24999999999999,121.33883943024648,2.9112,8.4749,2.9112,2.343
2023-09-05,123.43000030517578,124.25386586785316,0.8239,0.6788,0.8239,0.6675
2023-09-06,126.56999969482422,123.4462592780992,3.1237,9.7578,3.1237,2.468
2023-09-07,126.66000366210939,126.68364491912143,0.0236,0.0006,0.0236,0.0187
2023-09-08,126.41999816894533,126.81481421202989,0.3948,0.1559,0.3948,0.3123
2023-09-11,127.11000061035158,126.56521691111995,0.5448,0.2968,0.5448,0.4286
2023-09-12,125.48999786376952,127.40603877090507,1.916,3.6712,1.916,1.5268
2023-09-13,125.77999877929688,125.73379403295347,0.0462,0.0021,0.0462,0.0367
2023-09-14,124.83000183105467,125.99456498414656,1.1646,1.3562,1.1646,0.9329
2023-09-15,130.14999389648438,124.99279883146663,5.1572,26.5967,5.1572,3.9625
2023-09-18,129.3300018310547,130.1521194635825,0.8221,0.6759,0.8221,0.6357
2023-09-19,127.33000183105467,129.34094814077616,2.0109,4.0439,2.0109,1.5793
