Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,110.19000244140624,106.58386794712443,3.6061,13.0042,3.6061,3.2727
2023-08-07,112.18000030517578,110.1455184884944,2.0345,4.1391,2.0345,1.8136
2023-08-08,110.26000213623048,112.13287421213681,1.8729,3.5076,1.8729,1.6986
2023-08-09,111.1999969482422,110.21032432579115,0.9897,0.9795,0.9897,0.89
2023-08-10,113.4000015258789,111.17428679536808,2.2257,4.9538,2.2257,1.9627
2023-08-11,115.49999999999999,113.39742628332488,2.1026,4.4208,2.1026,1.8204
2023-08-14,118.1500015258789,115.5136998295784,2.6363,6.9501,2.6363,2.2313
2023-08-15,116.25,118.18614255236571,1.9361,3.7486,1.9361,1.6655
2023-08-16,115.01000213623048,116.28088966012001,1.2709,1.6152,1.2709,1.105
2023-08-17,114.98999786376952,115.05967441055056,0.0697,0.0049,0.0697,0.0606
2023-08-18,116.75,115.07583658297334,1.6742,2.8028,1.6742,1.434
2023-08-21,115.0,116.86845341324806,1.8685,3.4911,1.8685,1.6247
2023-08-22,120.11000061035155,115.11607468128204,4.9939,24.9393,4.9939,4.1578
2023-08-23,121.66000366210939,120.26144450622269,1.3986,1.956,1.3986,1.1496
2023-08-24,120.58000183105467,121.8035978908847,1.2236,1.4972,1.2236,1.0148
2023-08-25,122.76999664306642,120.69756887376023,2.0724,4.295,2.0724,1.6881
2023-08-28,124.25,122.89859723573954,1.3514,1.8263,1.3514,1.0876
2023-08-29,125.30000305175778,124.3798842728138,0.9201,0.8466,0.9201,0.7343
2023-08-30,126.61000061035156,125.42871452883445,1.1813,1.3954,1.1813,0.933
2023-08-31,121.2300033569336,126.74537051862171,5.5154,30.4193,5.5154,4.5495
2023-09-01,124.24999999999999,121.31791330700162,2.9321,8.5971,2.9321,2.3598
2023-09-05,123.43000030517578,124.40272399783134,0.9727,0.9462,0.9727,0.7881
2023-09-06,126.56999969482422,123.57247599279344,2.9975,8.9851,2.9975,2.3683
2023-09-07,126.66000366210939,126.70736375775596,0.0474,0.0022,0.0474,0.0374
2023-09-08,126.41999816894533,126.7700153334954,0.35,0.1225,0.35,0.2769
2023-09-11,127.11000061035158,126.51120446073038,0.5988,0.3586,0.5988,0.4711
2023-09-12,125.48999786376952,127.19744680089025,1.7074,2.9154,1.7074,1.3606
2023-09-13,125.77999877929688,125.56947807772757,0.2105,0.0443,0.2105,0.1674
2023-09-14,124.83000183105467,125.8711181941726,1.0411,1.0839,1.0411,0.834
2023-09-15,130.14999389648438,124.9248526610936,5.2251,27.3021,5.2251,4.0147
2023-09-18,129.3300018310547,130.24874743356122,0.9187,0.8441,0.9187,0.7104
