Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,110.19000244140624,106.59761391462827,3.5924,12.9053,3.5924,3.2602
2023-08-07,112.18000030517578,110.24165190334314,1.9383,3.7572,1.9383,1.7279
2023-08-08,110.26000213623048,112.27690032508508,2.0169,4.0679,2.0169,1.8292
2023-08-09,111.1999969482422,110.2030885446966,0.9969,0.9938,0.9969,0.8965
2023-08-10,113.4000015258789,111.12829485136355,2.2717,5.1607,2.2717,2.0033
2023-08-11,115.49999999999999,113.39030212150874,2.1097,4.4508,2.1097,1.8266
2023-08-14,118.1500015258789,115.55902630090714,2.591,6.7132,2.591,2.193
2023-08-15,116.25,118.2860726314475,2.0361,4.1456,2.0361,1.7515
2023-08-16,115.01000213623048,116.24731846153736,1.2373,1.531,1.2373,1.0758
2023-08-17,114.98999786376952,114.91999427509019,0.07,0.0049,0.07,0.0609
2023-08-18,116.75,114.92095814654338,1.829,3.3454,1.829,1.5666
2023-08-21,115.0,116.771614164114,1.7716,3.1386,1.7716,1.5405
2023-08-22,120.11000061035155,114.97954607009888,5.1305,26.3216,5.1305,4.2715
2023-08-23,121.66000366210939,120.206047282707,1.454,2.114,1.454,1.1951
2023-08-24,120.58000183105467,121.79929049911152,1.2193,1.4867,1.2193,1.0112
2023-08-25,122.76999664306642,120.59587101006763,2.1741,4.7268,2.1741,1.7709
2023-08-28,124.25,122.78430999001466,1.4657,2.1482,1.4657,1.1796
2023-08-29,125.30000305175778,124.27045503258705,1.0295,1.06,1.0295,0.8217
2023-08-30,126.61000061035156,125.31165385274652,1.2983,1.6857,1.2983,1.0255
2023-08-31,121.2300033569336,126.6242032063692,5.3942,29.0974,5.3942,4.4496
2023-09-01,124.24999999999999,120.94291949073249,3.3071,10.9368,3.3071,2.6616
2023-09-05,123.43000030517578,124.07153317332268,0.6415,0.4116,0.6415,0.5198
2023-09-06,126.56999969482422,123.27221469780534,3.2978,10.8754,3.2978,2.6055
2023-09-07,126.66000366210939,126.51264899148464,0.1474,0.0217,0.1474,0.1163
2023-09-08,126.41999816894533,126.60183457564017,0.1818,0.0331,0.1818,0.1438
2023-09-11,127.11000061035158,126.32017912174798,0.7898,0.6238,0.7898,0.6214
2023-09-12,125.48999786376952,127.00971251260762,1.5197,2.3095,1.5197,1.211
2023-09-13,125.77999877929688,125.32667672018077,0.4533,0.2055,0.4533,0.3604
2023-09-14,124.83000183105467,125.64723312864407,0.8172,0.6679,0.8172,0.6547
2023-09-15,130.14999389648438,124.7074948561103,5.4425,29.6208,5.4425,4.1817
2023-09-18,129.3300018310547,130.15723944272395,0.8272,0.6843,0.8272,0.6396
2023-09-19,127.33000183105467,129.29918257312056,1.9692,3.8777,1.9692,1.5465
2023-09-20,129.17999267578125,127.169826287708,2.0102,4.0408,2.0102,1.5561
2023-09-21,129.0399932861328,129.0559500645395,0.016,0.0003,0.016,0.0124
2023-09-22,127.9000015258789,128.91592358757862,1.0159,1.0321,1.0159,0.7943
2023-09-25,130.36000061035156,127.74323322585951,2.6168,6.8475,2.6168,2.0073
2023-09-26,130.22000122070312,130.2823388453662,0.0623,0.0039,0.0623,0.0479
2023-09-27,130.3800048828125,130.1480656283311,0.2319,0.0538,0.2319,0.1779
2023-09-28,128.36000061035156,130.30545524437184,1.9455,3.7848,1.9455,1.5156
2023-09-29,129.77999877929688,128.21519293000983,1.5648,2.4486,1.5648,1.2057
2023-10-02,127.12999725341795,129.70106583192683,2.5711,6.6104,2.5711,2.0224
2023-10-03,128.77999877929688,126.99254070817368,1.7875,3.195,1.7875,1.388
2023-10-04,130.8000030517578,128.73180189059167,2.0682,4.2775,2.0682,1.5812
2023-10-05,134.3000030517578,130.83659882630855,3.4634,11.9952,3.4634,2.5789
2023-10-06,134.67999267578125,134.42307044547306,0.2569,0.066,0.2569,0.1908
2023-10-09,133.55999755859375,134.7653255654659,1.2053,1.4528,1.2053,0.9025
2023-10-10,132.8300018310547,133.5182989080422,0.6883,0.4738,0.6883,0.5182
2023-10-11,135.36000061035156,132.71816226209012,2.6418,6.9793,2.6418,1.9517
2023-10-12,129.9600067138672,135.31695737819337,5.357,28.6969,5.357,4.122
2023-10-13,130.0,129.67958580237337,0.3204,0.1027,0.3204,0.2465
2023-10-16,128.8000030517578,129.80391383171082,1.0039,1.0078,1.0039,0.7794
2023-10-17,129.1300048828125,128.67611803714954,0.4539,0.206,0.4539,0.3515
2023-10-18,128.14999389648438,129.114857682609,0.9649,0.931,0.9649,0.7529
2023-10-19,128.25,128.17901956896822,0.071,0.005,0.071,0.0553
2023-10-20,132.2100067138672,128.33439302444458,3.8756,15.0204,3.8756,2.9314
2023-10-23,133.67999267578128,132.3953048049134,1.2847,1.6504,1.2847,0.961
2023-10-24,131.69000244140625,133.8860438233969,2.196,4.8226,2.196,1.6676
2023-10-25,128.2100067138672,131.73447677813965,3.5245,12.4219,3.5245,2.749
2023-10-26,128.91000366210938,128.0675996854834,0.8424,0.7096,0.8424,0.6535
2023-10-27,139.57000732421875,128.83329793414123,10.7367,115.2769,10.7367,7.6927
2023-10-30,142.22000122070312,139.69823670940968,2.5218,6.3593,2.5218,1.7731
2023-10-31,139.94000244140625,142.4724285123557,2.5324,6.4132,2.5324,1.8097
2023-11-01,137.85000610351562,139.92317015380104,2.0732,4.298,2.0732,1.5039
2023-11-02,138.55999755859375,137.6035521666363,0.9564,0.9148,0.9564,0.6903
