Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,110.19000244140624,106.52674242613877,3.6633,13.4195,3.6633,3.3245
2023-08-07,112.18000030517578,110.01942260602662,2.1606,4.6681,2.1606,1.926
2023-08-08,110.26000213623048,111.0794843393428,0.8195,0.6716,0.8195,0.7432
2023-08-09,111.1999969482422,110.3315318741352,0.8685,0.7542,0.8685,0.781
2023-08-10,113.4000015258789,111.10326075819377,2.2967,5.275,2.2967,2.0253
2023-08-11,115.49999999999999,112.8347932381871,2.6652,7.1033,2.6652,2.3075
2023-08-14,118.1500015258789,115.09030625224113,3.0597,9.3617,3.0597,2.5897
2023-08-15,116.25,117.86976772482876,1.6198,2.6236,1.6198,1.3933
2023-08-16,115.01000213623048,116.06901347637177,1.059,1.1215,1.059,0.9208
2023-08-17,114.98999786376952,115.51375824314256,0.5238,0.2743,0.5238,0.4555
2023-08-18,116.75,115.48333061136235,1.2667,1.6045,1.2667,1.0849
2023-08-21,115.0,116.11105301976204,1.1111,1.2344,1.1111,0.9661
2023-08-22,120.11000061035155,114.52735930681229,5.5826,31.1659,5.5826,4.6479
2023-08-23,121.66000366210939,119.73667429674697,1.9233,3.6992,1.9233,1.5809
2023-08-24,120.58000183105467,121.51032542374196,0.9303,0.8655,0.9303,0.7715
2023-08-25,122.76999664306642,120.56528977967808,2.2047,4.8607,2.2047,1.7958
2023-08-28,124.25,122.66315145963517,1.5868,2.5181,1.5868,1.2771
2023-08-29,125.30000305175778,123.36442743241787,1.9356,3.7465,1.9356,1.5448
2023-08-30,126.61000061035156,124.57451663634491,2.0355,4.1432,2.0355,1.6077
2023-08-31,121.2300033569336,126.27376433746849,5.0438,25.4395,5.0438,4.1605
2023-09-01,124.24999999999999,121.6263857522099,2.6236,6.8834,2.6236,2.1116
2023-09-05,123.43000030517578,123.40461912751198,0.0254,0.0006,0.0254,0.0206
2023-09-06,126.56999969482422,123.6345985119633,2.9354,8.6166,2.9354,2.3192
2023-09-07,126.66000366210939,125.7279205700197,0.9321,0.8688,0.9321,0.7359
2023-09-08,126.41999816894533,126.54602094082293,0.126,0.0159,0.126,0.0997
2023-09-11,127.11000061035158,126.74200822125387,0.368,0.1354,0.368,0.2895
