Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,60.3094367980957,60.12215575868323,0.1873,0.0351,0.1873,0.3105
2023-08-07,60.444252014160156,60.735979387258794,0.2917,0.0851,0.2917,0.4826
2023-08-08,60.77938461303711,60.8585403816469,0.0792,0.0063,0.0792,0.1302
2023-08-09,61.61237335205078,61.13931769006513,0.4731,0.2238,0.4731,0.7678
2023-08-10,61.77030563354492,61.93524197580609,0.1649,0.0272,0.1649,0.267
2023-08-11,63.31398391723633,62.166341823087805,1.1476,1.3171,1.1476,1.8126
2023-08-14,65.28138732910156,63.63695391247302,1.6444,2.7042,1.6444,2.519
2023-08-15,65.70027923583984,65.40821299186973,0.2921,0.0853,0.2921,0.4445
2023-08-16,65.32664489746094,65.86905280557312,0.5424,0.2942,0.5424,0.8303
2023-08-17,66.10956573486328,65.65887705381101,0.4507,0.2031,0.4507,0.6817
2023-08-18,65.4383544921875,66.39032188407236,0.952,0.9062,0.952,1.4548
2023-08-21,70.18302917480469,65.8653501522349,4.3177,18.6424,4.3177,6.152
2023-08-22,78.26543426513672,69.90042240011917,8.365,69.9734,8.365,10.688
2023-08-23,77.36117553710938,76.72631628947875,0.6349,0.403,0.6349,0.8206
2023-08-24,77.80607604980469,76.27407526837123,1.532,2.347,1.532,1.969
2023-08-25,76.07172393798828,76.96434637253788,0.8926,0.7968,0.8926,1.1734
2023-08-28,78.19512176513672,75.7729137731053,2.4222,5.8671,2.4222,3.0976
2023-08-29,77.26103210449219,77.72659560349939,0.4656,0.2167,0.4656,0.6026
2023-08-30,76.07655334472656,77.19241587052602,1.1159,1.2451,1.1159,1.4668
2023-08-31,76.32980346679688,76.3073057917718,0.0225,0.0005,0.0225,0.0295
2023-09-01,77.44400787353516,76.5486852434151,0.8953,0.8016,0.8953,1.1561
2023-09-05,77.48442840576172,77.51603628986231,0.0316,0.001,0.0316,0.0408
2023-09-06,82.3706817626953,77.60540360913637,4.7653,22.7079,4.7653,5.7852
2023-09-07,81.96236419677734,81.77645395069703,0.1859,0.0346,0.1859,0.2268
2023-09-08,85.338623046875,81.57701365199819,3.7616,14.1497,3.7616,4.4079
2023-09-11,85.07380676269531,84.48023752377776,0.5936,0.3523,0.5936,0.6977
2023-09-12,83.59847259521484,84.417184572726,0.8187,0.6703,0.8187,0.9793
2023-09-13,83.5907974243164,83.23671217507808,0.3541,0.1254,0.3541,0.4236
2023-09-14,82.0640640258789,83.21586685794728,1.1518,1.3266,1.1518,1.4035
2023-09-15,81.55772399902344,81.91802151443835,0.3603,0.1298,0.3603,0.4418
2023-09-18,79.5943603515625,81.51398274895291,1.9196,3.685,1.9196,2.4118
2023-09-19,79.54403686523438,79.72745395811216,0.1834,0.0336,0.1834,0.2306
2023-09-20,82.13569641113281,79.58666019984594,2.549,6.4976,2.549,3.1034
2023-09-21,82.0911636352539,81.79138400980264,0.2998,0.0899,0.2998,0.3652
2023-09-22,83.50753784179688,81.79708366889918,1.7105,2.9257,1.7105,2.0483
2023-09-25,83.97804260253906,83.06877178142713,0.9093,0.8268,0.9093,1.0827
2023-09-26,84.8503189086914,83.62640753431151,1.2239,1.498,1.2239,1.4424
2023-09-27,83.43878936767578,84.49641211233893,1.0576,1.1186,1.0576,1.2675
2023-09-28,82.09696960449219,83.36266743480792,1.2657,1.602,1.2657,1.5417
2023-09-29,81.97595977783203,82.1708593512194,0.1949,0.038,0.1949,0.2378
2023-10-02,84.9752197265625,82.099032072716,2.8762,8.2725,2.8762,3.3847
2023-10-03,85.39344024658203,84.75156815186347,0.6419,0.412,0.6419,0.7517
2023-10-04,86.15824127197266,85.25925664512988,0.899,0.8082,0.899,1.0434
