Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,60.3094367980957,59.695416824524735,0.614,0.377,0.614,1.0181
2023-08-07,60.444252014160156,60.464383719190664,0.0201,0.0004,0.0201,0.0333
2023-08-08,60.77938461303711,60.61927400605965,0.1601,0.0256,0.1601,0.2634
2023-08-09,61.61237335205078,60.98766281486587,0.6247,0.3903,0.6247,1.0139
2023-08-10,61.77030563354492,61.9124731973161,0.1422,0.0202,0.1422,0.2302
2023-08-11,63.31398391723633,62.09988538498237,1.2141,1.474,1.2141,1.9176
2023-08-14,65.28138732910156,63.81020186813339,1.4712,2.1644,1.4712,2.2536
2023-08-15,65.70027923583984,66.05529079965709,0.355,0.126,0.355,0.5404
2023-08-16,65.32664489746094,66.54279996612513,1.2162,1.479,1.2162,1.8617
2023-08-17,66.10956573486328,66.03842632098531,0.0711,0.0051,0.0711,0.1076
2023-08-18,65.4383544921875,66.79813348977405,1.3598,1.849,1.3598,2.078
2023-08-21,70.18302917480469,65.97749531197769,4.2055,17.6865,4.2055,5.9922
2023-08-22,78.26543426513672,71.31136465628515,6.9541,48.3591,6.9541,8.8852
2023-08-23,77.36117553710938,80.95120516237421,3.59,12.8883,3.59,4.6406
2023-08-24,77.80607604980469,80.17336584877194,2.3673,5.6041,2.3673,3.0426
2023-08-25,76.07172393798828,80.25951671748044,4.1878,17.5376,4.1878,5.5051
2023-08-28,78.19512176513672,77.77908752255735,0.416,0.1731,0.416,0.532
2023-08-29,77.26103210449219,79.77577359707266,2.5147,6.3239,2.5147,3.2549
2023-08-30,76.07655334472656,78.48879297061649,2.4122,5.8189,2.4122,3.1708
2023-08-31,76.32980346679688,76.93319595764115,0.6034,0.3641,0.6034,0.7905
2023-09-01,77.44400787353516,77.03225427840152,0.4118,0.1695,0.4118,0.5317
2023-09-05,77.48442840576172,78.1854241881747,0.701,0.4914,0.701,0.9047
2023-09-06,82.3706817626953,78.19590706615236,4.1748,17.4287,4.1748,5.0683
2023-09-07,81.96236419677734,83.71382161437396,1.7515,3.0676,1.7515,2.1369
2023-09-08,85.338623046875,83.34045931050423,1.9982,3.9927,1.9982,2.3415
2023-09-11,85.07380676269531,87.05669625711744,1.9829,3.9319,1.9829,2.3308
2023-09-12,83.59847259521484,86.65370391758916,3.0552,9.3344,3.0552,3.6546
2023-09-13,83.5907974243164,84.73489291971327,1.1441,1.309,1.1441,1.3687
2023-09-14,82.0640640258789,84.46636450367987,2.4023,5.771,2.4023,2.9273
2023-09-15,81.55772399902344,82.62373794352061,1.066,1.1364,1.066,1.3071
2023-09-18,79.5943603515625,81.93948526269742,2.3451,5.4996,2.3451,2.9463
2023-09-19,79.54403686523438,79.75493232729787,0.2109,0.0445,0.2109,0.2651
2023-09-20,82.13569641113281,79.63064899834717,2.505,6.2753,2.505,3.0499
2023-09-21,82.0911636352539,82.4819279147141,0.3908,0.1527,0.3908,0.476
2023-09-22,83.50753784179688,82.52810984329153,0.9794,0.9593,0.9794,1.1729
2023-09-25,83.97804260253906,84.08798665004724,0.1099,0.0121,0.1099,0.1309
2023-09-26,84.8503189086914,84.60574999180608,0.2446,0.0598,0.2446,0.2882
2023-09-27,83.43878936767578,85.52886996193774,2.0901,4.3684,2.0901,2.5049
2023-09-28,82.09696960449219,83.91410136088416,1.8171,3.302,1.8171,2.2134
2023-09-29,81.97595977783203,82.33555029928903,0.3596,0.1293,0.3596,0.4387
2023-10-02,84.9752197265625,82.11761897956603,2.8576,8.1659,2.8576,3.3629
2023-10-03,85.39344024658203,85.42850960878422,0.0351,0.0012,0.0351,0.0411
2023-10-04,86.15824127197266,85.99285101199621,0.1654,0.0274,0.1654,0.192
2023-10-05,86.19794464111328,86.83000704889218,0.6321,0.3995,0.6321,0.7333
2023-10-06,86.02561950683594,86.8258554700833,0.8002,0.6404,0.8002,0.9302
2023-10-09,88.13323211669922,86.5560108471982,1.5772,2.4876,1.5772,1.7896
2023-10-10,87.46330261230469,88.84084192708633,1.3775,1.8976,1.3775,1.575
2023-10-11,87.26384735107422,88.09815800580509,0.8343,0.6961,0.8343,0.9561
2023-10-12,86.00238037109375,87.79117905496605,1.7888,3.1998,1.7888,2.0799
2023-10-13,86.81658935546875,86.33132486035902,0.4853,0.2355,0.4853,0.559
2023-10-16,87.2851333618164,87.14974508618616,0.1354,0.0183,0.1354,0.1551
2023-10-17,88.87287902832031,87.66743076859075,1.2054,1.4531,1.2054,1.3564
2023-10-18,86.46224212646484,89.43777631637931,2.9755,8.8538,2.9755,3.4414
2023-10-19,86.5048370361328,86.81314742960876,0.3083,0.0951,0.3083,0.3564
2023-10-20,87.11090087890625,86.75163844404051,0.3593,0.1291,0.3593,0.4124
2023-10-23,87.00052642822266,87.37809222693613,0.3776,0.1426,0.3776,0.434
2023-10-24,89.06746673583984,87.263261835099,1.8042,3.2552,1.8042,2.0257
2023-10-25,86.38577270507812,89.5482560430446,3.1625,10.0013,3.1625,3.6609
2023-10-26,85.67710876464844,86.66064656317758,0.9835,0.9673,0.9835,1.148
2023-10-27,85.35470581054688,85.78478977176019,0.4301,0.185,0.4301,0.5039
2023-10-30,86.84659576416016,85.3821276345443,1.4645,2.1447,1.4645,1.6863
2023-10-31,85.50090789794922,87.009167682324,1.5083,2.2748,1.5083,1.764
2023-11-01,82.36126708984375,85.6060945236095,3.2448,10.5289,3.2448,3.9397
2023-11-02,81.60323333740234,82.23473467473741,0.6315,0.3988,0.6315,0.7739
2023-11-03,80.33111572265625,81.34277465689274,1.0117,1.0235,1.0117,1.2594
2023-11-06,82.68753051757812,79.9918304169114,2.6957,7.2668,2.6957,3.2601
2023-11-07,81.56644439697266,82.53913154936527,0.9727,0.9461,0.9727,1.1925
2023-11-08,80.64381408691406,81.46058003146982,0.8168,0.6671,0.8168,1.0128
2023-11-09,80.0735855102539,80.47927436828559,0.4057,0.1646,0.4057,0.5066
2023-11-10,79.95162200927734,79.85744163590653,0.0942,0.0089,0.0942,0.1178
2023-11-13,83.75634002685548,79.73451114016052,4.0218,16.1751,4.0218,4.8018
2023-11-14,82.85115814208984,83.95830717635909,1.1071,1.2258,1.1071,1.3363
2023-11-15,84.8638687133789,83.12866175059298,1.7352,3.0109,1.7352,2.0447
2023-11-16,82.72236633300781,85.33081884243529,2.6085,6.804,2.6085,3.1533
2023-11-17,82.46680450439453,82.99654920977628,0.5297,0.2806,0.5297,0.6424
2023-11-20,83.36328125,82.60696235082378,0.7563,0.572,0.7563,0.9073
2023-11-21,86.15631866455078,83.54235819913447,2.614,6.8328,2.614,3.034
2023-11-22,86.38382720947264,86.67598190968874,0.2922,0.0854,0.2922,0.3382
2023-11-24,89.34725189208984,87.01999159974093,2.3273,5.4161,2.3273,2.6047
2023-11-27,84.47081756591797,90.33059688612047,5.8598,34.337,5.8598,6.937
