Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,60.3094367980957,59.33038359754756,0.9791,0.9585,0.9791,1.6234
2023-08-07,60.444252014160156,60.16083815703632,0.2834,0.0803,0.2834,0.4689
2023-08-08,60.77938461303711,60.438469587297284,0.3409,0.1162,0.3409,0.5609
2023-08-09,61.61237335205078,60.486809022382886,1.1256,1.2669,1.1256,1.8268
2023-08-10,61.77030563354492,61.28578093129727,0.4845,0.2348,0.4845,0.7844
2023-08-11,63.31398391723633,61.735910284803595,1.5781,2.4903,1.5781,2.4925
2023-08-14,65.28138732910156,63.31302914393359,1.9684,3.8744,1.9684,3.0152
2023-08-15,65.70027923583984,65.16037103966937,0.5399,0.2915,0.5399,0.8218
2023-08-16,65.32664489746094,66.1738461713785,0.8472,0.7177,0.8472,1.2969
2023-08-17,66.10956573486328,65.7810480272492,0.3285,0.1079,0.3285,0.4969
2023-08-18,65.4383544921875,66.04029678964298,0.6019,0.3623,0.6019,0.9199
2023-08-21,70.18302917480469,65.74480346654309,4.4382,19.6978,4.4382,6.3238
2023-08-22,78.26543426513672,70.85590244786545,7.4095,54.9012,7.4095,9.4672
2023-08-23,77.36117553710938,79.5192978353889,2.1581,4.6575,2.1581,2.7897
2023-08-24,77.80607604980469,80.12861987617362,2.3225,5.3942,2.3225,2.985
2023-08-25,76.07172393798828,79.64739942830602,3.5757,12.7855,3.5757,4.7004
2023-08-28,78.19512176513672,78.2258994262902,0.0308,0.0009,0.0308,0.0394
2023-08-29,77.26103210449219,79.32871970628003,2.0677,4.2753,2.0677,2.6762
2023-08-30,76.07655334472656,77.83290466599465,1.7564,3.0848,1.7564,2.3087
2023-08-31,76.32980346679688,75.39266218549619,0.9371,0.8782,0.9371,1.2278
2023-09-01,77.44400787353516,75.71602002049076,1.728,2.9859,1.728,2.2313
2023-09-05,77.48442840576172,78.99739179191602,1.513,2.2891,1.513,1.9526
2023-09-06,82.3706817626953,78.97044579476005,3.4002,11.5616,3.4002,4.128
2023-09-07,81.96236419677734,82.70226158878359,0.7399,0.5474,0.7399,0.9027
2023-09-08,85.338623046875,83.69409912890296,1.6445,2.7045,1.6445,1.9271
2023-09-11,85.07380676269531,87.39452644230914,2.3207,5.3857,2.3207,2.7279
2023-09-12,83.59847259521484,85.75556487868016,2.1571,4.653,2.1571,2.5803
2023-09-13,83.5907974243164,83.97983059296621,0.389,0.1513,0.389,0.4654
2023-09-14,82.0640640258789,83.85091855239443,1.7869,3.1928,1.7869,2.1774
2023-09-15,81.55772399902344,82.26484618783797,0.7071,0.5,0.7071,0.867
2023-09-18,79.5943603515625,81.82181459152525,2.2275,4.9616,2.2275,2.7985
2023-09-19,79.54403686523438,80.34047967508377,0.7964,0.6343,0.7964,1.0013
2023-09-20,82.13569641113281,80.50795006507178,1.6277,2.6496,1.6277,1.9818
2023-09-21,82.0911636352539,82.95353750158938,0.8624,0.7437,0.8624,1.0505
2023-09-22,83.50753784179688,82.75286557811796,0.7547,0.5695,0.7547,0.9037
2023-09-25,83.97804260253906,83.7064163197283,0.2716,0.0738,0.2716,0.3234
2023-09-26,84.8503189086914,83.5577873898228,1.2925,1.6706,1.2925,1.5233
2023-09-27,83.43878936767578,85.14794108671776,1.7092,2.9212,1.7092,2.0484
2023-09-28,82.09696960449219,83.14930122783699,1.0523,1.1074,1.0523,1.2818
2023-09-29,81.97595977783203,81.213360780931,0.7626,0.5816,0.7626,0.9303
2023-10-02,84.9752197265625,81.9445027572483,3.0307,9.1852,3.0307,3.5666
2023-10-03,85.39344024658203,85.33442369598197,0.059,0.0035,0.059,0.0691
2023-10-04,86.15824127197266,85.17678078586005,0.9815,0.9633,0.9815,1.1391
2023-10-05,86.19794464111328,86.38061572096103,0.1827,0.0334,0.1827,0.2119
2023-10-06,86.02561950683594,85.59078023994516,0.4348,0.1891,0.4348,0.5055
2023-10-09,88.13323211669922,86.11600754384199,2.0172,4.0692,2.0172,2.2888
2023-10-10,87.46330261230469,87.87352688733426,0.4102,0.1683,0.4102,0.469
2023-10-11,87.26384735107422,86.66688955941936,0.597,0.3564,0.597,0.6841
2023-10-12,86.00238037109375,87.6153844825667,1.613,2.6018,1.613,1.8755
2023-10-13,86.81658935546875,86.1306671840648,0.6859,0.4705,0.6859,0.7901
2023-10-16,87.2851333618164,87.15471277127654,0.1304,0.017,0.1304,0.1494
2023-10-17,88.87287902832031,87.93636353513193,0.9365,0.8771,0.9365,1.0538
2023-10-18,86.46224212646484,89.14008222603479,2.6778,7.1708,2.6778,3.0971
2023-10-19,86.5048370361328,86.61870394176003,0.1139,0.013,0.1139,0.1316
2023-10-20,87.11090087890625,86.37746614281514,0.7334,0.5379,0.7334,0.842
2023-10-23,87.00052642822266,86.43360248415775,0.5669,0.3214,0.5669,0.6516
2023-10-24,89.06746673583984,87.57372583086908,1.4937,2.2313,1.4937,1.6771
2023-10-25,86.38577270507812,89.03300708969937,2.6472,7.0078,2.6472,3.0644
2023-10-26,85.67710876464844,86.38755425675845,0.7104,0.5047,0.7104,0.8292
2023-10-27,85.35470581054688,85.8480215952477,0.4933,0.2434,0.4933,0.578
2023-10-30,86.84659576416016,84.74235460427553,2.1042,4.4278,2.1042,2.4229
2023-10-31,85.50090789794922,86.96389435887431,1.463,2.1403,1.463,1.7111
2023-11-01,82.36126708984375,85.32669254919938,2.9654,8.7937,2.9654,3.6005
2023-11-02,81.60323333740234,81.3390422674347,0.2642,0.0698,0.2642,0.3238
2023-11-03,80.33111572265625,80.67723801357897,0.3461,0.1198,0.3461,0.4309
2023-11-06,82.68753051757812,79.87714087515997,2.8104,7.8983,2.8104,3.3988
2023-11-07,81.56644439697266,82.25732136658735,0.6909,0.4773,0.6909,0.847
2023-11-08,80.64381408691406,80.8676715203087,0.2239,0.0501,0.2239,0.2776
2023-11-09,80.0735855102539,80.13613519929459,0.0625,0.0039,0.0625,0.0781
2023-11-10,79.95162200927734,79.29192713100065,0.6597,0.4352,0.6597,0.8251
2023-11-13,83.75634002685548,79.15144891431464,4.6049,21.205,4.6049,5.498
2023-11-14,82.85115814208984,83.26840584507318,0.4172,0.1741,0.4172,0.5036
2023-11-15,84.8638687133789,82.2198934826074,2.644,6.9906,2.644,3.1155
2023-11-16,82.72236633300781,84.09920841256371,1.3768,1.8957,1.3768,1.6644
2023-11-17,82.46680450439453,82.11832382352804,0.3485,0.1214,0.3485,0.4226
2023-11-20,83.36328125,81.79816201825543,1.5651,2.4496,1.5651,1.8775
2023-11-21,86.15631866455078,82.5581256474834,3.5982,12.947,3.5982,4.1764
2023-11-22,86.38382720947264,86.03979319174186,0.344,0.1184,0.344,0.3983
2023-11-24,89.34725189208984,86.21459390922064,3.1327,9.8135,3.1327,3.5062
2023-11-27,84.47081756591797,89.33035937052955,4.8595,23.6151,4.8595,5.7529
2023-11-28,84.43693542480469,84.57238062214492,0.1354,0.0183,0.1354,0.1604
2023-11-29,84.44660186767578,84.42067433963075,0.0259,0.0007,0.0259,0.0307
2023-11-30,82.97119903564453,83.57235900251908,0.6012,0.3614,0.6012,0.7245
2023-12-01,83.02152252197266,82.75304451394913,0.2685,0.0721,0.2685,0.3234
2023-12-04,83.17546081542969,83.27666555054384,0.1012,0.0102,0.1012,0.1217
2023-12-05,81.76008605957031,83.09479499322606,1.3347,1.7814,1.3347,1.6325
2023-12-06,82.57425689697266,82.75412814821357,0.1799,0.0324,0.1799,0.2178
2023-12-07,84.3856201171875,82.85068539168606,1.5349,2.356,1.5349,1.819
2023-12-08,82.45323181152344,83.66422968031839,1.211,1.4665,1.211,1.4687
2023-12-11,82.29059600830078,82.59435933856366,0.3038,0.0923,0.3038,0.3691
2023-12-12,82.213134765625,82.04152019286767,0.1716,0.0295,0.1716,0.2087
2023-12-13,80.84746551513672,81.0621411959437,0.2147,0.0461,0.2147,0.2655
2023-12-14,78.68555450439453,80.75500557894475,2.0695,4.2826,2.0695,2.63
2023-12-15,80.70242309570312,77.9653168181103,2.7371,7.4918,2.7371,3.3916
2023-12-18,81.1706314086914,80.10242752194426,1.0682,1.1411,1.0682,1.316
2023-12-19,79.4477310180664,81.1637564022999,1.716,2.9447,1.716,2.1599
2023-12-20,79.50807952880861,79.23332387701839,0.2748,0.0755,0.2748,0.3456
2023-12-21,80.98666381835938,78.1683403790621,2.8183,7.9429,2.8183,3.48
2023-12-22,80.84843444824219,80.38875465747515,0.4597,0.2113,0.4597,0.5686
2023-12-26,81.27381896972656,80.66704464429222,0.6068,0.3682,0.6068,0.7466
2023-12-27,79.31535339355469,79.87972230333526,0.5644,0.3185,0.5644,0.7116
2023-12-28,80.18943786621094,78.584273524315,1.6052,2.5766,1.6052,2.0017
2023-12-29,80.19432830810545,80.44807498823502,0.2537,0.0644,0.2537,0.3164
2024-01-02,82.27738189697266,79.16817246634628,3.1092,9.6672,3.1092,3.7789
2024-01-03,83.3111343383789,82.19252110622256,1.1186,1.2513,1.1186,1.3427
2024-01-04,83.55742645263672,83.5163679827574,0.0411,0.0017,0.0411,0.0491
2024-01-05,85.12944793701172,83.04396104842499,2.0855,4.3493,2.0855,2.4498
2024-01-08,88.15087890625,85.04526844374686,3.1056,9.6448,3.1056,3.5231
2024-01-09,85.96851348876953,88.17230554128764,2.2038,4.8567,2.2038,2.5635
2024-01-10,87.8559341430664,85.86794233237242,1.988,3.9521,1.988,2.2628
2024-01-11,86.08726501464844,88.27381655839781,2.1866,4.781,2.1866,2.5399
2024-01-12,86.34327697753906,86.27375337837293,0.0695,0.0048,0.0695,0.0805
2024-01-16,84.47435760498047,87.04459542276163,2.5702,6.6061,2.5702,3.0426
2024-01-17,83.09212493896484,84.32663386000559,1.2345,1.524,1.2345,1.4857
2024-01-18,83.92826843261719,83.73802330385388,0.1902,0.0362,0.1902,0.2267
2024-01-19,85.76702880859375,84.57518361909206,1.1918,1.4205,1.1918,1.3896
2024-01-22,82.70276641845703,85.72115270396898,3.0184,9.1107,3.0184,3.6497
2024-01-23,80.47563934326172,82.99059811420284,2.515,6.325,2.515,3.1251
2024-01-24,81.60574340820312,80.41494162438812,1.1908,1.418,1.1908,1.4592
2024-01-25,81.8870620727539,80.88977009017981,0.9973,0.9946,0.9973,1.2179
2024-01-26,81.89873504638672,82.0716655529568,0.1729,0.0299,0.1729,0.2112
2024-01-29,83.02494812011717,81.5039498567935,1.521,2.3134,1.521,1.832
2024-01-30,84.81211853027344,82.28671999658854,2.5254,6.3776,2.5254,2.9776
2024-01-31,85.91983795166016,85.29253404572046,0.6273,0.3935,0.6273,0.7301
2024-02-01,85.73976135253906,85.83566555639663,0.0959,0.0092,0.0959,0.1119
2024-02-02,87.39356231689453,84.69669541649,2.6969,7.2731,2.6969,3.0859
2024-02-05,88.68916320800781,86.91190637709906,1.7773,3.1586,1.7773,2.0039
2024-02-06,88.71349334716798,88.82273708438515,0.1092,0.0119,0.1092,0.1231
2024-02-07,93.20475006103516,88.23874452273913,4.966,24.6612,4.966,5.3281
2024-02-08,92.17391204833984,92.83894682094342,0.665,0.4423,0.665,0.7215
2024-02-09,94.70767974853516,92.87606636616147,1.8316,3.3548,1.8316,1.934
2024-02-12,94.94518280029295,95.82730125105172,0.8821,0.7781,0.8821,0.9291
2024-02-13,93.40235137939452,95.19256792789291,1.7902,3.2049,1.7902,1.9167
2024-02-14,95.1719970703125,94.43904456256404,0.733,0.5372,0.733,0.7701
2024-02-15,96.92215728759766,95.56644211079401,1.3557,1.838,1.3557,1.3988
2024-02-16,95.50977325439452,97.44278149692764,1.933,3.7365,1.933,2.0239
2024-02-20,94.6142349243164,96.93204615776447,2.3178,5.3722,2.3178,2.4497
2024-02-21,95.282958984375,94.88856022618165,0.3944,0.1556,0.3944,0.4139
2024-02-22,92.4961166381836,95.73135162459221,3.2352,10.4667,3.2352,3.4977
2024-02-23,92.11746978759766,94.15468512445477,2.0372,4.1502,2.0372,2.2115
2024-02-26,91.58015441894533,92.29191805422852,0.7118,0.5066,0.7118,0.7772
2024-02-27,90.11031341552734,91.3452161642199,1.2349,1.525,1.2349,1.3704
2024-02-28,90.52595520019533,91.00584059935954,0.4799,0.2303,0.4799,0.5301
2024-02-29,89.93900299072266,90.3364720363161,0.3975,0.158,0.3975,0.4419
2024-03-01,88.88285827636719,89.46962361193528,0.5868,0.3443,0.5868,0.6602
2024-03-04,87.96009063720703,89.07338947743483,1.1133,1.2394,1.1133,1.2657
2024-03-05,89.77254486083984,87.33698553966633,2.4356,5.9319,2.4356,2.713
2024-03-06,91.91790771484376,88.86365302219883,3.0543,9.3285,3.0543,3.3228
2024-03-07,100.18596649169922,91.73715331486893,8.4488,71.3824,8.4488,8.4331
2024-03-08,104.37546539306639,100.152484016769,4.223,17.8336,4.223,4.046
2024-03-11,106.07014465332033,105.01055675799762,1.0596,1.1227,1.0596,0.999
2024-03-12,107.70545196533205,107.10225576845734,0.6032,0.3638,0.6032,0.56
2024-03-13,109.96859741210938,109.00351160624543,0.9651,0.9314,0.9651,0.8776
2024-03-14,111.64867401123048,108.98891482093313,2.6598,7.0743,2.6598,2.3823
2024-03-15,111.43648529052734,112.28415222040896,0.8477,0.7185,0.8477,0.7607
2024-03-18,108.5811004638672,111.18195878765982,2.6009,6.7645,2.6009,2.3953
2024-03-19,110.2346878051758,107.73322482052028,2.5015,6.2573,2.5015,2.2692
2024-03-20,109.7154312133789,112.20324885097489,2.4878,6.1892,2.4878,2.2675
2024-03-21,110.68450164794922,111.9932477896009,1.3087,1.7128,1.3087,1.1824
2024-03-22,110.12515258789062,111.80121518522174,1.6761,2.8092,1.6761,1.522
2024-03-25,109.75747680664062,112.28943810233977,2.532,6.4108,2.532,2.3069
2024-03-26,109.15510559082033,111.827474729198,2.6724,7.1416,2.6724,2.4482
2024-03-27,106.13642120361328,110.20349379805886,4.0671,16.5411,4.0671,3.8319
2024-03-28,103.51571655273438,106.70924810571341,3.1935,10.1986,3.1935,3.0851
2024-04-01,102.57988739013672,104.02650762263147,1.4466,2.0927,1.4466,1.4102
2024-04-02,102.60629272460939,102.98287680017256,0.3766,0.1418,0.3766,0.367
2024-04-03,105.10671997070311,102.56143324630648,2.5453,6.4785,2.5453,2.4216
2024-04-04,105.85379791259766,105.79006460830715,0.0637,0.0041,0.0637,0.0602
2024-04-05,105.6660614013672,106.01575964644053,0.3497,0.1223,0.3497,0.3309
