Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2024-03-01,44957.96875,44126.32962677558,831.6391,691623.6313,831.6391,1.8498
2024-03-02,42848.17578125,44972.33732154593,2124.1615,4512062.2493,2124.1615,4.9574
2024-03-03,44179.92187499999,42808.398005378665,1371.5239,1881077.7249,1371.5239,3.1044
2024-03-04,44162.69140625,44138.90778284054,23.7836,565.6607,23.7836,0.0539
2024-03-05,43989.1953125,44121.69330986426,132.498,17555.7193,132.498,0.3012
2024-03-06,43943.09765625,43948.35827988433,5.2606,27.6742,5.2606,0.012
2024-03-07,46970.50390625,43902.30341804051,3068.2005,9413854.2358,3068.2005,6.5322
2024-03-08,46139.73046875,46926.89919863106,787.1687,619634.6093,787.1687,1.7061
2024-03-09,46627.77734375,45908.85327717173,718.9241,516851.8135,718.9241,1.5418
2024-03-10,46368.5859375,46584.49080371088,215.9049,46614.9113,215.9049,0.4656
2024-03-11,42853.16796875,46325.540015818086,3472.372,12057367.6333,3472.372,8.103
2024-03-12,42842.3828125,42813.38555841963,28.9973,840.8407,28.9973,0.0677
2024-03-13,41796.26953125,42656.61060170969,860.3411,740186.7575,860.3411,2.0584
2024-03-14,42511.96875,41855.959924338385,656.0088,430347.5793,656.0088,1.5431
2024-03-15,43154.94531249999,42472.50308935158,682.4422,465727.3879,682.4422,1.5814
2024-03-16,42742.65234375,43114.882749483455,372.2304,138555.475,372.2304,0.8709
2024-03-17,41262.05859375,42702.97252975381,1440.9139,2076232.971,1440.9139,3.4921
2024-03-18,41618.40624999999,41223.75327762379,394.653,155750.9686,394.653,0.9483
2024-03-19,41665.5859375,41579.77012125589,85.8158,7364.3543,85.8158,0.206
2024-03-20,41545.78515625,41626.90600985428,81.1209,6580.5929,81.1209,0.1953
2024-03-21,39507.3671875,41507.21644474217,1999.8493,3999397.0517,1999.8493,5.062
2024-03-22,39845.55078125,39471.13117752783,374.4196,140190.0397,374.4196,0.9397
2024-03-23,40077.07421875,39808.560469304444,268.5137,72099.6336,268.5137,0.67
2024-03-24,39933.80859375,40039.86897379416,106.0604,11248.8042,106.0604,0.2656
2024-03-25,41816.87109375,39896.736348340055,1920.1347,3686917.4405,1920.1347,4.5918
2024-03-26,42120.0546875,41778.05072168796,342.004,116966.7126,342.004,0.812
2024-03-27,42035.59375,42080.95285727037,45.3591,2057.4486,45.3591,0.1079
2024-03-28,43288.24609375001,41996.57032843493,1291.6758,1668426.2827,1291.6758,2.9839
2024-03-29,42952.609375,43248.05978197395,295.4504,87290.943,295.4504,0.6879
2024-03-30,42582.60546875,42959.378477763385,376.773,141957.9003,376.773,0.8848
2024-03-31,43075.77343750001,42543.07423304464,532.6992,283768.4424,532.6992,1.2367
2024-04-01,43185.859375,43035.78437308734,150.075,22522.5062,150.075,0.3475
2024-04-02,42992.25,43145.76811315026,153.5181,23567.8111,153.5181,0.3571
2024-04-03,42583.58203125,42952.338473930955,368.7564,135981.314,368.7564,0.866
2024-04-04,42658.66796875,42544.04988896032,114.6181,13137.3042,114.6181,0.2687
2024-04-05,43084.671875,42619.06612100522,465.6058,216788.7182,465.6058,1.0807
2024-04-06,44318.22265625,43044.67454979103,1273.5481,1621924.7795,1273.5481,2.8736
2024-04-07,45301.56640624999,44277.080173619324,1024.4862,1049572.0408,1024.4862,2.2615
2024-04-08,47147.19921875,45334.22242880566,1812.9768,3286884.8409,1812.9768,3.8454
2024-04-09,47771.27734375001,47103.430477390764,667.8469,446019.4369,667.8469,1.398
2024-04-10,48293.91796875,47727.81762992754,566.1003,320469.5936,566.1003,1.1722
2024-04-11,49958.22265624999,48249.08467982034,1709.138,2921152.6225,1709.138,3.4211
2024-04-12,49742.44140625,49911.84432280832,169.4029,28697.3481,169.4029,0.3406
2024-04-13,51826.6953125,49696.263391679386,2130.4319,4538740.1693,2130.4319,4.1107
2024-04-14,51938.55468750001,51778.58239677595,159.9723,25591.1338,159.9723,0.308
2024-04-15,52160.20312499999,52030.586008653045,129.6171,16800.5969,129.6171,0.2485
2024-04-16,51662.99609375,52111.78059985209,448.7845,201407.5329,448.7845,0.8687
2024-04-17,52122.546875,51615.03514694213,507.5117,257568.1541,507.5117,0.9737
2024-04-18,51779.14453125,52074.15930774342,295.0148,87033.7183,295.0148,0.5698
2024-04-19,52284.875,51731.0757589296,553.7992,306693.5994,553.7992,1.0592
2024-04-20,51839.1796875,52236.33673667163,397.157,157733.7217,397.157,0.7661
2024-04-21,51304.97265625,51791.05518200202,486.0825,236276.2218,486.0825,0.9474
2024-04-22,50731.94921875,51257.344077758724,525.3949,276039.7579,525.3949,1.0356
2024-04-23,51571.1015625,50684.85260217893,886.249,785437.2197,886.249,1.7185
2024-04-24,51733.23828125001,51523.22592527652,210.0124,44105.1897,210.0124,0.406
2024-04-25,54522.40234375001,51613.689385404345,2908.713,8460611.074,2908.713,5.3349
2024-04-26,57085.37109375,54471.7868890462,2613.5842,6830822.3951,2613.5842,4.5784
2024-04-27,62504.7890625,57032.376326633384,5472.4127,29947301.1517,5472.4127,8.7552
2024-04-28,61198.3828125,62446.92341996916,1248.5406,1558853.6485,1248.5406,2.0402
2024-04-29,62440.6328125,61143.364434721414,1297.2684,1682905.244,1297.2684,2.0776
2024-04-30,62029.84765625,62382.66652917536,352.8189,124481.1571,352.8189,0.5688
2024-05-01,63167.37109375,61972.26272217953,1195.1084,1428284.0198,1195.1084,1.892
2024-05-02,68330.4140625,63147.822856979445,5182.5912,26859251.6035,5182.5912,7.5846
2024-05-03,63801.19921875,68266.98004585365,4465.7808,19943198.3957,4465.7808,6.9995
2024-05-04,66106.8046875,63741.96986402082,2364.8348,5592443.7423,2364.8348,3.5773
2024-05-05,66925.484375,66045.742282853,879.7421,773946.1487,879.7421,1.3145
2024-05-06,68300.09375,66863.35461407062,1436.7391,2064219.3447,1436.7391,2.1036
2024-05-07,68498.8828125,68236.68788098358,262.1949,68746.1821,262.1949,0.3828
2024-05-08,69019.7890625,68435.29239917966,584.4967,341636.3494,584.4967,0.8469
2024-05-09,72123.90625,69081.70325764362,3042.203,9254999.0467,3042.203,4.218
2024-05-10,71481.2890625,72056.95057393052,575.6615,331386.1757,575.6615,0.8053
2024-05-11,73083.5,71414.92995517561,1668.57,2784125.9945,1668.57,2.2831
2024-05-12,71396.59375,73015.65349242091,1619.0597,2621354.4495,1619.0597,2.2677
2024-05-13,69403.7734375,71540.40643556044,2136.633,4565200.5684,2136.633,3.0786
2024-05-14,65315.1171875,69339.34297589725,4024.2258,16194393.196,4024.2258,6.1612
2024-05-15,68390.625,65254.48239861755,3136.1426,9835390.4162,3136.1426,4.5856
2024-05-16,67548.59375,68327.1350869909,778.5413,606126.6134,778.5413,1.1526
2024-05-17,61912.7734375,67485.88553025387,5573.1121,31059578.3984,5573.1121,9.0016
2024-05-18,67913.671875,61855.29718838399,6058.3747,36703903.8434,6058.3747,8.9207
2024-05-19,65491.390625,67850.62473777216,2359.2341,5565985.5989,2359.2341,3.6024
2024-05-20,63778.76171875,65516.498522788286,1737.7368,3019729.2001,1737.7368,2.7246
2024-05-21,64062.20312499999,63719.55319370213,342.6499,117408.9754,342.6499,0.5349
2024-05-22,67234.171875,64002.731469293125,3231.4404,10442207.0956,3231.4404,4.8062
2024-05-23,69958.8125,67555.46668910421,2403.3458,5776071.0868,2403.3458,3.4354
2024-05-24,69987.8359375,69893.86677213386,93.9692,8830.204,93.9692,0.1343
2024-05-25,69455.34375,69922.8632659479,467.5195,218574.4978,467.5195,0.6731
2024-05-26,70744.953125,69390.86541349255,1354.0877,1833553.5305,1354.0877,1.914
2024-05-27,69892.828125,71530.04880729504,1637.2207,2680491.5625,1637.2207,2.3425
2024-05-28,69645.3046875,69827.9436532231,182.639,33356.9918,182.639,0.2622
2024-05-29,71333.6484375,69747.29096731916,1586.3575,2516530.0232,1586.3575,2.2239
2024-05-30,69702.1484375,71267.42639121925,1565.278,2450095.0724,1565.278,2.2457
2024-05-31,65446.97265625,69637.44098175084,4190.4683,17560024.787,4190.4683,6.4028
2024-06-01,65980.8125,65386.21546035283,594.597,353545.6396,594.597,0.9012
2024-06-02,68508.84375,66056.00692647696,2452.8368,6016408.4828,2452.8368,3.5803
2024-06-03,67837.640625,68445.2440895196,607.6035,369181.9701,607.6035,0.8957
2024-06-04,68896.109375,67774.66407080088,1121.4453,1257639.5703,1121.4453,1.6277
2024-06-05,69362.5546875,68794.85881753266,567.6959,322278.6008,567.6959,0.8184
2024-06-06,71631.359375,69298.1914313212,2333.1679,5443672.6534,2333.1679,3.2572
2024-06-07,69139.015625,71564.86095105018,2425.8453,5884725.5459,2425.8453,3.5086
2024-06-08,70587.8828125,69041.20353651885,1546.6793,2392216.7827,1546.6793,2.1911
2024-06-09,70060.609375,70522.35309202643,461.7437,213207.2602,461.7437,0.6591
2024-06-10,67195.8671875,69995.56914478447,2799.702,7838331.0496,2799.702,4.1665
2024-06-11,63821.47265625,67133.48641875712,3312.0138,10969435.163,3312.0138,5.1895
2024-06-12,65738.7265625,63762.224480830366,1976.5021,3906560.4788,1976.5021,3.0066
2024-06-13,63426.2109375,65677.6985190981,2251.4876,5069196.3301,2251.4876,3.5498
2024-06-14,63811.86328125001,63367.3297002702,444.5336,197610.1046,444.5336,0.6966
2024-06-15,61276.69140625,63752.62402662006,2475.9326,6130242.3406,2475.9326,4.0406
2024-06-16,63512.75390625,61219.80565901683,2292.9482,5257611.6645,2292.9482,3.6102
2024-06-17,63843.5703125,63453.79232751788,389.778,151926.8776,389.778,0.6105
2024-06-18,64994.44140625,63784.3016228904,1210.1398,1464438.2953,1210.1398,1.8619
2024-06-19,64926.64453125,64934.104314273456,7.4598,55.6484,7.4598,0.0115
