Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2024-03-01,44957.96875,44188.24523196556,769.7235,592474.2942,769.7235,1.7121
2024-03-02,42848.17578125,45063.90279892832,2215.727,4909446.2169,2215.727,5.1711
2024-03-03,44179.92187499999,43174.13134971913,1005.7905,1011614.5807,1005.7905,2.2766
2024-03-04,44162.69140625,44345.637240624055,182.9458,33469.1783,182.9458,0.4143
2024-03-05,43989.1953125,44406.284590168856,417.0893,173963.4655,417.0893,0.9482
2024-03-06,43943.09765625,44268.533725393005,325.4361,105908.6351,325.4361,0.7406
2024-03-07,46970.50390625,44250.467508086935,2720.0364,7398598.0073,2720.0364,5.7909
2024-03-08,46139.73046875,46923.433219303144,783.7028,614190.0012,783.7028,1.6985
2024-03-09,46627.77734375,46227.3279995257,400.4493,160359.6773,400.4493,0.8588
2024-03-10,46368.5859375,46718.552622771356,349.9667,122476.6808,349.9667,0.7547
2024-03-11,42853.16796875,46512.16999677569,3659.002,13388295.8411,3659.002,8.5385
2024-03-12,42842.3828125,43274.49626080878,432.1134,186722.0322,432.1134,1.0086
2024-03-13,41796.26953125,43195.16845168546,1398.8989,1956918.1896,1398.8989,3.3469
2024-03-14,42511.96875,41920.19934321055,591.7694,350191.0308,591.7694,1.392
2024-03-15,43154.94531249999,42679.282879862934,475.6624,226254.7498,475.6624,1.1022
2024-03-16,42742.65234375,43278.68011387065,536.0278,287325.7703,536.0278,1.2541
2024-03-17,41262.05859375,43003.150641092565,1741.092,3031401.5173,1741.092,4.2196
2024-03-18,41618.40624999999,41605.436547323596,12.9697,168.2132,12.9697,0.0312
2024-03-19,41665.5859375,41858.20575519651,192.6198,37102.3942,192.6198,0.4623
2024-03-20,41545.78515625,42070.15190431848,524.3667,274960.4865,524.3667,1.2621
2024-03-21,39507.3671875,41845.4795216769,2338.1123,5466769.2872,2338.1123,5.9182
2024-03-22,39845.55078125,40004.33836559765,158.7876,25213.4969,158.7876,0.3985
2024-03-23,40077.07421875,40171.05602645129,93.9818,8832.5802,93.9818,0.2345
2024-03-24,39933.80859375,40353.097721456084,419.2891,175803.3726,419.2891,1.05
2024-03-25,41816.87109375,40267.05178131815,1549.8193,2401939.9012,1549.8193,3.7062
2024-03-26,42120.0546875,42000.06835516635,119.9863,14396.7199,119.9863,0.2849
2024-03-27,42035.59375,42353.87233479414,318.2786,101301.2575,318.2786,0.7572
2024-03-28,43288.24609375001,42363.996826171875,924.2493,854236.7086,924.2493,2.1351
2024-03-29,42952.609375,43597.95032329112,645.3409,416464.9395,645.3409,1.5024
2024-03-30,42582.60546875,43348.883505910635,766.278,587182.0302,766.278,1.7995
2024-03-31,43075.77343750001,43020.461811222136,55.3116,3059.376,55.3116,0.1284
2024-04-01,43185.859375,43490.07811742835,304.2187,92549.0432,304.2187,0.7044
2024-04-02,42992.25,43493.72422891669,501.4742,251476.4023,501.4742,1.1664
2024-04-03,42583.58203125,43124.615326970816,541.0333,292717.0271,541.0333,1.2705
