Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2024-03-01,44957.96875,43868.19217761094,1089.7766,1187612.9777,1089.7766,2.424
2024-03-02,42848.17578125,44753.65473703481,1905.479,3630850.0509,1905.479,4.447
2024-03-03,44179.92187499999,42730.74514660705,1449.1767,2100113.1901,1449.1767,3.2802
2024-03-04,44162.69140625,44077.37216129433,85.3192,7279.3736,85.3192,0.1932
2024-03-05,43989.1953125,44066.496579006314,77.3013,5975.4858,77.3013,0.1757
2024-03-06,43943.09765625,43880.258103439584,62.8396,3948.8094,62.8396,0.143
2024-03-07,46970.50390625,43807.501013418194,3163.0029,10004587.3001,3163.0029,6.734
2024-03-08,46139.73046875,46875.228669975186,735.4982,540957.604,735.4982,1.5941
2024-03-09,46627.77734375,46158.56344284117,469.2139,220161.6848,469.2139,1.0063
2024-03-10,46368.5859375,46665.0635216739,296.4776,87898.9579,296.4776,0.6394
2024-03-11,42853.16796875,46392.304724008776,3539.1368,12525488.9724,3539.1368,8.2588
2024-03-12,42842.3828125,42776.57884683949,65.804,4330.1619,65.804,0.1536
2024-03-13,41796.26953125,42650.995224295184,854.7257,730556.0104,854.7257,2.045
2024-03-14,42511.96875,41447.64873709297,1064.32,1132777.0899,1064.32,2.5036
2024-03-15,43154.94531249999,42083.21837375499,1071.7269,1148598.6312,1071.7269,2.4834
2024-03-16,42742.65234375,42712.8063786733,29.846,890.7816,29.846,0.0698
2024-03-17,41262.05859375,42331.58220905252,1069.5236,1143880.7637,1069.5236,2.592
2024-03-18,41618.40624999999,40860.2622662473,758.144,574782.3001,758.144,1.8217
2024-03-19,41665.5859375,41211.864872200415,453.7211,205862.8051,453.7211,1.089
2024-03-20,41545.78515625,41266.67729814071,279.1079,77901.1965,279.1079,0.6718
2024-03-21,39507.3671875,41166.7172492526,1659.3501,2753442.6274,1659.3501,4.2001
2024-03-22,39845.55078125,39123.40159054054,722.1492,521499.4536,722.1492,1.8124
2024-03-23,40077.07421875,39443.43343442818,633.6408,401500.6436,633.6408,1.5811
2024-03-24,39933.80859375,39667.89057640871,265.918,70712.3919,265.918,0.6659
2024-03-25,41816.87109375,39540.36674430943,2276.5043,5182472.053,2276.5043,5.444
2024-03-26,42120.0546875,41477.89384813607,642.1608,412370.5436,642.1608,1.5246
2024-03-27,42035.59375,41893.65069700638,141.9431,20147.8303,141.9431,0.3377
2024-03-28,43288.24609375001,41891.178276767954,1397.0678,1951798.4852,1397.0678,3.2274
2024-03-29,42952.609375,43192.6478248823,240.0384,57618.4574,240.0384,0.5588
2024-03-30,42582.60546875,42916.09871898312,333.4933,111217.748,333.4933,0.7832
2024-03-31,43075.77343750001,42547.40172947338,528.3717,279176.6618,528.3717,1.2266
2024-04-01,43185.859375,43012.91293900786,172.9464,29910.4697,172.9464,0.4005
2024-04-02,42992.25,43098.95336006768,106.7034,11385.607,106.7034,0.2482
2024-04-03,42583.58203125,42877.02548830211,293.4435,86109.0625,293.4435,0.6891
2024-04-04,42658.66796875,42426.93829697021,231.7297,53698.6408,231.7297,0.5432
2024-04-05,43084.671875,42456.21416952158,628.4577,394959.0876,628.4577,1.4587
2024-04-06,44318.22265625,42854.33350663446,1463.8891,2142971.4424,1463.8891,3.3031
2024-04-07,45301.56640624999,44097.17855968163,1204.3878,1450550.085,1204.3878,2.6586
2024-04-08,47147.19921875,45132.57540479093,2014.6238,4058709.1118,2014.6238,4.2731
2024-04-09,47771.27734375001,47051.77633710671,719.501,517681.6986,719.501,1.5061
2024-04-10,48293.91796875,47779.10766629549,514.8103,265029.6475,514.8103,1.066
2024-04-11,49958.22265624999,48361.252819128335,1596.9698,2550312.6607,1596.9698,3.1966
2024-04-12,49742.44140625,50057.304047385696,314.8626,99138.4828,314.8626,0.633
2024-04-13,51826.6953125,49881.75521354657,1944.9401,3782791.9885,1944.9401,3.7528
