Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2024-03-01,44957.96875,43829.4669532245,1128.5018,1273516.3053,1128.5018,2.5101
2024-03-02,42848.17578125,44642.05579436384,1793.88,3218005.5014,1793.88,4.1866
2024-03-03,44179.92187499999,42566.61042288807,1613.3115,2602773.8415,1613.3115,3.6517
2024-03-04,44162.69140625,43904.612641800195,258.0788,66604.6487,258.0788,0.5844
2024-03-05,43989.1953125,43903.699258359615,85.4961,7309.5753,85.4961,0.1944
2024-03-06,43943.09765625,43742.856892704964,200.2408,40096.3634,200.2408,0.4557
2024-03-07,46970.50390625,43701.82625676971,3268.6776,10684253.5762,3268.6776,6.959
2024-03-08,46139.73046875,46704.27021950693,564.5398,318705.1302,564.5398,1.2235
2024-03-09,46627.77734375,45905.36884694779,722.4085,521874.0363,722.4085,1.5493
2024-03-10,46368.5859375,46421.76120548486,53.1753,2827.6091,53.1753,0.1147
2024-03-11,42853.16796875,46183.53407668881,3330.3661,11091338.4129,3330.3661,7.7716
2024-03-12,42842.3828125,42642.041503858985,200.3413,40136.6399,200.3413,0.4676
2024-03-13,41796.26953125,42606.897019397,810.6275,657116.9245,810.6275,1.9395
2024-03-14,42511.96875,41522.38379979157,989.585,979278.3737,989.585,2.3278
2024-03-15,43154.94531249999,42181.78750372119,973.1578,947036.1208,973.1578,2.255
2024-03-16,42742.65234375,42784.630901762284,41.9786,1762.1993,41.9786,0.0982
2024-03-17,41262.05859375,42368.43921509315,1106.3806,1224078.0793,1106.3806,2.6814
2024-03-18,41618.40624999999,40898.661039966624,719.7452,518033.1674,719.7452,1.7294
2024-03-19,41665.5859375,41246.030869066715,419.5551,176026.4554,419.5551,1.007
2024-03-20,41545.78515625,41293.41673833085,252.3684,63689.8184,252.3684,0.6074
2024-03-21,39507.3671875,41182.736574757844,1675.3694,2806862.5838,1675.3694,4.2407
2024-03-22,39845.55078125,39164.0434735734,681.5073,464452.2104,681.5073,1.7104
2024-03-23,40077.07421875,39491.38902857294,585.6852,343027.142,585.6852,1.4614
2024-03-24,39933.80859375,39715.307854891755,218.5007,47742.5729,218.5007,0.5472
2024-03-25,41816.87109375,39578.51485841442,2238.3562,5010238.6363,2238.3562,5.3528
2024-03-26,42120.0546875,41443.42285323283,676.6318,457830.6391,676.6318,1.6064
2024-03-27,42035.59375,41787.0753008537,248.5184,61761.4196,248.5184,0.5912
2024-03-28,43288.24609375001,41752.538019375876,1535.7081,2358399.2897,1535.7081,3.5476
2024-03-29,42952.609375,43041.44150520256,88.8321,7891.1474,88.8321,0.2068
2024-03-30,42582.60546875,42752.63922422752,170.0338,28911.478,170.0338,0.3993
2024-03-31,43075.77343750001,42412.83562644757,662.9378,439486.5413,662.9378,1.539
2024-04-01,43185.859375,42917.50917300815,268.3502,72011.8309,268.3502,0.6214
2024-04-02,42992.25,43031.661818027496,39.4118,1553.2914,39.4118,0.0917
2024-04-03,42583.58203125,42835.707128986716,252.1251,63567.0649,252.1251,0.5921
2024-04-04,42658.66796875,42417.087623183616,241.5803,58361.0634,241.5803,0.5663
2024-04-05,43084.671875,42474.043264634674,610.6286,372867.2998,610.6286,1.4173
2024-04-06,44318.22265625,42878.973913400434,1439.2487,2071436.9438,1439.2487,3.2475
2024-04-07,45301.56640624999,44093.23733437923,1208.3291,1460059.1459,1208.3291,2.6673
2024-04-08,47147.19921875,45081.06129876175,2066.1379,4268925.9044,2066.1379,4.3823
2024-04-09,47771.27734375001,46948.496158459224,822.7812,676968.8789,822.7812,1.7223
2024-04-10,48293.91796875,47624.39472974674,669.5232,448261.3676,669.5232,1.3864
2024-04-11,49958.22265624999,48199.599667300936,1758.623,3092754.8173,1758.623,3.5202
2024-04-12,49742.44140625,49912.398182841716,169.9568,28885.3059,169.9568,0.3417
2024-04-13,51826.6953125,49732.72845756728,2093.9669,4384697.1896,2093.9669,4.0403
2024-04-14,51938.55468750001,51849.876007176936,88.6787,7863.9083,88.6787,0.1707
2024-04-15,52160.20312499999,51982.050383887254,178.1527,31738.3992,178.1527,0.3415
2024-04-16,51662.99609375,52211.30870884471,548.3126,300646.7239,548.3126,1.0613
2024-04-17,52122.546875,51695.46480791643,427.0821,182399.092,427.0821,0.8194
2024-04-18,51779.14453125,52124.34878761694,345.2043,119165.9786,345.2043,0.6667
2024-04-19,52284.875,51734.350299374666,550.5247,303077.446,550.5247,1.0529
2024-04-20,51839.1796875,52190.45054795593,351.2709,123391.2174,351.2709,0.6776
2024-04-21,51304.97265625,51695.0595391891,390.0869,152167.7762,390.0869,0.7603
2024-04-22,50731.94921875,51113.0119013458,381.0627,145208.7681,381.0627,0.7511
2024-04-23,51571.1015625,50492.783074643696,1078.3185,1162770.7613,1078.3185,2.0909
2024-04-24,51733.23828125001,51278.83117158618,454.4071,206485.8213,454.4071,0.8784
2024-04-25,54522.40234375001,51407.91234090179,3114.49,9700047.9778,3114.49,5.7123
2024-04-26,57085.37109375,54155.34199104761,2930.0291,8585070.5427,2930.0291,5.1327
2024-04-27,62504.7890625,56741.230051328894,5763.559,33218612.4753,5763.559,9.221
2024-04-28,61198.3828125,62242.11361875292,1043.7308,1089373.9959,1043.7308,1.7055
2024-04-29,62440.6328125,61085.57744667074,1355.0554,1836175.0445,1355.0554,2.1701
2024-04-30,62029.84765625,62469.88578116335,440.0381,193633.5514,440.0381,0.7094
2024-05-01,63167.37109375,62136.65430635773,1030.7168,1062377.0958,1030.7168,1.6317
2024-05-02,68330.4140625,63321.889513831586,5008.5245,25085318.1546,5008.5245,7.3299
2024-05-03,63801.19921875,68535.29269963503,4734.0935,22411641.0858,4734.0935,7.4201
2024-05-04,66106.8046875,63914.93479122128,2191.8699,4804293.6422,2191.8699,3.3156
2024-05-05,66925.484375,66231.12816891074,694.3562,482130.5409,694.3562,1.0375
2024-05-06,68300.09375,67017.36062885076,1282.7331,1645404.2601,1282.7331,1.8781
2024-05-07,68498.8828125,68361.4681886062,137.4146,18882.7789,137.4146,0.2006
2024-05-08,69019.7890625,68520.82405687775,498.965,248966.0768,498.965,0.7229
2024-05-09,72123.90625,69004.21383706387,3119.6924,9732480.7513,3119.6924,4.3255
2024-05-10,71481.2890625,72082.34429325908,601.0552,361267.3904,601.0552,0.8409
2024-05-11,73083.5,71416.9367057085,1666.5633,2777433.2139,1666.5633,2.2804
2024-05-12,71396.59375,73012.66955292225,1616.0758,2611701.0008,1616.0758,2.2635
2024-05-13,69403.7734375,71293.19619951583,1889.4228,3569918.3736,1889.4228,2.7224
