Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2024-03-01,44957.96875,44809.66003590636,148.3087,21995.4747,148.3087,0.3299
2024-03-02,42848.17578125,44761.34816652164,1913.1724,3660228.5758,1913.1724,4.465
2024-03-03,44179.92187499999,42642.09497785778,1537.8269,2364911.5656,1537.8269,3.4808
2024-03-04,44162.69140625,44753.26070012525,590.5693,348772.0909,590.5693,1.3373
2024-03-05,43989.1953125,43539.03863000614,450.1567,202641.0388,450.1567,1.0233
2024-03-06,43943.09765625,43992.273493963294,49.1758,2418.263,49.1758,0.1119
2024-03-07,46970.50390625,43546.65885644825,3423.845,11722714.9251,3423.845,7.2894
2024-03-08,46139.73046875,48008.58431258146,1868.8538,3492614.6896,1868.8538,4.0504
2024-03-09,46627.77734375,44905.12561172526,1722.6517,2967528.9898,1722.6517,3.6945
2024-03-10,46368.5859375,46975.136889191344,606.551,367904.057,606.551,1.3081
2024-03-11,42853.16796875,45920.46614671312,3067.2982,9408318.1125,3067.2982,7.1577
2024-03-12,42842.3828125,42146.28753782227,696.0953,484548.6314,696.0953,1.6248
2024-03-13,41796.26953125,43278.26786588412,1481.9983,2196319.0639,1481.9983,3.5458
2024-03-14,42511.96875,41051.97567022056,1459.9931,2131579.793,1459.9931,3.4343
2024-03-15,43154.94531249999,43305.50345835462,150.5581,22667.7553,150.5581,0.3489
2024-03-16,42742.65234375,42849.76504113339,107.1127,11473.1299,107.1127,0.2506
2024-03-17,41262.05859375,42609.13199885585,1347.0734,1814606.7587,1347.0734,3.2647
2024-03-18,41618.40624999999,40907.97236753348,710.4339,504716.3014,710.4339,1.707
2024-03-19,41665.5859375,41629.46002782881,36.1259,1305.0813,36.1259,0.0867
2024-03-20,41545.78515625,41661.68938491726,115.9042,13433.7902,115.9042,0.279
2024-03-21,39507.3671875,41510.71796371951,2003.3508,4013414.3326,2003.3508,5.0708
2024-03-22,39845.55078125,39306.27004819643,539.2807,290823.709,539.2807,1.3534
2024-03-23,40077.07421875,40013.8276070985,63.2466,4000.1339,63.2466,0.1578
2024-03-24,39933.80859375,39410.922369947424,522.8862,273410.003,522.8862,1.3094
2024-03-25,41816.87109375,39593.54369677836,2223.3274,4943184.7141,2223.3274,5.3168
2024-03-26,42120.0546875,41894.098086236045,225.9566,51056.3857,225.9566,0.5365
2024-03-27,42035.59375,41961.97282913281,73.6209,5420.04,73.6209,0.1751
2024-03-28,43288.24609375001,41818.157500004396,1470.0886,2161160.4735,1470.0886,3.396
2024-03-29,42952.609375,43272.40120510687,319.7918,102266.8146,319.7918,0.7445
2024-03-30,42582.60546875,42730.02007789072,147.4146,21731.067,147.4146,0.3462
2024-03-31,43075.77343750001,42300.43747286964,775.336,601145.858,775.336,1.7999
2024-04-01,43185.859375,42829.94403388817,355.9153,126675.73,355.9153,0.8241
2024-04-02,42992.25,42847.44536566548,144.8046,20968.3821,144.8046,0.3368
2024-04-03,42583.58203125,42437.11462600529,146.4674,21452.7008,146.4674,0.344
2024-04-04,42658.66796875,42165.98300881055,492.685,242738.4698,492.685,1.1549
2024-04-05,43084.671875,42438.48678059853,646.1851,417555.1762,646.1851,1.4998
2024-04-06,44318.22265625,43013.43683140632,1304.7858,1702466.0487,1304.7858,2.9441
2024-04-07,45301.56640624999,44447.83930714708,853.7271,728849.9597,853.7271,1.8845
2024-04-08,47147.19921875,45252.44196286029,1894.7573,3590105.0587,1894.7573,4.0188
2024-04-09,47771.27734375001,47596.28477134416,174.9926,30622.4004,174.9926,0.3663
2024-04-10,48293.91796875,47441.76882886584,852.1491,726158.1566,852.1491,1.7645
2024-04-11,49958.22265624999,48222.74602211849,1735.4766,3011879.1476,1735.4766,3.4739
2024-04-12,49742.44140625,50028.19959595334,285.7582,81657.743,285.7582,0.5745
2024-04-13,51826.6953125,49064.10638515139,2762.5889,7631897.5815,2762.5889,5.3304
2024-04-14,51938.55468750001,52358.38705109339,419.8324,176259.2135,419.8324,0.8083
2024-04-15,52160.20312499999,51301.16472812835,859.0384,737946.9673,859.0384,1.6469
2024-04-16,51662.99609375,52209.810175482184,546.8141,299005.64,546.8141,1.0584
2024-04-17,52122.546875,50940.76736159134,1181.7795,1396602.8183,1181.7795,2.2673
2024-04-18,51779.14453125,52280.18316152319,501.0386,251039.709,501.0386,0.9676
2024-04-19,52284.875,51376.354452563915,908.5205,825409.5851,908.5205,1.7376
2024-04-20,51839.1796875,52480.30578608811,641.1261,411042.6743,641.1261,1.2368
2024-04-21,51304.97265625,51813.407199515495,508.4345,258505.6848,508.4345,0.991
2024-04-22,50731.94921875,51253.081205308205,521.132,271578.5474,521.132,1.0272
2024-04-23,51571.1015625,50740.8333188775,830.2682,689345.3564,830.2682,1.6099
2024-04-24,51733.23828125001,51944.1964802295,210.9582,44503.3617,210.9582,0.4078
2024-04-25,54522.40234375001,51658.915685517015,2863.4867,8199555.8419,2863.4867,5.2519
2024-04-26,57085.37109375,55529.98624545755,1555.3848,2419222.0263,1555.3848,2.7247
2024-04-27,62504.7890625,57195.49132764805,5309.2977,28188642.4373,5309.2977,8.4942
2024-04-28,61198.3828125,63508.89878717344,2310.516,5338484.0692,2310.516,3.7755
