Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,111.44416046142578,107.32061393348886,4.1235,17.0036,4.1235,3.7001
2023-08-07,116.02976989746095,111.63571946021239,4.3941,19.3077,4.3941,3.787
2023-08-08,117.04216766357423,116.22921100284475,0.813,0.6609,0.813,0.6946
2023-08-09,116.0893096923828,117.24334895796073,1.154,1.3318,1.154,0.9941
2023-08-10,119.19601440429688,116.28885313945464,2.9072,8.4516,2.9072,2.439
2023-08-11,120.5756607055664,119.40089790006823,1.1748,1.3801,1.1748,0.9743
2023-08-14,122.60047912597656,120.78291564604206,1.8176,3.3035,1.8176,1.4825
2023-08-15,122.33248901367188,122.81121448379963,0.4787,0.2292,0.4787,0.3913
2023-08-16,124.93299102783203,122.54276372898676,2.3902,5.7132,2.3902,1.9132
2023-08-17,122.37220001220705,125.14773569078808,2.7755,7.7036,2.7755,2.2681
2023-08-18,120.73448181152344,122.58254298591329,1.8481,3.4153,1.8481,1.5307
2023-08-21,123.4242935180664,120.94200974622254,2.4823,6.1617,2.4823,2.0112
2023-08-22,124.49625396728514,123.63644491293871,0.8598,0.7393,0.8598,0.6906
2023-08-23,123.71214294433594,124.71024793219021,0.9981,0.9962,0.9981,0.8068
2023-08-24,122.45159912109376,123.92478911746912,1.4732,2.1703,1.4732,1.2031
2023-08-25,123.44415283203124,122.66207857224073,0.7821,0.6116,0.7821,0.6335
2023-08-28,124.29774475097655,123.65633836265623,0.6414,0.4114,0.6414,0.516
2023-08-29,125.68731689453125,124.51139750260882,1.1759,1.3828,1.1759,0.9356
2023-08-30,126.95779418945311,125.90335815218712,1.0544,1.1118,1.0544,0.8305
2023-08-31,122.02481079101562,127.17601924352857,5.1512,26.5349,5.1512,4.2214
2023-09-01,121.75679779052734,122.23455664477297,0.4778,0.2283,0.4778,0.3924
2023-09-05,121.95532226562499,121.96608296243448,0.0108,0.0001,0.0108,0.0088
2023-09-06,123.42429351806639,122.16494867703295,1.2593,1.5859,1.2593,1.0203
2023-09-07,123.50370025634766,123.63644491293871,0.1327,0.0176,0.1327,0.1075
2023-09-08,123.45407104492188,123.71598814177469,0.2619,0.0686,0.2619,0.2122
2023-09-11,124.85357666015624,123.6662736237522,1.1873,1.4097,1.1873,0.951
2023-09-12,123.1364517211914,125.06818481944354,1.9317,3.7316,1.9317,1.5688
2023-09-13,122.92800903320312,123.34810835091685,0.4201,0.1765,0.4201,0.3417
2023-09-14,120.3572998046875,123.13930737522242,2.782,7.7396,2.782,2.3115
2023-09-15,122.94786834716797,120.56417940925166,2.3837,5.682,2.3837,1.9388
2023-09-18,122.10419464111328,123.15920082493993,1.055,1.113,1.055,0.864
2023-09-19,118.20344543457033,122.31407694608333,4.1106,16.8973,4.1106,3.4776
2023-09-20,118.1240463256836,118.40662282463565,0.2826,0.0798,0.2826,0.2392
2023-09-21,120.17864227294922,118.3270872383082,1.8516,3.4283,1.8516,1.5407
2023-09-22,119.11660766601562,120.38521478687926,1.2686,1.6094,1.2686,1.065
2023-09-25,120.06946563720705,119.32135467123226,0.7481,0.5597,0.7481,0.6231
2023-09-26,119.66251373291016,123.76847648675722,4.106,16.8589,4.106,3.4313
2023-09-27,121.71710205078124,119.8681990844625,1.8489,3.4184,1.8489,1.519
2023-09-28,120.0297622680664,121.92631899052502,1.8966,3.5969,1.8966,1.5801
2023-09-29,119.24563598632812,120.23607887532035,0.9904,0.981,0.9904,0.8306
2023-10-02,115.9999771118164,119.45060477558218,3.4506,11.9068,3.4506,2.9747
2023-10-03,116.8337326049805,116.19936700701419,0.6344,0.4024,0.6344,0.543
2023-10-04,118.7295150756836,117.03455562477485,1.695,2.8729,1.695,1.4276
2023-10-05,123.90074157714844,118.93359671567396,4.9671,24.6725,4.9671,4.009
2023-10-06,124.76424407958983,124.11371192846309,0.6505,0.4232,0.6505,0.5214
2023-10-09,124.12901306152344,124.97869868700309,0.8497,0.722,0.8497,0.6845
2023-10-10,123.15630340576172,124.34237578384091,1.1861,1.4068,1.1861,0.9631
2023-10-11,121.86597442626952,123.36799415812584,1.502,2.2561,1.502,1.2325
2023-10-12,118.6401824951172,122.0754472595754,3.4353,11.801,3.4353,2.8955
2023-10-13,119.41436767578124,118.8441105832335,0.5703,0.3252,0.5703,0.4775
2023-10-16,120.97267150878906,119.61962649435007,1.353,1.8307,1.353,1.1185
2023-10-17,121.87591552734376,121.32132962692594,0.5546,0.3076,0.5546,0.455
2023-10-18,128.69476318359375,122.085405448197,6.6094,43.6836,6.6094,5.1357
2023-10-19,128.9031982421875,128.91597387675574,0.0128,0.0002,0.0128,0.0099
2023-10-20,132.01983642578125,129.12476720994164,2.8951,8.3814,2.8951,2.1929
2023-10-23,132.1190948486328,132.24676251666824,0.1277,0.0163,0.1277,0.0966
2023-10-24,130.9081573486328,132.3461915527132,1.438,2.0679,1.438,1.0985
2023-10-25,127.6823501586914,131.13317259798168,3.4508,11.9082,3.4508,2.7027
2023-10-26,127.81138610839844,127.90182063662269,0.0904,0.0082,0.0904,0.0708
2023-10-27,127.58309936523438,128.03107838348114,0.448,0.2007,0.448,0.3511
2023-10-30,130.95779418945312,127.80239924308626,3.1554,9.9565,3.1554,2.4095
2023-10-31,130.85853576660156,131.1828947585127,0.3244,0.1052,0.3244,0.2479
2023-11-01,129.18112182617188,131.08346572246774,1.9023,3.6189,1.9023,1.4726
2023-11-02,129.2406768798828,129.40316851086754,0.1625,0.0264,0.1625,0.1257
2023-11-03,129.2009735107422,129.46282593249452,0.2619,0.0686,0.2619,0.2027
2023-11-06,130.8486328125,129.42305431807654,1.4256,2.0323,1.4256,1.0895
2023-11-07,129.30023193359375,131.07354574638885,1.7733,3.1446,1.7733,1.3715
2023-11-08,128.14886474609375,129.5224833541215,1.3736,1.8868,1.3736,1.0719
2023-11-09,129.48883056640625,128.36913710603403,1.1197,1.2537,1.1197,0.8647
2023-11-10,127.15631866455078,129.71140616511548,2.5551,6.5285,2.5551,2.0094
2023-11-13,127.97017669677736,127.37488495812704,0.5953,0.3544,0.5953,0.4652
2023-11-14,128.72454833984375,128.19014191362749,0.5344,0.2856,0.5344,0.4152
