Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,111.44416046142578,107.32176338299723,4.1224,16.9942,4.1224,3.6991
2023-08-07,116.02976989746095,111.20959733759082,4.8202,23.2341,4.8202,4.1543
2023-08-08,117.04216766357423,115.39564981449257,1.6465,2.711,1.6465,1.4068
2023-08-09,116.0893096923828,116.4452930819416,0.356,0.1267,0.356,0.3066
2023-08-10,119.19601440429688,115.68886658367408,3.5071,12.3001,3.5071,2.9423
2023-08-11,120.5756607055664,118.72695922452294,1.8487,3.4177,1.8487,1.5332
2023-08-14,122.60047912597656,120.13872779200938,2.4618,6.0602,2.4618,2.0079
2023-08-15,122.33248901367188,122.18554136718922,0.1469,0.0216,0.1469,0.1201
2023-08-16,124.93299102783203,122.14505154117433,2.7879,7.7726,2.7879,2.2315
2023-08-17,122.37220001220705,124.61319736840188,2.241,5.0221,2.241,1.8313
2023-08-18,120.73448181152344,122.48722562755303,1.7527,3.0721,1.7527,1.4517
2023-08-21,123.4242935180664,121.24663064489141,2.1777,4.7422,2.1777,1.7644
2023-08-22,124.49625396728514,123.70502370838221,0.7912,0.626,0.7912,0.6355
2023-08-23,123.71214294433594,124.74402629852102,1.0319,1.0648,1.0319,0.8341
2023-08-24,122.45159912109376,124.04722399709681,1.5956,2.546,1.5956,1.3031
2023-08-25,123.44415283203124,122.98034498970084,0.4638,0.2151,0.4638,0.3757
2023-08-28,124.29774475097655,123.76273279960877,0.535,0.2862,0.535,0.4304
2023-08-29,125.68731689453125,124.51836170215574,1.169,1.3665,1.169,0.9301
2023-08-30,126.95779418945311,125.65170207592745,1.3061,1.7059,1.3061,1.0288
2023-08-31,122.02481079101562,126.61138707729515,4.5866,21.0367,4.5866,3.7587
2023-09-01,121.75679779052734,122.05807861593712,0.3013,0.0908,0.3013,0.2474
2023-09-05,121.95532226562499,122.15995369141456,0.2046,0.0419,0.2046,0.1678
2023-09-06,123.42429351806639,122.45910022582393,0.9652,0.9316,0.9652,0.782
2023-09-07,123.50370025634766,124.00314504570815,0.4994,0.2494,0.4994,0.4044
2023-09-08,123.45407104492188,124.05910272460824,0.605,0.3661,0.605,0.4901
2023-09-11,124.85357666015624,123.81049897034609,1.0431,1.088,1.0431,0.8354
2023-09-12,123.1364517211914,125.22227582943741,2.0858,4.3507,2.0858,1.6939
2023-09-13,122.92800903320312,123.48065980153206,0.5527,0.3054,0.5527,0.4496
2023-09-14,120.3572998046875,123.38249317075679,3.0252,9.1518,3.0252,2.5135
2023-09-15,122.94786834716797,121.13051214739971,1.8174,3.3028,1.8174,1.4782
2023-09-18,122.10419464111328,123.35291615601089,1.2487,1.5593,1.2487,1.0227
2023-09-19,118.20344543457033,122.44754049100811,4.2441,18.0123,4.2441,3.5905
2023-09-20,118.1240463256836,118.93921841464181,0.8152,0.6645,0.8152,0.6901
2023-09-21,120.17864227294922,118.77237191401491,1.4063,1.9776,1.4063,1.1701
2023-09-22,119.11660766601562,120.63119925627234,1.5146,2.294,1.5146,1.2715
2023-09-25,120.06946563720705,119.60432840865906,0.4651,0.2164,0.4651,0.3874
