Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,111.44416046142578,107.01486036426104,4.4293,19.6187,4.4293,3.9745
2023-08-07,116.02976989746095,111.32567659079132,4.7041,22.1285,4.7041,4.0542
2023-08-08,117.04216766357423,116.03107008914594,1.0111,1.0223,1.0111,0.8639
2023-08-09,116.0893096923828,117.11692523173588,1.0276,1.056,1.0276,0.8852
2023-08-10,119.19601440429688,116.08674257195615,3.1093,9.6676,3.1093,2.6085
2023-08-11,120.5756607055664,119.10816557895487,1.4675,2.1535,1.4675,1.2171
2023-08-14,122.60047912597656,120.45437509715157,2.1461,4.6058,2.1461,1.7505
2023-08-15,122.33248901367188,122.45720714367963,0.1247,0.0156,0.1247,0.102
2023-08-16,124.93299102783203,122.15104522367619,2.7819,7.7392,2.7819,2.2268
2023-08-17,122.37220001220705,124.72072607819747,2.3485,5.5156,2.3485,1.9192
2023-08-18,120.73448181152344,122.11982928988802,1.3853,1.9192,1.3853,1.1474
2023-08-21,123.4242935180664,120.47983226934775,2.9445,8.6699,2.9445,2.3856
2023-08-22,124.49625396728514,123.12566457111961,1.3706,1.8785,1.3706,1.1009
2023-08-23,123.71214294433594,124.2432724064438,0.5311,0.2821,0.5311,0.4293
2023-08-24,122.45159912109376,123.51406743623193,1.0625,1.1288,1.0625,0.8677
2023-08-25,123.44415283203124,122.29530510046608,1.1488,1.3199,1.1488,0.9307
2023-08-28,124.29774475097655,123.29415580632484,1.0036,1.0072,1.0036,0.8074
2023-08-29,125.68731689453125,124.16690670416938,1.5204,2.3116,1.5204,1.2097
2023-08-30,126.95779418945311,125.5810942371936,1.3767,1.8953,1.3767,1.0844
2023-08-31,122.02481079101562,126.88088041423907,4.8561,23.5814,4.8561,3.9796
2023-09-01,121.75679779052734,121.93550988275456,0.1787,0.0319,0.1787,0.1468
2023-09-05,121.95532226562499,121.65224954909263,0.3031,0.0919,0.3031,0.2485
2023-09-06,123.42429351806639,121.83618892570667,1.5881,2.5221,1.5881,1.2867
2023-09-07,123.50370025634766,123.29411004197027,0.2096,0.0439,0.2096,0.1697
2023-09-08,123.45407104492188,123.4024590021595,0.0516,0.0027,0.0516,0.0418
2023-09-11,124.85357666015624,123.37498993268491,1.4786,2.1862,1.4786,1.1843
2023-09-12,123.1364517211914,124.77367348357437,1.6372,2.6805,1.6372,1.3296
2023-09-13,122.92800903320312,123.06123647944696,0.1332,0.0177,0.1332,0.1084
2023-09-14,120.3572998046875,122.84177662501861,2.4845,6.1726,2.4845,2.0643
2023-09-15,122.94786834716797,120.28472909660195,2.6631,7.0923,2.6631,2.1661
2023-09-18,122.10419464111328,122.79993268142196,0.6957,0.4841,0.6957,0.5698
2023-09-19,118.20344543457033,121.97158989749187,3.7681,14.1989,3.7681,3.1878
2023-09-20,118.1240463256836,118.1228522531792,0.0012,0.0,0.0012,0.001
2023-09-21,120.17864227294922,118.03718469384194,2.1415,4.5858,2.1415,1.7819
2023-09-22,119.11660766601562,120.0413809333304,0.9248,0.8552,0.9248,0.7764
2023-09-25,120.06946563720705,119.00709876080509,1.0624,1.1286,1.0624,0.8848
2023-09-26,119.66251373291016,119.96503510221375,0.3025,0.0915,0.3025,0.2528
2023-09-27,121.71710205078124,119.57171775103689,2.1454,4.6027,2.1454,1.7626
2023-09-28,120.0297622680664,121.61034612913862,1.5806,2.4982,1.5806,1.3168
2023-09-29,119.24563598632812,119.9228407861533,0.6772,0.4586,0.6772,0.5679
2023-10-02,115.9999771118164,119.13115397341062,3.1312,9.8043,3.1312,2.6993
2023-10-03,116.8337326049805,115.90669156961485,0.927,0.8594,0.927,0.7935
2023-10-04,118.7295150756836,116.69082082149272,2.0387,4.1563,2.0387,1.7171
2023-10-05,123.90074157714844,118.54766176051498,5.3531,28.6555,5.3531,4.3205
2023-10-06,124.76424407958983,123.72929741646567,1.0349,1.0711,1.0349,0.8295
2023-10-09,124.12901306152344,124.69554542977767,0.5665,0.321,0.5665,0.4564
2023-10-10,123.15630340576172,124.06642034944889,0.9101,0.8283,0.9101,0.739
2023-10-11,121.86597442626952,123.05111135078641,1.1851,1.4045,1.1851,0.9725
2023-10-12,118.6401824951172,121.71455370766579,3.0744,9.4518,3.0744,2.5913
2023-10-13,119.41436767578124,118.48661060075484,0.9278,0.8607,0.9278,0.7769
2023-10-16,120.97267150878906,119.2056567964937,1.767,3.1223,1.767,1.4607
2023-10-17,121.87591552734376,120.73337554637419,1.1425,1.3054,1.1425,0.9375
2023-10-18,128.69476318359375,121.66801650366325,7.0267,49.3752,7.0267,5.46
2023-10-19,128.9031982421875,128.50632217214297,0.3969,0.1575,0.3969,0.3079
2023-10-20,132.01983642578125,128.83982696657768,3.18,10.1125,3.18,2.4087
2023-10-23,132.1190948486328,132.0089221290873,0.1102,0.0121,0.1102,0.0834
2023-10-24,130.9081573486328,132.0916901558594,1.1835,1.4007,1.1835,0.9041
2023-10-25,127.6823501586914,130.79600864973236,3.1137,9.6949,3.1137,2.4386
2023-10-26,127.81138610839844,127.49852708067101,0.3129,0.0979,0.3129,0.2448
2023-10-27,127.58309936523438,127.563422870252,0.0197,0.0004,0.0197,0.0154
2023-10-30,130.95779418945312,127.31660567914514,3.6412,13.2583,3.6412,2.7804
2023-10-31,130.85853576660156,130.65982747807539,0.1987,0.0395,0.1987,0.1518
2023-11-01,129.18112182617188,130.62395748715517,1.4428,2.0818,1.4428,1.1169
2023-11-02,129.2406768798828,128.99634214868638,0.2443,0.0597,0.2443,0.1891
2023-11-03,129.2009735107422,129.07506267355438,0.1259,0.0159,0.1259,0.0975
2023-11-06,130.8486328125,129.04817840365013,1.8005,3.2416,1.8005,1.376
2023-11-07,129.30023193359375,130.69409973558504,1.3939,1.9429,1.3939,1.078
2023-11-08,128.14886474609375,129.1692532633715,1.0204,1.0412,1.0204,0.7963
2023-11-09,129.48883056640625,128.03739186930034,1.4514,2.1067,1.4514,1.1209
2023-11-10,127.15631866455078,129.35664205544526,2.2003,4.8414,2.2003,1.7304
2023-11-13,127.97017669677736,127.04754331794538,0.9226,0.8513,0.9226,0.721
2023-11-14,128.72454833984375,127.84991968835584,0.8746,0.765,0.8746,0.6795
2023-11-15,132.21835327148438,128.60663611537893,3.6117,13.0445,3.6117,2.7316
2023-11-16,129.44911193847656,132.10110231280487,2.652,7.0331,2.652,2.0487
2023-11-17,129.71710205078125,129.33995696386137,0.3771,0.1422,0.3771,0.2907
2023-11-20,130.8089141845703,129.59870588876583,1.2102,1.4646,1.2102,0.9252
2023-11-21,134.4813690185547,130.6730390222374,3.8083,14.5034,3.8083,2.8319
2023-11-22,135.91062927246094,134.33753504242486,1.5731,2.4746,1.5731,1.1574
2023-11-24,136.32754516601562,135.81264882915912,0.5149,0.2651,0.5149,0.3777
2023-11-27,135.7816162109375,136.2370080048895,0.4554,0.2074,0.4554,0.3354
2023-11-28,135.69229125976562,135.6596838337282,0.0326,0.0011,0.0326,0.024
2023-11-29,134.3622589111328,135.5297084785161,1.1674,1.3629,1.1674,0.8689
2023-11-30,135.1860809326172,134.17280712146749,1.0133,1.0267,1.0133,0.7495
2023-12-01,136.1786346435547,134.96727359129636,1.2114,1.4674,1.2114,0.8895
2023-12-04,136.71461486816406,135.957750011411,0.7569,0.5728,0.7569,0.5536
2023-12-05,135.0570526123047,136.51693249690015,1.4599,2.1312,1.4599,1.0809
2023-12-06,136.4763946533203,134.88808253202842,1.5883,2.5227,1.5883,1.1638
2023-12-07,137.95532226562497,136.30376973325383,1.6516,2.7276,1.6516,1.1972
2023-12-08,137.2704315185547,137.79807808234182,0.5276,0.2784,0.5276,0.3844
2023-12-11,137.925537109375,137.138554762887,0.787,0.6193,0.787,0.5706
2023-12-12,137.79652404785156,137.80058609017578,0.0041,0.0,0.0041,0.0029
2023-12-13,133.5880584716797,137.67702034563445,4.089,16.7196,4.089,3.0609
2023-12-14,130.38209533691406,133.48894166041282,3.1068,9.6525,3.1068,2.3829
2023-12-15,130.27296447753906,130.34751270268862,0.0745,0.0056,0.0745,0.0572
2023-12-18,131.18609619140625,130.21715832974314,0.9689,0.9388,0.9689,0.7386
2023-12-19,128.48634338378906,131.09631498119415,2.61,6.812,2.61,2.0313
2023-12-20,130.4813690185547,128.45685860979393,2.0245,4.0986,2.0245,1.5516
2023-12-21,132.13893127441406,130.4132865724332,1.7256,2.9778,1.7256,1.3059
2023-12-22,130.8684539794922,132.080128356165,1.2117,1.4682,1.2117,0.9259
2023-12-26,134.1637420654297,130.84128529875215,3.3225,11.0387,3.3225,2.4764
2023-12-27,132.30767822265625,134.10370222476558,1.796,3.2257,1.796,1.3575
2023-12-28,135.25555419921875,132.24353226097446,3.012,9.0723,3.012,2.2269
2023-12-29,134.97764587402344,135.14672716104178,0.1691,0.0286,0.1691,0.1253
2024-01-02,137.6972198486328,134.8609891018168,2.8362,8.0442,2.8362,2.0598
2024-01-03,138.4615020751953,137.56101814726662,0.9005,0.8109,0.9005,0.6503
2024-01-04,138.16375732421875,138.32638479995876,0.1626,0.0264,0.1626,0.1177
2024-01-05,140.64515686035156,138.0070579067251,2.6381,6.9596,2.6381,1.8757
2024-01-08,139.24560546875,140.45814656262155,1.2125,1.4703,1.2125,0.8708
2024-01-09,137.54835510253906,139.03472707606852,1.4864,2.2093,1.4864,1.0806
2024-01-10,139.44415283203125,137.3238550062315,2.1203,4.4957,2.1203,1.5205
2024-01-11,139.9404296875,139.18104338037665,0.7594,0.5767,0.7594,0.5426
2024-01-12,138.24314880371094,139.6892791785067,1.4461,2.0913,1.4461,1.0461
2024-01-16,137.9453887939453,138.02132978643203,0.0759,0.0058,0.0759,0.0551
2024-01-17,135.72206115722656,137.7439205728997,2.0219,4.0879,2.0219,1.4897
2024-01-18,136.8734130859375,135.56069660461526,1.3127,1.7232,1.3127,0.9591
2024-01-19,139.07688903808594,136.69943752681866,2.3775,5.6523,2.3775,1.7095
2024-01-22,125.72702026367188,138.90453937053735,13.1775,173.647,13.1775,10.4811
2024-01-23,122.52107238769533,125.57236835258118,3.0513,9.3104,3.0513,2.4904
2024-01-24,122.48136138916016,122.50964346657476,0.0283,0.0008,0.0283,0.0231
2024-01-25,124.81387329101561,122.43118534107043,2.3827,5.6772,2.3827,1.909
2024-01-26,124.36722564697266,124.6498549303742,0.2826,0.0799,0.2826,0.2273
2024-01-29,126.62032318115234,124.24365319898516,2.3767,5.6486,2.3767,1.877
2024-01-30,127.62281799316405,126.493319583029,1.1295,1.2758,1.1295,0.885
2024-01-31,129.3994903564453,127.52273384235286,1.8768,3.5222,1.8768,1.4504
2024-02-01,130.471435546875,129.3014296817546,1.17,1.3689,1.17,0.8968
2024-02-02,131.41436767578125,130.36151961862925,1.0528,1.1085,1.0528,0.8012
2024-02-05,132.2679443359375,131.27091582240973,0.997,0.9941,0.997,0.7538
2024-02-06,130.70965576171875,132.0812169157507,1.3716,1.8812,1.3716,1.0493
2024-02-07,133.06201171875,130.47088017882197,2.5911,6.714,2.5911,1.9473
2024-02-08,132.6451416015625,132.76093077129917,0.1158,0.0134,0.1158,0.0873
2024-02-09,134.4217987060547,132.33234597818955,2.0895,4.3658,2.0895,1.5544
2024-02-12,135.3647613525391,134.1071129699958,1.2576,1.5817,1.2576,0.9291
2024-02-13,137.66746520996094,135.07337222360093,2.5941,6.7293,2.5941,1.8843
2024-02-14,135.9205780029297,137.4074619232033,1.4869,2.2108,1.4869,1.0939
2024-02-15,136.89329528808594,135.6663611044196,1.2269,1.5054,1.2269,0.8963
2024-02-16,137.58807373046875,136.63578221802163,0.9523,0.9069,0.9523,0.6921
2024-02-20,138.97764587402344,137.33653608575696,1.6411,2.6932,1.6411,1.1808
2024-02-21,137.1910400390625,138.7407565272415,1.5497,2.4016,1.5497,1.1296
2024-02-22,137.02232360839844,136.96713949040713,0.0552,0.003,0.0552,0.0403
2024-02-23,137.58807373046875,136.8075516197723,0.7805,0.6092,0.7805,0.5673
2024-02-26,135.3845672607422,137.37822940167098,1.9937,3.9747,1.9937,1.4726
2024-02-27,132.92303466796875,135.2051085596495,2.2821,5.2079,2.2821,1.7168
2024-02-28,132.3275146484375,132.79675267639323,0.4692,0.2202,0.4692,0.3546
2024-02-29,129.65756225585938,132.220223237171,2.5627,6.5672,2.5627,1.9765
2024-03-01,131.40443420410156,129.61423027804085,1.7902,3.2048,1.7902,1.3624
2024-03-04,130.45156860351562,131.31444874140197,0.8629,0.7446,0.8629,0.6615
2024-03-05,137.41932678222656,130.3959347621585,7.0234,49.328,7.0234,5.1109
2024-03-06,135.622802734375,137.2763640326466,1.6536,2.7343,1.6536,1.2192
2024-03-07,133.69723510742188,135.55194867456157,1.8547,3.44,1.8547,1.3872
2024-03-08,132.6451416015625,133.63657526054158,0.9914,0.9829,0.9914,0.7474
2024-03-11,132.97267150878906,132.56385727519955,0.4088,0.1671,0.4088,0.3074
2024-03-12,132.2084197998047,132.84477305411474,0.6364,0.4049,0.6364,0.4813
2024-03-13,132.84365844726562,132.05897900622585,0.7847,0.6157,0.7847,0.5907
2024-03-14,136.168701171875,132.6693335780874,3.4994,12.2456,3.4994,2.5699
2024-03-15,137.0719451904297,135.969137905573,1.1028,1.2162,1.1028,0.8045
2024-03-18,138.6203155517578,136.91189244948146,1.7084,2.9187,1.7084,1.2324
2024-03-19,140.74440002441406,138.48647269656522,2.2579,5.0982,2.2579,1.6043
2024-03-20,141.65756225585938,140.6263161793504,1.0312,1.0635,1.0312,0.728
2024-03-21,141.75680541992188,141.5382225522444,0.2186,0.0478,0.2186,0.1542
2024-03-22,140.38706970214844,141.60777553713342,1.2207,1.4901,1.2207,0.8695
2024-03-25,140.22825622558594,140.1947376252947,0.0335,0.0011,0.0335,0.0239
2024-03-26,139.88087463378906,140.00071943883722,0.1198,0.0144,0.1198,0.0857
2024-03-27,138.5210723876953,139.63922742667728,1.1182,1.2503,1.1182,0.8072
2024-03-28,139.3151092529297,138.2954057484567,1.0197,1.0398,1.0197,0.7319
2024-04-01,137.0123748779297,139.09130449148506,2.0789,4.3219,2.0789,1.5173
2024-04-02,136.36721801757812,136.83663837343465,0.4694,0.2204,0.4694,0.3442
2024-04-03,139.4838409423828,136.227162388941,3.2567,10.606,3.2567,2.3348
2024-04-04,141.49873352050784,139.31145254123567,2.1873,4.7842,2.1873,1.5458
2024-04-05,142.72952270507812,141.37806010966233,1.3515,1.8265,1.3515,0.9469
2024-04-08,142.60044860839844,142.66856759606708,0.0681,0.0046,0.0681,0.0478
2024-04-09,143.16622924804688,142.55714289631487,0.6091,0.371,0.6091,0.4254
2024-04-10,143.00743103027344,143.10501936898254,0.0976,0.0095,0.0976,0.0682
2024-04-11,141.82627868652344,142.91701794737946,1.0907,1.1897,1.0907,0.7691
2024-04-12,143.91065979003906,141.70864816499216,2.202,4.8489,2.202,1.5301
2024-04-15,146.8684539794922,143.74497209164474,3.1235,9.7561,3.1235,2.1267
2024-04-16,146.61041259765625,146.70338776300923,0.093,0.0086,0.093,0.0634
2024-04-17,147.5731506347656,146.47023572752005,1.1029,1.2164,1.1029,0.7474
2024-04-18,149.23074340820312,147.43792023552305,1.7928,3.2142,1.7928,1.2014
