Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,111.44416046142578,106.91921339350301,4.5249,20.4751,4.5249,4.0603
2023-08-07,116.02976989746095,111.03755426703901,4.9922,24.9222,4.9922,4.3025
2023-08-08,117.04216766357423,115.56113378597547,1.481,2.1935,1.481,1.2654
2023-08-09,116.0893096923828,116.6796046200011,0.5903,0.3484,0.5903,0.5085
2023-08-10,119.19601440429688,115.8178937928269,3.3781,11.4117,3.3781,2.8341
2023-08-11,120.5756607055664,118.88771582549452,1.6879,2.8492,1.6879,1.3999
2023-08-14,122.60047912597656,120.30120853596782,2.2993,5.2866,2.2993,1.8754
2023-08-15,122.33248901367188,122.34522612477122,0.0127,0.0002,0.0127,0.0104
2023-08-16,124.93299102783203,122.13813182743434,2.7949,7.8112,2.7949,2.2371
2023-08-17,122.37220001220705,124.71840274319358,2.3462,5.5047,2.3462,1.9173
2023-08-18,120.73448181152344,122.21205401280714,1.4776,2.1832,1.4776,1.2238
2023-08-21,123.4242935180664,120.6768175719526,2.7475,7.5486,2.7475,2.226
2023-08-22,124.49625396728514,123.3054760834807,1.1908,1.418,1.1908,0.9565
2023-08-23,123.71214294433594,124.3600125776029,0.6479,0.4197,0.6479,0.5237
2023-08-24,122.45159912109376,123.61193275316873,1.1603,1.3464,1.1603,0.9476
2023-08-25,123.44415283203124,122.4200469098687,1.0241,1.0488,1.0241,0.8296
2023-08-28,124.29774475097655,123.42563313647041,0.8721,0.7606,0.8721,0.7016
2023-08-29,125.68731689453125,124.27137710609622,1.4159,2.0049,1.4159,1.1266
2023-08-30,126.95779418945311,125.63330283434333,1.3245,1.7543,1.3245,1.0433
2023-08-31,122.02481079101562,126.8819852362758,4.8572,23.5921,4.8572,3.9805
2023-09-01,121.75679779052734,121.94892174745837,0.1921,0.0369,0.1921,0.1578
2023-09-05,121.95532226562499,121.74880753550724,0.2065,0.0426,0.2065,0.1693
2023-09-06,123.42429351806639,121.9666039145086,1.4577,2.1249,1.4577,1.181
2023-09-07,123.50370025634766,123.38143361007951,0.1223,0.0149,0.1223,0.099
2023-09-08,123.45407104492188,123.44276999670137,0.0113,0.0001,0.0113,0.0092
2023-09-11,124.85357666015624,123.39181867593288,1.4618,2.1367,1.4618,1.1708
2023-09-12,123.1364517211914,124.74470979136457,1.6083,2.5865,1.6083,1.3061
2023-09-13,122.92800903320312,123.05384559845197,0.1258,0.0158,0.1258,0.1024
2023-09-14,120.3572998046875,122.86621976493734,2.5089,6.2947,2.5089,2.0846
2023-09-15,122.94786834716797,120.37378532141156,2.5741,6.6259,2.5741,2.0936
2023-09-18,122.10419464111328,122.8407657685343,0.7366,0.5425,0.7366,0.6032
2023-09-19,118.20344543457033,121.98090570824024,3.7775,14.2692,3.7775,3.1957
2023-09-20,118.1240463256836,118.15879121797299,0.0347,0.0012,0.0347,0.0294
2023-09-21,120.17864227294922,118.12545447404773,2.0532,4.2156,2.0532,1.7084
2023-09-22,119.11660766601562,120.06255536814479,0.9459,0.8948,0.9459,0.7941
2023-09-25,120.06946563720705,118.99100328050736,1.0785,1.1631,1.0785,0.8982
2023-09-26,119.66251373291016,119.8915787555052,0.2291,0.0525,0.2291,0.1914
2023-09-27,121.71710205078124,119.48495873112279,2.2321,4.9825,2.2321,1.8339
2023-09-28,120.0297622680664,121.44185096908767,1.4121,1.994,1.4121,1.1764
2023-09-29,119.24563598632812,119.7905285823058,0.5449,0.2969,0.5449,0.4569
2023-10-02,115.9999771118164,119.05401525818161,3.054,9.3271,3.054,2.6328
2023-10-03,116.8337326049805,115.94100643367847,0.8927,0.797,0.8927,0.7641
2023-10-04,118.7295150756836,116.75840482201649,1.9711,3.8853,1.9711,1.6602
2023-10-05,123.90074157714844,118.52386237930659,5.3769,28.9108,5.3769,4.3397
2023-10-06,124.76424407958983,123.41340148826384,1.3508,1.8248,1.3508,1.0827
2023-10-09,124.12901306152344,124.28241652832003,0.1534,0.0235,0.1534,0.1236
2023-10-10,123.15630340576172,123.71109942777275,0.5548,0.3078,0.5548,0.4505
2023-10-11,121.86597442626952,122.82677259348702,0.9608,0.9231,0.9608,0.7884
2023-10-12,118.6401824951172,121.64769789388718,3.0075,9.0451,3.0075,2.535
2023-10-13,119.41436767578124,118.60085077911391,0.8135,0.6618,0.8135,0.6813
2023-10-16,120.97267150878906,119.38763377875146,1.585,2.5123,1.585,1.3102
2023-10-17,121.87591552734376,120.85004918267259,1.0259,1.0524,1.0259,0.8417
2023-10-18,128.69476318359375,121.68630092459354,7.0085,49.1185,7.0085,5.4458
2023-10-19,128.9031982421875,128.17570277808045,0.7275,0.5292,0.7275,0.5644
2023-10-20,132.01983642578125,128.43376829587214,3.5861,12.8599,3.5861,2.7163
2023-10-23,132.1190948486328,131.55055314392303,0.5685,0.3232,0.5685,0.4303
2023-10-24,130.9081573486328,131.74233544738036,0.8342,0.6959,0.8342,0.6372
2023-10-25,127.6823501586914,130.6366300006166,2.9543,8.7278,2.9543,2.3138
2023-10-26,127.81138610839844,127.56683857973167,0.2445,0.0598,0.2445,0.1913
2023-10-27,127.58309936523438,127.77498657686556,0.1919,0.0368,0.1919,0.1504
2023-10-30,130.95779418945312,127.59297006505585,3.3648,11.322,3.3648,2.5694
2023-10-31,130.85853576660156,130.80612177259354,0.0524,0.0027,0.0524,0.0401
2023-11-01,129.18112182617188,130.68807945009212,1.507,2.2709,1.507,1.1665
2023-11-02,129.2406768798828,129.05960366340514,0.1811,0.0328,0.1811,0.1401
2023-11-03,129.2009735107422,129.14836770111015,0.0526,0.0028,0.0526,0.0407
2023-11-06,130.8486328125,129.12837638990368,1.7203,2.9593,1.7203,1.3147
2023-11-07,129.30023193359375,130.71695915056625,1.4167,2.0071,1.4167,1.0957
2023-11-08,128.14886474609375,129.19893251368194,1.0501,1.1026,1.0501,0.8194
2023-11-09,129.48883056640625,128.10279071616242,1.386,1.9211,1.386,1.0704
2023-11-10,127.15631866455078,129.39502434452152,2.2387,5.0118,2.2387,1.7606
2023-11-13,127.97017669677736,127.10903261469912,0.8611,0.7416,0.8611,0.6729
2023-11-14,128.72454833984375,127.89639475827289,0.8282,0.6858,0.8282,0.6434
2023-11-15,132.21835327148438,128.60297629425258,3.6154,13.071,3.6154,2.7344
2023-11-16,129.44911193847656,131.92968642342203,2.4806,6.1532,2.4806,1.9163
2023-11-17,129.71710205078125,129.17714653625444,0.54,0.2916,0.54,0.4163
2023-11-20,130.8089141845703,129.4536120223529,1.3553,1.8368,1.3553,1.0361
2023-11-21,134.4813690185547,130.51934812880154,3.962,15.6976,3.962,2.9461
2023-11-22,135.91062927246094,134.04840823017548,1.8622,3.4679,1.8622,1.3702
2023-11-24,136.32754516601562,135.47087165653375,0.8567,0.7339,0.8567,0.6284
2023-11-27,135.7816162109375,135.9294481818215,0.1478,0.0219,0.1478,0.1089
2023-11-28,135.69229125976562,135.45670600149606,0.2356,0.0555,0.2356,0.1736
2023-11-29,134.3622589111328,135.42637758540877,1.0641,1.1323,1.0641,0.792
2023-11-30,135.1860809326172,134.18972131574264,0.9964,0.9927,0.9964,0.737
2023-12-01,136.1786346435547,135.01761821543823,1.161,1.348,1.161,0.8526
2023-12-04,136.71461486816406,135.98186525934761,0.7327,0.5369,0.7327,0.536
2023-12-05,135.0570526123047,136.5042447747328,1.4472,2.0944,1.4472,1.0715
2023-12-06,136.4763946533203,134.90508419041544,1.5713,2.469,1.5713,1.1513
2023-12-07,137.95532226562497,136.2841978206352,1.6711,2.7927,1.6711,1.2114
2023-12-08,137.2704315185547,137.7073726184608,0.4369,0.1909,0.4369,0.3183
2023-12-11,137.925537109375,137.04658140326046,0.879,0.7726,0.879,0.6373
2023-12-12,137.79652404785156,137.69780711510975,0.0987,0.0097,0.0987,0.0716
2023-12-13,133.5880584716797,137.59041917476316,4.0024,16.0189,4.0024,2.996
2023-12-14,130.38209533691406,133.49716689065372,3.1151,9.7037,3.1151,2.3892
2023-12-15,130.27296447753906,130.48668254846598,0.2137,0.0457,0.2137,0.1641
2023-12-18,131.18609619140625,130.45267471610714,0.7334,0.5379,0.7334,0.5591
2023-12-19,128.48634338378906,131.3075924851073,2.8212,7.9594,2.8212,2.1958
2023-12-20,130.4813690185547,128.625358349389,1.856,3.4448,1.856,1.4224
2023-12-21,132.13893127441406,130.49900792508924,1.6399,2.6893,1.6399,1.2411
2023-12-22,130.8684539794922,132.02945356698547,1.161,1.3479,1.161,0.8872
2023-12-26,134.1637420654297,130.73854665562067,3.4252,11.732,3.4252,2.553
2023-12-27,132.30767822265625,133.8718035381089,1.5641,2.4465,1.5641,1.1822
2023-12-28,135.25555419921875,132.0284690053777,3.2271,10.4141,3.2271,2.3859
2023-12-29,134.97764587402344,134.85162280275836,0.126,0.0159,0.126,0.0934
2024-01-02,137.6972198486328,134.5899913973335,3.1072,9.6549,3.1072,2.2566
2024-01-03,138.4615020751953,137.22649298028955,1.235,1.5252,1.235,0.892
2024-01-04,138.16375732421875,138.00673159299185,0.157,0.0247,0.157,0.1137
2024-01-05,140.64515686035156,137.76968645361194,2.8755,8.2683,2.8755,2.0445
2024-01-08,139.24560546875,140.19443924077768,0.9488,0.9003,0.9488,0.6814
2024-01-09,137.54835510253906,138.87669277683017,1.3283,1.7645,1.3283,0.9657
2024-01-10,139.44415283203125,137.29707043862982,2.1471,4.61,2.1471,1.5397
2024-01-11,139.9404296875,139.14413192362917,0.7963,0.6341,0.7963,0.569
2024-01-12,138.24314880371094,139.63713896489935,1.394,1.9432,1.394,1.0084
2024-01-16,137.9453887939453,138.0199784372926,0.0746,0.0056,0.0746,0.0541
2024-01-17,135.72206115722656,137.77429332760494,2.0522,4.2117,2.0522,1.5121
2024-01-18,136.8734130859375,135.6614776542183,1.2119,1.4688,1.2119,0.8854
2024-01-19,139.07688903808594,136.78349240070384,2.2934,5.2597,2.2934,1.649
2024-01-22,125.72702026367188,138.86886909881105,13.1418,172.7082,13.1418,10.4527
2024-01-23,122.52107238769533,125.1978150178802,2.6767,7.165,2.6767,2.1847
2024-01-24,122.48136138916016,122.32881091399487,0.1526,0.0233,0.1526,0.1245
2024-01-25,124.81387329101561,122.45086737593874,2.363,5.5838,2.363,1.8932
2024-01-26,124.36722564697266,124.69020670558712,0.323,0.1043,0.323,0.2597
2024-01-29,126.62032318115234,124.22822702836356,2.3921,5.7221,2.3921,1.8892
2024-01-30,127.62281799316405,126.393523494487,1.2293,1.5112,1.2293,0.9632
2024-01-31,129.3994903564453,127.36687580739272,2.0326,4.1315,2.0326,1.5708
2024-02-01,130.471435546875,129.10191469568417,1.3695,1.8756,1.3695,1.0497
2024-02-02,131.41436767578125,130.16396024115966,1.2504,1.5635,1.2504,0.9515
2024-02-05,132.2679443359375,131.10014279045572,1.1678,1.3638,1.1678,0.8829
2024-02-06,130.70965576171875,131.94537143644993,1.2357,1.527,1.2357,0.9454
2024-02-07,133.06201171875,130.45826670751194,2.6037,6.7795,2.6037,1.9568
2024-02-08,132.6451416015625,132.69564184133196,0.0505,0.0026,0.0505,0.0381
2024-02-09,134.4217987060547,132.29630130900478,2.1255,4.5177,2.1255,1.5812
2024-02-12,135.3647613525391,133.99617655331713,1.3686,1.873,1.3686,1.011
2024-02-13,137.66746520996094,134.91518379048557,2.7523,7.5751,2.7523,1.9992
2024-02-14,135.9205780029297,137.14271578787702,1.2221,1.4936,1.2221,0.8992
2024-02-15,136.89329528808594,135.48891399877357,1.4044,1.9723,1.4044,1.0259
2024-02-16,137.58807373046875,136.46453929021936,1.1235,1.2623,1.1235,0.8166
2024-02-20,138.97764587402344,137.1706239153682,1.807,3.2653,1.807,1.3002
2024-02-21,137.1910400390625,138.53989304922743,1.3489,1.8194,1.3489,0.9832
2024-02-22,137.02232360839844,136.8522495043362,0.1701,0.0289,0.1701,0.1241
2024-02-23,137.58807373046875,136.7459793483249,0.8421,0.7091,0.8421,0.612
2024-02-26,135.3845672607422,137.32617836388454,1.9416,3.7699,1.9416,1.4341
2024-02-27,132.92303466796875,135.22561328375923,2.3026,5.3019,2.3026,1.7323
2024-02-28,132.3275146484375,132.90894787575962,0.5814,0.3381,0.5814,0.4394
2024-02-29,129.65756225585938,132.3910707898758,2.7335,7.4721,2.7335,2.1083
2024-03-01,131.40443420410156,129.83065832134525,1.5738,2.4768,1.5738,1.1977
2024-03-04,130.45156860351562,131.4856866359969,1.0341,1.0694,1.0341,0.7927
2024-03-05,137.41932678222656,130.50147188706978,6.9179,47.8567,6.9179,5.0341
2024-03-06,135.622802734375,137.05217282038848,1.4294,2.0431,1.4294,1.0539
2024-03-07,133.69723510742188,135.214379400888,1.5171,2.3017,1.5171,1.1348
2024-03-08,132.6451416015625,133.3422889382291,0.6971,0.486,0.6971,0.5256
2024-03-11,132.97267150878906,132.38602952803922,0.5866,0.3441,0.5866,0.4412
2024-03-12,132.2084197998047,132.75565548428403,0.5472,0.2995,0.5472,0.4139
2024-03-13,132.84365844726562,132.05575598974337,0.7879,0.6208,0.7879,0.5931
2024-03-14,136.168701171875,132.68512226763778,3.4836,12.1353,3.4836,2.5583
2024-03-15,137.0719451904297,135.84371692159039,1.2282,1.5085,1.2282,0.896
2024-03-18,138.6203155517578,136.71438785735882,1.9059,3.6326,1.9059,1.3749
2024-03-19,140.74440002441406,138.230676600886,2.5137,6.3188,2.5137,1.786
2024-03-20,141.65756225585938,140.3145801973551,1.343,1.8036,1.343,0.948
2024-03-21,141.75680541992188,141.2449393624138,0.5119,0.262,0.5119,0.3611
2024-03-22,140.38706970214844,141.3896805527511,1.0026,1.0052,1.0026,0.7142
2024-03-25,140.22825622558594,140.1101064908462,0.1181,0.014,0.1181,0.0843
2024-03-26,139.88087463378906,140.00731410234766,0.1264,0.016,0.1264,0.0904
2024-03-27,138.5210723876953,139.70741190929675,1.1863,1.4074,1.1863,0.8564
2024-03-28,139.3151092529297,138.42637859706792,0.8887,0.7898,0.8887,0.6379
2024-04-01,137.0123748779297,139.20264221193065,2.1903,4.7973,2.1903,1.5986
2024-04-02,136.36721801757812,136.97064368512474,0.6034,0.3641,0.6034,0.4425
2024-04-03,139.4838409423828,136.37295647000792,3.1109,9.6776,3.1109,2.2303
2024-04-04,141.49873352050784,139.31534343931799,2.1834,4.7672,2.1834,1.543
2024-04-05,142.72952270507812,141.2200578956017,1.5095,2.2785,1.5095,1.0576
2024-04-08,142.60044860839844,142.41021661903324,0.1902,0.0362,0.1902,0.1334
2024-04-09,143.16622924804688,142.30086997677972,0.8654,0.7488,0.8654,0.6044
2024-04-10,143.00743103027344,142.8792519396775,0.1282,0.0164,0.1282,0.0896
2024-04-11,141.82627868652344,142.75677701730274,0.9305,0.8658,0.9305,0.6561
2024-04-12,143.91065979003906,141.6463289264202,2.2643,5.1272,2.2643,1.5734
2024-04-15,146.8684539794922,143.66441850003048,3.204,10.2658,3.204,2.1816
2024-04-16,146.61041259765625,146.5097921235565,0.1006,0.0101,0.1006,0.0686
2024-04-17,147.5731506347656,146.2703737989068,1.3028,1.6972,1.3028,0.8828
2024-04-18,149.23074340820312,147.2390064688734,1.9917,3.967,1.9917,1.3347
2024-04-19,152.49624633789062,148.878729899503,3.6175,13.0864,3.6175,2.3722
2024-04-22,152.64512634277344,152.07516687465613,0.57,0.3249,0.57,0.3734
2024-04-23,153.68730163574222,152.26781741443665,1.4195,2.0149,1.4195,0.9236
2024-04-24,151.91064453125,153.33770119073233,1.4271,2.0365,1.4271,0.9394
2024-04-25,140.74440002441406,151.65354878659127,10.9091,119.0095,10.9091,7.751
2024-04-26,141.64761352539062,140.52618483701735,1.1214,1.2576,1.1214,0.7917
2024-04-29,142.471435546875,141.5672966392358,0.9041,0.8175,0.9041,0.6346
2024-04-30,143.85108947753906,142.38315313792555,1.4679,2.1548,1.4679,1.0205
2024-05-01,144.32752990722656,143.70692299494294,0.6206,0.3852,0.6206,0.43
2024-05-02,145.5880584716797,144.16877769011808,1.4193,2.0144,1.4193,0.9749
2024-05-03,146.12406921386716,145.40666799627343,0.7174,0.5147,0.7174,0.491
2024-05-06,149.10171508789062,145.9453118803176,3.1564,9.9629,3.1564,2.1169
2024-05-07,147.62281799316406,148.84317886867393,1.2204,1.4893,1.2204,0.8267
2024-05-08,145.28036499023438,147.40244689723022,2.1221,4.5032,2.1221,1.4607
2024-05-09,146.04463195800784,145.15090719124055,0.8937,0.7987,0.8937,0.612
2024-05-10,142.86846923828125,145.91735705352676,3.0489,9.2957,3.0489,2.1341
2024-05-13,140.70469665527344,142.84245400586587,2.1378,4.57,2.1378,1.5193
2024-05-14,141.14138793945312,140.80602420240575,0.3354,0.1125,0.3354,0.2376
2024-05-15,142.7692108154297,141.23601378986496,1.5332,2.3507,1.5332,1.0739
2024-05-16,144.23818969726562,142.7397416962949,1.4984,2.2453,1.4984,1.0389
2024-05-17,144.20840454101562,144.08747962323469,0.1209,0.0146,0.1209,0.0839
2024-05-20,137.71710205078125,144.0129001044461,6.2958,39.6371,6.2958,4.5715
2024-05-21,139.05706787109375,137.58726695757287,1.4698,2.1603,1.4698,1.057
2024-05-22,136.4069061279297,138.8885968946488,2.4817,6.1588,2.4817,1.8193
2024-05-23,138.73941040039062,136.31704800566877,2.4224,5.8678,2.4224,1.746
2024-05-24,137.0520782470703,138.51634854935764,1.4643,2.1441,1.4643,1.0684
2024-05-28,133.20095825195312,136.84844289979083,3.6475,13.3041,3.6475,2.7383
2024-05-29,132.7841033935547,133.12832865917153,0.3442,0.1185,0.3442,0.2592
2024-05-30,131.5731658935547,132.77485919995524,1.2017,1.4441,1.2017,0.9133
2024-05-31,134.2332305908203,131.6130051423752,2.6202,6.8656,2.6202,1.952
2024-06-03,135.27542114257812,134.08290923021195,1.1925,1.4221,1.1925,0.8815
2024-06-04,137.9056854248047,135.0127433139096,2.8929,8.3691,2.8929,2.0978
2024-06-05,138.5806121826172,137.4936094390323,1.087,1.1816,1.087,0.7844
2024-06-06,139.72207641601562,138.139542130868,1.5825,2.5044,1.5825,1.1326
2024-06-07,143.26547241210938,139.2551706735976,4.0103,16.0825,4.0103,2.7992
2024-06-10,141.11163330078125,142.67352045696498,1.5619,2.4395,1.5619,1.1068
2024-06-11,147.37464904785156,140.6129589303273,6.7617,45.7205,6.7617,4.5881
2024-06-12,146.81884765625,146.57109553987084,0.2478,0.0614,0.2478,0.1687
2024-06-13,148.5657196044922,146.09641931470833,2.4693,6.0974,2.4693,1.6621
2024-06-14,147.6327362060547,147.86522845927993,0.2325,0.0541,0.2325,0.1575
2024-06-17,150.64019775390628,147.06423825486945,3.576,12.7875,3.576,2.3738
2024-06-18,150.02479553222656,150.02148278076493,0.0033,0.0,0.0033,0.0022
2024-06-20,150.57070922851562,149.5110497145106,1.0597,1.1229,1.0597,0.7038
2024-06-21,150.8089141845703,150.1226735743221,0.6862,0.4709,0.6862,0.455
2024-06-24,151.1265106201172,150.4294292968434,0.6971,0.4859,0.6971,0.4613
2024-06-25,155.3349609375,150.80242648130115,4.5325,20.5439,4.5325,2.9179
2024-06-26,154.7096405029297,154.86716586939292,0.1575,0.0248,0.1575,0.1018
2024-06-27,155.20591735839844,154.2985867896641,0.9073,0.8232,0.9073,0.5846
2024-06-28,150.8089141845703,154.8396057659602,4.0307,16.2465,4.0307,2.6727
2024-07-01,152.7940216064453,150.5918229766803,2.2022,4.8497,2.2022,1.4413
2024-07-02,154.9776611328125,152.55763425679106,2.42,5.8565,2.42,1.5615
2024-07-03,156.96275329589847,154.6713678069209,2.2914,5.2504,2.2914,1.4598
2024-07-05,156.48634338378906,156.61296204207974,0.1266,0.016,0.1266,0.0809
2024-07-08,159.593017578125,156.183037822595,3.41,11.628,3.41,2.1367
2024-07-09,158.00494384765625,159.226786900952,1.2218,1.4929,1.2218,0.7733
2024-07-10,155.1662139892578,157.70668121745257,2.5405,6.454,2.5405,1.6373
2024-07-11,154.83871459960938,154.99666815788441,0.158,0.0249,0.158,0.102
2024-07-12,155.7121124267578,154.75870747465706,0.9534,0.909,0.9534,0.6123
2024-07-15,156.28781127929688,155.63234081230712,0.6555,0.4296,0.6555,0.4194
2024-07-16,154.56076049804688,156.19000806029908,1.6292,2.6544,1.6292,1.0541
2024-07-17,156.774169921875,154.50878335173547,2.2654,5.132,2.2654,1.445
2024-07-18,158.72947692871097,156.63388141315954,2.0956,4.3915,2.0956,1.3202
2024-07-19,159.90074157714844,158.5017030145491,1.399,1.9573,1.399,0.8749
2024-07-22,156.774169921875,159.63264894724944,2.8585,8.1709,2.8585,1.8233
2024-07-23,172.39698791503906,156.56884391095082,15.8281,250.5301,15.8281,9.1812
2024-07-24,166.6501007080078,171.41952591666995,4.7694,22.7474,4.7694,2.8619
2024-07-25,163.41436767578125,165.62298629501402,2.2086,4.878,2.2086,1.3515
2024-07-26,164.3374481201172,162.52501418177053,1.8124,3.2849,1.8124,1.1029
2024-07-29,167.20591735839844,163.60170540790568,3.6042,12.9903,3.6042,2.1556
2024-07-30,167.73199462890625,166.52775395795288,1.2042,1.4502,1.2042,0.718
2024-07-31,168.5657196044922,167.20377111815105,1.3619,1.8549,1.3619,0.808
2024-08-01,171.69227600097656,168.1603311506151,3.5319,12.4746,3.5319,2.0571
2024-08-02,169.8858184814453,171.28199845330982,1.3962,1.9493,1.3962,0.8218
2024-08-05,170.3027038574219,169.61348014545092,0.6892,0.475,0.6892,0.4047
2024-08-06,169.0222930908203,170.0904702584594,1.0682,1.141,1.0682,0.632
2024-08-07,169.62777709960938,168.9076551989865,0.7201,0.5186,0.7201,0.4245
2024-08-08,170.6500701904297,169.5227582621137,1.1273,1.2708,1.1273,0.6606
2024-08-09,172.5855712890625,170.50642774753396,2.0791,4.3228,2.0791,1.2047
2024-08-12,174.12403869628903,172.3521409163659,1.7719,3.1396,1.7719,1.0176
2024-08-13,175.97018432617188,173.82665024967173,2.1435,4.5947,2.1435,1.2181
2024-08-14,177.13150024414062,175.6143047598489,1.5172,2.3019,1.5172,0.8565
2024-08-15,178.2034454345703,176.75760418476784,1.4458,2.0905,1.4458,0.8113
2024-08-16,176.67491149902344,177.82628822681363,1.1514,1.3257,1.1514,0.6517
2024-08-19,173.7567901611328,176.37335593904936,2.6166,6.8464,2.6166,1.5059
2024-08-20,175.01734924316406,173.59763857159578,1.4197,2.0156,1.4197,0.8112
2024-08-21,176.69476318359375,174.85053357888773,1.8442,3.4012,1.8442,1.0437
2024-08-22,176.07936096191406,176.4569860894444,0.3776,0.1426,0.3776,0.2145
2024-08-23,172.26795959472656,175.8551951008567,3.5872,12.8683,3.5872,2.0824
2024-08-26,172.6649932861328,172.16323656321129,0.5018,0.2518,0.5018,0.2906
2024-08-27,173.12156677246094,172.59160363274077,0.53,0.2809,0.53,0.3061
2024-08-28,173.82627868652344,173.02866617049858,0.7976,0.6362,0.7976,0.4589
2024-08-29,175.75184631347656,173.6896501101828,2.0622,4.2527,2.0622,1.1734
2024-08-30,177.02230834960938,175.5203035438617,1.502,2.256,1.502,0.8485
2024-09-03,174.64016723632812,176.7315447478777,2.0914,4.3739,2.0914,1.1975
2024-09-04,175.51461791992188,174.40221955878405,1.1124,1.2374,1.1124,0.6338
2024-09-05,177.06475830078125,175.26401301191618,1.8007,3.2427,1.8007,1.017
2024-09-06,178.4261016845703,176.75802027372993,1.6681,2.7825,1.6681,0.9349
2024-09-09,175.6239013671875,178.07009424246007,2.4462,5.9839,2.4462,1.3929
2024-09-10,177.2436065673828,175.34834172847332,1.8953,3.592,1.8953,1.0693
2024-09-11,177.65103149414062,176.9269449792355,0.7241,0.5243,0.7241,0.4076
2024-09-12,175.3357391357422,177.32601804967635,1.9903,3.9612,1.9903,1.1351
2024-09-13,176.58779907226562,175.09920562601928,1.4886,2.2159,1.4886,0.843
2024-09-16,179.12168884277344,176.32527322265742,2.7964,7.8199,2.7964,1.5612
2024-09-17,179.64834594726562,178.7470723498991,0.9013,0.8123,0.9013,0.5017
2024-09-18,184.40809631347656,179.25352514912083,5.1546,26.5696,5.1546,2.7952
2024-09-19,184.19940185546875,183.8370837805578,0.3623,0.1313,0.3623,0.1967
2024-09-20,185.68002319335935,183.66539844826184,2.0146,4.0587,2.0146,1.085
2024-09-23,182.26171875,185.15615926874668,2.8944,8.3778,2.8944,1.5881
2024-09-24,183.3249969482422,181.87648303457536,1.4485,2.0982,1.4485,0.7901
2024-09-25,185.43157958984372,182.97148595444742,2.4601,6.0521,2.4601,1.3267
2024-09-26,186.20664978027344,185.0278397696711,1.1788,1.3896,1.1788,0.6331
2024-09-27,190.747802734375,185.80421907219988,4.9436,24.439,4.9436,2.5917
2024-09-30,189.27713012695312,190.19989732732938,0.9228,0.8515,0.9228,0.4875
2024-10-01,189.2373962402344,188.7984660817965,0.4389,0.1927,0.4389,0.2319
2024-10-02,191.443374633789,188.82421952118423,2.6192,6.86,2.6192,1.3681
2024-10-03,186.1172332763672,191.00948602693822,4.8923,23.9341,4.8923,2.6286
2024-10-04,185.6005096435547,185.8291141520349,0.2286,0.0523,0.2286,0.1232
2024-10-07,187.00161743164068,185.43101874540753,1.5706,2.4668,1.5706,0.8399
2024-10-08,184.32861328125,186.81700350108625,2.4884,6.1921,2.4884,1.35
2024-10-09,181.4667816162109,184.23587335200864,2.7691,7.6679,2.7691,1.5259
2024-10-10,178.08824157714844,181.51962987750628,3.4314,11.7744,3.4314,1.9268
2024-10-11,178.2571563720703,178.3197947085955,0.0626,0.0039,0.0626,0.0351
2024-10-14,182.19216918945315,178.52042149428053,3.6717,13.4817,3.6717,2.0153
2024-10-15,182.4405975341797,182.20689467080956,0.2337,0.0546,0.2337,0.1281
2024-10-16,173.2688751220703,182.34442516299532,9.0756,82.3656,9.0756,5.2378
2024-10-17,168.09176635742188,173.14314655746603,5.0514,25.5164,5.0514,3.0051
2024-10-18,167.61480712890625,168.25191085299593,0.6371,0.4059,0.6371,0.3801
2024-10-21,170.04934692382812,167.91810240237828,2.1312,4.5422,2.1312,1.2533
2024-10-22,170.77473449707034,170.19795701054318,0.5768,0.3327,0.5768,0.3377
