Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,111.44416046142578,106.93240651952692,4.5118,20.3559,4.5118,4.0484
2023-08-07,116.02976989746095,111.71270707363692,4.3171,18.637,4.3171,3.7207
2023-08-08,117.04216766357423,116.2914818854606,0.7507,0.5635,0.7507,0.6414
2023-08-09,116.0893096923828,117.6813323140941,1.592,2.5345,1.592,1.3714
2023-08-10,119.19601440429688,117.55709366376321,1.6389,2.6861,1.6389,1.375
2023-08-11,120.5756607055664,120.3221702720657,0.2535,0.0643,0.2535,0.2102
2023-08-14,122.60047912597656,120.79257479854914,1.8079,3.2685,1.8079,1.4746
2023-08-15,122.33248901367188,123.14116534295863,0.8087,0.654,0.8087,0.661
2023-08-16,124.93299102783203,122.80878989978737,2.1242,4.5122,2.1242,1.7003
2023-08-17,122.37220001220705,125.00803772709243,2.6358,6.9476,2.6358,2.154
2023-08-18,120.73448181152344,122.59244817206674,1.858,3.452,1.858,1.5389
2023-08-21,123.4242935180664,121.1323528307912,2.2919,5.253,2.2919,1.857
2023-08-22,124.49625396728514,123.20219591728983,1.2941,1.6746,1.2941,1.0394
2023-08-23,123.71214294433594,123.36345430362917,0.3487,0.1216,0.3487,0.2819
2023-08-24,122.45159912109376,123.4425192769313,0.9909,0.9819,0.9909,0.8092
2023-08-25,123.44415283203124,122.37580958573382,1.0683,1.1414,1.0683,0.8654
2023-08-28,124.29774475097655,122.73213418307567,1.5656,2.4511,1.5656,1.2596
2023-08-29,125.68731689453125,123.885027023146,1.8023,3.2482,1.8023,1.4339
2023-08-30,126.95779418945311,125.54012296185827,1.4177,2.0098,1.4177,1.1166
2023-08-31,122.02481079101562,126.43793001752965,4.4131,19.4756,4.4131,3.6166
2023-09-01,121.75679779052734,122.17458146237186,0.4178,0.1745,0.4178,0.3431
2023-09-05,121.95532226562499,122.04636289071095,0.091,0.0083,0.091,0.0747
2023-09-06,123.42429351806639,121.62454170348065,1.7998,3.2391,1.7998,1.4582
2023-09-07,123.50370025634766,122.51405383127985,0.9896,0.9794,0.9896,0.8013
2023-09-08,123.45407104492188,123.0082563437013,0.4458,0.1988,0.4458,0.3611
2023-09-11,124.85357666015624,123.37560804131317,1.478,2.1844,1.478,1.1838
2023-09-12,123.1364517211914,125.02570672203,1.8893,3.5693,1.8893,1.5343
2023-09-13,122.92800903320312,123.42885757902695,0.5008,0.2508,0.5008,0.4074
2023-09-14,120.3572998046875,123.22370068624878,2.8664,8.2163,2.8664,2.3816
2023-09-15,122.94786834716797,120.30604261713597,2.6418,6.9792,2.6418,2.1487
2023-09-18,122.10419464111328,122.63017344542821,0.526,0.2767,0.526,0.4308
2023-09-19,118.20344543457033,121.78557935756453,3.5821,12.8317,3.5821,3.0305
2023-09-20,118.1240463256836,118.3106634636297,0.1866,0.0348,0.1866,0.158
2023-09-21,120.17864227294922,118.19605903302545,1.9826,3.9306,1.9826,1.6497
2023-09-22,119.11660766601562,119.45030904946407,0.3337,0.1114,0.3337,0.2801
2023-09-25,120.06946563720705,118.56332641826884,1.5061,2.2685,1.5061,1.2544
2023-09-26,119.66251373291016,120.16957352670035,0.5071,0.2571,0.5071,0.4237
2023-09-27,121.71710205078124,119.73669112579955,1.9804,3.922,1.9804,1.6271
2023-09-28,120.0297622680664,121.98855156244825,1.9588,3.8369,1.9588,1.6319
2023-09-29,119.24563598632812,120.36282500938341,1.1172,1.2481,1.1172,0.9369
2023-10-02,115.9999771118164,119.23101566593505,3.231,10.4396,3.231,2.7854
2023-10-03,116.8337326049805,116.16651102594824,0.6672,0.4452,0.6672,0.5711
2023-10-04,118.7295150756836,116.69898939775386,2.0305,4.123,2.0305,1.7102
2023-10-05,123.90074157714844,118.20461239861288,5.6961,32.4459,5.6961,4.5973
2023-10-06,124.76424407958983,123.0571535939207,1.7071,2.9142,1.7071,1.3683
2023-10-09,124.12901306152344,124.67859014491387,0.5496,0.302,0.5496,0.4427
2023-10-10,123.15630340576172,125.02274228702663,1.8664,3.4836,1.8664,1.5155
2023-10-11,121.86597442626952,124.30905564198656,2.4431,5.9686,2.4431,2.0047
2023-10-12,118.6401824951172,122.32141331413548,3.6812,13.5515,3.6812,3.1029
2023-10-13,119.41436767578124,118.98723786333177,0.4271,0.1824,0.4271,0.3577
2023-10-16,120.97267150878906,118.80523910607734,2.1674,4.6978,2.1674,1.7917
2023-10-17,121.87591552734376,119.72702307141844,2.1489,4.6177,2.1489,1.7632
2023-10-18,128.69476318359375,121.01126654615656,7.6835,59.0361,7.6835,5.9703
2023-10-19,128.9031982421875,128.40921744349544,0.494,0.244,0.494,0.3832
