Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-11-06,304.06597900390625,300.01254189000974,4.0534,16.4304,4.0534,1.3331
2023-11-07,299.8554077148437,304.5379575625193,4.6825,21.9263,4.6825,1.5616
2023-11-08,292.2485656738281,300.32085052297765,8.0723,65.1618,8.0723,2.7621
2023-11-09,283.1124267578125,292.7022009579705,9.5898,91.9638,9.5898,3.3873
2023-11-10,281.2851257324219,283.55188070640725,2.2668,5.1382,2.2668,0.8059
2023-11-13,287.8890075683594,281.7217433002188,6.1673,38.0351,6.1673,2.1422
2023-11-14,285.6050109863281,288.3358758410868,2.7309,7.4576,2.7309,0.9562
2023-11-15,292.19885253906244,286.0483339843813,6.1505,37.8289,6.1505,2.1049
2023-11-16,284.7608337402344,292.65241065727605,7.8916,62.277,7.8916,2.7713
2023-11-17,283.51953125,285.2028463859715,1.6833,2.8335,1.6833,0.5937
2023-11-20,288.2464904785156,283.95961711602286,4.2869,18.3773,4.2869,1.4872
2023-11-21,295.9228820800781,288.6939136448527,7.229,52.258,7.229,2.4429
2023-11-22,293.0528869628906,296.38222072691497,3.3293,11.0845,3.3293,1.1361
2023-11-24,293.8374938964844,293.78490712564235,0.0526,0.0028,0.0526,0.0179
2023-11-27,294.32403564453125,294.29359555340125,0.0304,0.0009,0.0304,0.0103
2023-11-28,298.06787109375,294.7808925233039,3.287,10.8042,3.287,1.1028
2023-11-29,297.0947265625,298.53053924435517,1.4358,2.0616,1.4358,0.4833
2023-11-30,296.5981750488281,297.55588417465333,0.9577,0.9172,0.9577,0.3229
2023-12-01,295.8235778808594,297.2958798156069,1.4723,2.1677,1.4723,0.4977
2023-12-04,305.4264831542969,296.2827623853191,9.1437,83.6076,9.1437,2.9938
2023-12-05,299.5673828125,305.9005735203209,6.3332,40.1093,6.3332,2.1141
2023-12-06,302.9438171386719,300.0323785414221,2.9114,8.4765,2.9114,0.961
2023-12-07,309.55767822265625,303.4140538505271,6.1436,37.7441,6.1436,1.9846
2023-12-08,298.2267761230469,310.0381811294719,11.8114,139.5093,11.8114,3.9605
2023-12-11,300.45123291015625,298.68969092987754,1.7615,3.103,1.7615,0.5863
2023-12-12,302.95379638671875,300.91760057255306,2.0362,4.1461,2.0362,0.6721
2023-12-13,297.5912170410156,304.8502262594775,7.259,52.6932,7.259,2.4393
2023-12-14,293.6786193847656,298.05314531768454,4.3745,19.1365,4.3745,1.4896
2023-12-15,297.0053100585937,294.1344744328271,2.8708,8.2417,2.8708,0.9666
2023-12-18,298.7431335449219,297.4663288762894,1.2768,1.6302,1.2768,0.4274
2023-12-19,296.8861083984375,299.2068498542176,2.3207,5.3858,2.3207,0.7817
2023-12-20,295.6745910644531,297.3469421884365,1.6724,2.7968,1.6724,0.5656
2023-12-21,301.8514404296875,296.133544307977,5.7179,32.6943,5.7179,1.8943
2023-12-22,298.1275329589844,302.3199815280241,4.1924,17.5766,4.1924,1.4063
2023-12-26,304.6916198730469,298.59029371817815,6.1013,37.2262,6.1013,2.0025
2023-12-27,298.8523864746094,305.164569566532,6.3122,39.8437,6.3122,2.1121
2023-12-28,303.4602355957031,299.316272368942,4.144,17.1724,4.144,1.3656
2023-12-29,302.6756896972656,303.93127390476366,1.2556,1.5765,1.2556,0.4148
2024-01-02,313.2419128417969,303.14551021522857,10.0964,101.9373,10.0964,3.2232
2024-01-03,316.15155029296875,313.7281345065967,2.4234,5.8729,2.4234,0.7665
2024-01-04,319.607421875,316.6422883673149,2.9651,8.792,2.9651,0.9277
2024-01-05,325.5459899902344,320.103524236707,5.4425,29.6204,5.4425,1.6718
2024-01-08,321.9112854003906,326.05131034084116,4.14,17.1398,4.14,1.2861
2024-01-09,312.5070495605469,322.41096387472135,9.9039,98.0875,9.9039,3.1692
2024-01-10,318.9222106933594,312.9921305528078,5.9301,35.1659,5.9301,1.8594
2024-01-11,321.75247192382807,319.41724945371607,2.3352,5.4533,2.3352,0.7258
2024-01-12,314.7712097167969,322.2519038840437,7.4807,55.9608,7.4807,2.3765
2024-01-16,310.6400451660156,315.2598051931527,4.6198,21.3422,4.6198,1.4872
2024-01-17,306.5089416503906,311.12222814894994,4.6133,21.2824,4.6133,1.5051
2024-01-18,311.8317565917969,306.98471223464367,4.847,23.4938,4.847,1.5544
2024-01-19,310.3818664550781,312.31578937799713,1.9339,3.7401,1.9339,0.6231
2024-01-22,297.45220947265625,310.8636486867799,13.4114,179.8667,13.4114,4.5088
2024-01-23,286.3497619628906,297.91392197841924,11.5642,133.7298,11.5642,4.0385
2024-01-24,294.671630859375,286.79424098140225,7.8774,62.0533,7.8774,2.6733
2024-01-25,300.56045532226557,295.1290272838378,5.4314,29.5004,5.4314,1.8071
2024-01-26,299.1801452636719,301.02699252232924,1.8468,3.4108,1.8468,0.6173
2024-01-29,309.68670654296875,299.6445399131153,10.0422,100.8451,10.0422,3.2427
2024-01-30,308.7135314941406,310.16740973066044,1.4539,2.1138,1.4539,0.4709
2024-01-31,312.41766357421875,309.19272409601035,3.2249,10.4002,3.2249,1.0323
2024-02-01,313.6092834472656,312.9026058193922,0.7067,0.4994,0.7067,0.2253
2024-02-02,316.6084289550781,314.09607535359464,2.5124,6.3119,2.5124,0.7935
2024-02-05,317.5617370605469,317.09987620752145,0.4619,0.2133,0.4619,0.1454
2024-02-06,318.32635498046875,318.0546640608627,0.2717,0.0738,0.2717,0.0853
2024-02-07,326.4893493652344,318.8204688391925,7.6689,58.8117,7.6689,2.3489
2024-02-08,326.9064636230469,326.9961340210539,0.0897,0.008,0.0897,0.0274
2024-02-09,333.97705078125,327.4138957336945,6.5632,43.075,6.5632,1.9652
2024-02-12,330.4020690917969,334.4954580281046,4.0934,16.7558,4.0934,1.2389
2024-02-13,331.8717956542969,330.9149271657043,0.9569,0.9156,0.9569,0.2883
2024-02-14,332.7158508300782,332.3869350732821,0.3289,0.1082,0.3289,0.0989
2024-02-15,337.6116638183594,333.2323004118989,4.3794,19.1788,4.3794,1.2972
2024-02-16,334.64239501953125,338.1357127993797,3.4933,12.2033,3.4933,1.0439
2024-02-20,339.1211242675781,335.16183502978674,3.9593,15.676,3.9593,1.1675
2024-02-21,335.8837585449219,339.64751626957514,3.7638,14.1659,3.7638,1.1206
2024-02-22,332.37823486328125,336.4051254296319,4.0269,16.2158,4.0269,1.2115
2024-02-23,336.63848876953125,332.8941603894418,3.7443,14.02,3.7443,1.1123
2024-02-26,329.89556884765625,337.1610271647296,7.2655,52.7869,7.2655,2.2024
2024-02-27,324.8805847167969,330.40764071964804,5.5271,30.5483,5.5271,1.7013
