Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-11-06,304.06597900390625,297.98067239826196,6.0853,37.031,6.0853,2.0013
2023-11-07,299.8554077148437,302.63429379395166,2.7789,7.7222,2.7789,0.9267
2023-11-08,292.2485656738281,298.55418032654046,6.3056,39.7608,6.3056,2.1576
2023-11-09,283.1124267578125,290.88860046748596,7.7762,60.4689,7.7762,2.7467
2023-11-10,281.2851257324219,281.8320669968234,0.5469,0.2991,0.5469,0.1944
2023-11-13,287.8890075683594,280.13981357162993,7.7492,60.05,7.7492,2.6917
2023-11-14,285.6050109863281,286.78496392089437,1.18,1.3923,1.18,0.4131
2023-11-15,292.19885253906244,284.6600088256673,7.5388,56.8342,7.5388,2.58
2023-11-16,284.7608337402344,291.4334536211172,6.6726,44.5239,6.6726,2.3432
2023-11-17,283.51953125,283.9758802486667,0.4563,0.2083,0.4563,0.161
2023-11-20,288.2464904785156,282.89855762152,5.3479,28.6004,5.3479,1.8553
2023-11-21,295.9228820800781,287.8898508161692,8.033,64.5296,8.033,2.7146
2023-11-22,293.0528869628906,295.48707302984985,2.4342,5.9253,2.4342,0.8306
2023-11-24,293.8374938964844,292.4840115056868,1.3535,1.8319,1.3535,0.4606
2023-11-27,294.32403564453125,293.0950545547148,1.229,1.5104,1.229,0.4176
2023-11-28,298.06787109375,293.2504693457304,4.8174,23.2074,4.8174,1.6162
2023-11-29,297.0947265625,296.8917466958519,0.203,0.0412,0.203,0.0683
2023-11-30,296.5981750488281,295.8247280359501,0.7734,0.5982,0.7734,0.2608
2023-12-01,295.8235778808594,295.35080635338454,0.4728,0.2235,0.4728,0.1598
2023-12-04,305.4264831542969,294.5023424424071,10.9241,119.3369,10.9241,3.5767
2023-12-05,299.5673828125,304.0345049050484,4.4671,19.9552,4.4671,1.4912
2023-12-06,302.9438171386719,298.3175617142115,4.6263,21.4022,4.6263,1.5271
2023-12-07,309.55767822265625,301.6687501249653,7.8889,62.2352,7.8889,2.5485
2023-12-08,298.2267761230469,308.33114298225337,10.1044,102.0982,10.1044,3.3881
2023-12-11,300.45123291015625,296.73749233739727,3.7137,13.7919,3.7137,1.2361
2023-12-12,302.95379638671875,299.0994794391081,3.8543,14.8558,3.8543,1.2722
2023-12-13,297.5912170410156,301.66153279038554,4.0703,16.5675,4.0703,1.3678
2023-12-14,293.6786193847656,296.06308621529934,2.3845,5.6857,2.3845,0.8119
2023-12-15,297.0053100585937,292.3823680208516,4.6229,21.3716,4.6229,1.5565
2023-12-18,298.7431335449219,295.65879238285555,3.0843,9.5132,3.0843,1.0324
2023-12-19,296.8861083984375,297.3741358761072,0.488,0.2382,0.488,0.1644
2023-12-20,295.6745910644531,295.65649866293825,0.0181,0.0003,0.0181,0.0061
2023-12-21,301.8514404296875,294.48336049116733,7.3681,54.2886,7.3681,2.441
2023-12-22,298.1275329589844,300.78204691909195,2.6545,7.0464,2.6545,0.8904
2023-12-26,304.6916198730469,296.93617544652807,7.7554,60.1469,7.7554,2.5453
2023-12-27,298.8523864746094,303.44237670563416,4.59,21.068,4.59,1.5359
2023-12-28,303.4602355957031,297.6685351368724,5.7917,33.5438,5.7917,1.9086
2023-12-29,302.6756896972656,302.49392154059024,0.1818,0.033,0.1818,0.0601
2024-01-02,313.2419128417969,302.1260743804796,11.1158,123.5619,11.1158,3.5486
2024-01-03,316.15155029296875,312.8209078375894,3.3306,11.0932,3.3306,1.0535
2024-01-04,319.607421875,315.8155976630078,3.7918,14.3779,3.7918,1.1864
2024-01-05,325.5459899902344,319.5619493176928,5.984,35.8087,5.984,1.8382
2024-01-08,321.9112854003906,325.71608591963377,3.8048,14.4765,3.8048,1.1819
2024-01-09,312.5070495605469,322.00503507497706,9.498,90.2117,9.498,3.0393
2024-01-10,318.9222106933594,311.68113407030614,7.2411,52.4332,7.2411,2.2705
2024-01-11,321.75247192382807,317.74648888520096,4.006,16.0479,4.006,1.2451
2024-01-12,314.7712097167969,320.46781831477347,5.6966,32.4513,5.6966,1.8098
2024-01-16,310.6400451660156,313.4449174650854,2.8049,7.8673,2.8049,0.9029
2024-01-17,306.5089416503906,309.4902455708525,2.9813,8.8882,2.9813,0.9727
