Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-11-06,304.06597900390625,300.4373344151645,3.6286,13.1671,3.6286,1.1934
2023-11-07,299.8554077148437,304.79817828844534,4.9428,24.431,4.9428,1.6484
2023-11-08,292.2485656738281,300.54594025209366,8.2974,68.8464,8.2974,2.8391
2023-11-09,283.1124267578125,293.2583318266261,10.1459,102.9394,10.1459,3.5837
2023-11-10,281.2851257324219,284.7552238088683,3.4701,12.0416,3.4701,1.2337
2023-11-13,287.8890075683594,283.3330133538075,4.556,20.7571,4.556,1.5826
2023-11-14,285.6050109863281,289.5358412167043,3.9308,15.4514,3.9308,1.3763
2023-11-15,292.19885253906244,286.93303931457194,5.2658,27.7288,5.2658,1.8021
2023-11-16,284.7608337402344,292.9176625634427,8.1568,66.5339,8.1568,2.8644
2023-11-17,283.51953125,285.3519378182791,1.8324,3.3577,1.8324,0.6463
2023-11-20,288.2464904785156,284.24531297851354,4.0012,16.0094,4.0012,1.3881
2023-11-21,295.9228820800781,288.761881007038,7.161,51.2799,7.161,2.4199
2023-11-22,293.0528869628906,295.8463667951546,2.7935,7.8035,2.7935,0.9532
2023-11-24,293.8374938964844,292.7038027080325,1.1337,1.2853,1.1337,0.3858
2023-11-27,294.32403564453125,293.4262983392655,0.8977,0.8059,0.8977,0.305
2023-11-28,298.06787109375,293.9231587327413,4.1447,17.1786,4.1447,1.3905
2023-11-29,297.0947265625,297.5345999468118,0.4399,0.1935,0.4399,0.1481
2023-11-30,296.5981750488281,296.5443549095653,0.0538,0.0029,0.0538,0.0181
2023-12-01,295.8235778808594,296.13959141607484,0.316,0.0999,0.316,0.1068
2023-12-04,305.4264831542969,295.51820131866225,9.9083,98.174,9.9083,3.2441
2023-12-05,299.5673828125,304.75563490961576,5.1883,26.918,5.1883,1.7319
2023-12-06,302.9438171386719,298.9025828363374,4.0412,16.3316,4.0412,1.334
2023-12-07,309.55767822265625,302.3228056574444,7.2349,52.3434,7.2349,2.3372
2023-12-08,298.2267761230469,308.6892783566982,10.4625,109.464,10.4625,3.5082
2023-12-11,300.45123291015625,297.6620243248817,2.7892,7.7797,2.7892,0.9283
2023-12-12,302.95379638671875,300.25087497271306,2.7029,7.3058,2.7029,0.8922
2023-12-13,297.5912170410156,302.86224509789463,5.271,27.7837,5.271,1.7712
2023-12-14,293.6786193847656,297.7765417716291,4.0979,16.793,4.0979,1.3954
2023-12-15,297.0053100585937,294.2563415261611,2.749,7.5568,2.749,0.9256
2023-12-18,298.7431335449219,297.61117397138145,1.132,1.2813,1.132,0.3789
2023-12-19,296.8861083984375,299.1711656715961,2.2851,5.2215,2.2851,0.7697
2023-12-20,295.6745910644531,297.2144361052051,1.5398,2.3711,1.5398,0.5208
2023-12-21,301.8514404296875,295.99826571580707,5.8532,34.2597,5.8532,1.9391
2023-12-22,298.1275329589844,301.84843580779125,3.7209,13.8451,3.7209,1.2481
2023-12-26,304.6916198730469,298.01615194221813,6.6755,44.5619,6.6755,2.1909
2023-12-27,298.8523864746094,304.29349364692825,5.4411,29.6056,5.4411,1.8207
2023-12-28,303.4602355957031,298.48513605285007,4.9751,24.7516,4.9751,1.6395
2023-12-29,302.6756896972656,303.0458477737011,0.3702,0.137,0.3702,0.1223
2024-01-02,313.2419128417969,302.252613091523,10.9893,120.7647,10.9893,3.5082
2024-01-03,316.15155029296875,312.35423436736164,3.7973,14.4196,3.7973,1.2011
2024-01-04,319.607421875,314.847029723398,4.7604,22.6613,4.7604,1.4894
2024-01-05,325.5459899902344,318.0054238715675,7.5406,56.8601,7.5406,2.3163
2024-01-08,321.9112854003906,323.6381834902859,1.7269,2.9822,1.7269,0.5365
2024-01-09,312.5070495605469,320.0445233066148,7.5375,56.8135,7.5375,2.4119
2024-01-10,318.9222106933594,311.3140915638742,7.6081,57.8835,7.6081,2.3856
2024-01-11,321.75247192382807,318.0653689714072,3.6871,13.5947,3.6871,1.1459
2024-01-12,314.7712097167969,320.97405844432615,6.2028,38.4753,6.2028,1.9706
2024-01-16,310.6400451660156,314.3351098299827,3.6951,13.6535,3.6951,1.1895
2024-01-17,306.5089416503906,310.74106622257386,4.2321,17.9109,4.2321,1.3808
2024-01-18,311.8317565917969,307.12282857044556,4.7089,22.174,4.7089,1.5101
2024-01-19,310.3818664550781,312.3820692687732,2.0002,4.0008,2.0002,0.6444
2024-01-22,297.45220947265625,310.83489937458944,13.3827,179.0964,13.3827,4.4991
2024-01-23,286.3497619628906,298.3265945951207,11.9768,143.4445,11.9768,4.1826
2024-01-24,294.671630859375,288.17280523626687,6.4988,42.2347,6.4988,2.2054
2024-01-25,300.56045532226557,296.4216174252215,4.1388,17.13,4.1388,1.377
2024-01-26,299.1801452636719,301.759242023727,2.5791,6.6517,2.5791,0.8621
2024-01-29,309.68670654296875,299.98817269457504,9.6985,94.0616,9.6985,3.1317
2024-01-30,308.7135314941406,309.71594522852683,1.0024,1.0048,1.0024,0.3247
2024-01-31,312.41766357421875,308.2739557293735,4.1437,17.1703,4.1437,1.3263
2024-02-01,313.6092834472656,311.6529140110215,1.9564,3.8274,1.9564,0.6238
2024-02-02,316.6084289550781,312.6677947771914,3.9406,15.5286,3.9406,1.2446
2024-02-05,317.5617370605469,315.52370473764313,2.038,4.1536,2.038,0.6418
2024-02-06,318.32635498046875,316.4299469884754,1.8964,3.5964,1.8964,0.5957
2024-02-07,326.4893493652344,317.2379649459872,9.2514,85.5881,9.2514,2.8336
2024-02-08,326.9064636230469,325.14894462258053,1.7575,3.0889,1.7575,0.5376
2024-02-09,333.97705078125,325.42545631047506,8.5516,73.1298,8.5516,2.5605
2024-02-12,330.4020690917969,332.2478455011151,1.8458,3.4069,1.8458,0.5586
2024-02-13,331.8717956542969,328.7421435356373,3.1297,9.7947,3.1297,0.943
2024-02-14,332.7158508300782,330.4273005720461,2.2886,5.2375,2.2886,0.6878
2024-02-15,337.6116638183594,331.48798907374476,6.1237,37.4994,6.1237,1.8138
2024-02-16,334.64239501953125,336.3756753204234,1.7333,3.0043,1.7333,0.518
2024-02-20,339.1211242675781,333.5527318692257,5.5684,31.007,5.5684,1.642
2024-02-21,335.8837585449219,338.05415060129235,2.1704,4.7106,2.1704,0.6462
2024-02-22,332.37823486328125,334.99722262645446,2.619,6.8591,2.619,0.788
2024-02-23,336.63848876953125,331.87116498223986,4.7673,22.7274,4.7673,1.4162
2024-02-26,329.89556884765625,336.22040989685047,6.3248,40.0036,6.3248,1.9172
2024-02-27,324.8805847167969,329.75733579105145,4.8768,23.7827,4.8768,1.5011
2024-02-28,322.5667724609375,325.2377028312294,2.6709,7.1339,2.6709,0.828
2024-02-29,317.800048828125,323.3113370436622,5.5113,30.3743,5.5113,1.7342
2024-03-01,316.08209228515625,318.88442311258405,2.8023,7.8531,2.8023,0.8866
2024-03-04,315.2478942871094,317.3363815174089,2.0885,4.3618,2.0885,0.6625
2024-03-05,324.324462890625,316.4862837625078,7.8382,61.4371,7.8382,2.4168
2024-03-06,330.4417419433594,324.9146071197465,5.5271,30.5492,5.5271,1.6727
2024-03-07,323.0235900878906,330.22808122535935,7.2045,51.9047,7.2045,2.2303
2024-03-08,331.90158081054693,322.5837776739372,9.3178,86.8215,9.3178,2.8074
2024-03-11,332.4179382324219,331.13133454031595,1.2866,1.6553,1.2866,0.387
2024-03-12,330.8588562011719,331.4476636388754,0.5888,0.3467,0.5888,0.178
2024-03-13,332.5966796875,329.94326239969087,2.6534,7.0406,2.6534,0.7978
2024-03-14,342.2294616699219,331.75010248366743,10.4794,109.817,10.4794,3.0621
2024-03-15,347.9295959472656,341.00486019242453,6.9247,47.952,6.9247,1.9903
2024-03-18,346.8570556640625,346.2384770613244,0.6186,0.3826,0.6186,0.1783
2024-03-19,351.6336975097656,345.0074921897758,6.6262,43.9066,6.6262,1.8844
2024-03-20,350.9386291503906,349.7015081083937,1.2371,1.5305,1.2371,0.3525
2024-03-21,352.3686218261719,349.10942928541044,3.2592,10.6223,3.2592,0.9249
2024-03-22,355.34783935546875,350.72504720085817,4.6228,21.3702,4.6228,1.3009
2024-03-25,355.8344421386719,353.7998711562577,2.0346,4.1395,2.0346,0.5718
2024-03-26,351.504638671875,354.40987134128045,2.9052,8.4404,2.9052,0.8265
2024-03-27,343.8878479003906,350.4411711720022,6.5533,42.946,6.5533,1.9057
2024-03-28,342.0804748535156,343.52678773160187,1.4463,2.0918,1.4463,0.4228
2024-04-01,344.7120666503907,342.3201340378182,2.3919,5.7213,2.3919,0.6939
2024-04-02,349.508544921875,345.09533994742014,4.4132,19.4764,4.4132,1.2627
2024-04-03,356.17202758789057,349.6121232798905,6.5599,43.0323,6.5599,1.8418
2024-04-04,354.9505615234375,355.7069527740259,0.7564,0.5721,0.7564,0.2131
2024-04-05,367.900146484375,354.15606388825836,13.7441,188.8998,13.7441,3.7358
2024-04-08,367.1056823730469,366.45448439972824,0.6512,0.4241,0.6512,0.1774
2024-04-09,371.8922424316406,365.28860156647534,6.6036,43.6081,6.6036,1.7757
2024-04-10,364.9109802246094,369.88340291557506,4.9724,24.725,4.9724,1.3626
2024-04-11,365.8147277832031,363.1874358716632,2.6273,6.9027,2.6273,0.7182
2024-04-12,373.52087402343756,364.52450448947457,8.9964,80.9347,8.9964,2.4085
2024-04-15,380.79010009765625,372.2085250949749,8.5816,73.6434,8.5816,2.2536
2024-04-16,379.131591796875,379.14539493242046,0.0138,0.0002,0.0138,0.0036
