Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-11-06,304.06597900390625,300.0791389024016,3.9868,15.8949,3.9868,1.3112
2023-11-07,299.8554077148437,304.63042490780936,4.775,22.8008,4.775,1.5924
2023-11-08,292.2485656738281,300.5133403103827,8.2648,68.3065,8.2648,2.828
2023-11-09,283.1124267578125,293.0828839124151,9.9705,99.41,9.9705,3.5217
2023-11-10,281.2851257324219,284.2708153514395,2.9857,8.9143,2.9857,1.0614
2023-11-13,287.8890075683594,282.688934539412,5.2001,27.0408,5.2001,1.8063
2023-11-14,285.6050109863281,289.14264792888935,3.5376,12.5149,3.5376,1.2386
2023-11-15,292.19885253906244,286.78108857804546,5.4178,29.3522,5.4178,1.8541
2023-11-16,284.7608337402344,293.14842998016684,8.3876,70.3518,8.3876,2.9455
2023-11-17,283.51953125,285.5291366517595,2.0096,4.0385,2.0096,0.7088
2023-11-20,288.2464904785156,284.2181392563507,4.0284,16.2276,4.0284,1.3975
2023-11-21,295.9228820800781,288.82881751944296,7.0941,50.3258,7.0941,2.3973
2023-11-22,293.0528869628906,296.32090972405786,3.268,10.68,3.268,1.1152
2023-11-24,293.8374938964844,293.23112342706736,0.6064,0.3677,0.6064,0.2064
2023-11-27,294.32403564453125,293.8723469145807,0.4517,0.204,0.4517,0.1535
2023-11-28,298.06787109375,294.24738992978746,3.8205,14.5961,3.8205,1.2817
2023-11-29,297.0947265625,297.9213352322113,0.8266,0.6833,0.8266,0.2782
2023-11-30,296.5981750488281,296.8578790445463,0.2597,0.0674,0.2597,0.0876
2023-12-01,295.8235778808594,296.32136307806286,0.4978,0.2478,0.4978,0.1683
2023-12-04,305.4264831542969,295.54570795513246,9.8808,97.6297,9.8808,3.2351
2023-12-05,299.5673828125,305.1793889012424,5.612,31.4946,5.612,1.8734
2023-12-06,302.9438171386719,299.27796127152396,3.6659,13.4385,3.6659,1.2101
2023-12-07,309.55767822265625,302.7332922241676,6.8244,46.5722,6.8244,2.2046
2023-12-08,298.2267761230469,309.43660226556676,11.2098,125.6602,11.2098,3.7588
2023-12-11,300.45123291015625,298.0580136172466,2.3932,5.7275,2.3932,0.7965
2023-12-12,302.95379638671875,300.47469276875927,2.4791,6.146,2.4791,0.8183
2023-12-13,297.5912170410156,303.166043694182,5.5748,31.0787,5.5748,1.8733
2023-12-14,293.6786193847656,297.9754536714281,4.2968,18.4628,4.2968,1.4631
2023-12-15,297.0053100585937,294.3144568306525,2.6909,7.2407,2.6909,0.906
2023-12-18,298.7431335449219,297.81797920248204,0.9252,0.8559,0.9252,0.3097
2023-12-19,296.8861083984375,299.64560148086093,2.7595,7.6148,2.7595,0.9295
2023-12-20,295.6745910644531,297.8384250884992,2.1638,4.6822,2.1638,0.7318
2023-12-21,301.8514404296875,296.65671787326573,5.1947,26.9851,5.1947,1.721
2023-12-22,298.1275329589844,302.77441709602135,4.6469,21.5935,4.6469,1.5587
2023-12-26,304.6916198730469,298.96004741901925,5.7316,32.8509,5.7316,1.8811
2023-12-27,298.8523864746094,305.4106152791246,6.5582,43.0104,6.5582,2.1945
2023-12-28,303.4602355957031,299.4532186386459,4.007,16.0562,4.007,1.3204
2023-12-29,302.6756896972656,303.9918313219641,1.3161,1.7322,1.3161,0.4348
2024-01-02,313.2419128417969,303.15149978638146,10.0904,101.8164,10.0904,3.2213
2024-01-03,316.15155029296875,313.6024061949938,2.5491,6.4981,2.5491,0.8063
2024-01-04,319.607421875,316.3739860594069,3.2334,10.4551,3.2334,1.0117
2024-01-05,325.5459899902344,319.68369842274114,5.8623,34.3665,5.8623,1.8008
2024-01-08,321.9112854003906,325.4937348752592,3.5824,12.8339,3.5824,1.1129
2024-01-09,312.5070495605469,321.636828718998,9.1298,83.3529,9.1298,2.9215
2024-01-10,318.9222106933594,312.0846479914853,6.8376,46.7523,6.8376,2.144
2024-01-11,321.75247192382807,318.544135817976,3.2083,10.2934,3.2083,0.9971
2024-01-12,314.7712097167969,321.4558466980907,6.6846,44.6844,6.6846,2.1236
2024-01-16,310.6400451660156,314.5877941044455,3.9477,15.5847,3.9477,1.2708
2024-01-17,306.5089416503906,310.69970239553004,4.1908,17.5625,4.1908,1.3673
