Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-11-06,304.06597900390625,300.10370659383625,3.9623,15.6996,3.9623,1.3031
2023-11-07,299.8554077148437,304.5517678559554,4.6964,22.0558,4.6964,1.5662
2023-11-08,292.2485656738281,301.13184556413756,8.8833,78.9127,8.8833,3.0396
2023-11-09,283.1124267578125,292.56458791961995,9.4522,89.3434,9.4522,3.3387
2023-11-10,281.2851257324219,282.7470363750108,1.4619,2.1372,1.4619,0.5197
2023-11-13,287.8890075683594,282.260666389815,5.6283,31.6782,5.6283,1.955
2023-11-14,285.6050109863281,289.4773272465791,3.8723,14.9948,3.8723,1.3558
2023-11-15,292.19885253906244,286.8853057423985,5.3135,28.2338,5.3135,1.8185
2023-11-16,284.7608337402344,292.8663189902727,8.1055,65.6989,8.1055,2.8464
2023-11-17,283.51953125,285.7688982151449,2.2494,5.0597,2.2494,0.7934
2023-11-20,288.2464904785156,282.52277275850065,5.7237,32.7609,5.7237,1.9857
2023-11-21,295.9228820800781,288.8687457676024,7.0541,49.7608,7.0541,2.3838
2023-11-22,293.0528869628906,297.61965879263516,4.5668,20.8554,4.5668,1.5583
2023-11-24,293.8374938964844,293.49666152275677,0.3408,0.1162,0.3408,0.116
2023-11-27,294.32403564453125,293.71972922629357,0.6043,0.3652,0.6043,0.2053
2023-11-28,298.06787109375,294.59483062113577,3.473,12.062,3.473,1.1652
2023-11-29,297.0947265625,297.12681167936535,0.0321,0.001,0.0321,0.0108
2023-11-30,296.5981750488281,297.2504172823392,0.6522,0.4254,0.6522,0.2199
2023-12-01,295.8235778808594,297.4893547299034,1.6658,2.7748,1.6658,0.5631
2023-12-04,305.4264831542969,296.2227062290258,9.2038,84.7095,9.2038,3.0134
2023-12-05,299.5673828125,304.7588025512596,5.1914,26.9508,5.1914,1.733
2023-12-06,302.9438171386719,299.8702496258775,3.0736,9.4468,3.0736,1.0146
2023-12-07,309.55767822265625,302.3257489253974,7.2319,52.3008,7.2319,2.3362
2023-12-08,298.2267761230469,309.7714154806454,11.5446,133.2787,11.5446,3.8711
2023-12-11,300.45123291015625,298.88966756672744,1.5616,2.4385,1.5616,0.5197
2023-12-12,302.95379638671875,299.2986017046096,3.6552,13.3604,3.6552,1.2065
2023-12-13,297.5912170410156,304.5061234271634,6.9149,47.8159,6.9149,2.3236
2023-12-14,293.6786193847656,296.8928081643717,3.2142,10.331,3.2142,1.0945
2023-12-15,297.0053100585937,293.10515086354826,3.9002,15.2112,3.9002,1.3132
2023-12-18,298.7431335449219,298.4996823217443,0.2435,0.0593,0.2435,0.0815
2023-12-19,296.8861083984375,298.9782146721518,2.0921,4.3769,2.0921,0.7047
2023-12-20,295.6745910644531,296.62079540352715,0.9462,0.8953,0.9462,0.32
2023-12-21,301.8514404296875,296.367585436692,5.4839,30.0727,5.4839,1.8167
2023-12-22,298.1275329589844,301.8746138009592,3.7471,14.0406,3.7471,1.2569
2023-12-26,304.6916198730469,298.44084982044296,6.2508,39.0721,6.2508,2.0515
2023-12-27,298.8523864746094,304.0357522273007,5.1834,26.8673,5.1834,1.7344
2023-12-28,303.4602355957031,301.0080076871418,2.4522,6.0134,2.4522,0.8081
2023-12-29,302.6756896972656,301.85354675009876,0.8221,0.6759,0.8221,0.2716
2024-01-02,313.2419128417969,303.2940227144172,9.9479,98.9605,9.9479,3.1758
2024-01-03,316.15155029296875,313.68649890593224,2.4651,6.0765,2.4651,0.7797
2024-01-04,319.607421875,316.05314639832795,3.5543,12.6329,3.5543,1.1121
2024-01-05,325.5459899902344,319.3058399501024,6.2402,38.9395,6.2402,1.9168
2024-01-08,321.9112854003906,325.3303915563356,3.4191,11.6903,3.4191,1.0621
2024-01-09,312.5070495605469,321.7356246818399,9.2286,85.1666,9.2286,2.9531
2024-01-10,318.9222106933594,311.5666346900962,7.3556,54.1045,7.3556,2.3064
2024-01-11,321.75247192382807,318.82838105964765,2.9241,8.5503,2.9241,0.9088
2024-01-12,314.7712097167969,323.204817455935,8.4336,71.1257,8.4336,2.6793
2024-01-16,310.6400451660156,313.6142054223528,2.9742,8.8456,2.9742,0.9574
2024-01-17,306.5089416503906,311.0205405311681,4.5116,20.3545,4.5116,1.4719
2024-01-18,311.8317565917969,307.3645321580989,4.4672,19.9561,4.4672,1.4326
2024-01-19,310.3818664550781,310.55162165144066,0.1698,0.0288,0.1698,0.0547
2024-01-22,297.45220947265625,311.9451704310886,14.493,210.0459,14.493,4.8724
2024-01-23,286.3497619628906,298.36045800369175,12.0107,144.2568,12.0107,4.1944
2024-01-24,294.671630859375,286.7050447848451,7.9666,63.4665,7.9666,2.7035
2024-01-25,300.56045532226557,294.37819248814776,6.1823,38.2204,6.1823,2.0569
2024-01-26,299.1801452636719,302.38274869414454,3.2026,10.2567,3.2026,1.0705
2024-01-29,309.68670654296875,300.01153330400484,9.6752,93.609,9.6752,3.1242
2024-01-30,308.7135314941406,309.9005328898784,1.187,1.409,1.187,0.3845
2024-01-31,312.41766357421875,309.71074230228623,2.7069,7.3274,2.7069,0.8664
2024-02-01,313.6092834472656,310.91348974747234,2.6958,7.2673,2.6958,0.8596
2024-02-02,316.6084289550781,314.0876263119826,2.5208,6.3544,2.5208,0.7962
2024-02-05,317.5617370605469,317.57709447492743,0.0154,0.0002,0.0154,0.0048
2024-02-06,318.32635498046875,316.6579176816558,1.6684,2.7837,1.6684,0.5241
2024-02-07,326.4893493652344,318.8579229808529,7.6314,58.2387,7.6314,2.3374
2024-02-08,326.9064636230469,326.19088702492627,0.7156,0.512,0.7156,0.2189
2024-02-09,333.97705078125,327.12680162731704,6.8502,46.9259,6.8502,2.0511
2024-02-12,330.4020690917969,332.4412578661577,2.0392,4.1583,2.0392,0.6172
2024-02-13,331.8717956542969,330.90964930825066,0.9621,0.9257,0.9621,0.2899
2024-02-14,332.7158508300782,331.59723397948255,1.1186,1.2513,1.1186,0.3362
2024-02-15,337.6116638183594,332.19799321814025,5.4137,29.3078,5.4137,1.6035
2024-02-16,334.64239501953125,337.6629780377589,3.0206,9.1239,3.0206,0.9026
2024-02-20,339.1211242675781,334.26732590222673,4.8538,23.5594,4.8538,1.4313
2024-02-21,335.8837585449219,338.5675253062582,2.6838,7.2026,2.6838,0.799
2024-02-22,332.37823486328125,336.9046302208735,4.5264,20.4883,4.5264,1.3618
2024-02-23,336.63848876953125,331.3702167887641,5.2683,27.7547,5.2683,1.565
2024-02-26,329.89556884765625,336.832479292716,6.9369,48.1207,6.9369,2.1028
2024-02-27,324.8805847167969,330.6110773062246,5.7305,32.8385,5.7305,1.7639
2024-02-28,322.5667724609375,324.39035577281174,1.8236,3.3255,1.8236,0.5653
2024-02-29,317.800048828125,323.29411011947377,5.4941,30.1847,5.4941,1.7288
2024-03-01,316.08209228515625,318.41378126037307,2.3317,5.4368,2.3317,0.7377
2024-03-04,315.2478942871094,316.41246983828023,1.1646,1.3562,1.1646,0.3694
2024-03-05,324.324462890625,316.1683153422928,8.1561,66.5227,8.1561,2.5148
2024-03-06,330.4417419433594,325.0134671036212,5.4283,29.4662,5.4283,1.6427
2024-03-07,323.0235900878906,331.0534560454653,8.0299,64.4787,8.0299,2.4858
2024-03-08,331.90158081054693,323.30261480018817,8.599,73.9422,8.599,2.5908
2024-03-11,332.4179382324219,331.4940931343117,0.9238,0.8535,0.9238,0.2779
2024-03-12,330.8588562011719,333.6249463535096,2.7661,7.6513,2.7661,0.836
2024-03-13,332.5966796875,329.9645607822531,2.6321,6.928,2.6321,0.7914
2024-03-14,342.2294616699219,333.52786703337915,8.7016,75.7177,8.7016,2.5426
