Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,305.78134155273443,300.7199732326626,5.0614,25.6174,5.0614,1.6552
2023-08-07,303.6273803710937,305.9213900463874,2.294,5.2625,2.294,0.7555
2023-08-08,302.5110778808594,303.74360317210807,1.2325,1.5191,1.2325,0.4074
2023-08-09,302.9909057617187,302.51800180994906,0.4729,0.2236,0.4729,0.1561
2023-08-10,305.2232360839844,303.08608019789244,2.1372,4.5674,2.1372,0.7002
2023-08-11,308.1080627441406,305.363028964166,2.745,7.5352,2.745,0.8909
2023-08-14,312.5432739257813,308.2491768809632,4.2941,18.4393,4.2941,1.3739
2023-08-15,312.3666381835937,312.6864193985966,0.3198,0.1023,0.3198,0.1024
2023-08-16,315.1533203125,312.5097027568699,2.6436,6.9887,2.6436,0.8388
2023-08-17,309.3444519042969,315.2976611920167,5.9532,35.4407,5.9532,1.9245
2023-08-18,307.9609069824219,309.45150505827405,1.4906,2.2219,1.4906,0.484
2023-08-21,319.8044128417969,308.10195372159797,11.7025,136.9475,11.7025,3.6593
2023-08-22,326.6436462402344,319.9066223658119,6.737,45.3875,6.737,2.0625
2023-08-23,324.9951171875,326.79324971304595,1.7981,3.2333,1.7981,0.5533
2023-08-24,322.22808837890625,325.14396563055925,2.9159,8.5023,2.9159,0.9049
2023-08-25,326.3394470214844,322.32235285388015,4.0171,16.137,4.0171,1.231
2023-08-28,329.10650634765625,326.48891117041785,2.6176,6.8518,2.6176,0.7954
2023-08-29,329.6364440917969,329.20254763693083,0.4339,0.1883,0.4339,0.1316
2023-08-30,327.4188232421875,329.7874182722808,2.3686,5.6102,2.3686,0.7234
2023-08-31,317.3120422363281,327.56878174768644,10.2567,105.2007,10.2567,3.2324
2023-09-01,319.1567687988281,317.4573718149986,1.6994,2.888,1.6994,0.5325
2023-09-05,320.6580810546875,319.2448463344299,1.4132,1.9972,1.4132,0.4407
2023-09-06,325.62307739257807,320.7043338153453,4.9187,24.194,4.9187,1.5106
2023-09-07,328.017333984375,325.772213442724,2.2451,5.0406,2.2451,0.6845
2023-09-08,331.01010131835943,328.167566609045,2.8425,8.08,2.8425,0.8587
2023-09-11,341.5682373046875,331.1460392235567,10.4222,108.6222,10.4222,3.0513
2023-09-12,335.9064636230469,341.72467627140577,5.8182,33.8516,5.8182,1.7321
2023-09-13,331.706787109375,336.0603094855833,4.3535,18.9532,4.3535,1.3125
2023-09-14,327.3010559082031,331.8587095112889,4.5577,20.7722,4.5577,1.3925
2023-09-15,333.33563232421875,327.4509604760169,5.8847,34.6294,5.8847,1.7654
2023-09-18,328.733642578125,333.4758234156179,4.7422,22.4883,4.7422,1.4426
