Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,305.78134155273443,301.7471033356378,4.0342,16.2751,4.0342,1.3193
2023-08-07,303.6273803710937,306.7518025226782,3.1244,9.762,3.1244,1.029
2023-08-08,302.5110778808594,305.33702465110395,2.8259,7.986,2.8259,0.9342
2023-08-09,302.9909057617187,305.04657022651736,2.0557,4.2258,2.0557,0.6785
2023-08-10,305.2232360839844,305.53002246537653,0.3068,0.0941,0.3068,0.1005
2023-08-11,308.1080627441406,307.7787678225468,0.3293,0.1084,0.3293,0.1069
2023-08-14,312.5432739257813,310.2106707286657,2.3326,5.441,2.3326,0.7463
2023-08-15,312.3666381835937,314.3004386287794,1.9338,3.7396,1.9338,0.6191
2023-08-16,315.1533203125,314.6678106196486,0.4855,0.2357,0.4855,0.1541
2023-08-17,309.3444519042969,317.0005229059607,7.6561,58.6154,7.6561,2.4749
2023-08-18,307.9609069824219,311.8794322386748,3.9185,15.3548,3.9185,1.2724
2023-08-21,319.8044128417969,310.88210169428567,8.9223,79.6076,8.9223,2.7899
2023-08-22,326.6436462402344,321.1090425028633,5.5346,30.6318,5.5346,1.6944
2023-08-23,324.9951171875,327.4505782462402,2.4555,6.0293,2.4555,0.7555
2023-08-24,322.22808837890625,326.2946160102729,4.0665,16.5366,4.0665,1.262
2023-08-25,326.3394470214844,324.3269134188813,2.0125,4.0503,2.0125,0.6167
2023-08-28,329.10650634765625,328.29582458153527,0.8107,0.6572,0.8107,0.2463
2023-08-29,329.6364440917969,331.08814259000064,1.4517,2.1074,1.4517,0.4404
2023-08-30,327.4188232421875,331.6949900102845,4.2762,18.2856,4.2762,1.306
2023-08-31,317.3120422363281,329.46636963468336,12.1543,147.7277,12.1543,3.8304
2023-09-01,319.1567687988281,320.0695594032986,0.9128,0.8332,0.9128,0.286
2023-09-05,320.6580810546875,321.7648150139321,1.1067,1.2249,1.1067,0.3451
2023-09-06,325.62307739257807,323.21238020565943,2.4107,5.8115,2.4107,0.7403
2023-09-07,328.017333984375,327.6946400131237,0.3227,0.1041,0.3227,0.0984
2023-09-08,331.01010131835943,330.3760878587491,0.634,0.402,0.634,0.1915
2023-09-11,341.5682373046875,332.6314123920165,8.9368,79.8668,8.9368,2.6164
2023-09-12,335.9064636230469,342.1181760565087,6.2117,38.5854,6.2117,1.8492
2023-09-13,331.706787109375,336.80327047816536,5.0965,25.9741,5.0965,1.5364
2023-09-14,327.3010559082031,333.42704535322264,6.126,37.5277,6.126,1.8717
2023-09-15,333.33563232421875,329.9905982477503,3.345,11.1893,3.345,1.0035
2023-09-18,328.733642578125,335.331567224981,6.5979,43.5326,6.5979,2.0071
2023-09-19,322.4341125488281,330.995697504346,8.5616,73.3007,8.5616,2.6553
2023-09-20,328.2920837402344,325.2809594328319,3.0111,9.0669,3.0111,0.9172
2023-09-21,329.5481262207031,330.5981410782806,1.05,1.1025,1.05,0.3186
2023-09-22,328.7630615234375,331.96424446807214,3.2012,10.2476,3.2012,0.9737
2023-09-25,334.15005493164057,331.3401450960082,2.8099,7.8956,2.8099,0.8409
2023-09-26,331.6478881835937,336.3748119733318,4.7269,22.3438,4.7269,1.4253
2023-09-27,331.80493164062506,334.0091860019747,2.2043,4.8587,2.2043,0.6643
2023-09-28,334.8663024902344,334.6553281293891,0.211,0.0445,0.211,0.063
2023-09-29,330.8924255371094,337.7859908776445,6.8936,47.5212,6.8936,2.0833
2023-10-02,325.603515625,333.77576966637207,8.1723,66.7857,8.1723,2.5099
2023-10-03,326.23150634765625,329.02342445310205,2.7919,7.7948,2.7919,0.8558
2023-10-04,330.872802734375,329.91620070122735,0.9566,0.9151,0.9566,0.2891
2023-10-05,336.2303161621094,333.8480360964604,2.3823,5.6753,2.3823,0.7085
2023-10-06,338.76184082031244,338.74580841207717,0.016,0.0003,0.016,0.0047
2023-10-09,339.24267578125,341.09932194594876,1.8566,3.4471,1.8566,0.5473
2023-10-10,352.7445068359375,341.75834106083494,10.9862,120.6958,10.9862,3.1145
2023-10-11,348.417236328125,353.79261360560486,5.3754,28.8947,5.3754,1.5428
2023-10-12,340.3612670898437,350.162726683222,9.8015,96.0686,9.8015,2.8797
2023-10-13,337.3194885253906,343.17472441450076,5.8552,34.2838,5.8552,1.7358
2023-10-16,338.63427734375,341.03214666087297,2.3979,5.7498,2.3979,0.7081
2023-10-17,344.3941650390625,341.3965625400306,2.9976,8.9856,2.9976,0.8704
2023-10-18,331.4320373535156,346.69484527285385,15.2628,232.9533,15.2628,4.6051
2023-10-19,324.51434326171875,334.7373068271736,10.223,104.509,10.223,3.1502
2023-10-20,332.0207824707031,328.66792637368053,3.3529,11.2416,3.3529,1.0098
2023-10-23,329.61676025390625,335.4987528559286,5.882,34.5978,5.882,1.7845
2023-10-24,330.0289001464844,333.2749346212004,3.246,10.5367,3.246,0.9836
2023-10-25,321.3547058105469,333.7263486462434,12.3716,153.0575,12.3716,3.8498
2023-10-26,320.5305480957031,325.8999670135636,5.3694,28.8307,5.3694,1.6752
2023-10-27,321.62948608398443,325.23071070434526,3.6012,12.9688,3.6012,1.1197
2023-10-30,323.9157104492188,326.07269699863537,2.157,4.6526,2.157,0.6659
2023-10-31,319.93194580078125,328.2009112695232,8.269,68.3758,8.269,2.5846
2023-11-01,316.18365478515625,324.3086469536138,8.125,66.0155,8.125,2.5697
2023-11-02,316.8704528808594,320.6965213999065,3.8261,14.6388,3.8261,1.2075
2023-11-03,314.9865417480469,321.1150684261047,6.1285,37.5588,6.1285,1.9456
2023-11-06,317.9596862792969,319.16285242394224,1.2032,1.4476,1.2032,0.3784
2023-11-07,315.820556640625,321.64055718115196,5.82,33.8724,5.82,1.8428
2023-11-08,315.0535888671875,319.59582211228553,4.5422,20.6319,4.5422,1.4417
2023-11-09,311.5923767089844,318.81401498142804,7.2216,52.1521,7.2216,2.3177
2023-11-10,311.19903564453125,315.78835411669934,4.5893,21.0618,4.5893,1.4747
2023-11-13,316.5089416503906,315.0139153519194,1.495,2.2351,1.495,0.4723
