Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,305.78134155273443,302.0024794474084,3.7789,14.2798,3.7789,1.2358
2023-08-07,303.6273803710937,307.1035640957525,3.4762,12.0839,3.4762,1.1449
2023-08-08,302.5110778808594,305.138928297958,2.6279,6.9056,2.6279,0.8687
2023-08-09,302.9909057617187,304.26304831333255,1.2721,1.6183,1.2721,0.4199
2023-08-10,305.2232360839844,304.9071084895695,0.3161,0.0999,0.3161,0.1036
2023-08-11,308.1080627441406,307.11167707157074,0.9964,0.9928,0.9964,0.3234
2023-08-14,312.5432739257813,309.784279782707,2.759,7.612,2.759,0.8828
2023-08-15,312.3666381835937,313.76340092832106,1.3968,1.9509,1.3968,0.4472
2023-08-16,315.1533203125,313.41392894970335,1.7394,3.0255,1.7394,0.5519
2023-08-17,309.3444519042969,315.97169027046766,6.6272,43.9203,6.6272,2.1423
2023-08-18,307.9609069824219,310.4192980217522,2.4584,6.0437,2.4584,0.7983
2023-08-21,319.8044128417969,309.42629522837524,10.3781,107.7053,10.3781,3.2451
2023-08-22,326.6436462402344,320.3267069406429,6.3169,39.9037,6.3169,1.9339
2023-08-23,324.9951171875,326.3979414215355,1.4028,1.9679,1.4028,0.4316
2023-08-24,322.22808837890625,324.8108581569977,2.5828,6.6707,2.5828,0.8015
2023-08-25,326.3394470214844,322.4571426023249,3.8823,15.0723,3.8823,1.1897
2023-08-28,329.10650634765625,326.6728431059091,2.4337,5.9227,2.4337,0.7395
2023-08-29,329.6364440917969,329.5559152400747,0.0805,0.0065,0.0805,0.0244
2023-08-30,327.4188232421875,330.31853930908983,2.8997,8.4084,2.8997,0.8856
2023-08-31,317.3120422363281,328.50397326037637,11.1919,125.2593,11.1919,3.5271
2023-09-01,319.1567687988281,319.0415096143588,0.1153,0.0133,0.1153,0.0361
2023-09-05,320.6580810546875,321.42079899798773,0.7627,0.5817,0.7627,0.2379
2023-09-06,325.62307739257807,323.2689538302657,2.3541,5.5419,2.3541,0.723
2023-09-07,328.017333984375,328.0512156915829,0.0339,0.0011,0.0339,0.0103
2023-09-08,331.01010131835943,330.1269253693172,0.8832,0.78,0.8832,0.2668
2023-09-11,341.5682373046875,332.6866162031547,8.8816,78.8832,8.8816,2.6002
2023-09-12,335.9064636230469,341.8990719232679,5.9926,35.9114,5.9926,1.784
2023-09-13,331.706787109375,336.1670245359892,4.4602,19.8937,4.4602,1.3446
2023-09-14,327.3010559082031,332.37754705306725,5.0765,25.7708,5.0765,1.551
2023-09-15,333.33563232421875,328.67536319401916,4.6603,21.7181,4.6603,1.3981
2023-09-18,328.733642578125,334.8425276099442,6.1089,37.3185,6.1089,1.8583
2023-09-19,322.4341125488281,330.70327587242355,8.2692,68.3791,8.2692,2.5646
2023-09-20,328.2920837402344,324.9916430688827,3.3004,10.8929,3.3004,1.0053
2023-09-21,329.5481262207031,330.8787032345208,1.3306,1.7704,1.3306,0.4038
2023-09-22,328.7630615234375,332.1084997151265,3.3454,11.192,3.3454,1.0176
2023-09-25,334.15005493164057,331.31149602837104,2.8386,8.0574,2.8386,0.8495
2023-09-26,331.6478881835937,336.22846262647727,4.5806,20.9817,4.5806,1.3812
2023-09-27,331.80493164062506,333.6058447378163,1.8009,3.2433,1.8009,0.5428
2023-09-28,334.8663024902344,333.72034523662296,1.146,1.3132,1.146,0.3422
2023-09-29,330.8924255371094,336.58725800116736,5.6948,32.4311,5.6948,1.7211
2023-10-02,325.603515625,332.7505823957654,7.1471,51.0806,7.1471,2.195
2023-10-03,326.23150634765625,327.8345609277021,1.6031,2.5698,1.6031,0.4914
2023-10-04,330.872802734375,328.77206201734225,2.1007,4.4131,2.1007,0.6349
2023-10-05,336.2303161621094,333.2894033048069,2.9409,8.649,2.9409,0.8747
2023-10-06,338.76184082031244,338.1321564044447,0.6297,0.3965,0.6297,0.1859
2023-10-09,339.24267578125,340.1997781832324,0.9571,0.916,0.9571,0.2821
2023-10-10,352.7445068359375,340.4233472251217,12.3212,151.811,12.3212,3.4929
2023-10-11,348.417236328125,352.2435181075998,3.8263,14.6404,3.8263,1.0982
2023-10-12,340.3612670898437,347.9032875439734,7.542,56.8821,7.542,2.2159
2023-10-13,337.3194885253906,340.53212515064655,3.2126,10.321,3.2126,0.9524
2023-10-16,338.63427734375,338.37190695448953,0.2624,0.0688,0.2624,0.0775
2023-10-17,344.3941650390625,340.39813209942076,3.996,15.9683,3.996,1.1603
2023-10-18,331.4320373535156,346.24865970957035,14.8166,219.5323,14.8166,4.4705
2023-10-19,324.51434326171875,333.7144777018875,9.2001,84.6425,9.2001,2.835
2023-10-20,332.0207824707031,327.548340191046,4.4724,20.0027,4.4724,1.347
2023-10-23,329.61676025390625,335.1428894212331,5.5261,30.5381,5.5261,1.6765
2023-10-24,330.0289001464844,332.972454183393,2.9436,8.6645,2.9436,0.8919
2023-10-25,321.3547058105469,333.460511301324,12.1058,146.5505,12.1058,3.7671
2023-10-26,320.5305480957031,324.9364324723683,4.4059,19.4118,4.4059,1.3746
2023-10-27,321.62948608398443,324.34064186487376,2.7112,7.3504,2.7112,0.8429
2023-10-30,323.9157104492188,325.48971870999594,1.574,2.4775,1.574,0.4859
2023-10-31,319.93194580078125,327.53853080103,7.6066,57.8601,7.6066,2.3776
2023-11-01,316.18365478515625,323.4027727517605,7.2191,52.1157,7.2191,2.2832
2023-11-02,316.8704528808594,319.6505675991939,2.7801,7.729,2.7801,0.8774
2023-11-03,314.9865417480469,320.2849113913544,5.2984,28.0727,5.2984,1.6821
2023-11-06,317.9596862792969,318.3683838720317,0.4087,0.167,0.4087,0.1285
2023-11-07,315.820556640625,321.0610088695357,5.2405,27.4623,5.2405,1.6593
2023-11-08,315.0535888671875,318.74371808519936,3.6901,13.6171,3.6901,1.1713
2023-11-09,311.5923767089844,317.8544255959714,6.262,39.2133,6.262,2.0097
2023-11-10,311.19903564453125,314.4158200905804,3.2168,10.3477,3.2168,1.0337
2023-11-13,316.5089416503906,314.06172570998024,2.4472,5.9889,2.4472,0.7732
2023-11-14,317.0792236328125,318.9611421985319,1.8819,3.5416,1.8819,0.5935
2023-11-15,321.5434875488281,319.21965565641585,2.3238,5.4002,2.3238,0.7227
2023-11-16,314.6307678222656,323.1252917171332,8.4945,72.1569,8.4945,2.6998
2023-11-17,317.5905456542969,316.2165974967829,1.3739,1.8877,1.3739,0.4326
2023-11-20,318.2985229492188,319.095621890061,0.7971,0.6354,0.7971,0.2504
2023-11-21,322.9299621582031,319.85370150346716,3.0763,9.4634,3.0763,0.9526
2023-11-22,323.3036193847657,324.2187396613517,0.9151,0.8374,0.9151,0.2831
2023-11-24,322.2908020019531,324.51568883967775,2.2249,4.9501,2.2249,0.6903
2023-11-27,323.17578125,323.5898609873402,0.4141,0.1715,0.4141,0.1281
2023-11-28,327.9841613769531,324.5465975580737,3.4376,11.8168,3.4376,1.0481
2023-11-29,327.32537841796875,329.09405784475894,1.7687,3.1282,1.7687,0.5403
2023-11-30,324.4049377441406,328.45567729909817,4.0507,16.4085,4.0507,1.2487
2023-12-01,328.69219970703125,325.78908890864113,2.9031,8.4281,2.9031,0.8832
2023-12-04,332.3009033203125,329.9981353669209,2.3028,5.3027,2.3028,0.693
2023-12-05,326.2338562011719,333.4141970380442,7.1803,51.5573,7.1803,2.201
2023-12-06,330.45230102539057,327.6121215657913,2.8402,8.0666,2.8402,0.8595
2023-12-07,333.04827880859375,331.7991077565857,1.2492,1.5604,1.2492,0.3751
2023-12-08,324.7097473144531,334.34480197343504,9.6351,92.8343,9.6351,2.9673
2023-12-11,323.569091796875,326.37436413449177,2.8053,7.8696,2.8053,0.867
2023-12-12,323.1658935546875,325.6921961248736,2.5263,6.3822,2.5263,0.7817
2023-12-13,315.4174194335937,325.69382462133945,10.2764,105.6045,10.2764,3.258
2023-12-14,314.1981506347656,318.3948297927199,4.1967,17.6121,4.1967,1.3357
2023-12-15,311.7201538085937,317.6267748488135,5.9066,34.8882,5.9066,1.8948
2023-12-18,312.2413330078125,315.48523589420796,3.2439,10.5229,3.2439,1.0389
2023-12-19,306.93145751953125,316.10751471243566,9.1761,84.2,9.1761,2.9896
2023-12-20,307.57061767578125,310.8226696939164,3.2521,10.5758,3.2521,1.0573
2023-12-21,308.4064025878906,311.419224912519,3.0128,9.0771,3.0128,0.9769
2023-12-22,310.4811706542969,312.0387019828413,1.5575,2.4259,1.5575,0.5017
2023-12-26,316.43023681640625,313.69794142517276,2.7323,7.4654,2.7323,0.8635
2023-12-27,308.1606140136719,318.7799043001287,10.6193,112.7693,10.6193,3.446
2023-12-28,313.6376342773437,310.2410249582317,3.3966,11.537,3.3966,1.083
2023-12-29,314.03094482421875,315.245938834676,1.215,1.4762,1.215,0.3869
2024-01-02,321.79913330078125,315.5192268183746,6.2799,39.4372,6.2799,1.9515
2024-01-03,324.31640625000006,322.55876665563846,1.7576,3.0893,1.7576,0.542
2024-01-04,322.9103088378906,324.7061917791143,1.7959,3.2252,1.7959,0.5562
2024-01-05,326.873046875,323.3625352750096,3.5105,12.3237,3.5105,1.074
2024-01-08,325.6341247558594,327.1799454828724,1.5458,2.3896,1.5458,0.4747
2024-01-09,322.26129150390625,326.1829034831135,3.9216,15.379,3.9216,1.2169
2024-01-10,327.0893859863281,323.29527266750665,3.7941,14.3953,3.7941,1.16
2024-01-11,326.5190734863281,328.1698568923093,1.6508,2.7251,1.6508,0.5056
2024-01-12,324.6015319824219,327.8404690631287,3.2389,10.4907,3.2389,0.9978
2024-01-16,325.7913513183593,326.2532888643982,0.4619,0.2134,0.4619,0.1418
2024-01-17,321.21905517578125,327.6283970723998,6.4093,41.0797,6.4093,1.9953
2024-01-18,323.82476806640625,323.39072612240125,0.434,0.1884,0.434,0.134
2024-01-19,325.0146179199219,326.0986344979028,1.084,1.1751,1.084,0.3335
2024-01-22,334.9853820800781,327.28490597625205,7.7005,59.2973,7.7005,2.2987
2024-01-23,322.4186706542969,336.25290715844676,13.8342,191.3861,13.8342,4.2908
2024-01-24,324.3065795898437,323.7266239359815,0.58,0.3363,0.58,0.1788
2024-01-25,331.6814270019532,325.78081498140085,5.9006,34.8172,5.9006,1.779
2024-01-26,332.46807861328125,332.8379971291106,0.3699,0.1368,0.3699,0.1113
2024-01-29,340.2953186035156,333.6499034924709,6.6454,44.1615,6.6454,1.9528
2024-01-30,342.5077209472656,340.8421937453859,1.6655,2.774,1.6655,0.4863
2024-01-31,346.9129638671875,342.807291406225,4.1057,16.8565,4.1057,1.1835
2024-02-01,350.5807800292968,346.88864698138786,3.6921,13.6318,3.6921,1.0531
2024-02-02,354.5139465332031,350.34247927573597,4.1715,17.4011,4.1715,1.1767
2024-02-05,357.13946533203125,354.11339340385894,3.0261,9.1571,3.0261,0.8473
2024-02-06,354.6713562011719,356.7605749760005,2.0892,4.3648,2.0892,0.5891
2024-02-07,363.50146484375,354.763653703998,8.7378,76.3493,8.7378,2.4038
2024-02-08,360.5613708496094,363.21445036501973,2.6531,7.0388,2.6531,0.7358
2024-02-09,364.0914306640625,360.70991755696014,3.3815,11.4346,3.3815,0.9288
2024-02-12,364.2392272949219,364.4556259148958,0.2164,0.0468,0.2164,0.0594
2024-02-13,370.6437072753906,364.98111336678994,5.6626,32.065,5.6626,1.5278
2024-02-14,364.4166259765625,371.22804296359027,6.8114,46.3954,6.8114,1.8691
2024-02-15,371.8951110839844,365.4551467729325,6.44,41.4731,6.44,1.7317
2024-02-16,367.5893249511719,372.7251644331009,5.1358,26.3768,5.1358,1.3972
2024-02-20,372.2991027832031,368.82483160698393,3.4743,12.0706,3.4743,0.9332
2024-02-21,371.8852233886719,373.57839985343526,1.6932,2.8668,1.6932,0.4553
2024-02-22,373.04791259765625,373.39362558434004,0.3457,0.1195,0.3457,0.0927
2024-02-23,377.0778503417969,374.71538883814355,2.3625,5.5812,2.3625,0.6265
2024-02-26,373.2843627929688,378.61859707812255,5.3342,28.4541,5.3342,1.429
2024-02-27,373.3434753417969,375.03610899754864,1.6926,2.865,1.6926,0.4534
2024-02-28,369.0081481933594,375.31388994262306,6.3057,39.7624,6.3057,1.7088
2024-02-29,363.717041015625,371.3740632823028,7.657,58.63,7.657,2.1052
2024-03-01,367.0473327636719,366.6038899788691,0.4434,0.1966,0.4434,0.1208
2024-03-04,363.3820190429688,370.1405806711191,6.7586,45.6782,6.7586,1.8599
2024-03-05,365.5004577636718,366.6980078429843,1.1976,1.4341,1.1976,0.3276
2024-03-06,368.7322387695313,368.8090254378658,0.0768,0.0059,0.0768,0.0208
2024-03-07,365.8452758789063,371.726938092128,5.8817,34.594,5.8817,1.6077
2024-03-08,368.8800354003906,368.68695670196036,0.1931,0.0373,0.1931,0.0523
2024-03-11,368.8702087402344,371.4109987398988,2.5408,6.4556,2.5408,0.6888
2024-03-12,360.55419921875,371.19988532770367,10.6457,113.3306,10.6457,2.9526
2024-03-13,365.28369140625,363.04634732950944,2.2373,5.0057,2.2373,0.6125
2024-03-14,367.1754760742188,367.69822971877875,0.5228,0.2733,0.5228,0.1424
2024-03-15,367.77655029296886,369.5106881647153,1.7341,3.0072,1.7341,0.4715
2024-03-18,365.1753234863281,370.0410092857638,4.8657,23.6749,4.8657,1.3324
2024-03-19,368.0523376464844,367.5224540133968,0.5299,0.2808,0.5299,0.144
2024-03-20,369.07708740234375,370.2812446123098,1.2042,1.45,1.2042,0.3263
2024-03-21,369.1559448242188,371.1965749897281,2.0406,4.1642,2.0406,0.5528
2024-03-22,368.57464599609375,371.2234291367277,2.6488,7.0161,2.6488,0.7187
2024-03-25,369.7668151855469,370.66848859249876,0.9017,0.813,0.9017,0.2438
2024-03-26,370.51568603515625,371.836089774617,1.3204,1.7435,1.3204,0.3564
2024-03-27,365.4216003417969,372.55611308003427,7.1345,50.9013,7.1345,1.9524
2024-03-28,365.1555786132813,367.68915843775176,2.5336,6.419,2.5336,0.6938
2024-04-01,362.53466796875,367.6617712119915,5.1271,26.2872,5.1271,1.4142
2024-04-02,362.3474426269531,365.33784146711696,2.9904,8.9425,2.9904,0.8253
2024-04-03,369.18548583984375,365.3539136292602,3.8316,14.6809,3.8316,1.0378
2024-04-04,370.2693786621094,371.74385088412237,1.4745,2.1741,1.4745,0.3982
2024-04-05,377.1467895507813,372.47326637227525,4.6735,21.8418,4.6735,1.2392
2024-04-08,378.9794921875,378.5514111517842,0.4281,0.1833,0.4281,0.113
2024-04-09,382.7630310058594,379.911331058247,2.8517,8.1322,2.8517,0.745
2024-04-10,384.5365905761718,383.25194476571414,1.2846,1.6503,1.2846,0.3341
2024-04-11,383.7484130859375,384.8493133331431,1.1009,1.212,1.1009,0.2869
2024-04-12,388.0837097167969,384.2276063712925,3.8561,14.8695,3.8561,0.9936
2024-04-15,392.81317138671875,388.5172420077033,4.2959,18.455,4.2959,1.0936
2024-04-16,390.68499755859375,393.0901997949987,2.4052,5.785,2.4052,0.6156
2024-04-17,393.0398559570313,391.25985156594106,1.78,3.1684,1.78,0.4529
2024-04-18,396.64608764648443,393.80535664160567,2.8407,8.0698,2.8407,0.7162
2024-04-19,398.922119140625,397.4518525576095,1.4703,2.1617,1.4703,0.3686
