Epoch,Training_Loss,Validation_Loss
1,2.369034154980909e-05,1.6401098037022166e-05
2,5.609305389953079e-06,0.00015762739349156618
3,5.067885467724409e-06,0.00012824972509406507
4,5.862044872628758e-06,3.516576180118136e-05
5,4.3060917960247025e-06,1.8691584045882337e-05
6,4.88699561174144e-06,2.3410406356560998e-05
7,3.914140052074799e-06,8.679025086166803e-06
8,4.172781245870283e-06,7.613854540977627e-05
9,3.919857590517495e-06,6.608947296626866e-05
10,4.011737473774701e-06,3.899907096638344e-05
11,3.6177923448121874e-06,2.6442776288604364e-05
12,4.1045800571737345e-06,2.943042818515096e-05
13,4.019044354208745e-06,9.31986141949892e-05
14,3.7671904919989174e-06,0.00012047016934957355
15,4.7016010285005905e-06,6.362540443660691e-05
16,4.723063284473028e-06,1.9058268662774935e-05
17,3.816254775301786e-06,1.1592216651479248e-05
18,3.992712663603015e-06,8.02259637566749e-06
19,4.269742476026295e-06,6.286159532464808e-06
20,3.2243249279417796e-06,9.201198736263905e-06
21,3.7202016756054945e-06,7.652925887668971e-06
22,3.992598976765294e-06,8.463309313810896e-06
23,3.304250640212558e-06,1.3178479093767237e-05
24,3.4929239518532995e-06,6.56487327432842e-06
25,3.1446031698578736e-06,1.2600100490089972e-05
26,4.179901679890463e-06,1.2762813639710657e-05
27,3.104249117313884e-06,9.367190614284482e-06
28,3.7745710415038047e-06,5.558764769375557e-06
29,3.292165956736426e-06,6.996184765739599e-06
30,3.299395530120819e-06,5.164806225366192e-06
31,3.8171706364664715e-06,5.1595411605376285e-06
32,2.8483086680353153e-06,2.1594389181700535e-05
33,3.1739598398417e-06,8.484531463182066e-06
34,3.249806923122378e-06,7.876750714785885e-06
35,3.3347530461469432e-06,3.3451284252805635e-05
36,3.3628937217144994e-06,9.795036930881906e-06
37,3.079688667639857e-06,1.6731753930798732e-05
38,3.133164682367351e-06,5.1096308197884355e-06
39,3.617470611061435e-06,1.590456122357864e-05
40,3.055986326216953e-06,0.00011576050746953115
41,3.832203219644725e-06,6.751083219569409e-06
42,3.010029558936367e-06,4.5410233724396676e-05
43,3.0890748803358292e-06,8.302876267407555e-06
44,2.7559285626921337e-06,3.1247636798070744e-05
45,3.086690867348807e-06,7.701660251768772e-06
46,3.4365987175988266e-06,1.8855282178265043e-05
47,3.1017955279821763e-06,2.0844514438067563e-05
48,3.2607492812530836e-06,3.609574559959583e-05
49,3.0928326850698795e-06,4.426009036251344e-05
50,2.719377107496257e-06,9.313903319707606e-06
