Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,305.78134155273443,301.3264691029908,4.4549,19.8459,4.4549,1.4569
2023-08-07,303.6273803710937,306.44163265477255,2.8143,7.92,2.8143,0.9269
2023-08-08,302.5110778808594,304.3994964692683,1.8884,3.5661,1.8884,0.6242
2023-08-09,302.9909057617187,303.47155666926847,0.4807,0.231,0.4807,0.1586
2023-08-10,305.2232360839844,304.0449761870914,1.1783,1.3883,1.1783,0.386
2023-08-11,308.1080627441406,306.1971289082794,1.9109,3.6517,1.9109,0.6202
2023-08-14,312.5432739257813,308.88154598394976,3.6617,13.4083,3.6617,1.1716
2023-08-15,312.3666381835937,312.9877253430677,0.6211,0.3857,0.6211,0.1988
2023-08-16,315.1533203125,312.6765245393471,2.4768,6.1345,2.4768,0.7859
2023-08-17,309.3444519042969,315.3025076192571,5.9581,35.4984,5.9581,1.926
2023-08-18,307.9609069824219,309.74157743484466,1.7807,3.1708,1.7807,0.5782
2023-08-21,319.8044128417969,308.58570512246297,11.2187,125.8594,11.2187,3.508
2023-08-22,326.6436462402344,319.6875638335514,6.9561,48.3871,6.9561,2.1296
2023-08-23,324.9951171875,325.87133096700563,0.8762,0.7678,0.8762,0.2696
2023-08-24,322.22808837890625,324.0806988175609,1.8526,3.4322,1.8526,0.5749
2023-08-25,326.3394470214844,321.6057277336222,4.7337,22.4081,4.7337,1.4506
2023-08-28,329.10650634765625,325.7758442474933,3.3307,11.0933,3.3307,1.012
2023-08-29,329.6364440917969,328.5932660918188,1.0432,1.0882,1.0432,0.3165
2023-08-30,327.4188232421875,329.2924689515403,1.8736,3.5105,1.8736,0.5722
2023-08-31,317.3120422363281,327.43595801155607,10.1239,102.4937,10.1239,3.1905
2023-09-01,319.1567687988281,318.1823553404538,0.9744,0.9495,0.9744,0.3053
2023-09-05,320.6580810546875,320.1931160956992,0.465,0.2162,0.465,0.145
2023-09-06,325.62307739257807,321.7275136868557,3.8956,15.1754,3.8956,1.1963
2023-09-07,328.017333984375,326.4133198987911,1.604,2.5729,1.604,0.489
2023-09-08,331.01010131835943,328.5744303413958,2.4357,5.9325,2.4357,0.7358
2023-09-11,341.5682373046875,331.35379338055645,10.2144,104.3349,10.2144,2.9905
2023-09-12,335.9064636230469,341.3142988309919,5.4078,29.2447,5.4078,1.6099
2023-09-13,331.706787109375,335.49586094880215,3.7891,14.3571,3.7891,1.1423
2023-09-14,327.3010559082031,331.6064083958772,4.3054,18.5361,4.3054,1.3154
2023-09-15,333.33563232421875,327.73301672815796,5.6026,31.3893,5.6026,1.6808
2023-09-18,328.733642578125,333.5907817000334,4.8571,23.5918,4.8571,1.4775
2023-09-19,322.4341125488281,329.2610360815306,6.8269,46.6069,6.8269,2.1173
2023-09-20,328.2920837402344,323.57181349960956,4.7203,22.281,4.7203,1.4378
2023-09-21,329.5481262207031,329.1880902358571,0.36,0.1296,0.36,0.1093
2023-09-22,328.7630615234375,330.29002718492484,1.527,2.3316,1.527,0.4645
2023-09-25,334.15005493164057,329.53290233820735,4.6172,21.3181,4.6172,1.3818
2023-09-26,331.6478881835937,334.62081066956307,2.9729,8.8383,2.9729,0.8964
2023-09-27,331.80493164062506,332.12342128742597,0.3185,0.1014,0.3185,0.096
2023-09-28,334.8663024902344,332.320244151284,2.5461,6.4824,2.5461,0.7603
2023-09-29,330.8924255371094,335.2344770321688,4.3421,18.8534,4.3421,1.3122
2023-10-02,325.603515625,331.4357077332643,5.8322,34.0145,5.8322,1.7912
2023-10-03,326.23150634765625,326.5780817354098,0.3466,0.1201,0.3466,0.1062
2023-10-04,330.872802734375,327.2942097356863,3.5786,12.8063,3.5786,1.0816
2023-10-05,336.2303161621094,331.61287384005846,4.6174,21.3208,4.6174,1.3733
2023-10-06,338.76184082031244,336.48074710552464,2.2811,5.2034,2.2811,0.6734
2023-10-09,339.24267578125,338.66199247223994,0.5807,0.3372,0.5807,0.1712
2023-10-10,352.7445068359375,339.0188961808162,13.7256,188.3924,13.7256,3.8911
2023-10-11,348.417236328125,351.7818254986705,3.3646,11.3205,3.3646,0.9657
2023-10-12,340.3612670898437,347.15790812904015,6.7966,46.1943,6.7966,1.9969
2023-10-13,337.3194885253906,339.5626446223104,2.2432,5.0317,2.2432,0.665
2023-10-16,338.63427734375,337.06782412303255,1.5665,2.4538,1.5665,0.4626
2023-10-17,344.3941650390625,338.6763411661377,5.7178,32.6935,5.7178,1.6603
2023-10-18,331.4320373535156,344.3180080442253,12.886,166.0482,12.886,3.888
2023-10-19,324.51434326171875,332.0395792053205,7.5252,56.6292,7.5252,2.3189
2023-10-20,332.0207824707031,325.9019786706922,6.1188,37.4398,6.1188,1.8429
2023-10-23,329.61676025390625,333.0243719768914,3.4076,11.6118,3.4076,1.0338
2023-10-24,330.0289001464844,330.66278931793204,0.6339,0.4018,0.6339,0.1921
2023-10-25,321.3547058105469,331.1277364708294,9.773,95.5121,9.773,3.0412
2023-10-26,320.5305480957031,323.0528051906185,2.5223,6.3618,2.5223,0.7869
2023-10-27,321.62948608398443,322.44480364304763,0.8153,0.6647,0.8153,0.2535
2023-10-30,323.9157104492188,323.49536167863334,0.4203,0.1767,0.4203,0.1298
2023-10-31,319.93194580078125,325.5280666834733,5.5961,31.3166,5.5961,1.7492
2023-11-01,316.18365478515625,321.5917489863932,5.4081,29.2475,5.4081,1.7104
2023-11-02,316.8704528808594,318.01910582225537,1.1487,1.3194,1.1487,0.3625
2023-11-03,314.9865417480469,318.5912807406712,3.6047,12.9941,3.6047,1.1444
2023-11-06,317.9596862792969,316.6664984080562,1.2932,1.6723,1.2932,0.4067
2023-11-07,315.820556640625,319.27312696563604,3.4526,11.9202,3.4526,1.0932
2023-11-08,315.0535888671875,316.9887218751246,1.9351,3.7447,1.9351,0.6142
2023-11-09,311.5923767089844,316.11112772885826,4.5188,20.4191,4.5188,1.4502
2023-11-10,311.19903564453125,312.7417824870208,1.5427,2.3801,1.5427,0.4957
2023-11-13,316.5089416503906,312.30358601656917,4.2054,17.685,4.2054,1.3287
2023-11-14,317.0792236328125,317.109201044168,0.03,0.0009,0.03,0.0095
2023-11-15,321.5434875488281,317.3419630150165,4.2015,17.6528,4.2015,1.3067
2023-11-16,314.6307678222656,321.3698482515101,6.7391,45.4152,6.7391,2.1419
2023-11-17,317.5905456542969,314.58227138724396,3.0083,9.0497,3.0083,0.9472
2023-11-20,318.2985229492188,317.3693501039761,0.9292,0.8634,0.9292,0.2919
2023-11-21,322.9299621582031,318.0076052218137,4.9224,24.2296,4.9224,1.5243
2023-11-22,323.3036193847657,322.3818910275404,0.9217,0.8496,0.9217,0.2851
2023-11-24,322.2908020019531,322.69259362438606,0.4018,0.1614,0.4018,0.1247
2023-11-27,323.17578125,321.8177742535772,1.358,1.8442,1.358,0.4202
2023-11-28,327.9841613769531,322.8077851459384,5.1764,26.7949,5.1764,1.5782
2023-11-29,327.32537841796875,327.4494272013817,0.124,0.0154,0.124,0.0379
2023-11-30,324.4049377441406,326.8298020400289,2.4249,5.88,2.4249,0.7475
2023-12-01,328.69219970703125,324.20486772711047,4.4873,20.1361,4.4873,1.3652
2023-12-04,332.3009033203125,328.4044581450762,3.8964,15.1823,3.8964,1.1726
2023-12-05,326.2338562011719,331.8441811484299,5.6103,31.4757,5.6103,1.7197
2023-12-06,330.45230102539057,326.09221843429987,4.3601,19.0103,4.3601,1.3194
2023-12-07,333.04827880859375,330.2132053087862,2.8351,8.0376,2.8351,0.8513
2023-12-08,324.7097473144531,332.70767150117166,7.9979,63.9668,7.9979,2.4631
2023-12-11,323.569091796875,324.85827151542253,1.2892,1.662,1.2892,0.3984
2023-12-12,323.1658935546875,324.0408327570767,0.8749,0.7655,0.8749,0.2707
2023-12-13,315.4174194335937,323.8737789743027,8.4564,71.51,8.4564,2.681
2023-12-14,314.1981506347656,316.79559739524115,2.5974,6.7467,2.5974,0.8267
2023-12-15,311.7201538085937,315.87146787400343,4.1513,17.2334,4.1513,1.3317
2023-12-18,312.2413330078125,313.66621976553864,1.4249,2.0303,1.4249,0.4563
2023-12-19,306.93145751953125,314.1654905639298,7.234,52.3312,7.234,2.3569
2023-12-20,307.57061767578125,309.1149841058723,1.5444,2.3851,1.5444,0.5021
2023-12-21,308.4064025878906,309.6368892382525,1.2305,1.5141,1.2305,0.399
2023-12-22,310.4811706542969,310.2178096122152,0.2634,0.0694,0.2634,0.0848
2023-12-26,316.43023681640625,311.9017374290088,4.5285,20.5073,4.5285,1.4311
2023-12-27,308.1606140136719,317.183118712499,9.0225,81.4056,9.0225,2.9279
2023-12-28,313.6376342773437,308.8679214074873,4.7697,22.7502,4.7697,1.5208
2023-12-29,314.03094482421875,313.8170243941858,0.2139,0.0458,0.2139,0.0681
2024-01-02,321.79913330078125,313.9397708933211,7.8594,61.7696,7.8594,2.4423
2024-01-03,324.31640625000006,321.1623716576505,3.154,9.9479,3.154,0.9725
2024-01-04,322.9103088378906,323.35207174764946,0.4418,0.1952,0.4418,0.1368
2024-01-05,326.873046875,321.993075986029,4.88,23.8141,4.88,1.4929
2024-01-08,325.6341247558594,325.9022988342913,0.2682,0.0719,0.2682,0.0824
2024-01-09,322.26129150390625,324.8349077489929,2.5736,6.6235,2.5736,0.7986
2024-01-10,327.0893859863281,321.87935426710465,5.21,27.1444,5.21,1.5928
2024-01-11,326.5190734863281,326.6632608944474,0.1442,0.0208,0.1442,0.0442
2024-01-12,324.6015319824219,326.2163801699917,1.6148,2.6077,1.6148,0.4975
2024-01-16,325.7913513183593,324.59226440585735,1.1991,1.4378,1.1991,0.3681
2024-01-17,321.21905517578125,325.92561205643506,4.7066,22.1517,4.7066,1.4652
2024-01-18,323.82476806640625,321.77678245766583,2.048,4.1942,2.048,0.6324
2024-01-19,325.0146179199219,324.3954350407512,0.6192,0.3834,0.6192,0.1905
2024-01-22,334.9853820800781,325.54929563132464,9.4361,89.0397,9.4361,2.8169
2024-01-23,322.4186706542969,334.8940744309275,12.4754,155.6357,12.4754,3.8693
2024-01-24,324.3065795898437,322.4115409060232,1.895,3.5912,1.895,0.5843
2024-01-25,331.6814270019532,324.17045647302433,7.511,56.4147,7.511,2.2645
2024-01-26,332.46807861328125,331.11249303184377,1.3556,1.8376,1.3556,0.4077
2024-01-29,340.2953186035156,331.79976237110895,8.4956,72.1745,8.4956,2.4965
2024-01-30,342.5077209472656,339.35066998759976,3.1571,9.967,3.1571,0.9217
2024-01-31,346.9129638671875,341.4921334031842,5.4208,29.3854,5.4208,1.5626
2024-02-01,350.5807800292968,345.8871676191993,4.6936,22.03,4.6936,1.3388
2024-02-02,354.5139465332031,349.5846143397357,4.9293,24.2983,4.9293,1.3904
2024-02-05,357.13946533203125,353.5538319236857,3.5856,12.8568,3.5856,1.004
2024-02-06,354.6713562011719,356.2662017174771,1.5948,2.5435,1.5948,0.4497
2024-02-07,363.50146484375,354.1267248302811,9.3747,87.8858,9.3747,2.579
2024-02-08,360.5613708496094,362.7558381908457,2.1945,4.8157,2.1945,0.6086
2024-02-09,364.0914306640625,359.95308583733276,4.1383,17.1259,4.1383,1.1366
2024-02-12,364.2392272949219,363.552386102303,0.6868,0.4718,0.6868,0.1886
2024-02-13,370.6437072753906,363.90820959218945,6.7355,45.3669,6.7355,1.8172
2024-02-14,364.4166259765625,370.21353016686044,5.7969,33.6041,5.7969,1.5907
2024-02-15,371.8951110839844,364.3494431600484,7.5457,56.9371,7.5457,2.029
2024-02-16,367.5893249511719,371.63004197249757,4.0407,16.3274,4.0407,1.0992
2024-02-20,372.2991027832031,367.58176599042963,4.7173,22.2533,4.7173,1.2671
2024-02-21,371.8852233886719,372.2580498850257,0.3728,0.139,0.3728,0.1003
2024-02-22,373.04791259765625,372.0042109417409,1.0437,1.0893,1.0437,0.2798
2024-02-23,377.0778503417969,373.32251964334137,3.7553,14.1025,3.7553,0.9959
2024-02-26,373.2843627929688,377.301437524271,4.0171,16.1369,4.0171,1.0761
2024-02-27,373.3434753417969,373.78306267903105,0.4396,0.1932,0.4396,0.1177
2024-02-28,369.0081481933594,374.04644777691647,5.0383,25.3845,5.0383,1.3654
2024-02-29,363.717041015625,370.1379667852161,6.4209,41.2283,6.4209,1.7654
2024-03-01,367.0473327636719,365.4094513966993,1.6379,2.6827,1.6379,0.4462
2024-03-04,363.3820190429688,368.64480055235254,5.2628,27.6969,5.2628,1.4483
2024-03-05,365.5004577636718,365.1461221389182,0.3543,0.1256,0.3543,0.0969
2024-03-06,368.7322387695313,367.1031752632116,1.6291,2.6538,1.6291,0.4418
2024-03-07,365.8452758789063,369.98086166077707,4.1356,17.1031,4.1356,1.1304
2024-03-08,368.8800354003906,367.0500180603122,1.83,3.349,1.83,0.4961
2024-03-11,368.8702087402344,369.8061263019481,0.9359,0.8759,0.9359,0.2537
2024-03-12,360.55419921875,369.63212467513586,9.0779,82.4087,9.0779,2.5178
2024-03-13,365.28369140625,361.7040378972888,3.5797,12.8139,3.5797,0.98
2024-03-14,367.1754760742188,366.09911899629515,1.0764,1.1585,1.0764,0.2931
2024-03-15,367.77655029296886,367.6938965724258,0.0827,0.0068,0.0827,0.0225
2024-03-18,365.1753234863281,368.13141052699945,2.9561,8.7385,2.9561,0.8095
2024-03-19,368.0523376464844,365.6382893997761,2.414,5.8276,2.414,0.6559
2024-03-20,369.07708740234375,368.36929250802496,0.7078,0.501,0.7078,0.1918
2024-03-21,369.1559448242188,369.28145540606783,0.1255,0.0158,0.1255,0.034
2024-03-22,368.57464599609375,369.3340404163246,0.7594,0.5767,0.7594,0.206
2024-03-25,369.7668151855469,368.8082178614277,0.9586,0.9189,0.9586,0.2592
2024-03-26,370.51568603515625,369.9695815265004,0.5461,0.2982,0.5461,0.1474
2024-03-27,365.4216003417969,370.6824236768225,5.2608,27.6763,5.2608,1.4397
2024-03-28,365.1555786132813,365.90639793756054,0.7508,0.5637,0.7508,0.2056
2024-04-01,362.53466796875,365.7799285011352,3.2453,10.5317,3.2453,0.8952
2024-04-02,362.3474426269531,363.4008763253805,1.0534,1.1097,1.0534,0.2907
2024-04-03,369.18548583984375,363.2993780303732,5.8861,34.6463,5.8861,1.5943
2024-04-04,370.2693786621094,369.63927645021613,0.6301,0.397,0.6301,0.1702
2024-04-05,377.1467895507813,370.4023269854224,6.7445,45.4878,6.7445,1.7883
2024-04-08,378.9794921875,376.76211691720533,2.2174,4.9168,2.2174,0.5851
2024-04-09,382.7630310058594,378.30076236714376,4.4623,19.9118,4.4623,1.1658
