Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,305.78134155273443,299.8336636880231,5.9477,35.3749,5.9477,1.9451
2023-08-07,303.6273803710937,304.0569079011875,0.4295,0.1845,0.4295,0.1415
2023-08-08,302.5110778808594,303.9016676292958,1.3906,1.9337,1.3906,0.4597
2023-08-09,302.9909057617187,302.11242905730796,0.8785,0.7717,0.8785,0.2899
2023-08-10,305.2232360839844,304.4084450110822,0.8148,0.6639,0.8148,0.2669
2023-08-11,308.1080627441406,304.5856539290071,3.5224,12.4074,3.5224,1.1432
2023-08-14,312.5432739257813,307.86443701026656,4.6788,21.8915,4.6788,1.497
2023-08-15,312.3666381835937,311.1591555649393,1.2075,1.458,1.2075,0.3866
2023-08-16,315.1533203125,311.94520837931117,3.2081,10.292,3.2081,1.018
2023-08-17,309.3444519042969,314.51825049798936,5.1738,26.7682,5.1738,1.6725
2023-08-18,307.9609069824219,309.97379021837696,2.0129,4.0517,2.0129,0.6536
2023-08-21,319.8044128417969,307.5322967065549,12.2721,150.6048,12.2721,3.8374
2023-08-22,326.6436462402344,319.73550433204036,6.9081,47.7224,6.9081,2.1149
2023-08-23,324.9951171875,324.44920237928454,0.5459,0.298,0.5459,0.168
2023-08-24,322.22808837890625,323.8823956536362,1.6543,2.7367,1.6543,0.5134
2023-08-25,326.3394470214844,321.2703474846421,5.0691,25.6958,5.0691,1.5533
2023-08-28,329.10650634765625,326.80515116695096,2.3014,5.2962,2.3014,0.6993
2023-08-29,329.6364440917969,328.88566630789865,0.7508,0.5637,0.7508,0.2278
2023-08-30,327.4188232421875,329.08259047731735,1.6638,2.7681,1.6638,0.5081
2023-08-31,317.3120422363281,326.913054810575,9.601,92.1794,9.601,3.0257
2023-09-01,319.1567687988281,317.38031914666135,1.7764,3.1558,1.7764,0.5566
2023-09-05,320.6580810546875,318.48540111276816,2.1727,4.7205,2.1727,0.6776
2023-09-06,325.62307739257807,320.1293470171513,5.4937,30.1811,5.4937,1.6871
2023-09-07,328.017333984375,324.4701454838305,3.5472,12.5825,3.5472,1.0814
2023-09-08,331.01010131835943,327.56428994756425,3.4458,11.8736,3.4458,1.041
2023-09-11,341.5682373046875,330.3284190886825,11.2398,126.3335,11.2398,3.2907
2023-09-12,335.9064636230469,340.4561850870814,4.5497,20.7,4.5497,1.3545
2023-09-13,331.706787109375,335.7020031925131,3.9952,15.9618,3.9952,1.2044
2023-09-14,327.3010559082031,331.5818327132147,4.2808,18.3251,4.2808,1.3079
2023-09-15,333.33563232421875,328.03532297267157,5.3003,28.0933,5.3003,1.5901
2023-09-18,328.733642578125,332.588006108479,3.8544,14.8561,3.8544,1.1725
2023-09-19,322.4341125488281,328.35802460144623,5.9239,35.0927,5.9239,1.8372
2023-09-20,328.2920837402344,321.5400454193423,6.752,45.59,6.752,2.0567
2023-09-21,329.5481262207031,327.950255011865,1.5979,2.5532,1.5979,0.4849
2023-09-22,328.7630615234375,328.6525219193081,0.1105,0.0122,0.1105,0.0336
2023-09-25,334.15005493164057,328.17456029274035,5.9755,35.7065,5.9755,1.7883
2023-09-26,331.6478881835937,333.6230737982132,1.9752,3.9014,1.9752,0.5956
2023-09-27,331.80493164062506,332.63236189647426,0.8274,0.6846,0.8274,0.2494
2023-09-28,334.8663024902344,331.2212694202317,3.645,13.2863,3.645,1.0885
2023-09-29,330.8924255371094,335.06190644290473,4.1695,17.3846,4.1695,1.2601
2023-10-02,325.603515625,329.3603839443149,3.7569,14.1141,3.7569,1.1538
2023-10-03,326.23150634765625,326.11435936321504,0.1171,0.0137,0.1171,0.0359
2023-10-04,330.872802734375,325.8081905905492,5.0646,25.6503,5.0646,1.5307
2023-10-05,336.2303161621094,329.965966152231,6.2644,39.2421,6.2644,1.8631
2023-10-06,338.76184082031244,334.93840032213484,3.8234,14.6187,3.8234,1.1287
2023-10-09,339.24267578125,337.7016310706167,1.541,2.3748,1.541,0.4543
2023-10-10,352.7445068359375,338.61100948162493,14.1335,199.7557,14.1335,4.0067
2023-10-11,348.417236328125,351.86411817462795,3.4469,11.881,3.4469,0.9893
2023-10-12,340.3612670898437,348.0648985605512,7.7036,59.3459,7.7036,2.2634
2023-10-13,337.3194885253906,340.7404332209771,3.4209,11.7029,3.4209,1.0142
2023-10-16,338.63427734375,338.17209543170975,0.4622,0.2136,0.4622,0.1365
2023-10-17,344.3941650390625,338.53741348403855,5.8568,34.3015,5.8568,1.7006
2023-10-18,331.4320373535156,343.5271453649548,12.0951,146.2916,12.0951,3.6493
2023-10-19,324.51434326171875,330.4657269652398,5.9514,35.419,5.9514,1.8339
2023-10-20,332.0207824707031,324.7782531797566,7.2425,52.4542,7.2425,2.1813
2023-10-23,329.61676025390625,332.0946782589999,2.4779,6.1401,2.4779,0.7518
2023-10-24,330.0289001464844,329.4975441395509,0.5314,0.2823,0.5314,0.161
2023-10-25,321.3547058105469,328.98412043186545,7.6294,58.208,7.6294,2.3741
2023-10-26,320.5305480957031,322.5036150195556,1.9731,3.893,1.9731,0.6156
2023-10-27,321.62948608398443,320.1909547750711,1.4385,2.0694,1.4385,0.4473
2023-10-30,323.9157104492188,322.32062496139406,1.5951,2.5443,1.5951,0.4924
2023-10-31,319.93194580078125,322.25593651557574,2.324,5.4009,2.324,0.7264
2023-11-01,316.18365478515625,319.8351875130538,3.6515,13.3337,3.6515,1.1549
2023-11-02,316.8704528808594,316.2066469227575,0.6638,0.4406,0.6638,0.2095
2023-11-03,314.9865417480469,316.61478022809933,1.6282,2.6512,1.6282,0.5169
2023-11-06,317.9596862792969,314.2204229341405,3.7393,13.9821,3.7393,1.176
2023-11-07,315.820556640625,317.556902097911,1.7363,3.0149,1.7363,0.5498
2023-11-08,315.0535888671875,315.2151271854236,0.1615,0.0261,0.1615,0.0513
2023-11-09,311.5923767089844,315.2832142880361,3.6908,13.6223,3.6908,1.1845
2023-11-10,311.19903564453125,310.72894802134033,0.4701,0.221,0.4701,0.1511
2023-11-13,316.5089416503906,311.21647161802684,5.2925,28.0102,5.2925,1.6721
2023-11-14,317.0792236328125,316.3082892237071,0.7709,0.5943,0.7709,0.2431
2023-11-15,321.5434875488281,316.74007399868424,4.8034,23.0728,4.8034,1.4939
2023-11-16,314.6307678222656,320.8055205352266,6.1748,38.1276,6.1748,1.9625
2023-11-17,317.5905456542969,314.1335574658351,3.457,11.9508,3.457,1.0885
2023-11-20,318.2985229492188,317.3817113101686,0.9168,0.8405,0.9168,0.288
2023-11-21,322.9299621582031,318.7606446398495,4.1693,17.3832,4.1693,1.2911
2023-11-22,323.3036193847657,322.1813640541877,1.1223,1.2595,1.1223,0.3471
2023-11-24,322.2908020019531,322.8342117747907,0.5434,0.2953,0.5434,0.1686
2023-11-27,323.17578125,321.7031672219491,1.4726,2.1686,1.4726,0.4557
2023-11-28,327.9841613769531,323.24770846171305,4.7365,22.434,4.7365,1.4441
2023-11-29,327.32537841796875,327.52670589827176,0.2013,0.0405,0.2013,0.0615
2023-11-30,324.4049377441406,327.2067764416097,2.8018,7.8503,2.8018,0.8637
2023-12-01,328.69219970703125,324.0512042086666,4.641,21.5388,4.641,1.412
2023-12-04,332.3009033203125,329.3269277743166,2.974,8.8445,2.974,0.895
2023-12-05,326.2338562011719,331.74431588147854,5.5105,30.3652,5.5105,1.6891
2023-12-06,330.45230102539057,326.30074718387914,4.1516,17.2354,4.1516,1.2563
2023-12-07,333.04827880859375,329.853960990873,3.1943,10.2037,3.1943,0.9591
2023-12-08,324.7097473144531,333.24730718394125,8.5376,72.8899,8.5376,2.6293
2023-12-11,323.569091796875,324.6661616354613,1.0971,1.2036,1.0971,0.3391
2023-12-12,323.1658935546875,323.73217607976403,0.5663,0.3207,0.5663,0.1752
2023-12-13,315.4174194335937,323.1774508676608,7.76,60.2181,7.76,2.4602
2023-12-14,314.1981506347656,315.64189553189493,1.4437,2.0844,1.4437,0.4595
2023-12-15,311.7201538085937,313.99591053553195,2.2758,5.1791,2.2758,0.7301
2023-12-18,312.2413330078125,311.2805517411761,0.9608,0.9231,0.9608,0.3077
2023-12-19,306.93145751953125,311.45211351111357,4.5207,20.4363,4.5207,1.4729
2023-12-20,307.57061767578125,307.1478453445161,0.4228,0.1787,0.4228,0.1375
2023-12-21,308.4064025878906,307.008300688507,1.3981,1.9547,1.3981,0.4533
2023-12-22,310.4811706542969,308.32610802850104,2.1551,4.6443,2.1551,0.6941
2023-12-26,316.43023681640625,309.61443652942216,6.8158,46.4551,6.8158,2.154
2023-12-27,308.1606140136719,315.56190850300845,7.4013,54.7792,7.4013,2.4018
2023-12-28,313.6376342773437,308.02719028590946,5.6104,31.4771,5.6104,1.7888
2023-12-29,314.03094482421875,312.8793764064357,1.1516,1.3261,1.1516,0.3667
2024-01-02,321.79913330078125,314.1756701031554,7.6235,58.1172,7.6235,2.369
2024-01-03,324.31640625000006,320.10411362594823,4.2123,17.7434,4.2123,1.2988
2024-01-04,322.9103088378906,323.9351649186574,1.0249,1.0503,1.0249,0.3174
2024-01-05,326.873046875,322.0667148329994,4.8063,23.1008,4.8063,1.4704
2024-01-08,325.6341247558594,326.5434893615311,0.9094,0.8269,0.9094,0.2793
2024-01-09,322.26129150390625,325.20296642498215,2.9417,8.6535,2.9417,0.9128
2024-01-10,327.0893859863281,322.4354336779579,4.654,21.6593,4.654,1.4228
2024-01-11,326.5190734863281,326.62027211155873,0.1012,0.0102,0.1012,0.031
2024-01-12,324.6015319824219,327.10316863259504,2.5016,6.2582,2.5016,0.7707
2024-01-16,325.7913513183593,323.3413737427545,2.45,6.0024,2.45,0.752
2024-01-17,321.21905517578125,326.6445691820518,5.4255,29.4362,5.4255,1.689
2024-01-18,323.82476806640625,320.45250086116357,3.3723,11.3722,3.3723,1.0414
2024-01-19,325.0146179199219,324.5742051657726,0.4404,0.194,0.4404,0.1355
2024-01-22,334.9853820800781,324.73780596998586,10.2476,105.0128,10.2476,3.0591
2024-01-23,322.4186706542969,334.1867945586637,11.7681,138.4887,11.7681,3.65
2024-01-24,324.3065795898437,323.1466352489224,1.1599,1.3455,1.1599,0.3577
2024-01-25,331.6814270019532,323.6198363391704,8.0616,64.9892,8.0616,2.4305
2024-01-26,332.46807861328125,331.8491931313001,0.6189,0.383,0.6189,0.1861
2024-01-29,340.2953186035156,331.4730255823488,8.8223,77.8329,8.8223,2.5925
2024-01-30,342.5077209472656,339.31371403075354,3.194,10.2017,3.194,0.9325
2024-01-31,346.9129638671875,342.0025709243346,4.9104,24.112,4.9104,1.4155
2024-02-01,350.5807800292968,346.14991818710405,4.4309,19.6325,4.4309,1.2639
2024-02-02,354.5139465332031,349.9229245116185,4.591,21.0775,4.591,1.295
2024-02-05,357.13946533203125,354.0033659642886,3.1361,9.8351,3.1361,0.8781
2024-02-06,354.6713562011719,355.9317802615951,1.2604,1.5887,1.2604,0.3554
2024-02-07,363.50146484375,355.5876509704103,7.9138,62.6285,7.9138,2.1771
2024-02-08,360.5613708496094,361.7797029670037,1.2183,1.4843,1.2183,0.3379
2024-02-09,364.0914306640625,360.8220582859758,3.2694,10.6888,3.2694,0.898
2024-02-12,364.2392272949219,362.44923169963295,1.79,3.2041,1.79,0.4914
2024-02-13,370.6437072753906,364.43987434736846,6.2038,38.4875,6.2038,1.6738
2024-02-14,364.4166259765625,369.4804484601864,5.0638,25.6423,5.0638,1.3896
2024-02-15,371.8951110839844,364.52427487363457,7.3708,54.3292,7.3708,1.982
2024-02-16,367.5893249511719,371.12938542859047,3.5401,12.532,3.5401,0.963
2024-02-20,372.2991027832031,368.20473390574625,4.0944,16.7639,4.0944,1.0998
2024-02-21,371.8852233886719,370.63632726248215,1.2489,1.5597,1.2489,0.3358
2024-02-22,373.04791259765625,372.47306800629303,0.5748,0.3304,0.5748,0.1541
2024-02-23,377.0778503417969,370.7524200496118,6.3254,40.0111,6.3254,1.6775
