Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,28.86101722717285,28.60095073545676,0.2601,0.0676,0.2601,0.9011
2023-08-07,28.554271697998047,28.915284255114102,0.361,0.1303,0.361,1.2643
2023-08-08,28.31646728515625,28.607961955963674,0.2915,0.085,0.2915,1.0294
2023-08-09,28.928955078125,28.369710402308556,0.5592,0.3128,0.5592,1.9332
2023-08-10,29.188741683959964,28.98334984880057,0.2054,0.0422,0.2054,0.7037
2023-08-11,30.15293884277344,29.24362492830528,0.9093,0.8269,0.9093,3.0157
2023-08-14,31.65169334411621,30.209635055585753,1.4421,2.0795,1.4421,4.556
2023-08-15,31.238037109375,31.711207647218316,0.4732,0.2239,0.4732,1.5147
2023-08-16,31.15011215209961,31.296773619571468,0.1467,0.0215,0.1467,0.4708
2023-08-17,30.662517547607425,31.2086833380431,0.5462,0.2983,0.5462,1.7812
2023-08-18,30.51263999938965,30.720171915206723,0.2075,0.0431,0.2075,0.6802
2023-08-21,37.948463439941406,30.570012554014966,7.3785,54.4415,7.3785,19.4433
2023-08-22,38.91366195678711,38.01981748507478,0.8938,0.799,0.8938,2.297
2023-08-23,40.07769393920898,38.986830853229094,1.0909,1.19,1.0909,2.7219
2023-08-24,37.802581787109375,40.153051551163564,2.3505,5.5247,2.3505,6.2177
2023-08-25,39.73698043823242,37.87366153270341,1.8633,3.472,1.8633,4.6891
2023-08-28,39.29433822631836,39.81169741063741,0.5174,0.2677,0.5174,1.3166
2023-08-29,39.13846969604492,39.368222903829064,0.2298,0.0528,0.2298,0.587
2023-08-30,38.62190628051758,39.212061295809235,0.5902,0.3483,0.5902,1.528
2023-08-31,37.447750091552734,38.69452659222634,1.2468,1.5545,1.2468,3.3294
2023-09-01,38.48200225830078,37.518162651323564,0.9638,0.929,0.9638,2.5047
2023-09-05,38.741817474365234,38.554359510138056,0.1875,0.0351,0.1875,0.4839
2023-09-06,39.45330047607422,38.81466325366773,0.6386,0.4079,0.6386,1.6187
2023-09-07,40.99216842651367,39.52748404841532,1.4647,2.1453,1.4647,3.5731
2023-09-08,42.96574783325195,41.069245513986516,1.8965,3.5967,1.8965,4.414
2023-09-11,42.62199783325195,43.046535818645225,0.4245,0.1802,0.4245,0.9961
2023-09-12,42.66096115112304,42.70213946960257,0.0412,0.0017,0.0412,0.0965
2023-09-13,43.776153564453125,42.74117604973753,1.035,1.0712,1.035,2.3642
2023-09-14,43.013710021972656,43.858465346118464,0.8448,0.7136,0.8448,1.9639
2023-09-15,42.99371719360352,43.094588190099785,0.1009,0.0102,0.1009,0.2346
2023-09-18,42.17831802368164,43.0745577694529,0.8962,0.8032,0.8962,2.1249
2023-09-19,40.60245895385742,42.25762541415543,1.6552,2.7396,1.6552,4.0765
2023-09-20,41.84555816650391,40.67880327523699,1.1668,1.3613,1.1668,2.7882
2023-09-21,41.08710861206055,41.92423987257008,0.8371,0.7008,0.8371,2.0375
2023-09-22,40.79232025146485,41.16436421443677,0.372,0.1384,0.372,0.912
2023-09-25,42.2712516784668,40.86902156678753,1.4022,1.9662,1.4022,3.3172
2023-09-26,42.38216018676758,42.350733810988004,0.0314,0.001,0.0314,0.0742
2023-09-27,42.28623580932617,42.4618508592398,0.1756,0.0308,0.1756,0.4153
2023-09-28,42.07239532470703,42.36574611633068,0.2934,0.0861,0.2934,0.6973
2023-09-29,42.47209548950195,42.151503549987865,0.3206,0.1028,0.3206,0.7548
2023-10-02,42.14933776855469,42.551955266255845,0.4026,0.1621,0.4026,0.9552
2023-10-03,42.3741683959961,42.228590667798926,0.1456,0.0212,0.1456,0.3436
2023-10-04,43.870079040527344,42.45384404159904,1.4162,2.0057,1.4162,3.2282
2023-10-05,45.94357299804689,43.952567429149894,1.991,3.9641,1.991,4.3336
2023-10-06,45.435943603515625,46.02996015273312,0.594,0.3529,0.594,1.3074
2023-10-09,46.42721939086914,45.52137626867989,0.9058,0.8206,0.9058,1.9511
2023-10-10,47.459468841552734,46.514515940124056,0.945,0.8929,0.945,1.9911
2023-10-11,47.042781829833984,47.54870631719086,0.5059,0.256,0.5059,1.0755
2023-10-12,45.48691177368164,47.13123581383252,1.6443,2.7038,1.6443,3.6149
2023-10-13,44.27677536010742,45.57244027369097,1.2957,1.6787,1.2957,2.9263
2023-10-16,44.579566955566406,44.36002845498979,0.2195,0.0482,0.2195,0.4925
2023-10-17,45.645793914794915,44.663389385889786,0.9824,0.9651,0.9824,2.1522
2023-10-18,45.41896057128906,45.73162115900732,0.3127,0.0978,0.3127,0.6884
2023-10-19,45.86663436889648,45.50436130345952,0.3623,0.1312,0.3623,0.7898
2023-10-20,46.71601104736328,45.95287685679204,0.7631,0.5824,0.7631,1.6336
2023-10-23,46.69502639770508,46.80385060814024,0.1088,0.0118,0.1088,0.2331
2023-10-24,46.473182678222656,46.782826501294494,0.3096,0.0959,0.3096,0.6663
2023-10-25,44.236812591552734,46.56056565170093,2.3238,5.3998,2.3238,5.253
2023-10-26,44.482635498046875,44.31999054491598,0.1626,0.0265,0.1626,0.3656
2023-10-27,44.64751434326172,44.56627566930184,0.0812,0.0066,0.0812,0.182
2023-10-30,45.38398361206055,44.731464534251245,0.6525,0.4258,0.6525,1.4378
2023-10-31,44.63153076171875,45.46931857746995,0.8378,0.7019,0.8378,1.8771
2023-11-01,42.5230598449707,44.71545089896972,2.1924,4.8066,2.1924,5.1558
2023-11-02,42.35718536376953,42.603015449396935,0.2458,0.0604,0.2458,0.5804
2023-11-03,40.825294494628906,42.43682907637867,1.6115,2.597,1.6115,3.9474
2023-11-06,43.72119140625,40.90205781102941,2.8191,7.9475,2.8191,6.448
2023-11-07,43.908050537109375,43.803399843221996,0.1047,0.011,0.1047,0.2383
2023-11-08,43.454383850097656,43.990610323086,0.5362,0.2875,0.5362,1.234
