Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,28.86101722717285,28.547207275410184,0.3138,0.0985,0.3138,1.0873
2023-08-07,28.554271697998047,28.863752425753546,0.3095,0.0958,0.3095,1.0838
2023-08-08,28.31646728515625,28.575839026627364,0.2594,0.0673,0.2594,0.916
2023-08-09,28.928955078125,28.365946623976924,0.563,0.317,0.563,1.9462
2023-08-10,29.188741683959964,28.981984203128377,0.2068,0.0427,0.2068,0.7083
2023-08-11,30.15293884277344,29.224501216207273,0.9284,0.862,0.9284,3.0791
2023-08-14,31.65169334411621,30.177014873548618,1.4747,2.1747,1.4747,4.6591
2023-08-15,31.238037109375,31.668374554666798,0.4303,0.1852,0.4303,1.3776
2023-08-16,31.15011215209961,31.153291269598412,0.0032,0.0,0.0032,0.0102
2023-08-17,30.662517547607425,31.059566884081278,0.397,0.1576,0.397,1.2949
2023-08-18,30.51263999938965,30.625365516143578,0.1127,0.0127,0.1127,0.3694
2023-08-21,37.948463439941406,30.5312161508175,7.4172,55.0156,7.4172,19.5456
2023-08-22,38.91366195678711,39.01012006962446,0.0965,0.0093,0.0965,0.2479
2023-08-23,40.07769393920898,39.18202058603765,0.8957,0.8022,0.8957,2.2348
2023-08-24,37.802581787109375,39.835231431893355,2.0326,4.1317,2.0326,5.377
2023-08-25,39.73698043823242,37.383953495300375,2.353,5.5367,2.353,5.9215
2023-08-28,39.29433822631836,39.328334543350365,0.034,0.0012,0.034,0.0865
2023-08-29,39.13846969604492,38.88906627241795,0.2494,0.0622,0.2494,0.6372
2023-08-30,38.62190628051758,38.81852609861653,0.1966,0.0387,0.1966,0.5091
2023-08-31,37.447750091552734,38.43182642450438,0.9841,0.9684,0.9841,2.6279
2023-09-01,38.48200225830078,37.44361631672564,1.0384,1.0782,1.0384,2.6984
2023-09-05,38.741817474365234,38.50659078742319,0.2352,0.0553,0.2352,0.6072
2023-09-06,39.45330047607422,38.76476622712971,0.6885,0.4741,0.6885,1.7452
2023-09-07,40.99216842651367,39.456465729620504,1.5357,2.3584,1.5357,3.7463
2023-09-08,42.96574783325195,40.980860724718696,1.9849,3.9398,1.9849,4.6197
2023-09-11,42.62199783325195,42.926170786201055,0.3042,0.0925,0.3042,0.7137
2023-09-12,42.66096115112304,42.44203862783229,0.2189,0.0479,0.2189,0.5132
2023-09-13,43.776153564453125,42.468652377671106,1.3075,1.7096,1.3075,2.9868
2023-09-14,43.013710021972656,43.61691290879935,0.6032,0.3639,0.6032,1.4024
2023-09-15,42.99371719360352,42.900589292431505,0.0931,0.0087,0.0931,0.2166
2023-09-18,42.17831802368164,42.949768170722116,0.7715,0.5951,0.7715,1.829
2023-09-19,40.60245895385742,42.239755733958646,1.6373,2.6807,1.6373,4.0325
2023-09-20,41.84555816650391,40.83588197058543,1.0097,1.0194,1.0097,2.4129
2023-09-21,41.08710861206055,42.06146519763025,0.9744,0.9494,0.9744,2.3714
2023-09-22,40.79232025146485,41.29603620826674,0.5037,0.2537,0.5037,1.2348
2023-09-25,42.2712516784668,40.98163969660164,1.2896,1.6631,1.2896,3.0508
2023-09-26,42.38216018676758,42.420384608915356,0.0382,0.0015,0.0382,0.0902
2023-09-27,42.28623580932617,42.44826004525703,0.162,0.0263,0.162,0.3832
2023-09-28,42.07239532470703,42.30788148600641,0.2355,0.0555,0.2355,0.5597
2023-09-29,42.47209548950195,42.090335483321724,0.3818,0.1457,0.3818,0.8988
2023-10-02,42.14933776855469,42.490059255933375,0.3407,0.1161,0.3407,0.8084
2023-10-03,42.3741683959961,42.182736235636185,0.1914,0.0366,0.1914,0.4518
2023-10-04,43.870079040527344,42.41713050630187,1.4529,2.1111,1.4529,3.3119
