Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,28.86101722717285,28.772167513159044,0.0888,0.0079,0.0888,0.3079
2023-08-07,28.554271697998047,29.08751575316387,0.5332,0.2843,0.5332,1.8675
2023-08-08,28.31646728515625,28.781511553527707,0.465,0.2163,0.465,1.6423
2023-08-09,28.928955078125,28.538766497738834,0.3902,0.1522,0.3902,1.3488
2023-08-10,29.188741683959964,29.134439919987926,0.0543,0.0029,0.0543,0.186
2023-08-11,30.15293884277344,29.381739466934505,0.7712,0.5947,0.7712,2.5576
2023-08-14,31.65169334411621,30.349191922538015,1.3025,1.6965,1.3025,4.1151
2023-08-15,31.238037109375,31.878680058502596,0.6406,0.4104,0.6406,2.0508
2023-08-16,31.15011215209961,31.4871003193839,0.337,0.1136,0.337,1.0818
2023-08-17,30.662517547607425,31.430565383468547,0.768,0.5899,0.768,2.5048
2023-08-18,30.51263999938965,30.96432114676873,0.4517,0.204,0.4517,1.4803
2023-08-21,37.948463439941406,30.811386126092657,7.1371,50.9379,7.1371,18.8073
2023-08-22,38.91366195678711,38.51964413432961,0.394,0.1553,0.394,1.0125
2023-08-23,40.07769393920898,39.43076143407643,0.6469,0.4185,0.6469,1.6142
2023-08-24,37.802581787109375,40.63693981934238,2.8344,8.0336,2.8344,7.4978
2023-08-25,39.73698043823242,38.401430784288095,1.3355,1.7837,1.3355,3.361
2023-08-28,39.29433822631836,40.38197270112869,1.0876,1.1829,1.0876,2.7679
2023-08-29,39.13846969604492,39.89566946996774,0.7572,0.5734,0.7572,1.9347
2023-08-30,38.62190628051758,39.68573402660695,1.0638,1.1317,1.0638,2.7545
2023-08-31,37.447750091552734,39.097702150206715,1.65,2.7223,1.65,4.406
2023-09-01,38.48200225830078,37.85276181397512,0.6292,0.3959,0.6292,1.6352
2023-09-05,38.741817474365234,38.793794899879686,0.052,0.0027,0.052,0.1342
2023-09-06,39.45330047607422,38.975045893485,0.4783,0.2287,0.4783,1.2122
2023-09-07,40.99216842651367,39.64094404328989,1.3512,1.8258,1.3512,3.2963
