Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,28.86101722717285,28.52526918991452,0.3357,0.1127,0.3357,1.1633
2023-08-07,28.554271697998047,28.826140864892977,0.2719,0.0739,0.2719,0.9521
2023-08-08,28.31646728515625,28.743768728426403,0.4273,0.1826,0.4273,1.509
2023-08-09,28.928955078125,28.17387240796961,0.7551,0.5701,0.7551,2.6101
2023-08-10,29.188741683959964,29.036747974023456,0.152,0.0231,0.152,0.5207
2023-08-11,30.15293884277344,29.232312848969286,0.9206,0.8476,0.9206,3.0532
2023-08-14,31.65169334411621,29.954347533982403,1.6973,2.881,1.6973,5.3626
2023-08-15,31.238037109375,31.80867255328758,0.5706,0.3256,0.5706,1.8267
2023-08-16,31.15011215209961,31.412701236316934,0.2626,0.069,0.2626,0.843
2023-08-17,30.662517547607425,31.056839404459424,0.3943,0.1555,0.3943,1.286
2023-08-18,30.51263999938965,30.955972539934468,0.4433,0.1965,0.4433,1.4529
2023-08-21,37.948463439941406,30.377752842257337,7.5707,57.3157,7.5707,19.95
2023-08-22,38.91366195678711,36.90387740490178,2.0098,4.0392,2.0098,5.1647
2023-08-23,40.07769393920898,41.15663909936211,1.0789,1.1641,1.0789,2.6921
2023-08-24,37.802581787109375,38.65969950620933,0.8571,0.7347,0.8571,2.2674
2023-08-25,39.73698043823242,37.558239246955054,2.1787,4.7469,2.1787,5.4829
2023-08-28,39.29433822631836,40.12451581593177,0.8302,0.6892,0.8302,2.1127
2023-08-29,39.13846969604492,41.02846636637878,1.89,3.5721,1.89,4.829
2023-08-30,38.62190628051758,38.97846290481198,0.3566,0.1271,0.3566,0.9232
2023-08-31,37.447750091552734,38.10072329152172,0.653,0.4264,0.653,1.7437
2023-09-01,38.48200225830078,37.00989807267729,1.4721,2.1671,1.4721,3.8254
2023-09-05,38.741817474365234,37.50082361066143,1.241,1.5401,1.241,3.2032
2023-09-06,39.45330047607422,39.25201503255494,0.2013,0.0405,0.2013,0.5102
2023-09-07,40.99216842651367,39.28823226847544,1.7039,2.9034,1.7039,4.1567
2023-09-08,42.96574783325195,41.37386444518506,1.5919,2.5341,1.5919,3.705
2023-09-11,42.62199783325195,43.85509176552614,1.2331,1.5205,1.2331,2.8931
2023-09-12,42.66096115112304,42.673960587005695,0.013,0.0002,0.013,0.0305
2023-09-13,43.776153564453125,42.86264519659653,0.9135,0.8345,0.9135,2.0868
2023-09-14,43.013710021972656,44.05240135968779,1.0387,1.0789,1.0387,2.4148
2023-09-15,42.99371719360352,42.83015611438077,0.1636,0.0268,0.1636,0.3804
2023-09-18,42.17831802368164,42.50375093541948,0.3254,0.1059,0.3254,0.7716
2023-09-19,40.60245895385742,41.982958272875294,1.3805,1.9058,1.3805,3.4
2023-09-20,41.84555816650391,40.49346512890429,1.3521,1.8282,1.3521,3.2312
2023-09-21,41.08710861206055,41.85006267297559,0.763,0.5821,0.763,1.8569
2023-09-22,40.79232025146485,41.76330696983996,0.971,0.9428,0.971,2.3803
2023-09-25,42.2712516784668,40.65390970572026,1.6173,2.6158,1.6173,3.8261
2023-09-26,42.38216018676758,42.417542541918465,0.0354,0.0013,0.0354,0.0835
2023-09-27,42.28623580932617,42.42870240922457,0.1425,0.0203,0.1425,0.3369
2023-09-28,42.07239532470703,42.06455917801463,0.0078,0.0001,0.0078,0.0186
