Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,129.80799865722656,129.81724873243365,0.0093,0.0001,0.0093,0.0071
2023-08-07,128.71047973632812,129.96184433968665,1.2514,1.5659,1.2514,0.9722
2023-08-08,128.7848663330078,128.86302466267807,0.0782,0.0061,0.0782,0.0607
2023-08-09,128.51080322265625,128.93749942077193,0.4267,0.1821,0.4267,0.332
2023-08-10,130.331298828125,128.66311149664398,1.6682,2.7828,1.6682,1.28
2023-08-11,129.80276489257812,130.48576471483102,0.683,0.4665,0.683,0.5262
2023-08-14,131.05555725097656,129.95660437209153,1.099,1.2077,1.099,0.8385
2023-08-15,131.42750549316406,131.21088151337972,0.2166,0.0469,0.2166,0.1648
2023-08-16,130.45852661132812,131.58327058072246,1.1247,1.265,1.1247,0.8621
2023-08-17,127.07202911376952,130.61314328570006,3.5411,12.5395,3.5411,2.7867
2023-08-18,126.46520233154295,127.22263218324768,0.7574,0.5737,0.7574,0.5989
2023-08-21,126.69031524658205,126.61508620280982,0.0752,0.0057,0.0752,0.0594
2023-08-22,128.6184844970703,126.84046591689368,1.778,3.1614,1.778,1.3824
2023-08-23,127.47333526611328,128.77092039261697,1.2976,1.6837,1.2976,1.0179
2023-08-24,127.66907501220706,127.62441395511814,0.0447,0.002,0.0447,0.035
2023-08-25,129.36231994628906,127.82038568780082,1.5419,2.3776,1.5419,1.192
2023-08-28,130.14532470703125,129.51563741980863,0.6297,0.3965,0.6297,0.4838
2023-08-29,128.70655822753906,130.29957018115965,1.593,2.5377,1.593,1.2377
2023-08-30,129.03933715820312,128.8590985062001,0.1802,0.0325,0.1802,0.1397
2023-08-31,128.9022979736328,129.19227183938347,0.29,0.0841,0.29,0.225
2023-09-01,130.3802490234375,129.05507023888276,1.3252,1.7561,1.3252,1.0164
2023-09-05,129.900634765625,130.53477292487514,0.6341,0.4021,0.6341,0.4882
2023-09-06,130.9283447265625,130.05459023843287,0.8738,0.7634,0.8738,0.6674
2023-09-07,132.41604614257812,131.08351821938413,1.3325,1.7756,1.3325,1.0063
2023-09-08,132.68031311035156,132.57298282751435,0.1073,0.0115,0.1073,0.0809
2023-09-11,134.1288604736328,132.8375629988841,1.2913,1.6674,1.2913,0.9627
2023-09-12,134.36376953125,134.2878271497284,0.0759,0.0058,0.0759,0.0565
2023-09-13,133.12074279785156,134.52301461657044,1.4023,1.9664,1.4023,1.0534
2023-09-14,131.92666625976562,133.27851467429355,1.3518,1.8275,1.3518,1.0247
2023-09-15,132.2398681640625,132.08302294206078,0.1568,0.0246,0.1568,0.1186
2023-09-18,130.6347198486328,132.3965960466012,1.7619,3.1042,1.7619,1.3487
2023-09-19,129.61680603027344,130.78954534348668,1.1727,1.3753,1.1727,0.9048
2023-09-20,130.18447875976562,129.77042511529362,0.4141,0.1714,0.4141,0.3181
2023-09-21,131.417724609375,130.33877063844557,1.079,1.1641,1.079,0.821
2023-09-22,131.57431030273438,131.5734781048377,0.0008,0.0,0.0008,0.0006
2023-09-25,133.90374755859375,131.73024938023445,2.1735,4.7241,2.1735,1.6232
2023-09-26,131.6917724609375,134.06244743564457,2.3707,5.6201,2.3707,1.8002
2023-09-27,131.54495239257812,131.8478507520922,0.3029,0.0917,0.3029,0.2303
2023-09-28,129.61680603027344,131.70085667570675,2.0841,4.3433,2.0841,1.6079
2023-09-29,130.42916870117188,129.77042511529362,0.6587,0.4339,0.6587,0.5051
2023-10-02,132.0147705078125,130.58375058117235,1.431,2.0478,1.431,1.084
2023-10-03,133.42416381835938,132.17123160939082,1.2529,1.5698,1.2529,0.9391
2023-10-04,137.5936737060547,133.5822953029492,4.0114,16.0912,4.0114,2.9154
2023-10-05,140.90188598632812,137.75674680518932,3.1451,9.8919,3.1451,2.2321
2023-10-06,141.28359985351562,141.06887990838004,0.2147,0.0461,0.2147,0.152
2023-10-09,141.91000366210938,141.45104617473407,0.459,0.2106,0.459,0.3234
2023-10-10,141.83169555664062,142.0781923838149,0.2465,0.0608,0.2465,0.1738
2023-10-11,139.96224975585938,141.99979146924306,2.0375,4.1516,2.0375,1.4558
2023-10-12,131.08493041992188,140.1281300410119,9.0432,81.7795,9.0432,6.8987
2023-10-13,131.17303466796875,131.24028949478088,0.0673,0.0045,0.0673,0.0513
2023-10-16,129.57765197753906,131.32849816211092,1.7508,3.0655,1.7508,1.3512
2023-10-17,129.79298400878906,129.7312246580077,0.0618,0.0038,0.0618,0.0476
2023-10-18,129.52870178222656,129.94681189620678,0.4181,0.1748,0.4181,0.3228
2023-10-19,131.2219696044922,129.68221644796358,1.5398,2.3708,1.5398,1.1734
2023-10-20,133.90374755859375,131.37749109528158,2.5263,6.382,2.5263,1.8866
2023-10-23,133.4535369873047,134.06244743564457,0.6089,0.3708,0.6089,0.4563
2023-10-24,133.49267578125,133.61170328435037,0.119,0.0142,0.119,0.0892
2023-10-25,130.3802490234375,133.65088846476283,3.2706,10.6971,3.2706,2.5085
2023-10-26,129.39169311523438,130.53477292487514,1.1431,1.3066,1.1431,0.8834
2023-10-27,130.1355438232422,129.5450454012098,0.5905,0.3487,0.5905,0.4538
2023-10-30,132.91522216796875,130.2897777052749,2.6254,6.893,2.6254,1.9753
2023-10-31,131.77008056640625,133.07275046572613,1.3027,1.6969,1.3027,0.9886
2023-11-01,132.6411590576172,131.92625166666403,0.7149,0.5111,0.7149,0.539
2023-11-02,134.9608154296875,132.79836254159818,2.1625,4.6762,2.1625,1.6023
2023-11-03,134.7259063720703,135.12076812112355,0.3949,0.1559,0.3949,0.2931
2023-11-06,135.998291015625,134.8855806542815,1.1127,1.2381,1.1127,0.8182
2023-11-07,134.76507568359375,136.1594733010861,1.3944,1.9443,1.3944,1.0347
2023-11-08,134.50079345703125,134.92479638844088,0.424,0.1798,0.424,0.3152
2023-11-09,131.48622131347656,134.66020094019768,3.174,10.0741,3.174,2.4139
2023-11-10,132.48455810546875,131.64205598977787,0.8425,0.7098,0.8425,0.6359
2023-11-13,133.80589294433594,132.64157598932798,1.1643,1.3556,1.1643,0.8702
2023-11-14,135.52850341796875,133.9644768461767,1.564,2.4462,1.564,1.154
2023-11-15,137.16302490234375,135.68912892114895,1.4739,2.1724,1.4739,1.0746
2023-11-16,132.69989013671875,137.32558760566462,4.6257,21.3971,4.6257,3.4858
2023-11-17,134.5399627685547,132.85716322752705,1.6828,2.8318,1.6828,1.2508
2023-11-20,135.4012451171875,134.69941667435705,0.7018,0.4926,0.7018,0.5183
2023-11-21,137.07493591308594,135.561719796533,1.5132,2.2898,1.5132,1.1039
2023-11-22,137.6523895263672,137.23739421520804,0.415,0.1722,0.415,0.3015
2023-11-24,136.7225799560547,137.81553221424474,1.093,1.1945,1.093,0.7994
2023-11-27,135.2544403076172,136.88462065338172,1.6302,2.6575,1.6302,1.2053
2023-11-28,134.7454833984375,135.414740997021,0.6693,0.4479,0.6693,0.4967
2023-11-29,135.79275512695312,134.90518088292447,0.8876,0.7878,0.8876,0.6536
2023-11-30,136.97706604003906,135.95369381564524,1.0234,1.0473,1.0234,0.7471
2023-12-01,137.47622680664062,137.1394083488667,0.3368,0.1134,0.3368,0.245
2023-12-04,136.213623046875,137.63916071020503,1.4255,2.0322,1.4255,1.0465
2023-12-05,132.3769073486328,136.3750605392852,3.9982,15.9852,3.9982,3.0203
2023-12-06,132.86627197265625,132.5337976471019,0.3325,0.1105,0.3325,0.2502
2023-12-07,133.10118103027344,133.023742255682,0.0774,0.006,0.0774,0.0582
2023-12-08,132.3671112060547,133.25892972252404,0.8918,0.7953,0.8918,0.6737
2023-12-11,132.3671112060547,132.52398989434369,0.1569,0.0246,0.1569,0.1185
2023-12-12,131.8385772705078,132.52398989434369,0.6854,0.4698,0.6854,0.5199
2023-12-13,130.6934356689453,131.9948295516042,1.3014,1.6936,1.3014,0.9958
2023-12-14,128.373779296875,130.8483307525421,2.4746,6.1234,2.4746,1.9276
2023-12-15,129.83212280273438,128.52592517301673,1.3062,1.7062,1.3062,1.0061
2023-12-18,129.14698791503906,129.98599707661924,0.839,0.7039,0.839,0.6497
2023-12-19,124.47832489013672,129.30005018160955,4.8217,23.249,4.8217,3.8735
2023-12-20,124.96770477294922,124.62585395646784,0.3419,0.1169,0.3419,0.2736
2023-12-21,125.23197174072267,124.8562356411262,0.3757,0.1412,0.3757,0.3
2023-12-22,126.57287597656251,125.38039401329115,1.1925,1.422,1.1925,0.9421
2023-12-26,125.82901000976562,126.7228874603461,0.8939,0.799,0.8939,0.7104
2023-12-27,125.22218322753906,125.97813987940754,0.756,0.5715,0.756,0.6037
2023-12-28,126.19114685058592,125.37059389896967,0.8206,0.6733,0.8206,0.6502
2023-12-29,126.80776977539061,126.34070591711861,0.4671,0.2181,0.4671,0.3683
