Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,129.80799865722656,129.979038224963,0.171,0.0293,0.171,0.1318
2023-08-07,128.71047973632812,130.05982772948119,1.3493,1.8207,1.3493,1.0484
2023-08-08,128.7848663330078,128.94629375494333,0.1614,0.0261,0.1614,0.1253
2023-08-09,128.51080322265625,128.96289221167535,0.4521,0.2044,0.4521,0.3518
2023-08-10,130.331298828125,128.6856927072513,1.6456,2.708,1.6456,1.2626
2023-08-11,129.80276489257812,130.4957392772194,0.693,0.4802,0.693,0.5339
2023-08-14,131.05555725097656,130.0320541107867,1.0235,1.0476,1.0235,0.781
2023-08-15,131.42750549316406,131.2609533561681,0.1666,0.0277,0.1666,0.1267
2023-08-16,130.45852661132812,131.70940865353805,1.2509,1.5647,1.2509,0.9588
2023-08-17,127.07202911376952,130.78443156286085,3.7124,13.7819,3.7124,2.9215
2023-08-18,126.46520233154295,127.42157305142881,0.9564,0.9146,0.9564,0.7562
2023-08-21,126.69031524658205,126.66863554003974,0.0217,0.0005,0.0217,0.0171
2023-08-22,128.6184844970703,126.80369093377068,1.8148,3.2935,1.8148,1.411
2023-08-23,127.47333526611328,128.6653253400491,1.192,1.4208,1.192,0.9351
2023-08-24,127.66907501220706,127.52674922626738,0.1423,0.0203,0.1423,0.1115
2023-08-25,129.36231994628906,127.6772173589625,1.6851,2.8396,1.6851,1.3026
2023-08-28,130.14532470703125,129.3648027579202,0.7805,0.6092,0.7805,0.5997
2023-08-29,128.70655822753906,130.24022709741985,1.5337,2.3521,1.5337,1.1916
2023-08-30,129.03933715820312,128.9329291057693,0.1064,0.0113,0.1064,0.0825
2023-08-31,128.9022979736328,129.2725387038372,0.3702,0.1371,0.3702,0.2872
2023-09-01,130.3802490234375,129.18210386559986,1.1981,1.4356,1.1981,0.919
2023-09-05,129.900634765625,130.62484192596457,0.7242,0.5245,0.7242,0.5575
2023-09-06,130.9283447265625,130.24993808488944,0.6784,0.4602,0.6784,0.5182
2023-09-07,132.41604614257812,131.10020303771307,1.3158,1.7314,1.3158,0.9937
2023-09-08,132.68031311035156,132.61164083811673,0.0687,0.0047,0.0687,0.0518
2023-09-11,134.1288604736328,132.87000310362964,1.2589,1.5847,1.2589,0.9385
2023-09-12,134.36376953125,134.30026690772502,0.0635,0.004,0.0635,0.0473
2023-09-13,133.12074279785156,134.58561065292452,1.4649,2.1458,1.4649,1.1004
2023-09-14,131.92666625976562,133.36444655026753,1.4378,2.0672,1.4378,1.0898
2023-09-15,132.2398681640625,132.15200105597614,0.0879,0.0077,0.0879,0.0664
2023-09-18,130.6347198486328,132.39259193453472,1.7579,3.0901,1.7579,1.3456
2023-09-19,129.61680603027344,130.79631954286924,1.1795,1.3913,1.1795,0.91
2023-09-20,130.18447875976562,129.70047605093168,0.484,0.2343,0.484,0.3718
2023-09-21,131.417724609375,130.149715753505,1.268,1.6078,1.268,0.9649
2023-09-22,131.57431030273438,131.35643054872344,0.2179,0.0475,0.2179,0.1656
2023-09-25,133.90374755859375,131.54753621248165,2.3562,5.5517,2.3562,1.7596
2023-09-26,131.6917724609375,133.83577893291658,2.144,4.5968,2.144,1.628
2023-09-27,131.54495239257812,131.7210037804034,0.1761,0.031,0.1761,0.1338
2023-09-28,129.61680603027344,131.46957199738608,1.8528,3.4327,1.8528,1.4294
2023-09-29,130.42916870117188,129.55832972497683,0.8708,0.7584,0.8708,0.6677
2023-10-02,132.0147705078125,130.25176959034252,1.763,3.1082,1.763,1.3355
2023-10-03,133.42416381835938,131.8062265239496,1.6179,2.6177,1.6179,1.2126
2023-10-04,137.5936737060547,133.28042672056836,4.3132,18.6041,4.3132,3.1348
2023-10-05,140.90188598632812,137.51452371210235,3.3874,11.4742,3.3874,2.4041
2023-10-06,141.28359985351562,141.0034227252945,0.2802,0.0785,0.2802,0.1983
2023-10-09,141.91000366210938,141.61150293416358,0.2985,0.0891,0.2985,0.2103
2023-10-10,141.83169555664062,142.38592936194254,0.5542,0.3072,0.5542,0.3908
2023-10-11,139.96224975585938,142.4000464017554,2.4378,5.9429,2.4378,1.7418
2023-10-12,131.08493041992188,140.2458913619339,9.161,83.9232,9.161,6.9886
2023-10-13,131.17303466796875,131.54950749652198,0.3765,0.1417,0.3765,0.287
2023-10-16,129.57765197753906,131.0399556027005,1.4623,2.1383,1.4623,1.1285
2023-10-17,129.79298400878906,129.34485235298234,0.4481,0.2008,0.4481,0.3453
2023-10-18,129.52870178222656,129.45684330730546,0.0719,0.0052,0.0719,0.0555
2023-10-19,131.2219696044922,129.28413911543157,1.9378,3.7552,1.9378,1.4768
2023-10-20,133.90374755859375,131.03132985310913,2.8724,8.2508,2.8724,2.1451
2023-10-23,133.4535369873047,133.80715804380452,0.3536,0.125,0.3536,0.265
2023-10-24,133.49267578125,133.5265429355186,0.0339,0.0011,0.0339,0.0254
2023-10-25,130.3802490234375,133.61229806469055,3.232,10.4461,3.232,2.4789
2023-10-26,129.39169311523438,130.56602896649565,1.1743,1.3791,1.1743,0.9076
2023-10-27,130.1355438232422,129.45589068254776,0.6797,0.4619,0.6797,0.5223
2023-10-30,132.91522216796875,130.1014454453798,2.8138,7.9173,2.8138,2.117
2023-10-31,131.77008056640625,132.86227700532982,1.0922,1.1929,1.0922,0.8289
2023-11-01,132.6411590576172,131.86283759185608,0.7783,0.6058,0.7783,0.5868
2023-11-02,134.9608154296875,132.7248839065087,2.2359,4.9994,2.2359,1.6567
2023-11-03,134.7259063720703,135.0365283009305,0.3106,0.0965,0.3106,0.2306
2023-11-06,135.998291015625,134.86352947851447,1.1348,1.2877,1.1348,0.8344
2023-11-07,134.76507568359375,136.11318729977938,1.3481,1.8174,1.3481,1.0003
2023-11-08,134.50079345703125,134.90585545995418,0.4051,0.1641,0.4051,0.3012
2023-11-09,131.48622131347656,134.6021427530577,3.1159,9.709,3.1159,2.3698
2023-11-10,132.48455810546875,131.65688395233883,0.8277,0.685,0.8277,0.6247
2023-11-13,133.80589294433594,132.4776958774928,1.3282,1.7641,1.3282,0.9926
2023-11-14,135.52850341796875,133.77853714151388,1.75,3.0624,1.75,1.2912
2023-11-15,137.16302490234375,135.52981207475386,1.6332,2.6674,1.6332,1.1907
2023-11-16,132.69989013671875,137.21717976790387,4.5173,20.4059,4.5173,3.4041
2023-11-17,134.5399627685547,132.91374800381163,1.6262,2.6446,1.6262,1.2087
2023-11-20,135.4012451171875,134.48086923446408,0.9204,0.8471,0.9204,0.6797
2023-11-21,137.07493591308594,135.30616604872193,1.7688,3.1285,1.7688,1.2904
2023-11-22,137.6523895263672,137.02185345538692,0.6305,0.3976,0.6305,0.4581
2023-11-24,136.7225799560547,137.7038987697033,0.9813,0.963,0.9813,0.7177
2023-11-27,135.2544403076172,136.86467116499625,1.6102,2.5928,1.6102,1.1905
2023-11-28,134.7454833984375,135.42085183601557,0.6754,0.4561,0.6754,0.5012
2023-11-29,135.79275512695312,134.85461483171093,0.9381,0.8801,0.9381,0.6909
2023-11-30,136.97706604003906,135.85023785513113,1.1268,1.2697,1.1268,0.8226
2023-12-01,137.47622680664062,137.02522008034612,0.451,0.2034,0.451,0.3281
2023-12-04,136.213623046875,137.5372901464798,1.3237,1.7521,1.3237,0.9718
2023-12-05,132.3769073486328,136.29271800015704,3.9158,15.3336,3.9158,2.9581
2023-12-06,132.86627197265625,132.44941900840604,0.4169,0.1738,0.4169,0.3137
2023-12-07,133.10118103027344,132.68199436172654,0.4192,0.1757,0.4192,0.3149
2023-12-08,132.3671112060547,132.85061098923325,0.4835,0.2338,0.4835,0.3653
2023-12-11,132.3671112060547,132.129142236221,0.238,0.0566,0.238,0.1798
2023-12-12,131.8385772705078,132.1178441934917,0.2793,0.078,0.2793,0.2118
2023-12-13,130.6934356689453,131.61961662071553,0.9262,0.8578,0.9262,0.7087
2023-12-14,128.373779296875,130.49623344397787,2.1225,4.5048,2.1225,1.6533
2023-12-15,129.83212280273438,128.18208192034217,1.65,2.7226,1.65,1.2709
2023-12-18,129.14698791503906,129.44816454619286,0.3012,0.0907,0.3012,0.2332
2023-12-19,124.47832489013672,128.80543059106003,4.3271,18.7238,4.3271,3.4762
2023-12-20,124.96770477294922,124.29059704683004,0.6771,0.4585,0.6771,0.5418
2023-12-21,125.23197174072267,124.56081450933652,0.6712,0.4505,0.6712,0.5359
2023-12-22,126.57287597656251,124.87174691413429,1.7011,2.8938,1.7011,1.344
2023-12-26,125.82901000976562,126.31459579413786,0.4856,0.2358,0.4856,0.3859
2023-12-27,125.22218322753906,125.7697675615509,0.5476,0.2998,0.5476,0.4373
2023-12-28,126.19114685058592,125.25638246795825,0.9348,0.8738,0.9348,0.7408
2023-12-29,126.80776977539061,126.20769432324596,0.6001,0.3601,0.6001,0.4732
2024-01-02,128.1388702392578,126.72920847183195,1.4097,1.9871,1.4097,1.1001
2024-01-03,127.15032958984376,128.00243850713468,0.8521,0.7261,0.8521,0.6702
2024-01-04,128.41293334960938,127.07229877749343,1.3406,1.7973,1.3406,1.044
2024-01-05,129.57765197753906,128.25194661455498,1.3257,1.7575,1.3257,1.0231
2024-01-08,128.8631591796875,129.4390627511093,0.5759,0.3317,0.5759,0.4469
2024-01-09,126.05411529541016,128.8729752968211,2.8189,7.946,2.8189,2.2362
2024-01-10,127.9235382080078,126.0979635606327,1.8256,3.3327,1.8256,1.4271
2024-01-11,127.71802520751952,127.79703453645651,0.079,0.0062,0.079,0.0619
2024-01-12,124.8991928100586,127.6478752134867,2.7487,7.5553,2.7487,2.2007
2024-01-16,130.546630859375,124.92438524177487,5.6222,31.6096,5.6222,4.3067
2024-01-17,127.9235382080078,130.263527985182,2.34,5.4756,2.34,1.8292
2024-01-18,129.39169311523438,127.75373308683082,1.638,2.6829,1.638,1.2659
2024-01-19,130.83045959472656,129.07178500709415,1.7587,3.0929,1.7587,1.3442
2024-01-22,127.933349609375,130.5579938734627,2.6246,6.8888,2.6246,2.0516
2024-01-23,128.43251037597656,127.86294408935646,0.5696,0.3244,0.5696,0.4435
2024-01-24,128.59889221191406,128.30451586404524,0.2944,0.0867,0.2944,0.2289
2024-01-25,130.81088256835938,128.5183244373775,2.2926,5.2558,2.2926,1.7526
2024-01-26,131.15345764160156,130.732624719838,0.4208,0.1771,0.4208,0.3209
2024-01-29,133.18927001953125,131.15022907388175,2.039,4.1577,2.039,1.5309
2024-01-30,135.6361541748047,133.22972563028452,2.4064,5.7909,2.4064,1.7742
2024-01-31,136.02764892578125,135.71067750866314,0.317,0.1005,0.317,0.233
2024-02-01,135.60679626464844,136.14344566356885,0.5366,0.288,0.5366,0.3957
2024-02-02,137.67198181152344,135.74362181706238,1.9284,3.7186,1.9284,1.4007
2024-02-05,139.14990234375,137.7436684628192,1.4062,1.9775,1.4062,1.0106
2024-02-06,139.42393493652344,139.27434522716794,0.1496,0.0224,0.1496,0.1073
2024-02-07,142.0176544189453,139.64889513961862,2.3688,5.611,2.3688,1.6679
2024-02-08,141.94912719726562,142.25208168753852,0.303,0.0918,0.303,0.2134
2024-02-09,144.5232696533203,142.24855587551065,2.2747,5.1743,2.2747,1.5739
2024-02-12,145.36500549316406,144.78316182168965,0.5818,0.3385,0.5818,0.4003
