Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,129.80799865722656,129.4300869559811,0.3779,0.1428,0.3779,0.2911
2023-08-07,128.71047973632812,129.5616165453648,0.8511,0.7244,0.8511,0.6613
2023-08-08,128.7848663330078,128.47942986975795,0.3054,0.0933,0.3054,0.2372
2023-08-09,128.51080322265625,128.52243322073264,0.0116,0.0001,0.0116,0.009
2023-08-10,130.331298828125,128.2288368238551,2.1025,4.4203,2.1025,1.6132
2023-08-11,129.80276489257812,129.96199143253034,0.1592,0.0254,0.1592,0.1227
2023-08-14,131.05555725097656,129.45797227517141,1.5976,2.5523,1.5976,1.219
2023-08-15,131.42750549316406,130.70137512556812,0.7261,0.5273,0.7261,0.5525
2023-08-16,130.45852661132812,131.10596386251018,0.6474,0.4192,0.6474,0.4963
2023-08-17,127.07202911376952,130.19077009526882,3.1187,9.7265,3.1187,2.4543
2023-08-18,126.46520233154295,126.87805684413887,0.4129,0.1704,0.4129,0.3265
2023-08-21,126.69031524658205,126.23635881676772,0.454,0.2061,0.454,0.3583
2023-08-22,128.6184844970703,126.39366119894613,2.2248,4.9498,2.2248,1.7298
2023-08-23,127.47333526611328,128.2072203624648,0.7339,0.5386,0.7339,0.5757
2023-08-24,127.66907501220706,127.11533256703206,0.5537,0.3066,0.5537,0.4337
2023-08-25,129.36231994628906,127.33984264550192,2.0225,4.0904,2.0225,1.5634
2023-08-28,130.14532470703125,128.9989581508953,1.1464,1.3142,1.1464,0.8808
2023-08-29,128.70655822753906,129.81858866949915,1.112,1.2366,1.112,0.864
2023-08-30,129.03933715820312,128.46601807277057,0.5733,0.3287,0.5733,0.4443
2023-08-31,128.9022979736328,128.81373466029618,0.0886,0.0078,0.0886,0.0687
2023-09-01,130.3802490234375,128.68835226360716,1.6919,2.8625,1.6919,1.2977
2023-09-05,129.900634765625,130.12226622540766,0.2216,0.0491,0.2216,0.1706
2023-09-06,130.9283447265625,129.6676652312599,1.2607,1.5893,1.2607,0.9629
2023-09-07,132.41604614257812,130.68411269923672,1.7319,2.9996,1.7319,1.3079
2023-09-08,132.68031311035156,132.15557418138997,0.5247,0.2754,0.5247,0.3955
2023-09-11,134.1288604736328,132.46087976408762,1.668,2.7822,1.668,1.2436
2023-09-12,134.36376953125,133.91996687678602,0.4438,0.197,0.4438,0.3303
2023-09-13,133.12074279785156,134.1920228578092,1.0713,1.1476,1.0713,0.8047
2023-09-14,131.92666625976562,132.99747856024715,1.0708,1.1466,1.0708,0.8117
2023-09-15,132.2398681640625,131.81274857436983,0.4271,0.1824,0.4271,0.323
2023-09-18,130.6347198486328,132.05958065363666,1.4249,2.0302,1.4249,1.0907
2023-09-19,129.61680603027344,130.44904449406204,0.8322,0.6926,0.8322,0.6421
2023-09-20,130.18447875976562,129.40774686508303,0.7767,0.6033,0.7767,0.5966
2023-09-21,131.417724609375,129.88876817816163,1.529,2.3377,1.529,1.1634
2023-09-22,131.57431030273438,131.03990253634402,0.5344,0.2856,0.5344,0.4062
2023-09-25,133.90374755859375,131.20330014992942,2.7004,7.2924,2.7004,2.0167
2023-09-26,131.6917724609375,133.49242403899552,1.8007,3.2423,1.8007,1.3673
2023-09-27,131.54495239257812,131.36467839180114,0.1803,0.0325,0.1803,0.137
