Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,129.80799865722656,129.84298480820144,0.035,0.0012,0.035,0.027
2023-08-07,128.71047973632812,129.9516777119079,1.2412,1.5406,1.2412,0.9643
2023-08-08,128.7848663330078,128.80333850662282,0.0185,0.0003,0.0185,0.0143
2023-08-09,128.51080322265625,128.83093874262158,0.3201,0.1025,0.3201,0.2491
2023-08-10,130.331298828125,128.50587794503735,1.8254,3.3322,1.8254,1.4006
2023-08-11,129.80276489257812,130.31827907223487,0.5155,0.2658,0.5155,0.3972
2023-08-14,131.05555725097656,129.7697981845613,1.2858,1.6532,1.2858,0.9811
2023-08-15,131.42750549316406,131.0522686010836,0.3752,0.1408,0.3752,0.2855
2023-08-16,130.45852661132812,131.4619580608105,1.0034,1.0069,1.0034,0.7692
2023-08-17,127.07202911376952,130.48120123527042,3.4092,11.6225,3.4092,2.6829
2023-08-18,126.46520233154295,127.0639021225429,0.5987,0.3584,0.5987,0.4734
2023-08-21,126.69031524658205,126.37551623717899,0.3148,0.0991,0.3148,0.2485
2023-08-22,128.6184844970703,126.52858083415323,2.0899,4.3677,2.0899,1.6249
2023-08-23,127.47333526611328,128.42830760807283,0.955,0.912,0.955,0.7492
2023-08-24,127.66907501220706,127.28569498731304,0.3834,0.147,0.3834,0.3003
2023-08-25,129.36231994628906,127.50005663483763,1.8623,3.468,1.8623,1.4396
2023-08-28,130.14532470703125,129.22238806591122,0.9229,0.8518,0.9229,0.7092
2023-08-29,128.70655822753906,130.0824443100646,1.3759,1.8931,1.3759,1.069
2023-08-30,129.03933715820312,128.67848050575776,0.3609,0.1302,0.3609,0.2796
2023-08-31,128.9022979736328,129.03613755916012,0.1338,0.0179,0.1338,0.1038
2023-09-01,130.3802490234375,128.9119480422887,1.4683,2.1559,1.4683,1.1262
2023-09-05,129.900634765625,130.42608396463038,0.5254,0.2761,0.5254,0.4045
2023-09-06,130.9283447265625,129.94936720104306,0.979,0.9584,0.979,0.7477
2023-09-07,132.41604614257812,131.0069928084704,1.4091,1.9854,1.4091,1.0641
2023-09-08,132.68031311035156,132.54902085932554,0.1313,0.0172,0.1313,0.099
2023-09-11,134.1288604736328,132.86125645422726,1.2676,1.6068,1.2676,0.9451
2023-09-12,134.36376953125,134.38406738543745,0.0203,0.0004,0.0203,0.0151
2023-09-13,133.12074279785156,134.6526755465311,1.5319,2.3468,1.5319,1.1508
