Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,129.80799865722656,129.44229033845477,0.3657,0.1337,0.3657,0.2817
2023-08-07,128.71047973632812,128.7195040891711,0.009,0.0001,0.009,0.007
2023-08-08,128.7848663330078,128.19265246622308,0.5922,0.3507,0.5922,0.4598
2023-08-09,128.51080322265625,127.80631506590453,0.7045,0.4963,0.7045,0.5482
2023-08-10,130.331298828125,128.28964063993408,2.0417,4.1684,2.0417,1.5665
2023-08-11,129.80276489257812,130.38185525493464,0.5791,0.3353,0.5791,0.4461
2023-08-14,131.05555725097656,129.20277235404137,1.8528,3.4328,1.8528,1.4137
2023-08-15,131.42750549316406,130.9284560101014,0.499,0.2491,0.499,0.3797
2023-08-16,130.45852661132812,131.3098669737583,0.8513,0.7248,0.8513,0.6526
2023-08-17,127.07202911376952,130.60919311115867,3.5372,12.5115,3.5372,2.7836
2023-08-18,126.46520233154295,126.05721558208414,0.408,0.1665,0.408,0.3226
2023-08-21,126.69031524658205,125.88209949782139,0.8082,0.6532,0.8082,0.6379
2023-08-22,128.6184844970703,125.6331741814238,2.9853,8.9121,2.9853,2.3211
2023-08-23,127.47333526611328,128.5153886449625,1.0421,1.0859,1.0421,0.8175
2023-08-24,127.66907501220706,126.7944689059641,0.8746,0.7649,0.8746,0.6851
2023-08-25,129.36231994628906,127.15018684345888,2.2121,4.8935,2.2121,1.71
2023-08-28,130.14532470703125,128.58130605520728,1.564,2.4462,1.564,1.2017
2023-08-29,128.70655822753906,130.92558153512073,2.219,4.9241,2.219,1.7241
2023-08-30,129.03933715820312,128.76631928018287,0.273,0.0745,0.273,0.2116
2023-08-31,128.9022979736328,128.502750554273,0.3995,0.1596,0.3995,0.31
2023-09-01,130.3802490234375,128.33989719692636,2.0404,4.163,2.0404,1.5649
2023-09-05,129.900634765625,130.4639611269522,0.5633,0.3173,0.5633,0.4337
2023-09-06,130.9283447265625,129.65791719564004,1.2704,1.614,1.2704,0.9703
2023-09-07,132.41604614257812,130.17977543575398,2.2363,5.0009,2.2363,1.6888
2023-09-08,132.68031311035156,131.62965791383613,1.0507,1.1039,1.0507,0.7919
2023-09-11,134.1288604736328,132.9556981243568,1.1732,1.3763,1.1732,0.8747
