Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,168.5399932861328,169.45052188742557,0.9105,0.8291,0.9105,0.5402
2023-08-07,172.0800018310547,168.8394374918862,3.2406,10.5013,3.2406,1.8832
2023-08-08,167.97999572753906,172.38573555317998,4.4057,19.4105,4.4057,2.6228
2023-08-09,166.35000610351562,168.27844498828927,1.9284,3.7189,1.9284,1.1593
2023-08-10,166.52000427246094,166.6455593694409,0.1256,0.0158,0.1256,0.0754
2023-08-11,173.86000061035153,166.81585957332572,7.0441,49.6199,7.0441,4.0516
2023-08-14,176.88999938964844,174.16889684785565,2.7211,7.4044,2.7211,1.5383
2023-08-15,180.13999938964844,177.20427901159564,2.9357,8.6185,2.9357,1.6297
2023-08-16,188.8699951171875,180.4600532711629,8.4099,70.7271,8.4099,4.4528
2023-08-17,185.7700042724609,189.2055595406564,3.4356,11.803,3.4356,1.8494
2023-08-18,182.8999938964844,186.1000609569164,3.2001,10.2404,3.2001,1.7496
2023-08-21,184.47000122070312,183.22495144713324,1.245,1.5501,1.245,0.6749
2023-08-22,193.1699981689453,184.79774819590966,8.3722,70.0946,8.3722,4.3341
2023-08-23,201.16000366210935,193.51320238741755,7.6468,58.4736,7.6468,3.8014
2023-08-24,203.92999267578125,201.51740368540047,2.4126,5.8206,2.4126,1.183
2023-08-25,207.5200042724609,204.29231412539957,3.2277,10.418,3.2277,1.5554
2023-08-28,213.97000122070315,207.88870407863575,6.0813,36.9822,6.0813,2.8421
2023-08-29,217.61000061035162,214.35016070582788,3.2598,10.6266,3.2598,1.498
2023-08-30,221.30999755859372,217.99662726510726,3.3134,10.9784,3.3134,1.4972
2023-08-31,224.57000732421878,218.57457155682275,5.9954,35.9453,5.9954,2.6697
2023-09-01,234.8600006103516,224.96899978985311,9.891,97.8319,9.891,4.2114
2023-09-05,244.3999938964844,235.27727525819503,9.1227,83.224,9.1227,3.7327
2023-09-06,249.8300018310547,244.83421820509832,4.9958,24.9579,4.9958,1.9997
2023-09-07,258.7099914550781,250.27387360898138,8.4361,71.1681,8.4361,3.2608
2023-09-08,256.7900085449219,258.0607806831449,1.2708,1.6149,1.2708,0.4949
2023-09-11,255.8999938964844,257.24624613372725,1.3463,1.8124,1.3463,0.5261
2023-09-12,260.5400085449219,256.3546502004902,4.1854,17.5172,4.1854,1.6064
2023-09-13,274.45001220703125,261.00290874092025,13.4471,180.8246,13.4471,4.8997
2023-09-14,259.4599914550781,274.93762624048395,15.4776,239.5572,15.4776,5.9653
2023-09-15,264.6099853515625,259.92097278984147,4.689,21.9868,4.689,1.772
2023-09-18,256.6000061035156,265.0801166560268,8.4801,71.9123,8.4801,3.3048
2023-09-19,241.0500030517578,257.0559061158856,16.0059,256.1889,16.0059,6.6401
2023-09-20,250.2100067138672,241.47827544754546,8.7317,76.2431,8.7317,3.4898
2023-09-21,256.239990234375,250.6545536446647,5.5854,31.1971,5.5854,2.1798
2023-09-22,257.5,256.6952506082598,0.8047,0.6476,0.8047,0.3125
2023-09-25,261.7699890136719,257.9574990272522,3.8125,14.5351,3.8125,1.4564
2023-09-26,279.82000732421875,262.23507451012847,17.5849,309.2299,17.5849,6.2844
2023-09-27,282.4800109863281,280.31716220249655,2.1628,4.6779,2.1628,0.7657
2023-09-28,276.5400085449219,282.98189188048127,6.4419,41.4979,6.4419,2.3295
2023-09-29,274.42999267578125,277.0313358649437,2.6013,6.767,2.6013,0.9479
2023-10-02,269.6099853515625,274.91757114062784,5.3076,28.1705,5.3076,1.9686
2023-10-03,269.7900085449219,270.0890001322841,0.299,0.0894,0.299,0.1108
2023-10-04,271.989990234375,270.2693431719963,1.7206,2.9606,1.7206,0.6326
2023-10-05,277.8999938964844,272.4732335584704,5.4268,29.4497,5.4268,1.9528
2023-10-06,281.3800048828125,278.39373749602237,2.9863,8.9178,2.9863,1.0613
2023-10-09,290.3800048828125,281.87993140134495,8.5001,72.2512,8.5001,2.9272
2023-10-10,293.3399963378906,290.89592165860813,2.4441,5.9735,2.4441,0.8332
2023-10-11,291.260009765625,293.86117211644887,2.6012,6.766,2.6012,0.8931
2023-10-12,262.8999938964844,291.7774900419172,28.8775,833.9098,28.8775,10.9842
2023-10-13,260.0199890136719,263.3670870672504,3.3471,11.2031,3.3471,1.2872
2023-10-16,269.0599975585937,260.4819652934384,8.578,73.5826,8.578,3.1881
2023-10-17,265.2799987792969,269.5380351786152,4.258,18.1309,4.258,1.6051
2023-10-18,264.3500061035156,265.75132049343665,1.4013,1.9637,1.4013,0.5301
2023-10-19,255.7100067138672,264.81967550408444,9.1097,82.9861,9.1097,3.5625
2023-10-20,266.44000244140625,256.16432546854776,10.2757,105.5895,10.2757,3.8567
2023-10-23,267.42999267578125,266.9133851285442,0.5166,0.2669,0.5166,0.1932
2023-10-24,261.07000732421875,267.9051342738676,6.8351,46.719,6.8351,2.6181
2023-10-25,254.1100006103516,261.5338491665316,7.4238,55.1135,7.4238,2.9215
2023-10-26,259.32000732421875,254.79496947929877,4.525,20.476,4.525,1.745
2023-10-27,253.8600006103516,259.7807399498415,5.9207,35.0552,5.9207,2.3323
2023-10-30,251.4499969482422,253.17075771762123,1.7208,2.961,1.7208,0.6843
2023-10-31,249.6999969482422,251.89674696380098,2.1968,4.8257,2.1968,0.8798
2023-11-01,242.19000244140625,250.14363774711092,7.9536,63.2603,7.9536,3.284
2023-11-02,245.33999633789062,242.62030026869616,2.7197,7.3967,2.7197,1.1085
2023-11-03,242.6499938964844,245.7758907443786,3.1259,9.7712,3.1259,1.2882
2023-11-06,239.75999450683597,243.08110898840826,3.3211,11.0298,3.3211,1.3852
2023-11-07,232.9600067138672,240.1859749505675,7.226,52.2146,7.226,3.1018
2023-11-08,225.6000061035156,233.37390565157693,7.7739,60.4335,7.7739,3.4459
2023-11-09,219.22000122070312,226.00082856309015,6.7808,45.9796,6.7808,3.0932
2023-11-10,215.4900054931641,219.75862973274707,4.2686,18.2212,4.2686,1.9809
2023-11-13,231.27999877929688,215.87286556266193,15.4071,237.3798,15.4071,6.6617
2023-11-14,233.19000244140625,231.69091285488685,1.4991,2.2473,1.4991,0.6429
2023-11-15,236.86000061035156,233.60431001143297,3.2557,10.5995,3.2557,1.3745
2023-11-16,230.0399932861328,237.28082864869796,7.2408,52.4297,7.2408,3.1476
2023-11-17,238.58999633789065,230.4487042498513,8.1413,66.2806,8.1413,3.4123
2023-11-20,238.82000732421878,239.0138980514312,0.1939,0.0376,0.1939,0.0812
2023-11-21,257.17999267578125,239.2443176971865,17.9357,321.6884,17.9357,6.974
