Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,168.5399932861328,168.24063660505453,0.2994,0.0896,0.2994,0.1776
2023-08-07,172.0800018310547,167.79145309211435,4.2885,18.3917,4.2885,2.4922
2023-08-08,167.97999572753906,170.69250736667527,2.7125,7.3577,2.7125,1.6148
2023-08-09,166.35000610351562,166.72281025627035,0.3728,0.139,0.3728,0.2241
2023-08-10,166.52000427246094,165.56261761875794,0.9574,0.9166,0.9574,0.5749
2023-08-11,173.86000061035153,165.51060450586647,8.3494,69.7124,8.3494,4.8024
2023-08-14,176.88999938964844,172.98768584302798,3.9023,15.2281,3.9023,2.2061
2023-08-15,180.13999938964844,175.81574676884338,4.3243,18.6992,4.3243,2.4005
2023-08-16,188.8699951171875,178.98863003167207,9.8814,97.6414,9.8814,5.2318
2023-08-17,185.7700042724609,187.77917433280527,2.0092,4.0368,2.0092,1.0815
2023-08-18,182.8999938964844,184.3898074929384,1.4898,2.2195,1.4898,0.8146
2023-08-21,184.47000122070312,181.65529353599962,2.8147,7.9226,2.8147,1.5258
2023-08-22,193.1699981689453,183.21980616159453,9.9502,99.0063,9.9502,5.151
2023-08-23,201.16000366210935,192.127317317475,9.0327,81.5894,9.0327,4.4903
2023-08-24,203.92999267578125,199.70829387882983,4.2217,17.8227,4.2217,2.0702
2023-08-25,207.5200042724609,202.81155857944032,4.7084,22.1695,4.7084,2.2689
2023-08-28,213.97000122070315,206.87340663532356,7.0966,50.3617,7.0966,3.3166
2023-08-29,217.61000061035162,213.81397360593473,3.796,14.4098,3.796,1.7444
2023-08-30,221.30999755859372,218.1003658582613,3.2096,10.3017,3.2096,1.4503
2023-08-31,224.57000732421878,221.93013772995616,2.6399,6.9689,2.6399,1.1755
2023-09-01,234.8600006103516,225.21373872710683,9.6463,93.0504,9.6463,4.1072
2023-09-05,244.3999938964844,235.1940107115843,9.206,84.7501,9.206,3.7668
2023-09-06,249.8300018310547,245.04541600522865,4.7846,22.8923,4.7846,1.9151
2023-09-07,258.7099914550781,250.56722687069487,8.1428,66.3046,8.1428,3.1474
2023-09-08,256.7900085449219,259.9209181194892,3.1309,9.8026,3.1309,1.2192
2023-09-11,255.8999938964844,257.9434594538179,2.0435,4.1758,2.0435,0.7985
2023-09-12,260.5400085449219,256.4757881623264,4.0642,16.5179,4.0642,1.5599
2023-09-13,274.45001220703125,261.3575069385661,13.0925,171.4137,13.0925,4.7705
2023-09-14,259.4599914550781,275.1206450879836,15.6607,245.2561,15.6607,6.0359
2023-09-15,264.6099853515625,260.54467707161166,4.0653,16.5267,4.0653,1.5363
2023-09-18,256.6000061035156,265.18925878655864,8.5893,73.7753,8.5893,3.3473
2023-09-19,241.0500030517578,257.2025502825054,16.1525,260.9048,16.1525,6.7009
2023-09-20,250.2100067138672,241.3529603698462,8.857,78.4473,8.857,3.5398
2023-09-21,256.239990234375,249.4502144454691,6.7898,46.1011,6.7898,2.6498
2023-09-22,257.5,254.50652465751045,2.9935,8.9609,2.9935,1.1625
2023-09-25,261.7699890136719,256.3348263502121,5.4352,29.541,5.4352,2.0763
2023-09-26,279.82000732421875,260.644674961708,19.1753,367.6934,19.1753,6.8527
2023-09-27,282.4800109863281,278.9235841075388,3.5564,12.6482,3.5564,1.259
2023-09-28,276.5400085449219,281.77549534441823,5.2355,27.4103,5.2355,1.8932
2023-09-29,274.42999267578125,276.13576127829765,1.7058,2.9096,1.7058,0.6216
2023-10-02,269.6099853515625,273.8422748066878,4.2323,17.9123,4.2323,1.5698
2023-10-03,269.7900085449219,269.31387939512206,0.4761,0.2267,0.4761,0.1765
2023-10-04,271.989990234375,268.6274516184476,3.3625,11.3067,3.3625,1.2363
2023-10-05,277.8999938964844,270.37395893296343,7.526,56.6412,7.526,2.7082
2023-10-06,281.3800048828125,275.703060150714,5.6769,32.2277,5.6769,2.0175
2023-10-09,290.3800048828125,279.31992120982613,11.0601,122.3255,11.0601,3.8088
2023-10-10,293.3399963378906,288.7459049581885,4.5941,21.1057,4.5941,1.5661
2023-10-11,291.260009765625,293.0169191090863,1.7569,3.0867,1.7569,0.6032
2023-10-12,262.8999938964844,291.1602739837108,28.2603,798.6434,28.2603,10.7494
2023-10-13,260.0199890136719,264.21226746373577,4.1923,17.5752,4.1923,1.6123
2023-10-16,269.0599975585937,260.99796899239664,8.062,64.9963,8.062,2.9964
2023-10-17,265.2799987792969,269.7361269889515,4.4561,19.8571,4.4561,1.6798
2023-10-18,264.3500061035156,265.49036056421755,1.1404,1.3004,1.1404,0.4314
2023-10-19,255.7100067138672,264.30621882277956,8.5962,73.8949,8.5962,3.3617
2023-10-20,266.44000244140625,256.0876607028458,10.3523,107.171,10.3523,3.8854
2023-10-23,267.42999267578125,266.4659520962232,0.964,0.9294,0.964,0.3605
2023-10-24,261.07000732421875,267.4886521323351,6.4186,41.199,6.4186,2.4586
2023-10-25,254.1100006103516,261.2857448209252,7.1757,51.4913,7.1757,2.8239
2023-10-26,259.32000732421875,253.9727160307448,5.3473,28.5935,5.3473,2.062
2023-10-27,253.8600006103516,258.8317618136789,4.9718,24.7184,4.9718,1.9585
2023-10-30,251.4499969482422,253.77712683538542,2.3271,5.4155,2.3271,0.9255
2023-10-31,249.6999969482422,251.44313263305412,1.7431,3.0385,1.7431,0.6981
2023-11-01,242.19000244140625,249.66277386591628,7.4728,55.8423,7.4728,3.0855
2023-11-02,245.33999633789062,242.73243639062275,2.6076,6.7994,2.6076,1.0628
2023-11-03,242.6499938964844,245.81432104833223,3.1643,10.013,3.1643,1.3041
2023-11-06,239.75999450683597,243.213561753164,3.4536,11.9271,3.4536,1.4404
2023-11-07,232.9600067138672,240.0238314282051,7.0638,49.8976,7.0638,3.0322
2023-11-08,225.6000061035156,233.31347596233536,7.7135,59.4976,7.7135,3.4191
2023-11-09,219.22000122070312,225.95524388320698,6.7352,45.3635,6.7352,3.0724
2023-11-10,215.4900054931641,219.39804576257666,3.908,15.2728,3.908,1.8136
2023-11-13,231.27999877929688,215.8654673004494,15.4145,237.6078,15.4145,6.6649
2023-11-14,233.19000244140625,231.2683363629003,1.9217,3.6928,1.9217,0.8241
2023-11-15,236.86000061035156,233.33997488774912,3.52,12.3906,3.52,1.4861
2023-11-16,230.0399932861328,236.84709679838673,6.8071,46.3367,6.8071,2.9591
2023-11-17,238.58999633789065,230.33212948423352,8.2579,68.1924,8.2579,3.4611
2023-11-20,238.82000732421878,238.8051042726402,0.0149,0.0002,0.0149,0.0062
2023-11-21,257.17999267578125,239.23062383718934,17.9494,322.1798,17.9494,6.9793
2023-11-22,256.8999938964844,257.3823064293465,0.4823,0.2326,0.4823,0.1877
2023-11-24,258.0799865722656,257.48070260098757,0.5993,0.3591,0.5993,0.2322
2023-11-27,245.00999450683597,258.8981035951292,13.8881,192.8796,13.8881,5.6684
2023-11-28,256.489990234375,246.2239736809352,10.266,105.3911,10.266,4.0025
2023-11-29,251.9199981689453,256.84931926312856,4.9293,24.2982,4.9293,1.9567
2023-11-30,251.4900054931641,251.94657578449005,0.4566,0.2085,0.4566,0.1815
2023-12-01,248.5,251.13543268502147,2.6354,6.9455,2.6354,1.0605
2023-12-04,273.5799865722656,247.76818084716797,25.8118,666.2493,25.8118,9.4348
2023-12-05,267.4800109863281,272.3589292183806,4.8789,23.8038,4.8789,1.824
2023-12-06,271.29998779296875,266.55590391893384,4.7441,22.5063,4.7441,1.7486
2023-12-07,276.0400085449219,270.0625057896468,5.9775,35.7305,5.9775,2.1654
2023-12-08,274.3900146484375,274.42558111438484,0.0356,0.0013,0.0356,0.013
2023-12-11,265.2799987792969,273.67402898900036,8.394,70.4597,8.394,3.1642
2023-12-12,266.5,264.9291480843476,1.5709,2.4676,1.5709,0.5894
2023-12-13,262.5899963378906,266.57783472537994,3.9878,15.9029,3.9878,1.5187
2023-12-14,255.69999694824222,263.43424274936115,7.7342,59.8186,7.7342,3.0247
2023-12-15,244.8800048828125,256.191942960113,11.3119,127.9599,11.3119,4.6194
2023-12-18,246.9900054931641,245.24434987794666,1.7457,3.0473,1.7457,0.7068
2023-12-19,244.1199951171875,246.76414438102987,2.6441,6.9915,2.6441,1.0831
