Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,168.5399932861328,170.17468061922045,1.6347,2.6722,1.6347,0.9699
2023-08-07,172.0800018310547,169.58129725122853,2.4987,6.2435,2.4987,1.4521
2023-08-08,167.97999572753906,173.0769596205937,5.097,25.979,5.097,3.0343
2023-08-09,166.35000610351562,168.90021428151886,2.5502,6.5036,2.5502,1.533
2023-08-10,166.52000427246094,167.09047570561233,0.5705,0.3254,0.5705,0.3426
2023-08-11,173.86000061035153,167.09230085887611,6.7677,45.8018,6.7677,3.8926
2023-08-14,176.88999938964844,174.3187853066338,2.5712,6.6111,2.5712,1.4536
2023-08-15,180.13999938964844,177.60849439492267,2.5315,6.4085,2.5315,1.4053
2023-08-16,188.8699951171875,181.1589578355597,7.711,59.4601,7.711,4.0827
2023-08-17,185.7700042724609,190.12198994380014,4.352,18.9398,4.352,2.3427
2023-08-18,182.8999938964844,187.45264228518315,4.5526,20.7266,4.5526,2.4891
2023-08-21,184.47000122070312,184.52848822404488,0.0585,0.0034,0.0585,0.0317
2023-08-22,193.1699981689453,185.89272304403494,7.2773,52.9587,7.2773,3.7673
2023-08-23,201.16000366210935,194.39230626854987,6.7677,45.8017,6.7677,3.3643
2023-08-24,203.92999267578125,202.5703477019524,1.3596,1.8486,1.3596,0.6667
2023-08-25,207.5200042724609,205.79685734838858,1.7231,2.9692,1.7231,0.8304
2023-08-28,213.97000122070315,209.6510119686172,4.319,18.6537,4.319,2.0185
2023-08-29,217.61000061035162,216.2421326361582,1.3679,1.8711,1.3679,0.6286
2023-08-30,221.30999755859372,220.07726182437548,1.2327,1.5196,1.2327,0.557
2023-08-31,224.57000732421878,223.85785925557863,0.7121,0.5072,0.7121,0.3171
2023-09-01,234.8600006103516,227.11990220876032,7.7401,59.9091,7.7401,3.2956
2023-09-05,244.3999938964844,237.30972532432136,7.0903,50.2719,7.0903,2.9011
2023-09-06,249.8300018310547,247.07453477855964,2.7555,7.5926,2.7555,1.1029
2023-09-07,258.7099914550781,252.9164057469079,5.7936,33.5656,5.7936,2.2394
2023-09-08,256.7900085449219,262.00876737904764,5.2188,27.2354,5.2188,2.0323
2023-09-11,255.8999938964844,260.26364677305537,4.3637,19.0415,4.3637,1.7052
2023-09-12,260.5400085449219,259.06117305368394,1.4788,2.187,1.4788,0.5676
2023-09-13,274.45001220703125,263.2781514112139,11.1719,124.8105,11.1719,4.0706
2023-09-14,259.4599914550781,276.81944212723465,17.3595,301.3505,17.3595,6.6906
2023-09-15,264.6099853515625,261.6356724165598,2.9743,8.8465,2.9743,1.124
2023-09-18,256.6000061035156,266.3649971193081,9.765,95.355,9.765,3.8055
2023-09-19,241.0500030517578,257.85152872201434,16.8015,282.2913,16.8015,6.9701
2023-09-20,250.2100067138672,241.32359279144475,8.8864,78.9684,8.8864,3.5516
2023-09-21,256.239990234375,250.0143392510363,6.2257,38.7587,6.2257,2.4296
2023-09-22,257.5,255.962355939002,1.5376,2.3643,1.5376,0.5971
2023-09-25,261.7699890136719,257.52652168273926,4.2435,18.007,4.2435,1.6211
2023-09-26,279.82000732421875,262.17453600616136,17.6455,311.3627,17.6455,6.306
2023-09-27,282.4800109863281,280.5005264245774,1.9795,3.9184,1.9795,0.7008
2023-09-28,276.5400085449219,284.3617275969882,7.8217,61.1793,7.8217,2.8284
2023-09-29,274.42999267578125,278.90404326352655,4.4741,20.0171,4.4741,1.6303
2023-10-02,269.6099853515625,276.6548474957817,7.0449,49.6301,7.0449,2.613
2023-10-03,269.7900085449219,271.38559260973125,1.5956,2.5459,1.5956,0.5914
2023-10-04,271.989990234375,271.12869779058383,0.8613,0.7418,0.8613,0.3167
2023-10-05,277.8999938964844,273.0353314024396,4.8647,23.6649,4.8647,1.7505
2023-10-06,281.3800048828125,278.87485922818087,2.5051,6.2758,2.5051,0.8903
2023-10-09,290.3800048828125,282.5512967575196,7.8287,61.2887,7.8287,2.696
2023-10-10,293.3399963378906,291.8330112343974,1.507,2.271,1.507,0.5137
2023-10-11,291.260009765625,295.2961189812595,4.0361,16.2902,4.0361,1.3857
2023-10-12,262.8999938964844,293.4595787070575,30.5596,933.8882,30.5596,11.624
2023-10-13,260.0199890136719,263.77783069956786,3.7578,14.1214,3.7578,1.4452
2023-10-16,269.0599975585937,260.2457386946662,8.8143,77.6912,8.8143,3.2759
2023-10-17,265.2799987792969,268.7083493133504,3.4284,11.7536,3.4284,1.2924
2023-10-18,264.3500061035156,264.75743063213486,0.4074,0.166,0.4074,0.1541
2023-10-19,255.7100067138672,263.8332248031984,8.1232,65.9867,8.1232,3.1767
2023-10-20,266.44000244140625,255.0604442914646,11.3796,129.4943,11.3796,4.271
2023-10-23,267.42999267578125,265.78703670857067,1.643,2.6993,1.643,0.6143
2023-10-24,261.07000732421875,267.21247448444046,6.1425,37.7299,6.1425,2.3528
2023-10-25,254.1100006103516,261.10393027162354,6.9939,48.9151,6.9939,2.7523
2023-10-26,259.32000732421875,254.06427442480074,5.2557,27.6227,5.2557,2.0267
2023-10-27,253.8600006103516,259.23477920768346,5.3748,28.8882,5.3748,2.1172
2023-10-30,251.4499969482422,253.76137521958483,2.3114,5.3425,2.3114,0.9192
2023-10-31,249.6999969482422,251.3097880648702,1.6098,2.5914,1.6098,0.6447
2023-11-01,242.19000244140625,249.5191502175976,7.3291,53.7164,7.3291,3.0262
2023-11-02,245.33999633789062,241.82394325244968,3.5161,12.3626,3.5161,1.4331
2023-11-03,242.6499938964844,244.92317084934623,2.2732,5.1673,2.2732,0.9368
2023-11-06,239.75999450683597,242.26249941370045,2.5025,6.2625,2.5025,1.0438
2023-11-07,232.9600067138672,239.40579679823807,6.4458,41.5482,6.4458,2.7669
2023-11-08,225.6000061035156,232.49532850833657,6.8953,47.5455,6.8953,3.0564
2023-11-09,219.22000122070312,224.90073173538437,5.6807,32.2707,5.6807,2.5913
2023-11-10,215.4900054931641,218.2593107134253,2.7693,7.6691,2.7693,1.2851
2023-11-13,231.27999877929688,214.3368270591982,16.9432,287.0711,16.9432,7.3258
2023-11-14,233.19000244140625,229.8395662860603,3.3504,11.2254,3.3504,1.4368
2023-11-15,236.86000061035156,232.48742531279277,4.3726,19.1194,4.3726,1.8461
2023-11-16,230.0399932861328,236.88086694961206,6.8409,46.7976,6.8409,2.9738
2023-11-17,238.58999633789065,230.51076228198326,8.0792,65.274,8.0792,3.3862
2023-11-20,238.82000732421878,239.19444878127254,0.3744,0.1402,0.3744,0.1568
2023-11-21,257.17999267578125,239.7836166367415,17.3964,302.6339,17.3964,6.7643
2023-11-22,256.8999938964844,258.10525848614634,1.2053,1.4527,1.2053,0.4692
2023-11-24,258.0799865722656,258.8614859234185,0.7815,0.6107,0.7815,0.3028
2023-11-27,245.00999450683597,260.46068495761574,15.4507,238.7238,15.4507,6.3061
2023-11-28,256.489990234375,247.01970192218144,9.4703,89.6864,9.4703,3.6923
2023-11-29,251.9199981689453,258.0064370102482,6.0864,37.0447,6.0864,2.416
2023-11-30,251.4900054931641,253.29215391115395,1.8021,3.2477,1.8021,0.7166
2023-12-01,248.5,252.63856716161357,4.1386,17.1277,4.1386,1.6654
2023-12-04,273.5799865722656,249.4022135734558,24.1778,584.5647,24.1778,8.8376
2023-12-05,267.4800109863281,273.7365629095475,6.2566,39.1444,6.2566,2.3391
2023-12-06,271.29998779296875,268.69579617248746,2.6042,6.7818,2.6042,0.9599
2023-12-07,276.0400085449219,272.8657681475888,3.1742,10.0758,3.1742,1.1499
2023-12-08,274.3900146484375,277.87073061888077,3.4807,12.1154,3.4807,1.2685
2023-12-11,265.2799987792969,276.37331029870256,11.0933,123.0616,11.0933,4.1817
2023-12-12,266.5,266.9036299821528,0.4036,0.1629,0.4036,0.1515
2023-12-13,262.5899963378906,267.7383345961571,5.1483,26.5054,5.1483,1.9606
2023-12-14,255.69999694824222,263.43662179004605,7.7366,59.8554,7.7366,3.0257
2023-12-15,244.8800048828125,256.08915828001955,11.2092,125.6451,11.2092,4.5774
2023-12-18,246.9900054931641,244.645943656069,2.3441,5.4946,2.3441,0.9491
2023-12-19,244.1199951171875,246.4762016426494,2.3562,5.5517,2.3562,0.9652
2023-12-20,240.5,243.41526176193292,2.9153,8.4988,2.9153,1.2122
2023-12-21,246.38000488281247,239.71903371810913,6.661,44.3685,6.661,2.7035
2023-12-22,250.22000122070312,245.67951165241539,4.5405,20.616,4.5405,1.8146
2023-12-26,251.6000061035156,249.87794233989734,1.7221,2.9655,1.7221,0.6844
2023-12-27,246.52999877929688,251.74313297618934,5.2131,27.1768,5.2131,2.1146
2023-12-28,261.1600036621094,246.95019792587118,14.2098,201.9186,14.2098,5.441
2023-12-29,260.04998779296875,261.58496499657485,1.535,2.3562,1.535,0.5903
2024-01-02,260.5299987792969,261.12483277043793,0.5948,0.3538,0.5948,0.2283
2024-01-03,259.6700134277344,261.9180248624616,2.248,5.0536,2.248,0.8657
2024-01-04,263.6199951171875,261.1505638447088,2.4694,6.0981,2.4694,0.9367
2024-01-05,262.989990234375,265.0881841840601,2.0982,4.4024,2.0982,0.7978
2024-01-08,258.8699951171875,264.4767415889364,5.6067,31.4356,5.6067,2.1659
2024-01-09,251.1199951171875,260.20529469117173,9.0853,82.5427,9.0853,3.6179
2024-01-10,253.9199981689453,252.04183925743564,1.8782,3.5275,1.8782,0.7397
2024-01-11,254.8500061035156,254.52396794837296,0.326,0.1063,0.326,0.1279
2024-01-12,242.67999267578125,255.29796640157653,12.618,159.2133,12.618,5.1994
2024-01-16,220.1100006103516,242.75445774807304,22.6445,512.7714,22.6445,10.2878
2024-01-17,211.9900054931641,219.04327392997587,7.0533,49.7486,7.0533,3.3272
2024-01-18,212.0800018310547,210.4800905176153,1.5999,2.5597,1.5999,0.7544
2024-01-19,216.5200042724609,210.25515383098536,6.2649,39.2484,6.2649,2.8934
2024-01-22,212.4199981689453,214.54193746478265,2.1219,4.5026,2.1219,0.9989
2024-01-23,205.75999450683597,210.56535755564073,4.8054,23.0915,4.8054,2.3354
2024-01-24,207.3000030517578,204.0190472304685,3.281,10.7647,3.281,1.5827
2024-01-25,197.3600006103516,205.7815071418854,8.4215,70.9218,8.4215,4.2671
2024-01-26,200.83999633789068,195.8138554286825,5.0261,25.2621,5.0261,2.5026
2024-01-29,205.66000366210932,199.4459618083511,6.214,38.6143,6.214,3.0215
2024-01-30,218.50999450683594,204.5485076003042,13.9615,194.9231,13.9615,6.3894
2024-01-31,219.9600067138672,217.80991713853294,2.1501,4.6229,2.1501,0.9775
2024-02-01,219.2700042724609,220.36874396618077,1.0987,1.2072,1.0987,0.5011
2024-02-02,222.17999267578128,220.36904556746956,1.8109,3.2795,1.8109,0.8151
