Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,168.5399932861328,169.23355455097044,0.6936,0.481,0.6936,0.4115
2023-08-07,172.0800018310547,168.62930014969788,3.4507,11.9073,3.4507,2.0053
2023-08-08,167.97999572753906,172.19707257395385,4.2171,17.7837,4.2171,2.5105
2023-08-09,166.35000610351562,168.10454983394447,1.7545,3.0784,1.7545,1.0547
2023-08-10,166.52000427246094,166.41443528769378,0.1056,0.0111,0.1056,0.0634
2023-08-11,173.86000061035153,166.49241175580755,7.3676,54.2814,7.3676,4.2377
2023-08-14,176.88999938964844,173.97629266541298,2.9137,8.4897,2.9137,1.6472
2023-08-15,180.13999938964844,177.12212432781234,3.0179,9.1076,3.0179,1.6753
2023-08-16,188.8699951171875,180.49576513408283,8.3742,70.1277,8.3742,4.4339
2023-08-17,185.7700042724609,189.59603819042968,3.826,14.6385,3.826,2.0596
2023-08-18,182.8999938964844,186.62389085587708,3.7239,13.8674,3.7239,2.036
2023-08-21,184.47000122070312,183.77952037498838,0.6905,0.4768,0.6905,0.3743
2023-08-22,193.1699981689453,185.2849045795483,7.8851,62.1747,7.8851,4.0819
2023-08-23,201.16000366210935,194.1622829903481,6.9977,48.9681,6.9977,3.4787
2023-08-24,203.92999267578125,202.43327721529565,1.4967,2.2402,1.4967,0.7339
2023-08-25,207.5200042724609,205.32202760107612,2.198,4.8311,2.198,1.0592
2023-08-28,213.97000122070315,208.98767886322455,4.9823,24.8235,4.9823,2.3285
2023-08-29,217.61000061035162,215.5706297775032,2.0394,4.159,2.0394,0.9372
2023-08-30,221.30999755859372,219.25726259216756,2.0527,4.2137,2.0527,0.9275
2023-08-31,224.57000732421878,222.9724196047973,1.5976,2.5523,1.5976,0.7114
2023-09-01,234.8600006103516,226.21328124518186,8.6467,74.7658,8.6467,3.6816
2023-09-05,244.3999938964844,236.75114732518526,7.6488,58.5049,7.6488,3.1296
2023-09-06,249.8300018310547,246.59946355095238,3.2305,10.4364,3.2305,1.2931
2023-09-07,258.7099914550781,252.1871622985509,6.5228,42.5473,6.5228,2.5213
2023-09-08,256.7900085449219,261.2912908631333,4.5013,20.2615,4.5013,1.7529
2023-09-11,255.8999938964844,259.3261617920325,3.4262,11.7386,3.4262,1.3389
2023-09-12,260.5400085449219,258.3099712631484,2.23,4.9731,2.23,0.8559
2023-09-13,274.45001220703125,262.79686441193917,11.6531,135.7959,11.6531,4.246
2023-09-14,259.4599914550781,276.97072549349105,17.5107,306.6258,17.5107,6.7489
2023-09-15,264.6099853515625,262.2119609450965,2.398,5.7505,2.398,0.9062
2023-09-18,256.6000061035156,267.3269619784696,10.727,115.0676,10.727,4.1804
2023-09-19,241.0500030517578,259.15569518923076,18.1057,327.8161,18.1057,7.5112
2023-09-20,250.2100067138672,243.68213692063546,6.5279,42.6131,6.5279,2.609
2023-09-21,256.239990234375,252.73638386352832,3.5036,12.2753,3.5036,1.3673
2023-09-22,257.5,258.56125609134324,1.0613,1.1263,1.0613,0.4121
2023-09-25,261.7699890136719,259.50950860977173,2.2605,5.1098,2.2605,0.8635
2023-09-26,279.82000732421875,263.545327450629,16.2747,264.8652,16.2747,5.8161
2023-09-27,282.4800109863281,282.18883156777883,0.2912,0.0848,0.2912,0.1031
2023-09-28,276.5400085449219,284.9187332243491,8.3787,70.203,8.3787,3.0298
2023-09-29,274.42999267578125,278.8779670484073,4.448,19.7845,4.448,1.6208
2023-10-02,269.6099853515625,276.5375656387987,6.9276,47.9914,6.9276,2.5695
2023-10-03,269.7900085449219,271.4110153614456,1.621,2.6277,1.621,0.6008
2023-10-04,271.989990234375,271.2219017458483,0.7681,0.59,0.7681,0.2824
2023-10-05,277.8999938964844,273.0798491885362,4.8201,23.2338,4.8201,1.7345
2023-10-06,281.3800048828125,278.8053230086807,2.5747,6.629,2.5747,0.915
2023-10-09,290.3800048828125,282.1555551401252,8.2244,67.6416,8.2244,2.8323
2023-10-10,293.3399963378906,291.2711244184611,2.0689,4.2802,2.0689,0.7053
2023-10-11,291.260009765625,294.276112520929,3.0161,9.0969,3.0161,1.0355
2023-10-12,262.8999938964844,292.15959353363723,29.2596,856.1242,29.2596,11.1296
2023-10-13,260.0199890136719,264.90128003481004,4.8813,23.827,4.8813,1.8773
2023-10-16,269.0599975585937,261.97650691348827,7.0835,50.1758,7.0835,2.6327
