Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,168.5399932861328,170.02449728075226,1.4845,2.2038,1.4845,0.8808
2023-08-07,172.0800018310547,168.0659938428871,4.014,16.1123,4.014,2.3326
2023-08-08,167.97999572753906,171.13992807341674,3.1599,9.9852,3.1599,1.8811
2023-08-09,166.35000610351562,167.67037264180908,1.3204,1.7434,1.3204,0.7937
2023-08-10,166.52000427246094,166.27783312234715,0.2422,0.0586,0.2422,0.1454
2023-08-11,173.86000061035153,165.0212740513598,8.8387,78.1231,8.8387,5.0838
2023-08-14,176.88999938964844,173.2708925417246,3.6191,13.0979,3.6191,2.046
2023-08-15,180.13999938964844,177.51560646318103,2.6244,6.8874,2.6244,1.4569
2023-08-16,188.8699951171875,180.7729776647102,8.097,65.5617,8.097,4.2871
2023-08-17,185.7700042724609,188.59652722350438,2.8265,7.9892,2.8265,1.5215
2023-08-18,182.8999938964844,186.04467503583325,3.1447,9.889,3.1447,1.7193
2023-08-21,184.47000122070312,182.6691724317807,1.8008,3.243,1.8008,0.9762
2023-08-22,193.1699981689453,184.7266307967002,8.4434,71.2905,8.4434,4.371
2023-08-23,201.16000366210935,190.80810883197864,10.3519,107.1617,10.3519,5.1461
2023-08-24,203.92999267578125,200.9619396865073,2.9681,8.8093,2.9681,1.4554
2023-08-25,207.5200042724609,204.39257000692305,3.1274,9.7808,3.1274,1.5071
2023-08-28,213.97000122070315,208.47094499638476,5.4991,30.2396,5.4991,2.57
2023-08-29,217.61000061035162,213.748547607589,3.8615,14.9108,3.8615,1.7745
2023-08-30,221.30999755859372,217.05582017385498,4.2542,18.098,4.2542,1.9223
2023-08-31,224.57000732421878,221.01207647950284,3.5579,12.6589,3.5579,1.5843
2023-09-01,234.8600006103516,224.50950524609652,10.3505,107.1328,10.3505,4.4071
2023-09-05,244.3999938964844,233.8803543029599,10.5196,110.6628,10.5196,4.3043
2023-09-06,249.8300018310547,244.8876222011859,4.9424,24.4271,4.9424,1.9783
2023-09-07,258.7099914550781,250.62113239391329,8.0889,65.4296,8.0889,3.1266
2023-09-08,256.7900085449219,258.9168704298354,2.1269,4.5235,2.1269,0.8282
2023-09-11,255.8999938964844,256.27017503617935,0.3702,0.137,0.3702,0.1447
2023-09-12,260.5400085449219,255.11056851839388,5.4294,29.4788,5.4294,2.0839
2023-09-13,274.45001220703125,259.9095306511572,14.5405,211.4256,14.5405,5.298
2023-09-14,259.4599914550781,272.3220500386997,12.8621,165.4326,12.8621,4.9572
2023-09-15,264.6099853515625,260.60984666852164,4.0001,16.0011,4.0001,1.5117
2023-09-18,256.6000061035156,263.7840223119929,7.184,51.6101,7.184,2.7997
2023-09-19,241.0500030517578,255.75430913344098,14.7043,216.2166,14.7043,6.1001
2023-09-20,250.2100067138672,239.01277816100628,11.1972,125.3779,11.1972,4.4751
2023-09-21,256.239990234375,249.094150369624,7.1458,51.063,7.1458,2.7887
2023-09-22,257.5,252.6292323582602,4.8708,23.7244,4.8708,1.8916
2023-09-25,261.7699890136719,257.2343994677067,4.5356,20.5716,4.5356,1.7327
