Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,81.44881439208984,81.76779107701805,0.319,0.1017,0.319,0.3916
2023-08-07,80.03856658935547,81.61399164562681,1.5754,2.482,1.5754,1.9683
2023-08-08,80.03856658935547,80.20088387665965,0.1623,0.0263,0.1623,0.2028
2023-08-09,82.17792510986328,80.20088387665965,1.977,3.9087,1.977,2.4058
2023-08-10,82.38896942138672,82.34458099150288,0.0444,0.002,0.0444,0.0539
2023-08-11,87.18572235107422,82.55605329844911,4.6297,21.4338,4.6297,5.3101
2023-08-14,88.88375854492188,87.362533987598,1.5212,2.3141,1.5212,1.7115
2023-08-15,88.81661987304688,89.06401377920702,0.2474,0.0612,0.2474,0.2785
2023-08-16,87.9915771484375,88.99673895088199,1.0052,1.0104,1.0052,1.1423
2023-08-17,86.76361846923828,88.17002304916969,1.4064,1.978,1.4064,1.621
2023-08-18,86.46620178222656,86.93957408397182,0.4734,0.2241,0.4734,0.5475
2023-08-21,96.84638214111328,86.64155423935881,10.2048,104.1385,10.2048,10.5371
2023-08-22,99.01451873779295,97.0427854839545,1.9717,3.8877,1.9717,1.9914
2023-08-23,97.8345184326172,99.21531903657522,1.3808,1.9066,1.3808,1.4114
2023-08-24,94.58231353759766,98.07213598234013,3.4898,12.1789,3.4898,3.6897
2023-08-25,94.8221435546875,94.77412537549753,0.048,0.0023,0.048,0.0506
2023-08-28,94.9180908203125,95.01444176508812,0.0964,0.0093,0.0964,0.1015
2023-08-29,94.06427764892578,95.11058361065807,1.0463,1.0948,1.0463,1.1123
2023-08-30,95.76231384277344,94.25503891603512,1.5073,2.2719,1.5073,1.574
2023-08-31,96.21321105957031,95.95651870764414,0.2567,0.0659,0.2567,0.2668
2023-09-01,95.87744903564452,96.40833033878154,0.5309,0.2818,0.5309,0.5537
2023-09-05,98.62118530273438,96.18598791798557,2.4352,5.9302,2.4352,2.4692
2023-09-06,102.7080078125,98.8211879258597,3.8868,15.1074,3.8868,3.7843
2023-09-07,102.45858764648438,102.91629846440628,0.4577,0.2095,0.4577,0.4467
2023-09-08,103.04378509521484,102.66637247717881,0.3774,0.1424,0.3774,0.3663
2023-09-11,101.32707977294922,103.25275669956682,1.9257,3.7082,1.9257,1.9005
2023-09-12,100.7394027709961,101.53256991876333,0.7932,0.6291,0.7932,0.7873
2023-09-13,100.17102813720705,100.94370111464741,0.7727,0.597,0.7727,0.7714
2023-09-14,97.916748046875,100.37417382367495,2.4574,6.0389,2.4574,2.5097
2023-09-15,99.35215759277342,98.11532207939308,1.2368,1.5298,1.2368,1.2449
2023-09-18,98.17686462402344,99.55364261924842,1.3768,1.8955,1.3768,1.4023
2023-09-19,96.44278717041016,98.37596616995143,1.9332,3.7372,1.9332,2.0045
2023-09-20,98.34060668945311,96.63837202731884,1.7022,2.8976,1.7022,1.731
2023-09-21,97.22310638427734,98.54004030239594,1.3169,1.7343,1.3169,1.3545
