Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,81.44881439208984,81.52688328603745,0.0781,0.0061,0.0781,0.0959
2023-08-07,80.03856658935547,81.38910609673212,1.3505,1.824,1.3505,1.6874
2023-08-08,80.03856658935547,79.8124081916967,0.2262,0.0511,0.2262,0.2826
2023-08-09,82.17792510986328,79.89939182382159,2.2785,5.1917,2.2785,2.7727
2023-08-10,82.38896942138672,81.96790068907376,0.4211,0.1773,0.4211,0.5111
2023-08-11,87.18572235107422,82.1965607279003,4.9892,24.8917,4.9892,5.7225
2023-08-14,88.88375854492188,86.86538377506213,2.0184,4.0738,2.0184,2.2708
2023-08-15,88.81661987304688,88.78327886077386,0.0333,0.0011,0.0333,0.0375
2023-08-16,87.9915771484375,88.65081545505382,0.6592,0.4346,0.6592,0.7492
2023-08-17,86.76361846923828,88.03785644035088,1.2742,1.6237,1.2742,1.4686
2023-08-18,86.46620178222656,86.87199273041733,0.4058,0.1647,0.4058,0.4693
2023-08-21,96.84638214111328,86.54203460770987,10.3043,106.1796,10.3043,10.6399
2023-08-22,99.01451873779295,96.46770074875121,2.5468,6.4863,2.5468,2.5722
2023-08-23,97.8345184326172,98.82378088050562,0.9893,0.9786,0.9893,1.0112
2023-08-24,94.58231353759766,98.10119963866238,3.5189,12.3826,3.5189,3.7204
2023-08-25,94.8221435546875,95.17815696492289,0.356,0.1267,0.356,0.3755
2023-08-28,94.9180908203125,95.39100126914855,0.4729,0.2236,0.4729,0.4982
2023-08-29,94.06427764892578,95.09397301718127,1.0297,1.0603,1.0297,1.0947
2023-08-30,95.76231384277344,94.17416833889001,1.5881,2.5222,1.5881,1.6584
2023-08-31,96.21321105957031,95.77813608252836,0.4351,0.1893,0.4351,0.4522
2023-09-01,95.87744903564452,96.15750939136616,0.2801,0.0784,0.2801,0.2921
2023-09-05,98.62118530273438,95.6508766876509,2.9703,8.8227,2.9703,3.0118
2023-09-06,102.7080078125,98.46943160773662,4.2386,17.9655,4.2386,4.1268
