Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,81.44881439208984,81.1455262042764,0.3033,0.092,0.3033,0.3724
2023-08-07,80.03856658935547,81.06467921211788,1.0261,1.0529,1.0261,1.282
2023-08-08,80.03856658935547,79.83362813332405,0.2049,0.042,0.2049,0.256
2023-08-09,82.17792510986328,79.84674747673125,2.3312,5.4344,2.3312,2.8367
2023-08-10,82.38896942138672,81.69080050872708,0.6982,0.4874,0.6982,0.8474
2023-08-11,87.18572235107422,81.87401184437067,5.3117,28.2143,5.3117,6.0924
2023-08-14,88.88375854492188,86.08571118328655,2.798,7.8291,2.798,3.148
2023-08-15,88.81661987304688,87.75348659855081,1.0631,1.1303,1.0631,1.197
2023-08-16,87.9915771484375,87.97194906470395,0.0196,0.0004,0.0196,0.0223
2023-08-17,86.76361846923828,87.46668690198567,0.7031,0.4943,0.7031,0.8103
2023-08-18,86.46620178222656,86.5008589809654,0.0347,0.0012,0.0347,0.0401
2023-08-21,96.84638214111328,86.27448089681275,10.5719,111.7651,10.5719,10.9162
2023-08-22,99.01451873779295,95.22481347641906,3.7897,14.3619,3.7897,3.8274
2023-08-23,97.8345184326172,97.41633154903683,0.4182,0.1749,0.4182,0.4274
2023-08-24,94.58231353759766,96.81320848713587,2.2309,4.9769,2.2309,2.3587
2023-08-25,94.8221435546875,94.20668390089213,0.6155,0.3788,0.6155,0.6491
2023-08-28,94.9180908203125,94.55357941285183,0.3645,0.1329,0.3645,0.384
2023-08-29,94.06427764892578,94.58492282329098,0.5206,0.2711,0.5206,0.5535
2023-08-30,95.76231384277344,93.73097245826284,2.0313,4.1263,2.0313,2.1212
2023-08-31,96.21321105957031,95.1404404584664,1.0728,1.1508,1.0728,1.115
2023-09-01,95.87744903564452,95.46293889345453,0.4145,0.1718,0.4145,0.4323
2023-09-05,98.62118530273438,95.1548714319756,3.4663,12.0153,3.4663,3.5148
2023-09-06,102.7080078125,97.57088937385197,5.1371,26.39,5.1371,5.0017
2023-09-07,102.45858764648438,101.16157338395715,1.297,1.6822,1.297,1.2659
2023-09-08,103.04378509521484,101.14056102615359,1.9032,3.6223,1.9032,1.847
2023-09-11,101.32707977294922,101.87504518832156,0.548,0.3003,0.548,0.5408
2023-09-12,100.7394027709961,100.51717416062638,0.2222,0.0494,0.2222,0.2206
2023-09-13,100.17102813720705,100.0987427641121,0.0723,0.0052,0.0723,0.0722
2023-09-14,97.916748046875,99.61116545573488,1.6944,2.8711,1.6944,1.7305
2023-09-15,99.35215759277342,97.56055324971385,1.7916,3.2098,1.7916,1.8033
2023-09-18,98.17686462402344,98.80965098683646,0.6328,0.4004,0.6328,0.6445
2023-09-19,96.44278717041016,97.68444759819613,1.2417,1.5417,1.2417,1.2875
2023-09-20,98.34060668945311,96.10231868037408,2.2383,5.0099,2.2383,2.2761
2023-09-21,97.22310638427734,97.74350160823815,0.5204,0.2708,0.5204,0.5353
2023-09-22,96.953369140625,96.69236441585917,0.261,0.0681,0.261,0.2692
2023-09-25,97.22310638427734,96.44586867821636,0.7772,0.6041,0.7772,0.7994
2023-09-26,99.37142181396484,96.66018506561704,2.7112,7.3508,2.7112,2.7284
2023-09-27,97.2905502319336,98.52501351117735,1.2345,1.5239,1.2345,1.2688
2023-09-28,95.76844024658205,96.69024099349917,0.9218,0.8497,0.9218,0.9625
2023-09-29,96.5583953857422,95.38988093016907,1.1685,1.3654,1.1685,1.2102
2023-10-02,96.11522674560548,96.08753466596046,0.0277,0.0008,0.0277,0.0288
2023-10-03,97.55066680908205,95.64763851810996,1.903,3.6215,1.903,1.9508
2023-10-04,100.09395599365234,96.88192684401794,3.212,10.3171,3.212,3.209
2023-10-05,101.7027816772461,99.0965135021952,2.6063,6.7926,2.6063,2.5626
2023-10-06,101.2885284423828,100.5776155585113,0.7109,0.5054,0.7109,0.7019
2023-10-09,100.95135498046876,100.35808300149709,0.5933,0.352,0.5933,0.5877
2023-10-10,99.37142181396484,100.20106807924095,0.8296,0.6883,0.8296,0.8349
2023-10-11,99.2847137451172,98.88830653478635,0.3964,0.1571,0.3964,0.3993
2023-10-12,94.27519989013672,98.86071897234343,4.5855,21.027,4.5855,4.864
2023-10-13,93.6875457763672,94.25010998442713,0.5626,0.3165,0.5626,0.6005
2023-10-16,94.65093231201172,93.7738330338798,0.8771,0.7693,0.8771,0.9267
2023-10-17,96.64508819580078,94.51589413190959,2.1292,4.5335,2.1292,2.2031
2023-10-18,95.76844024658205,96.14677647624148,0.3783,0.1431,0.3783,0.3951
2023-10-19,95.71062469482422,95.31573655065087,0.3949,0.1559,0.3949,0.4126
2023-10-20,97.1653060913086,95.27279857912936,1.8925,3.5816,1.8925,1.9477
2023-10-23,95.51795959472656,96.5483372176941,1.0304,1.0617,1.0304,1.0787
2023-10-24,94.7954330444336,95.08617865707492,0.2907,0.0845,0.2907,0.3067
2023-10-25,92.19432830810548,94.46687111666597,2.2725,5.1645,2.2725,2.4649
2023-10-26,91.50070190429688,92.09760161835676,0.5969,0.3563,0.5969,0.6523
2023-10-27,92.63748168945312,91.44132565607833,1.1962,1.4308,1.1962,1.2912
2023-10-30,92.82052612304688,92.35148364296037,0.469,0.22,0.469,0.5053
2023-10-31,91.02864837646484,92.41872027336285,1.3901,1.9323,1.3901,1.5271
2023-11-01,90.53733825683594,90.78125135421624,0.2439,0.0595,0.2439,0.2694
2023-11-02,91.32730865478516,90.32816122141412,0.9991,0.9983,0.9991,1.094
2023-11-03,88.62023162841797,90.97219985842139,2.352,5.5318,2.352,2.654
2023-11-06,89.66067504882811,88.4768046647664,1.1839,1.4015,1.1839,1.3204
2023-11-07,88.32159423828125,89.40575705767696,1.0842,1.1754,1.0842,1.2275
2023-11-08,88.41793060302734,88.13813069109892,0.2798,0.0783,0.2798,0.3165
2023-11-09,88.28305053710938,88.18269882604682,0.1004,0.0101,0.1004,0.1137
2023-11-10,87.76283264160156,88.00444971855359,0.2416,0.0584,0.2416,0.2753
2023-11-13,89.1693572998047,87.5003949671509,1.669,2.7854,1.669,1.8717
