Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,81.44881439208984,81.94907747284742,0.5003,0.2503,0.5003,0.6142
2023-08-07,80.03856658935547,81.82767733783476,1.7891,3.2009,1.7891,2.2353
2023-08-08,80.03856658935547,80.48622721043103,0.4477,0.2004,0.4477,0.5593
2023-08-09,82.17792510986328,80.50635943922316,1.6716,2.7941,1.6716,2.0341
2023-08-10,82.38896942138672,82.57485451335924,0.1859,0.0346,0.1859,0.2256
2023-08-11,87.18572235107422,82.7550276850825,4.4307,19.6311,4.4307,5.0819
2023-08-14,88.88375854492188,87.39982532029535,1.4839,2.2021,1.4839,1.6695
2023-08-15,88.81661987304688,89.04052295776273,0.2239,0.0501,0.2239,0.2521
2023-08-16,87.9915771484375,89.03306557656106,1.0415,1.0847,1.0415,1.1836
2023-08-17,86.76361846923828,88.29670369478117,1.5331,2.3504,1.5331,1.767
2023-08-18,86.46620178222656,87.1723439587413,0.7061,0.4986,0.7061,0.8167
2023-08-21,96.84638214111328,86.94076251149818,9.9056,98.1213,9.9056,10.2282
2023-08-22,99.01451873779295,97.05839430828564,1.9561,3.8264,1.9561,1.9756
2023-08-23,97.8345184326172,99.2340865227652,1.3996,1.9588,1.3996,1.4305
2023-08-24,94.58231353759766,98.19588977737841,3.6136,13.0579,3.6136,3.8206
2023-08-25,94.8221435546875,95.14029521135672,0.3182,0.1012,0.3182,0.3355
2023-08-28,94.9180908203125,95.4589476918336,0.5409,0.2925,0.5409,0.5698
2023-08-29,94.06427764892578,95.58070414047688,1.5164,2.2995,1.5164,1.6121
2023-08-30,95.76231384277344,94.73804213843505,1.0243,1.0491,1.0243,1.0696
2023-08-31,96.21321105957031,96.36586493645518,0.1527,0.0233,0.1527,0.1587
2023-09-01,95.87744903564452,96.76437829225871,0.8869,0.7866,0.8869,0.9251
2023-09-05,98.62118530273438,96.43239613300283,2.1888,4.7908,2.1888,2.2194
2023-09-06,102.7080078125,99.09502175479429,3.613,13.0537,3.613,3.5177
2023-09-07,102.45858764648438,103.00820004171692,0.5496,0.3021,0.5496,0.5364
2023-09-08,103.04378509521484,102.7737703149578,0.27,0.0729,0.27,0.262
2023-09-11,101.32707977294922,103.38770626724909,2.0606,4.2462,2.0606,2.0336
2023-09-12,100.7394027709961,101.79189674338613,1.0525,1.1077,1.0525,1.0448
2023-09-13,100.17102813720705,101.28800122706707,1.117,1.2476,1.117,1.1151
2023-09-14,97.916748046875,100.77874564694868,2.862,8.191,2.862,2.9229
2023-09-15,99.35215759277342,98.59459845931269,0.7576,0.5739,0.7576,0.7625
2023-09-18,98.17686462402344,99.99729578211736,1.8204,3.314,1.8204,1.8542
2023-09-19,96.44278717041016,98.81998883342203,2.3772,5.6511,2.3772,2.4649
2023-09-20,98.34060668945311,97.12237901597382,1.2182,1.4841,1.2182,1.2388
2023-09-21,97.22310638427734,98.94359677382454,1.7205,2.9601,1.7205,1.7696
2023-09-22,96.953369140625,97.8195456863341,0.8662,0.7503,0.8662,0.8934
2023-09-25,97.22310638427734,97.54194716495113,0.3188,0.1017,0.3188,0.3279
2023-09-26,99.37142181396484,97.77975756842261,1.5917,2.5334,1.5917,1.6017
2023-09-27,97.2905502319336,99.82647392720719,2.5359,6.4309,2.5359,2.6065
2023-09-28,95.76844024658205,97.80132339384727,2.0329,4.1326,2.0329,2.1227
2023-09-29,96.5583953857422,96.34916272759712,0.2092,0.0438,0.2092,0.2167
2023-10-02,96.11522674560548,97.12276293346441,1.0075,1.0151,1.0075,1.0483
2023-10-03,97.55066680908205,96.67185948258977,0.8788,0.7723,0.8788,0.9009
2023-10-04,100.09395599365234,98.03778008595692,2.0562,4.2279,2.0562,2.0542
2023-10-05,101.7027816772461,100.45751604380257,1.2453,1.5507,1.2453,1.2244
2023-10-06,101.2885284423828,101.98782707452938,0.6993,0.489,0.6993,0.6904
2023-10-09,100.95135498046876,101.60252668644715,0.6512,0.424,0.6512,0.645
2023-10-10,99.37142181396484,101.31867911911833,1.9473,3.7918,1.9473,1.9596
2023-10-11,99.2847137451172,99.8625212948491,0.5778,0.3339,0.5778,0.582
2023-10-12,94.27519989013672,99.81557861156581,5.5404,30.6958,5.5404,5.8768
2023-10-13,93.6875457763672,94.94621579168324,1.2587,1.5843,1.2587,1.3435
2023-10-16,94.65093231201172,94.41113691369357,0.2398,0.0575,0.2398,0.2533
2023-10-17,96.64508819580078,95.29358226069962,1.3515,1.8266,1.3515,1.3984
2023-10-18,95.76844024658205,97.14159688006475,1.3732,1.8856,1.3732,1.4338
2023-10-19,95.71062469482422,96.2403635995952,0.5297,0.2806,0.5297,0.5535
2023-10-20,97.1653060913086,96.1741737437369,0.9911,0.9823,0.9911,1.02
2023-10-23,95.51795959472656,97.5742557402682,2.0563,4.2284,2.0563,2.1528
2023-10-24,94.7954330444336,95.98218103584259,1.1867,1.4084,1.1867,1.2519
2023-10-25,92.19432830810548,95.30613637037004,3.1118,9.6833,3.1118,3.3753
2023-10-26,91.50070190429688,92.79383375889667,1.2931,1.6722,1.2931,1.4132
2023-10-27,92.63748168945312,92.1239479905853,0.5135,0.2637,0.5135,0.5543
2023-10-30,92.82052612304688,93.18298502957987,0.3625,0.1314,0.3625,0.3905
2023-10-31,91.02864837646484,93.29998662679645,2.2713,5.159,2.2713,2.4952
2023-11-01,90.53733825683594,91.54464617478243,1.0073,1.0147,1.0073,1.1126
2023-11-02,91.32730865478516,91.06240164862356,0.2649,0.0702,0.2649,0.2901
2023-11-03,88.62023162841797,91.792306027407,3.1721,10.0621,3.1721,3.5794
2023-11-06,89.66067504882811,89.14714995538361,0.5135,0.2637,0.5135,0.5727
2023-11-07,88.32159423828125,90.16910016426118,1.8475,3.4133,1.8475,2.0918
2023-11-08,88.41793060302734,88.8476108131581,0.4297,0.1846,0.4297,0.486
2023-11-09,88.28305053710938,88.92060512642729,0.6376,0.4065,0.6376,0.7222
2023-11-10,87.76283264160156,88.75902670939467,0.9962,0.9924,0.9962,1.1351
2023-11-13,89.1693572998047,88.24033539826814,0.929,0.8631,0.929,1.0419
2023-11-14,88.861083984375,89.5845685321674,0.7235,0.5234,0.7235,0.8142
2023-11-15,90.7685546875,89.30738047711202,1.4612,2.135,1.4612,1.6098
2023-11-16,89.14044952392578,91.16261401469819,2.0222,4.0891,2.0222,2.2685
2023-11-17,89.68958282470703,89.58139073288385,0.1082,0.0117,0.1082,0.1206
2023-11-20,90.55660247802734,90.15355485042073,0.403,0.1624,0.403,0.4451
2023-11-21,91.59704589843751,91.00582264648892,0.5912,0.3495,0.5912,0.6455
2023-11-22,91.30803680419922,92.01631114141492,0.7083,0.5017,0.7083,0.7757
2023-11-24,90.14236450195312,91.74128315316648,1.5989,2.5565,1.5989,1.7738
2023-11-27,89.77628326416016,90.63005221731146,0.8538,0.7289,0.8538,0.951
2023-11-28,91.13462829589844,90.30218774790774,0.8324,0.693,0.8324,0.9134
2023-11-29,88.8803482055664,91.63287738834697,2.7525,7.5764,2.7525,3.0969
2023-11-30,86.75130462646484,89.42887015659835,2.6776,7.1694,2.6776,3.0865
2023-12-01,86.35630798339844,87.37583151893523,1.0195,1.0394,1.0195,1.1806
2023-12-04,86.31778717041016,86.99433890058936,0.6766,0.4577,0.6766,0.7838
2023-12-05,87.16555023193361,86.92012599797181,0.2454,0.0602,0.2454,0.2816
2023-12-06,87.87844085693361,87.69475058409716,0.1837,0.0337,0.1837,0.209
2023-12-07,88.57662963867188,88.33860640443345,0.238,0.0567,0.238,0.2687
2023-12-08,86.42686462402344,88.98666282679187,2.5598,6.5526,2.5598,2.9618
2023-12-11,86.02013397216797,86.89624346477285,0.8761,0.7676,0.8761,1.0185
2023-12-12,85.38101196289062,86.53389987376613,1.1529,1.3292,1.1529,1.3503
2023-12-13,84.52885437011719,85.91279288912119,1.3839,1.9153,1.3839,1.6372
2023-12-14,82.659912109375,85.07284095325122,2.4129,5.8222,2.4129,2.9191
2023-12-15,82.9310302734375,83.23348381090909,0.3025,0.0915,0.3025,0.3647
