Date,Actual,Predicted,MAE,MSE,RMSE,MAPE
2023-08-04,81.44881439208984,81.51529753279465,0.0665,0.0044,0.0665,0.0816
2023-08-07,80.03856658935547,81.37327482986802,1.3347,1.7814,1.3347,1.6676
2023-08-08,80.03856658935547,80.2521590413653,0.2136,0.0456,0.2136,0.2669
2023-08-09,82.17792510986328,79.97475887369319,2.2032,4.8539,2.2032,2.681
2023-08-10,82.38896942138672,82.01276807315026,0.3762,0.1415,0.3762,0.4566
2023-08-11,87.18572235107422,82.3599909956124,4.8257,23.2877,4.8257,5.535
2023-08-14,88.88375854492188,86.72795773086182,2.1558,4.6475,2.1558,2.4254
2023-08-15,88.81661987304688,88.50500745879799,0.3116,0.0971,0.3116,0.3508
2023-08-16,87.9915771484375,89.12276513142933,1.1312,1.2796,1.1312,1.2856
2023-08-17,86.76361846923828,88.00013650977053,1.2365,1.529,1.2365,1.4252
2023-08-18,86.46620178222656,86.73321513456222,0.267,0.0713,0.267,0.3088
2023-08-21,96.84638214111328,86.1674934274497,10.6789,114.0387,10.6789,11.0266
2023-08-22,99.01451873779295,95.57180964808822,3.4427,11.8522,3.4427,3.477
2023-08-23,97.8345184326172,98.9713122074795,1.1368,1.2923,1.1368,1.162
2023-08-24,94.58231353759766,99.00357251866446,4.4213,19.5475,4.4213,4.6745
2023-08-25,94.8221435546875,96.08611744472546,1.264,1.5976,1.264,1.333
2023-08-28,94.9180908203125,94.85753537791607,0.0606,0.0037,0.0606,0.0638
2023-08-29,94.06427764892578,93.73486891304492,0.3294,0.1085,0.3294,0.3502
2023-08-30,95.76231384277344,93.45361059946026,2.3087,5.3301,2.3087,2.4109
2023-08-31,96.21321105957031,95.66857905877077,0.5446,0.2966,0.5446,0.5661
2023-09-01,95.87744903564452,97.23064822276503,1.3532,1.8311,1.3532,1.4114
2023-09-05,98.62118530273438,95.66355769857726,2.9576,8.7476,2.9576,2.999
2023-09-06,102.7080078125,98.03162313819303,4.6764,21.8686,4.6764,4.5531
2023-09-07,102.45858764648438,102.06377849017736,0.3948,0.1559,0.3948,0.3853
2023-09-08,103.04378509521484,102.65130038212374,0.3925,0.154,0.3925,0.3809
2023-09-11,101.32707977294922,103.12432981716029,1.7973,3.2301,1.7973,1.7737
2023-09-12,100.7394027709961,102.20577602602043,1.4664,2.1503,1.4664,1.4556
2023-09-13,100.17102813720705,100.43390997679353,0.2629,0.0691,0.2629,0.2624
2023-09-14,97.916748046875,99.44278094333869,1.526,2.3288,1.526,1.5585
2023-09-15,99.35215759277342,98.13341458764626,1.2187,1.4853,1.2187,1.2267
2023-09-18,98.17686462402344,99.76814387215745,1.5913,2.5322,1.5913,1.6208
2023-09-19,96.44278717041016,98.42210173861167,1.9793,3.9177,1.9793,2.0523
2023-09-20,98.34060668945311,96.80323723117908,1.5374,2.3635,1.5374,1.5633
2023-09-21,97.22310638427734,98.00547803361042,0.7824,0.6121,0.7824,0.8047
2023-09-22,96.953369140625,97.40837089485558,0.455,0.207,0.455,0.4693
2023-09-25,97.22310638427734,96.9093399215053,0.3138,0.0984,0.3138,0.3227
2023-09-26,99.37142181396484,96.580817447948,2.7906,7.7875,2.7906,2.8083
2023-09-27,97.2905502319336,99.08150881627034,1.791,3.2075,1.791,1.8408
2023-09-28,95.76844024658205,97.31620486940301,1.5478,2.3956,1.5478,1.6162
2023-09-29,96.5583953857422,95.55161831174338,1.0068,1.0136,1.0068,1.0427
2023-10-02,96.11522674560548,96.60504808145744,0.4898,0.2399,0.4898,0.5096
2023-10-03,97.55066680908205,96.59466809605875,0.956,0.9139,0.956,0.98
2023-10-04,100.09395599365234,97.23351638787382,2.8604,8.1821,2.8604,2.8578
2023-10-05,101.7027816772461,99.82227333974606,1.8805,3.5363,1.8805,1.849
2023-10-06,101.2885284423828,101.78243580765957,0.4939,0.2439,0.4939,0.4876
2023-10-09,100.95135498046876,101.2091746081205,0.2578,0.0665,0.2578,0.2554
2023-10-10,99.37142181396484,100.84618688927004,1.4748,2.1749,1.4748,1.4841
2023-10-11,99.2847137451172,99.52384425216678,0.2391,0.0572,0.2391,0.2409
2023-10-12,94.27519989013672,99.33773750276306,5.0625,25.6293,5.0625,5.37
2023-10-13,93.6875457763672,94.30588093944789,0.6183,0.3823,0.6183,0.66
2023-10-16,94.65093231201172,93.70224342468283,0.9487,0.9,0.9487,1.0023
2023-10-17,96.64508819580078,94.3612851193052,2.2838,5.2158,2.2838,2.3631
2023-10-18,95.76844024658205,96.45089034955163,0.6825,0.4657,0.6825,0.7126
2023-10-19,95.71062469482422,95.68430644030606,0.0263,0.0007,0.0263,0.0275
2023-10-20,97.1653060913086,96.1300528376587,1.0353,1.0717,1.0353,1.0655
2023-10-23,95.51795959472656,97.20935626734081,1.6914,2.8608,1.6914,1.7708
2023-10-24,94.7954330444336,95.43004913246023,0.6346,0.4027,0.6346,0.6695
2023-10-25,92.19432830810548,94.24933656431767,2.055,4.2231,2.055,2.229
2023-10-26,91.50070190429688,92.35923956588069,0.8585,0.7371,0.8585,0.9383
2023-10-27,92.63748168945312,91.62861689701458,1.0089,1.0178,1.0089,1.089
2023-10-30,92.82052612304688,92.26084618189816,0.5597,0.3132,0.5597,0.603
2023-10-31,91.02864837646484,92.79391463216234,1.7653,3.1162,1.7653,1.9392
2023-11-01,90.53733825683594,91.44533360827063,0.908,0.8245,0.908,1.0029
2023-11-02,91.32730865478516,90.88249493568583,0.4448,0.1979,0.4448,0.4871
